alarming 	 ok , ' ve read review know well . truly alarming place , fire alarm still go middle night ! ! ! review go back 2006 refer problem , still happen ! ! ! yes , 2009 ! ' m multi - night business trip . far , one night , one fire alarm . can not afford tired . ' m multi - night business trip . one fire alarm middle night ' m outta ! ' m willing overlook tired decor , dirty bathroom tiny room location awesome . fire alarm different story.location ? double check.staff ? check.cleanliness ? much ... alarm issue ? enough put place bottom ... 
 likely stay 	 due flood Kingsway Hall offer alternative ' sister ' hotel . turn bit like one Cinderella 's sister . small room , though clean . unattractive lobby team ilalian teenager arrival team Italians departure . breakfast . try get case storeroom joke , stand concierge desk rude hopeless . ' you try job mate ' say complain Italian . ' not even ' . proceed take everyone ticket stub everyone mix free ensue . get another job get properly train . do not stay . 
 lilliputian room well locate clean hotel 	 London conference first time city , stay room little time . feel claustrophobiac , though , ' ve never . room ridicously small , could unpack clothe . use toilet venture . staff , except door man , condiscende unhelpful ( ask twice stand suitcase hair dryer ) . good side , clean location great , neighborhood public transportation . 
 Nov 24 2009 	 pleasantly surprised 	 book hotel late room secret hotel . must admit concerned read review . on arrival staff helpful pleasant . get room ( standard room ) clean however mention another reviewer room small bed ( also small ) push wall . bed small partner tall decide see could upgrade room large bed . the reception staff helpful arranged room large bed extra charge . staff encounter helpful friendly would return hotel , would probably book club room instead standard room . 
 Nov 16 2009 	 will not stay 	 think previous review complain smallness bedroom Americans use large room hotel , discover absolutely right . room small room walk properly bottom bed wall - sidle along sideways ! bathroom even small , possible . never sit toilet toilet - roll holder stick left armpit . one curtain hang half , constant whine noise interfered sleep . we will not go back . 
 Nov 13 2009 	 great location tiny room 	 stay twin room small room time TINY could walk around foot bed TWIN bed touching ! ! i.e . room bed move around . the hotel amazing location minute walk tube , many dept store , restaurant cafe . easy walk Royal Albert Hall . food hotel expensive fabulous cafe takeaway close by . as one night room size big issue would cosy stay long ! ! staff friendly helpful . 
 Nov 13 2009 	 small room great location 	 boyfriend get special deal hotel think price great 4 * hotel Kensington . room small modern nicely decorate clean . location hotel excellent , minute walk Kensington High Street Tube station . great pool fitness facility available . 
 Nov 13 2009 	 nice place stay ! 	 read previous review hotel staff rude ... case , we , friendly . also one reviewer write place worn , perhaps 's time new carpet .. see falt . room small ( typical Europe ) clean cozy . shower great ! ! hotel locate nice area , short walk tube , Kensington High Street great shopping . 1 block away great place breakfast . 's call Muffin Man , nothing fancy ... good , cheap food ! stay ! 
 Nov 12 2009 	 good hotel great location . 	 sure previous reviewer talk . return 3 night hotel . sure room small side ( not apply almost hotel London ? ) overall , good hotel great location . go expect 4 star , may disappoint . however , sell good 3 star , frankly can not think well 3 star stay . regular traveller London , believe , one well hotel category . 
 Nov 9 2009 	 aware - stay hotel belonging might disappear nothing do ! 	 use vip deal Kensington Close Hotel stay every time London . unpleasant situation belonging disappear form room . hotel ' Management take responsibility thing worth couple hundred pound . claim fallowe procedure deal case completely ignore . advice traveler – avoid Kensington Close Hotel ! ! ! 
 Nov 9 2009 	 tatty slow dissapointe tired - look elsewhere ! 	 arrive front door see tatty , dirty dust rug suspect would dissapointe four star bargain . this tired 3 * hotel , dress four * . executive room upgrade barely big enough swing cat light poor recommend take torch want adjust AC shave . tray tea coffee welcome , could discover plug kettle ! bedroom refurbish , although monkey paint brush would make well job . sure clean bed fairly comfortable although Sky Satellite TV standard . bathroom however different age - early 70 's guess . standard tub , good shower tatty tile mirror ( without light ) need resilvere . I be say enjoy complimentary continental breakfast . coffee arrive weak tasteless , croissant anemic white fat make ( know type taste grease rest day ) , muesli resemble floor sweeping lot add sugar . unpleasant smell fred food egg hane air - like canteen restaurant . want travel back time order experience bad 1970 's British Hotel stay - will not dissapointe ! 
 Nov 6 2009 	 small room good value 	 little concerned read recent review . check - in efficient friendly . the walk room long corridor report other carpet past good paint woodwork could touch up . the room small big enough one adequate two . the fixture , fitting furniture fine . comfy bed , good size desk , tv , coffee / tea making , personal safe etc . bath room great shower full size bath . every clean . there strong WiFi signal service slow usable . mobile broadband 3 network work well . breakfast standard hotel buffet fare . ' ve well , not bad . coffee excellent . the bar roomy comfortable lot tv screen show sport . lunch conference attend poor . nothing label query try determine food vegetarian answer - & quot ; potato salad sandwich & quot ; . sandwich egg squeeze amongst meat round . check quick queue - even 9am . all bad , consider pay £ 89 per night double room actually good value London good considering locate Kensington . would stay . 
 Nov 1 2009 	 great location small room 	 half block Kensington High St. 's shop Tube station . short bus ride Albert Hall 3 major museum . clean , tiny . one side double bed wall , make awkward midnight potty run . must stand sideways bathroom . can not take 3 day include breakfast . 
