consistently 	 stay Hotel several time , use call Royal Lancaster , every time without fail make feel welcome . carefully rehearse corporate greeting chant every client genuine personal professional interest Guest right time arrival eventual departure . if lucky enough get room overlook Hyde Park view across London spectacular , especially night . the location central one tube station within yard / metre hotel entrance . also nice able walk Park Oxford St Knightsbridge shop , even Royal Albert Hall . also livery stable yard close wish ride Park . I would choose Nipa Restaurant alone ! 
 bad value money 	 small bathroom , small superior room , poor continental breakfast ! ! ! 
 good stay 	 stay one night happy . room smal clean good view 10th floor . staff friendly helpful . a good base sighseeing walk Oxford Street Hyde Park Harrods . intend see Winterwonderland tell tacky not go end . room breakfast charge high £ 24 head walk Jarvis Ramada 20 minute walk pay well rate £ 15.50 each . we park opposite Ramada Euro car park . £ 15 24 hour Sunday morning pay £ 10 twelve hour . I recommend stay Lancaster London . 
 Nov 23 2009 	 fantastic hotel ! ! ! ! 	 stay one night . location excellent enjoy central London . staff friendly helpful . everything clean . would recommend hotel everyone . 
 Nov 20 2009 	 great location . 	 hotel overall good would stay . several good point , location excellent . staff friendly helpful . quite unusual London ! room clean comfortable . one problem trip breakfast second day weekend stay . hotel quite full staff could cope volume people . wait long time food replenish buffet . sort hotel would excellent . 
 Nov 16 2009 	 Perfect point 	 enjoy stay Lancaster London sporadic stay last year , fairly say definitely good money value hotel stay among ton hotel across Europe . regard price book negotiate price help , even regular price , London still great location , good service , firendly staff , excellent food ( breakfast buffet high quality plenty choice ) room always excellent view . it suit business traveller ( 5 min walk Paddington 15 min train ride Heathrow , city quickly reachable tube ) , tourist ( 2 min walk Hyde Park , 15 min walk Oxford street 20 min Notthing Hill . even less tube ) .Enjoy . 
 Nov 11 2009 	 great location 	 stay 6 night Lancaster London . location terrific - block Hethrow Express right near tube system . great view Kensington Park firework display Rememberance Sunday . continental breakfast come package always good , upgrade english breakfast available l2 worth . block away great pub , restaurant fish place eat breakfast , lunch dinner not confine hotel - go explore . complaint housekeeping staff seem think everyone room l0am even weekend would one two quick knock opening door chance respond . Guess remember put privacy sign every evening go bed . also - watch telephone charge - ask give price & quot ; local & quot ; call . not think cell phone call London not consider & quot ; local & quot ; price 3x per minute quote . internet place block away not need pay hotel internet fee either want check email . nice place first trip London think interesting place tourist stay business type . enjoy ! 
 Nov 10 2009 	 wonderful ! 	 husband spend honeymoon Lancaster London . stay suite overlook Hyde Park view fab , centre London overlook acre greenery ! champagne strawberry arrival - bliss . location great , ten minute walk Oxford Street . staff friendly welcome hotel fantastic . 
 Nov 9 2009 	 nice room 	 hotel comfortable . park view room enjoy . 5 minute walk Paddington Station ( Heathrow Express ) . hard time find hotel exit Lancaster tube station . , actually adjacent tube station . staff helpful . nice map stamp available purchase . 
 Nov 8 2009 	 great service ; great location 	 stay start w/ doorman volunteer loan we money pay cab b / c large bill & amp ; driver not change . doorman become main man everything week - long stay . room great & amp ; look Hyde Park . Tube around corner & amp ; wonderful cafe across road tea coffee afternoon evening . husband mad egg Benedict Island restaurant hotel . staff attentive detail great stay . Wished could stay second week book . 
 Nov 7 2009 	 fade beauty 	 impressive look hotel locate hyde park , block paddington station ( direct train heathrow ) , tube station right building . close hotel , several nice reasonably price restaurant well expensive one . look place stay business city , want close touristy area , hotel serious advantage . check - in procedure fast , room small , adequately furnish four star hotel . view room stunning . stunning , mean stunning - city big ben beyond . morning late night , sight stunning.with perfect location , first rule successful corporate strategy capitalize strength - lancaster . bathroom cramp . one idiosyncrasy bathroom lack cold water . arrive parch trip , want drink water ... cold water ..... hot . mean hot . tepid , HOT . let water run 5 minute , water still hot . ten minute .... guess right ... hot . course , check difference cold hot water tap .... produce hot water . fun begun.the internet connection work . , make work somewhat & quot ; constrained & quot ; . offer free pass business center , one day would work fine , last several day . day , engineer visit room fix , could . hotel full -- -- nowhere move hotel . annoying hot water cold water tap ..... service ok . room clean . location great . hotel need substantial improvement remain competitive ..... compare hotel stay london past 20 year , rank somewhere low end 4 star range . 
 Nov 6 2009 	 Fantastic Hotel Fabulous Location ! 	 welcome farewell , four - day stay Lancaster London create wonderful memory possible London two adult child . staff friendly anxious help ; bed comfortable clean , view corner room 13th floor offorde 180 - degree view magnificent city . marble Arch speaker - corner comfortable walk along boundary Hyde Park across street fron Lancaster . conceive delightful place stay ! 
 Nov 1 2009 	 Fantastic Hotel wonderful friendly staff 	 fantastic stay Hotel ; get complimentary room upgrade ( thank Mark reception ! ! ! ) top ( 18th ) floor give we stunning view Hyde Park London . choose Hotel cheap 4 5 hotel area therefore expect slighty shabby outdate , wrong ! ! could fault hotel whatsoever , staff wonderful , helpful , friendly always smile face , room spacious , bed one well sleep . stay include breakfast find wonderful Deli Bathurst Street ( Bathurst Deli ) adjacent hotel delicious full English breakfast £ 5.95 London find amazing value ! ! . thank staff Lancaster wonderful stay can not wait return ! ! Mark Kelly , Hertfordshire , U.K 
 Oct 30 2009 	 convenient location good price 	 stay stopover London . arrive Eurostar leave Heathrow want somewhere accessible Tube & amp ; Heathrow Airport rail . hotel build right Lancaster Gate tube station hundred metre Paddington station Heathrow Express depart . ( tip- take Heathrow Connect train . take 10 minute long less half fare Express . leave Paddington Station ) check - in take little arrive 1.30pm would busy time . aside , staff friendly helpful . room 12th floor great view Hyde Park . roomly decent size bathroom unusual London . get room service twice always prompt . the room rate great . book direct hotel seem give good deal . thoroughly recommend . 
 Oct 29 2009 	 Fantastic ! 	 spend last weekend ( wish month ) hotel . staff welcome friendly , especially two young child . give suite 15th floor overlook Hyde Park view London Eye . ' problem ' huge flat screen tv ( not house ) incredibly beautiful Hyde Park doorstep , child would far prefer go morningtime TV Hyde Park ( ! ) back eveningtimeTV ! weather magnificent spend hour Park . wish could stay Lancaster London ever ! many thank staff . 
 Oct 26 2009 	 Great Location top service good value money 	 Lancaster Hotel well locate front Hyde Park , surround restaurant shopping street . would recomend room high floor offer great view . room spacious elegant classic decoration . room quiet offer good facility top bathroom amenity . service first class , helpful attentive . regard restaurant , would highly recomend Thai restaurant lunch dinner . cosy classic lounge bar fire place . really enjoy buffet breakfast view park . 
 Oct 24 2009 	 superbly locate Hotel 	 stay Royal Lancaster 3 night . lovely room 12th floor city view overlook London Eye Post Office Tower . room modern big comfy bed , tea coffee make facility , flat - screen tv spotless clean bathroom complimentary toiletry bathrobe . staff reception , concierge , doorman extremely pleasant helpful , able checkin online Business Centre flight back home . book room , breakfast Island Restaurant first morning . full English Breakfast cost £ 23 per person , although delicious beautifully present , think expensive side . find cheap eat manage get breakfast £ 10 we around corner Spring Street . good thing hotel superb location , across road Hyde Park . Lancaster Gate tube station ( central line ) hotel , walk Paddington Station 5 minute . overall good experience staying would definitely use hotel return London . 
