always 	 second stay London Elizabeth definitely look stay . deny tired shabby place chip crack . clean comfortable character . first room quite small must happy book next London trip room last weekend spacious two armchair , fireplace , desk wardrobe . street noise time not really bother we . room warm hotel ( air conditioning not turn ) . tea coffee facility take travel kettle etc , fridge find ledge outside window put milk . location brilliant , ( google , street view ) , bus stop outside , second away Lancaster Gate tube minute walk Kensington Gardens , minute Hyde Park . ( mid fifty ) easily walk back Royal Albert Hall ( take fifteen - twenty minute ) . staff meet friendly , check staff brilliant helpful . lovely pub around corner call Swan . Breakfast come room occasion bread roll stale , cereal , tin fruit , yoghurt fresh blueberry muffin . croissant , pastry brioche not ' comment freshness . add breakfast last time ( end June ) much well . time though , two we , breakfast not cost £ 80 everything price ( London ) bargain . afford pay , maybe , budget , would definitely try . 
 Nov 24 2009 	 Lack security 	 stay two night late sept 09 . attend meet London 30th decide leave laptop room 4th floor . place laptop bottom suitcase clothe . return hotel around 8.30pm , find laptop steal . force entry room indicate ' inside job ' however strenuously deny hotel management . the owner management unhelpfull offer recompense loss offer £ 100.00 free night accomodation , badger relent refunded cost stay . £ 1500.00 laptop long . warning leave valuable hotel . 
 Nov 17 2009 	 Staff pleasant would definitely come back hotel 	 staff really make hotel great . friendly accommodate . cute bar , right across street Lancaster Gate tube station park . room service prompt , tasty expensive . would stay - thank travel agent booking . 
 Oct 20 2009 	 fine old hotel 	 stay victorian room . the room spacious . large London standard . the free internet great free continental breakfast filling . the front office staff great helpful . good sense humour exemplary attitude . the location hotel convienient within walk distance paddington station overlook Hyde Park Lancaster gate underground station 100metre away . highly recommend . ( anyone find fault hotel look hard enough . if do not like traffic noise ask back room face street ) however want reasonably price hotel great location excellent staff Elizabeth worth consideration . 
 oct 2 2009 	 good hotel room maybe bit small excellent location 	 2 friend mine stay hotel december 2006 christmas day . the room big could still move around bed stuff . bathroom big enough . the elevator tiny ! ! rather take stair suitcase even try get elevator ! Location Hotel right next Hyde Park subwaystation ( much big elevator ! ) spot . shopping not far walk either . 
 Sep 27 2009 	 good base visit London . 	 regular visitor . staff meet friendly helpful . get impression really want enjoy stay . Convenient Paddinton Station . close Hyde Park , many Camra pub , bus stop , tube . ( ask quiet room ) . 
 Sep 5 2009 	 fantastic taste London 	 partner stay June 2009 first overseas trip together . read review book , would agree hotel great value money . 's fantastic location , something partner consider important . it literally across road Lancester Gate tube station efficient travel around London taxis . the hotel give lovely taste London , however overly flashy . room small quite basic . deal hotel . breakfast also basic . if return would likely stay would definately recommend family friend look accomodation reasonable 5 star . 
 Sep 1 2009 	 think carefully stay ... 	 willing compromise quality accommodation location maybe place . bathroom water damage ( complete rot wood around hand basin , bath bathroom door ) . ask change another room tell one room available one well condition . room G19 . seek refund stay - extremely poor . someone else mention Faulty Towers review - agree absoutely faulty ! 
 Aug 29 2009 	 definitely recommend hotel 	 cleangreat location : cross street Hyde Park , cross street side be Lancaster Gate tube station , stop away Marble Arch , follow Bond Street Oxford Circus station . professional staff , get advice go get map guide . free Internet AccessWhen get warm , rent AC hotel suitable single people family alike . feel like home would definitely recommend reader . 
 Aug 15 2009 	 great location Edge Hyde Park small room . 	 young couple mid 20 's & amp ; stay london Elizabeth Hotel 1 week first move London Australia . hotel locate great location across road Hyde Park & amp ; close Lancaster Gate Tube Station . room awkward triangular shape & amp ; cosy . heat good , bed comfortable bum fridge . nice spot . small lift . free wi - fi . 
 Aug 3 2009 	 never 	 originally book stay 7 night check one night - double deluxe room . pity poor guest standard room . plus side , hotel great location , average breakfast staff try . however , negative far outweigh positive . old townhouse hotel potential however emphasis ' old ' . throughout hotel woodwork paint badly chip , wallpaper peeling , bed linen old upholstery threadbare . hotel tired shabby - ' not shabby chic ' appear dark bit seedy . lobby & amp ; bar dingy dark . major issue , especially someone travel business , poor internet service . take hour get online require assistance front - desk staff external technician . tell computer see other line lobby laptop also try get online . hotel badly need serious refurbishment , upgrade general TLC . could stay , , many nice place stay London . 
 Aug 1 2009 	 love ..... 	 party two adult 2 child stay London Elizabeth 4 night . reserve family room show cramp , hot room 4th floor smell strongly bug spray . lift break ( condition continue 2 day ) , hot London time , room air conditioning . however upon complain , staff could not nice . let we choice family room either 3rd 2nd floor ; pick 3rd room . four twin bed room walk , ample bathroom plenty hot water . however , room still hot . worry ! supply portable air conditioner , cool thing nicely . hotel charming , rather shabby - chic , distinctly reminiscent Fawlty Towers . half expect John Cleese come trip reception room moment . thankfully , Sybill nowhere sight ! treat superbly entire stay ; desk manager even arrange light breakfast ready we cozy lounge 4:30 a.m. , could something eat early tunnel train Paris ! honest , none we mind trudge beautiful victorian staircase couple day lift operational . fact , child love . ( rest we benefit exercise . ) fond memory stay London Elizabeth . location could not well ( tube station literally across street ; bus stop front door ; wonderful pub food around corner Swan ; sundrie next door . ) delightful ! 
