Excellent 	 wife recently stay property one year old . say enough wonderful service . hotel well manage , staff extremely pleasant professional . could get within 15 ft stair someone help we stroller . area close 2 large park adjacent metro stop . grocery across street several restaurant close . arrive early staff take we lounge brief stay room ready . regular marriott business traveler , use lounge . one nice compare . room clean well appoint . would definitely stay . 
 Terrific Service Interesting Neighbourhood 	 move hotel 3 night October 2009 stay London , attend business meeting . use Marylebone Station hotel put within walking distance early morning start . also business account , budget increase personal one . moment enter lobby , apparent enter luxury hotel . ratio staff clientele increase three - fold previous & quot ; leisure & quot ; hotel . decor beautiful service warm inviting . give early access room , even though expect store luggage . room clean , stylish comfortable , seat room previous hotel . I use business centre daily find quiet . question download view file , always helpful staff member nearby find answer ( not make feel silly asking ) .The neighbourhood interesting , lot arabic restaurant shop . coffee shop across corner , case want venture hotel 's restaurant . also particularly good restaurant call Beirut Express around corner , phenomenal food . course , Oxford street two block away , load shop fast - food place . near tube station within two block hotel well - locate lot interesting walk nearby . 
 Nice Hotel easy taxi ride airport Heathrow . 	 get taxi Heathrow Marriott £ 38 www.heathrowminicabs.com Tel [ -- ] get easy walk many tourist spot London 
 Nov 21 2009 	 great value tiny room 	 stay 8 night wife 15 - month old . great value pay - especially Marriott Gold status free breakfast lounge buffet . complaint service - good . big issue size room - tiny . not see accommodate one person room . location good , great . 's decent walk tube station , Edgware Road near give good option food grocery . 
 Oct 28 2009 	 Good Value nice room short taxi anywhere 	 one good value could find , room large , share group 4 2 double bed reward club floor , internet access breakfast , lunch snack . 
 Oct 21 2009 	 Jolly Good 	 return 1 week ( 7 night , 8 day ) stay London Marble Arch Marriott . hotel fantastic ! room king size bed 1st floor right two we . would return heartbeat . wish money vacation time come back ! info may value fellow traveler : -closest tube station Marble Arch Edgeware . plan shop along Oxford Street , Marble Arch stop use directly Oxford Street.-No coffeemaker room . hot water kettle . , coffee lover , may disappointed find instant coffee . , London londer ... make cup tea milk sugar ! need coffee , rest assure coffee shop close satisfy need . Pret Manger , Cafe Nero , Starbucks everywhere . Cafe Nero location block 2 away hotel.-No refrigerator room . request mini - fridge ( free ) .-Tap water good ! know , odd comment make . , live CA people ( include ) picky water . , pleasantly suprise enjoy tap water , use make tea refill water bottles.-safe room . easy use.-no free WIFI . free WIFI outside hotel , incidentally title & quot ; Free Public WIFI & quot ; work fine.-Bed comfortable pile pillows.-hot water shower amazing ! stay hot long time heat quickly.-shampoo , body gel , lotion , soap , shower cap provide . conditioner . bet available upon request , bring , never ask . -The front desk bellman bring luggage room . certainly bring room . , use bellman , remember tip 50 penny per bag . remember thing , add review . , hope chance go London experience great Marriott service fine hotel . Cheerio ! 
 Oct 20 2009 	 hotel conveniently locate clean modern helpful staff . 	 stay hotel four day like convenient location one block walk London 's great bus system five block walk Tube station right Marble Arch . beyond Marble Arch Hyde Park Mayfair district . read previous review hotel locate & quot ; little Arabia . & quot ; correct statement lot middle Eastern restaurant coffee house nearby . neighborhood also great melting pot people street race ethnicity . everyone friendly helpful . hotel modern clean . room small extremely comfortable king size bed . not spend much time room many wonderful thing see London . hotel 's buffet breakfast great also delicious lunch . book hotel Marriott Rewards website get excellent rate ( average 150 pound per night ) . definitely would stay again . the recommendation nearby italian restaurant early hotel review accurate . restaurant call Biaggi 's 's two block hotel . fantastic food ! 
 Oct 11 2009 	 Love Oxford street 	 young family four kid 9yrs , first trip London , stay Marriott Marble Arch . close Oxford street , seem many many shop . great street lot shopping . however , run time be able explore shop along street . come back , stay close street 
 Sep 18 2009 	 Wonderful Centralized Location 	 location near Marble Arch Tube Station ; be approximately six block away one block away Edgeware Road would like take bus . Notting Hill tube station stop away west . Hyde Park near like shopping , Oxford Street Regent Street also nearby . love location would stay heartbeat ! 
 Sep 16 2009 	 lovely quiet yet near enough go 	 lovely honeymoon hotel , even put bottle champagne strawberry room . nice size room clean . like location , ten minute walk tube , easy get edgeware road walk marble arch . plenty place around eat , get coffee . find staff helpful friendly , book issue resolve immediately.did not breakfast hotel , lot place within ten minute walk eat drink . 
 Sep 11 2009 	 well bad Marriott 	 oddly , Marriott Park Lane close Marble Arch Marriott Marble Arch . slightly far Edgeware road consider one well locate hotel central london , bad . selfridge probably 15 minute walk away . hotel due location around Edgeware road popular visit Arabs get fully book July September . stay work quite bit room , feel quite hot lack fresh air . food bar ok nothing great service everything exceptional slightly lazy . however , never point regret stay . overall good hotel business need holiday experience . good rate hotel seem search via www.getroomscheaper.com peak time room rate expensive . 
 Sep 2 2009 	 excellent stay marriot . 	 return two day trip london son 's birthday . really enjoy stay hotel find staff extremely professional would go extra mile . room fine area hotel situate wonder would like read review 's infact feel safe walk around front street quite late night shop still open . breakfast fantastic evening meal restaurant lovely , eureka waitress serve we outstanding . good hotel professional friendly staff ! ! ! really enjoy stay ! ! 
 Aug 28 2009 	 Great Hotel Poor Location 	 arrive taxi train station . lovely hotel , lobby lot security personal hang around . everyone nice helpful . room would expect . walk onto Edgeware Road transport Little Beirut ( put nicely one store call ) . never feel unsafe walk street tube never feel comfortable . evening lot people hang restaurant smoke BuKa . felt well walk thru residential area . local pub opposite direction Edgeware Road best ITALIAN restaurant two block south Hotel Edgeware Road . 50 year . lots grocery store way tube . next time London would stay somewhere else save penny take taxi sightseeing location . Americans -coffee maker water heater instant coffee . 
