Marriott 	 get back hotel . disappointment . Website represent 5 star hotel , claim robe slipper room , turn service daily newspaper . none prove true . website feature hotel look contemporary well keep . room assign small ( web say spacious ) need renovation . carpet almost bare , wallpaper dirty wood work bang . bathroom small door could even open wide would hit toilet 1/2 open . service spotty . several time come back room still dirty glass replace . we charge 3 pound print boarding pass . never hear ! good thing hotel location fabulous . neighborhod great walk around . one friend employee Marriott subsidiary . ask pay upgrade partner celebrate birthday . tell hotel room available - right ! not even offer complimentary breakfast . glad not work Marriott chain ! not go unless not intend spend time room . 
 great reliable hotel experience . 	 travel often business enjoy Marriott London Grosvenor Square . hotel comfortable nearly standard amenity . hotel gym small pool surround area safe outdoor cardio easy . hotel also convenient lot restaurant , shopping , tube ' m work . criticism wireless internet connection flaky hotel restaurant / bar easily accessible . want get drink nosh hotel bar long day , likely find pub restaurant ( Maize ) book , even bar stool . 
 Nov 13 2009 	 great Stay Grosvenor Square 	 great hotel really good location . quite spot , far walk Picaddily Circus . maze great restaurant , sure make reservation early , fill . room nice , great bed , nice large bathroom . overall wonderful stay would definitely stay London . 
 Nov 3 2009 	 complete disaster cause noisy function 	 arrive hotel . concierge suggest park car 's point valet ? tell would noise ballroom 11 pm request room change quiet room . return room midnight noisy function still . tell mistake banqeting . Staff promise quiet function still 1.15 . could not sleep ask car eventually valet car park 500 yard away . tell no - one insure get car leave hotel look leave behind smirk front office staff ineffectual duty manager uninsure hall porter . RECOMMENDATION stay cheap guest house rather Marriott park car will get well service . 
 Nov 1 2009 	 royal stay London 	 first trip London please location proximal many sight easy access transportation . lovely hotel , spacious room many ammenitie include warm towel rack , immense shower head , bathrobe slipper . bed king size , comfortable white , clean crisp sheet . staff friendly efficient helpful take care issue quickly . would recommend hotel highly would definitely stay . 
 Oct 18 2009 	 Fab Hotel Excellent Location 	 recently return Marriott Grosvenor Square Hotel stay two night attend conference awards gala dinner husband . check swift receptionist friendly . our room lovely - nicely decorate , clean enough space . bed huge comfortable bed ' ve sleep - downside pillow soft . bathroom small eveything want . hairdryer also room . lot wardrobe space , also iron iron board . also electronic safe , tea coffee make facility mini bar room . mini bar expensive . husband contact reception tea coffee stock bring within minute request . duty manager contact make sure happy everything . we book breakfast Maze restaraunt include price . breakfast amazing - lot choice - well present attentive staff . husband go sightseeing whilst attend conference . hotel excellent location able walk many famous sight ie Buckingham Palace , Houses Parliment , Downing Street , London Eye name . round corner Oxford Street , brilliant shopaholic . Bond Street tube near tube station , travel back king Cross find easy walk Oxford Street tube not change tube . several little restaurant round corner hotel . eat Bella Italia first night - food fantastic , atmosphere . only downside hotel expensive bar - bottle beer vodka tonic come £ 16 thought excessiv , even London price . overall relaxing time London make special friendly staff could not enough we . would certainly go back . 
 Oct 18 2009 	 disapointing breakfast ever 	 go go breakfast , see Gordon Ramsey 's name restaurant , pretty excited . buffet offer , ala carte item . order French Toast . four flimsy piece bread came ever see . meal come tape Hell 's Kitchen , would thrown kitchen ! serious rip off . location great . room clean . music blare 1 . 
 Oct 17 2009 	 superb location great value service -- highly recommend 	 would highly recommend Marriott London Grosvenor Square Hotel . stay 7 night enjoy stay immensely . room quiet , clean spacious -- wonderful oasis calm return full day evening museum , concert , dining explore London . ( upgrade superior park view room love ) staff extremely professional concierge helpful every way ( Harry especially ) . love neighbourhood Allens across street great breakfast latte Bella Italia street excellent value meal , open til late hour . Grosvenor Park lovely worth stroll . ask room upper floor overlook Park . hotel 's location amazing -- -very classy neighbourhood accessible everything might want visit . stay well . many thank . 
 Oct 12 2009 	 keep come back ! ! 	 stay 4th time 7 night . use reward point . nice room 4th floor overlook Duke Street . nice always . Barley Mow pub next door good place relax , fish chip etc . central everything . run Hyde Park every day close . little store across street nice snack etc . room service expensive . use . lot restaurant close . food court selfridge great snack room . coffee bar across street . plan next trip continue come back . 
 Sep 27 2009 	 Marriott Mayfair Maze 	 stay business accompany wife partly also wed anniversary . ideal location Oxford street Bond Street surround restaurant Gordon Ramsey 's Maze within building . we Club room patio garden within hotel 's central courtyard . semi - private quiet outdoor space Mayfair ! ( admittedley overlook many room ) room & quot ; contemporary designer & quot ; style recently do ( 2008 ) . wall bathroom bedroom slide bath full view bedroom sit area desire ( actually full length bath would practical less noteworthy . there executive lounge Club room wish pay , provide complementary drink snack day honour bar alcohol day night . breakfast excellent ( smoke salmon scramble egg serve daily never 10 people present . maze restaurant seperate business within structure building & quot ; food art & quot ; £ 60 seven course taste menu , good value ( blt sandwich actually semi - liquid glass ! ) . excellent Bella Italia 50 m away also full eat ( £ 10 per head ) .The downside function room transmit noise thru airconditione vent ground floor premium Club room . Indian Wedding Bank holiday Sunday midnight could live follow Wednesday bar mitzvah 12.25am . manager respond promptly complaint offer good discount must cause big problem . specific book want quiet room , tell noise effect upper floor . 
 Sep 26 2009 	 over - price nickel - and - dime ripoff ! avoid ! 	 even London 's Pret - A - Manger outlet offer free WiFi / internet day . yet Marriott want $ 15 pound day ( say $ 26 usd day ! ) in - room internet connectivity . free internet access lobby . forget business center - expensive ( know additoinal charge accrue ' ve wander business center ) . greedy Marriott want 5 pound per minute make local call ( somebody 's local mobile / cell phone ) . ' m appalled . begin cover massive , obscene list nickel - and - dime ripoffs Marriott . number reason , along number dimension , * * like Marriott property U.S.A. Beware ! property work like one big mini - bar . beyond nefarious ploy extract additional dollar / pound , Marriott problem every dimension . request Taxi one day . doorman tell we hike Oxford street flag one . great ! not see get away call Marriott . suppose kind Marriott management gap due Atlantic Ocean . maybe get slack since really nice location ( Mayfair district - near U.S. Embassy Grosvenor Square ) . careful use Marriott reward point stay . , stick old / small room , remove any / all breakfast option , fail deliver morning newspaper ( everyone else get ) . even worse , claim sort super - exclusive , high - end Marriott ( level 6 something ) . not fool . basically Holiday Inn Express - ridiculous panoply ploy soak customer endless pound / dollar . amaze call Marriott . U.S. , ' ve never problem Marriott property . London , would rather try Lanesborough Hotel . not see room , English Tea Service spectacular . right Knightsbridge ( next Buckingham Palace , Wellington Arch , Hyde Park Wellington Museum ) . 
 Sep 24 2009 	 Great Location 	 Great Location , walkable city centre shopping sight , room tad small comfortable clean . have one comfortable bed ever sleep in . breakfast good , though room service overprice . Front desk concierge freindly . overall Good ! 
