mediocre 	 good thing hotel price receive Orbitz ( $ 160 / double inc vat ) . location near tube keep mind tube extensive renovation , extremely crowded day , may run weekend . , take tube hotel Heathrow . easy trip -- hotel directly across Gloucester Rd tube station -- virtual nightmare due overcrowding tube . literally stand one foot part way insufficient floor space . District Cicle line -- also across hotel -- close weekend . hotel particularly close many tourist attraction exception Kensington Palace south Kensington museum . look like straight shot th Tower London require we ride 4 different train . beware review extoll easy access tube . also could find satisfactory breakfast spot nearby . hotel want $ 25 continental breakfast nearby spot mostly bakerie coffee shop . want reasonably price , old fashioned English breakfast close hotel , good luck . room small , par course London guess , although recently seem trend toward large room . apparently trend yet reach Baily woefully inadquate drawer space . husband use small drawer availiable live suitcase . hotel claim room service idea two people could eaten room . floor ? plumbing also issue . husband force use public bathroom would decide flush day . occasionally wonder pay private bath take lift 4 floor use lobby facility . hotel ok price fine guess , although always deal available stay much nice , convenient hotel price . 
 Excellent hotel miss extra touch 	 Bailey 's excellent hotel , authentic english atmosphere charm , great location across street Underground . give four star , be really four star minus . time little extra touch miss : one receptionist make line short , one maid room clean would thorough instead leave something day , one doorman would actually someone door , etc . room nicely furnish quite comfortable , unmistakably English . way , hotel difference room category really make difference , avoid really small entry category room spring high category ( top category non - suite room huge , even american standard ) . buffet breakfast quite good room rate include ; otherwise try starbuck dozen place across street . 
 Felt like home ! 	 return 7 day stay Bailey . first , say , location great ! wonderful walk underground hotel directly across street . could easier get back Heathrow . splurge Deluxe Room ( L119 ) include internet stock wet bar . nice additional item purchase local Waitress Grocery . room spacious comfortable . want feel Old World exactly get . bathroom quaint wonderful deep tub towel warm ! room , 322 , end long hallway quite entire stay . cold , wet day always nice get room feel right home . staff check , concierge , maid service pleasant efficient . question answer smile ! could please stay . even receive special desert upon arrival celebrate 20th anniversary . area around hotel wonderful . family orient within walk distance many resturant , grocery store , ATM . husband go Cafe Forum every morning coffee free croissant . , location underground perfect get various part London . we would highly recommend hotel one strongly consider get chance visit London future . 
 Nov 2 2009 	 Perfect stay beautifully perfect hotel 	 fancy bit luxury trip London , book Bailey 's reading review . disappointed , friendly helpful staff able accommodate we even though arrive good hour prior check - in time . stay one night deluxe room ( room 407 ) . room big hotel bedroom stayed nicely decorate , nice view shop bar across hotel . the Bailey 's literally step away Gloucester Road underground station ( not hear sound ) 's closeness underground stop real plus we find foot around London . unfortunate travel make bit difficult engineering work line closure ! GORGEOUS meal ' Olive 's ' restaurant hotel , great value chocolate fondant die ! - staff helpful go way answer question local area . lady ( assume restaurant manager ) lovely helpful . hope stay soon , one night ! - thank give we lovely stay . 
 Oct 26 2009 	 good hotel good location 	 ' ve stay hotel twice . time experience pleasant . room spacious , staff friendly helpful . one occasion door lock break , promptly relocate within 30 minute get free drink wait . sample breakfast restaurant . breakfast 's decent ( sometimes busy ) cafe block hotel , bit Gloucester Road . 
 Oct 26 2009 	 great Stay Bailey 's . . . ! ! 	 stay Bailey 's 11 13 October 2009 . second time Bailey be every bit good first time ! book hotel 's website get good rate ( $ 160 ) pay last time 2004 . worried would not able afford stay Kensington time around Bailey 's come ! location worth price . take tube EVERYWHERE ! husband alone day Monday . spend day Tower London go tour BBC visit Beatles site . Tower London direct trip husband train finally arrive ( Circle Line ) not take long get BBC even though change Central Line . switch Jubilee go Abbey Road switch several line day not trouble . favorite pub , Bear & amp ; Staff near Piccadilly Circus straight shoot ! get Heathrow breeze ! love Kensington area . many good coffee shop , restaurant , store , etc . , 's good area go walk . Loved Waitrose ! empty crumpet take back home ! leave Tuesday afternoon feel like leave good friend . would stay Bailey 's ? bet ! 
 Oct 23 2009 	 Nice hotel great location 	 stay 4 night early October . tube station small mall grocery store right across street . V Science Museum within easy walk distance . several place breakfast within block . dinner nice Italian Restaurant indian restaurant within couple block , although probably 20 restaurant 3 block could eaten . little nervous street noise disturb even busy bar across street . arrive early morning offer room upgrade want check right away , decide keep original room low rate large room airshaft street . hotel look lottle wear , happy 
 oct 22 2009 	 Location Location Location 	 London visit daughter study abroad . get good price hotel 's website , take mid - level price room . room spacious ( european hotel ) , quiet clean huge bathroom . Midway stay big ceiling leak bathroom ( flood bathroom directly upstairs ) . hotel personnel respond immediately call . need relocate first room offer small miniscule bathroom , second almost equal trade , prompt husband upgrade wonderful room enjoy rest stay . prepay online internet order get small discount outrageous 20 pound per day hotel charge , find free wifi network accessible hotel room . also free wifi many local coffee shop . location hotel wonderful -- right Glouchester Road tube stop Kensington . direct access tube Heathrow , easy access everywhere London , Kensington great neighborhood restaurant , shopping , etc . would return end trip desk personnel inflexible ( perhaps unauthorized , perhaps ) set rate equal one get online offer less room substantially high rate originally pay could get online hotel 's website day . leave rest trip without make reservation stay elsewhere return London . would still recommend hotel location comfort somewhat reasonable ( view London price ) cost . hotel employee pleasant responsive helpful would stay . 
 Oct 21 2009 	 good hotel great location 	 Relaxing hotel , ideal location across road Gloucester Rd tube . small comfortable room , excellent presentation . one slight complaint price 14.50 continental breakfast quite steep . nearby cafe much less price . would stay . 
 Oct 16 2009 	 GREAT LITTLE HOTEL 	 daughter spend 6 day Bailey 's absolutely charm hotel . well locate , room great , large bathroom , clean , great deal money . top , easy access Heathrow airport via London tube system . also close many pub , restaurant , museum , park . , great first trip London certainly return Millennium Bailey 's Hotel . 
 Oct 13 2009 	 nothing bad say hotel . GREAT ! ! 	 mother stay Millenium Baileys Oct. 6th 12th . first trip Europe , enjoyed thoroughly plan return future ! upon arrival Heathrow ( via smooth AC flight Ottawa ) , lug luggage tube ( picadilly line ) , within time get Gloucester Road right hotel ! buy Oyster card ( good bus , tube , etc . ) ahead time snap get around moment set foot London . convenience ! though check 14:00 arrive early hour , able leave bag concierge go roam around . would recommend take big Bus tour ( 25 pound 24 hour hop on / off ) point something not do . would perfect way take sight fight transatlantic fatigue . regardless , make well check surrounding foot . check 13:30 give room 135 . first , somewhat apprehensive read review however open door , disappointment ! nice big room , two single bed ( comfortable bed ) , well appoint , big bathroom , heat towel rack = work ! grant , room bit date could use spruce reality , really nothing gripe . clean comfortable . all , hotel clean , service fine , room comfortable , hotel quiet ( yes , even squeaky floor ! ) . conveniently locate across street tube get anywhere , Big Bus stop also across street local bus # 49 . also within walking distance many amenity ( restaurant , pub , grocery store - love Waitrose ! ) .The Millenium Baileys charming place would absolutely recommend anyone head London look good deal . regret currently home rather still ! 
 Oct 8 2009 	 English Charm Great Neighborhood 	 hotel wonderful english charm . room show slight bit wear , nothing serious . hotel lobby , bar restaurant nicely decorate staff attentive friendly . deluxe suite hotel 's third floor quiet . hotel near many restaurant , include great Starbucks Pret Manger , directly across street Gloucester underground station . near Kensington Palace Hyde Park lot sight shop . 
 Oct 6 2009 	 Nice Hotel 	 find hotel well beyond expectation . old hotel ( squeaky floor ) , room clean , quiet well appoint . bed one comfortable ever experience hotel . bathroom quite spacious include towel warm , large tub , shower head , handheld shower sprayer immaculate tile floor wall . we two problem room ( heat safe not work ) . correct within 30 minute call . while hotel room far expect pay , restaurant outrageously expensive . choose eat myriad restaurant Gloucester Road . not choose breakfast option hotel - get cheap breakfast steak restaurant end block . also , use one internet cafe across street . hotel 's internet service expensive . the hotel directly across street Tube stop . also across street ATM , grocery store two internet cafe . there many 
 Oct 6 2009 	 Brilliant hotel ! 	 love Millennium Baileys hotel much would stay million time . location absolutely perfect Gloucester Road tube station across road bed comfortable not want get morning . staff friendly helpful . shower wall ( also one bath tap ) not work report lady reception fix within hour . amazed , whole thing pull apart ! look forward book room hotel London couple year . many thank everyone Millennium Baileys hotel help we pleasant stay London . 
 Oct 6 2009 	 hot water ? 	 third time hotel location good , rest much well place . second day showe work , mean hot water , shower possible ... even happen one star hotel ... internet 20 pound 24 hour ... rip 
 Sep 23 2009 	 Good Hotel 	 four night stay hotel . staff nice helpful although bit stoic . room clean , comfortable cramp . hotel right across street Gloucester station make easy get around town . Victoria Albert museum far walk . across hotel mini Tesco Express ( grocery store ) , pub ( serve decent food ) several place get bite eat . attach Gloucester station small mall store , couple restaurant large grocery store Waitrose . believe hotel internet available hotel not business center . however , use business center sister hotel right block . computer free internet certain site ( like airline , restaurant ) otherwise be 1 pound 10 minute access ( printer well ) .if visit London would stay Baileys without doubt . one exception perhaps try sister hotel block . 
 Sep 23 2009 	 not go 	 reservation section bad section ' ve ever see . not good customer service . go anymore . 
 Sep 17 2009 	 nice hotel 	 stay three day . would expect hotel standard . lot airline pilot . breakfast could die . much want hot . staff helpful . great stay . two minute Gloucester Road Tube . 
 Sep 16 2009 	 Great Location - Comfortable Room 	 stay hotel Sept - after fly overnight nice see hotel right emerge Tube . slight warning - there stair tube station . note tube- three tube line go Gloucester Road , one Airport two go main sight convenient . hotel clean two restaurant nearby quite good take out - indian Japanese . breakfast ( get include room ) good , fresh fruit , coffee , toast , etc . stay 405 , room not seem noisy . toiletry ( standard ) room hand soap , shampoo , body wash ( conditioner ) . room clean , bed comfortable , water pressure good . towel huge towel warm room . trunk baggage . people mention hair dryer closet front mirror big deal . staff relatively helpful , can not really answer many question . nice let store bag upon arrival leave . 
 Sep 14 2009 	 wonderful bed good staff - use internet cafe road 	 decide book room hotel meal restaurant , Olive 's , impressed friendly , efficient service quality food . get quite good deal though lastminute.com delight room . comfortable bed ( luxurious mattress topper ) large screen tv . two negative comment : peculiar toy cat behind Reception feel really place , charge outrageous amount internet access . internet cafe across street think must surely cheap . say , would thoroughly recommend hotel happily stay . 
 Sep 5 2009 	 Nice Hotel 	 spend one week hotel say good choice . convenience Gloucester Road tube station neighborhood restaurant welcome . staff attentive overly friendly , fine . floor creak , noticed walking . hotel need something noise casue door slamming . eat hotel restaurant , instead go several local eatery . room small , comfortable bathroom roomy . would recommend hotel other visit London , would definitely stay return London future . 
