great 	 overall satisfied , lobby make feel expensive hotel . room perfect , however wall thin , neighbour keep knock wall small noise room . hotel huge , morning breakfast area totally crowd - breakfast selection quite ok . 
 Nov 22 2009 	 stop moaning - price 's fine 	 read moan wonder people ever travel . I ' ve stay four time . location great ( other point ) - 's good hotel London price think great value . yes - room chilly heat poor ( old system guess ) , problem tv rectify maintainence man , plus room probably could refurbishment - £ 120 per night include breakfast , be really bad . as re tea bag ( another poster complain ) - goodness sake ! - Tesco 's Waitrose across road . go get . 
 Nov 14 2009 	 disappointing 	 recently stay hotel two night coach holiday local coach firm usually stay , good quality hotel . occasion let , agree reviewer negative comment . the room cool inefficient heating system fit purpose i.e 's large hotel & amp ; system totally wrong & amp ; inadequate . husband highly qualified gas engineer & amp ; usually sort fail heating prob , time . room overlook street & amp ; boy know . first check & amp ; walk room think someone leave window open , room cold & amp ; noise traffic horrendous . window seem ill fitting & amp ; triple glaze , could even hear people 's conversation street ! breakfast uninspire & amp ; COLD & amp ; well cool . course 's buffet style fine providing keep food warm , ' & amp ; although plate plate warmer like everything else provide heat hotel not . on first day ' do ' retail therapy look forward crash room cuppa head theatre . bad move , get back late afternoon room clean . credit housekeeping case straight away , however still course go & amp ; sit lobby do . check 11o'clock & amp ; facility provide leave luggage depart & amp ; privilege charge £ 1 per bag ! ! ! first we , stay many London hotel & amp ; never charge . courier happy & amp ; complain manager say would refund £ 1 plastic type shopping bag , big deal , small denim shoulder bag & amp ; refuse refund ! log complaint tour operator & amp ; tell feature hotel London / Theatre weekend would book . could ask move room other group find well & amp ; honest not time wait room exchange book tight schedule meet family meal & amp ; theatre . would recommend hotel . 
 Nov 5 2009 	 sound proofing - will not restful stay ! 	 paper hotel look great - close Natural History Museum , V & amp ; etc road Gloucester Road tube station would not reccomend stay . outside building look like 1970 office block room overlook car park bin . room not way soundproof unitentionally become intimate couple next door - head cough , burp , use bathroom even stir cup tea . long day sightseeing last hting need constantly disturb people 's noise . disappointing . 
 Nov 2 2009 	 Perfect Location 	 hotel close tube station three line , include one go directly Heathrow . nearby Waitrose ( grocery store ) , Starbucks , Tesco Express , numerous place get breakfast ( hotel breakfast pricey ) . neighborhood safe picturesque . hotel staff accomodate . would definitely stay ! 
 Oct 19 2009 	 Average 	 stay hotel 15th Oct. 2009 18th Oct , 2009 . read review go take lot notice always people complainbut regret take care . I ask quite room give third floor . room quite dark far central light , light bed . duvet wasvery light room rather cool . intend complain follow morning reception busy , . second night really feel cold speak reception follow morning . fairness , offer change another room decide stay inconvenience . theybrought blanket room send someone look air conditioning , hense make room warm . also toilet brush bathroom . I feel standard lamp extra blanket room start . on second night also re housekeeping twice teabag use night one replace . breakfast : consider average . juice fruit , fresh cannedand cereal , ok . bread slice variety toast also french bread seem rather hard end crossant . the fry smack conveyor belt variety . fried egg cook compartment taste like traditional fried egg . first morning one gone replace . rather large saucage , bacon bean , scramble egg little potato triangle , can not remember correct name nice . stay Ramada Jarvis February breakfast cook nicely , feel person cook mind . sence care miss Millennium . choose Millennium Glouster Rd Tube station convenience Piccadilly line Airport . on last morning telephone ring twice 7.40 a.m. probably mistake . get , shower fire alarm go . go breakfast fire escape . quite disturbing believe hotel full guess unavoidable . not think would choose Millennium Hotel . 
 oct 9 2009 	 nice hotel terrible service 	 let start begin -- checkin . make reservation Millennium chain phone ask Deluxe room . person speak tell would request large corner room tell make sure ask non - refurbished room new building . get , receptionist say room fourth floor ready , expect , . say have find one available fifth floor , take . turn small room old building ( old building smallerroom old fashioned sash window , new building large room floor ceiling window . go back reception ask diiferent room , one see picture reserve , tell room hotel , old building ( , could clearly see outside ) . way see large room new building clean , tell . keep deny room different room could move . tell would willing wait original room fourth floor , one large one . tell room would downgrade 5th floor . see floor plan room floor , ask could downgrade waqs one offer originally ? say something decor different , ask downgrade mean low rate , say could not already book room . see , woman make lie go along . finally , get angry , get give another room fifth floor new building , indeed much large . throughout , continued argue shout , concept customer service . now room notice air conditioning seem work , warm day room warm AC . send engineer reset everything tell thermostat would show low temperature room would cooler 15 minute . hour later nothing change , go . come back later evening , call , send another engineer , tell cool going get make strange story hotel shut AC evening neighbor complain noise . mind , large hotel take entire block .. day later , televison work , take 3 call someone come fix . another day , one cleaning staff break towel ring attachde bathroom sink . leave ithere top sink apparently tell one fix it . I suppose look comical way ( begin think stay Fawlty Towers ) , shame lovely hotel ( really ) marred fact seem concept whatsoever customer service . anyone apologize say sorry . 
 Sep 29 2009 	 clean comfortable convenient 	 stay Gloucester Millineum comfortable convenient . staff helpful hotel conveniently locate underground well plenty place eat . 
 Sep 26 2009 	 Nice Hotel nice experience 	 great hotel great location convenient ! ! reception staff rude helpless ! arrival time french speaker acent lady do not look face ask name , credit card give room key realy big deal . surprisely open room door go straight toilet surprise diseble toiltet assign , do not feel confortable call back request room move person answer phone advising do not room available allocate insisted tell getting pay , rude attitude . 
 Sep 25 2009 	 great location style 	 good ambiance decor . breakfast buffet grand . ideallly locate close underground direct line Heathrow A / port . great stay . 
 Sep 14 2009 	 wow great hotel ! ! ! ! ( especialy concierge ) 	 stay 4 day august nice hotel good room nice hotel bar . close high st kensington shopping area short walk knightsbridge ( harrod ) .check desk quick even though lot people check time . but must say one person make stay extra special concierge call kelvin amazing job knowledge second non smile attitude work good.we want go gordon 's ramsey restaurant try make reservation avail ( try month ) kelvin tell we give 5 min see do . he take we bar hotel give we drink say back . two min later come back say pulled get us table 8 pm wow.so say great stay thank kelvin conciergeMrs p 
 Sep 14 2009 	 Great Location Poor service bad attention detail 	 hotel one great thing recommend - location . travel 1st time London minute away tube station , good way get around . Gloucster Road Station 3 tube line run thru middle zone 1 . walk distance Kensington High Street Hyde park . good pub eatery around . by mistake secretary book twice , internet booking confirmation flash screen book 1st time . charge booking ! lousy attitude ! hotel experience would cancel extra booking ! also arrive 0800 , 11 hour flight , wait 2 hour room ready . post proceed room , advise ready shocked find complete disarray . wait another hour room clean ready use ! attention detail room lousy . stay 1st floor room feel like sleep road . noise time ! make sure case ur stay ask room 3rd floor . attention detail plain missing . dress mirror 1st floor room , funny place - one store luggage . would take houdini like feat get front . one men room reception area hook miss . telephone next bed morning call mean somnabulation desk . light funny ! proper bedlamp ! list go ! bad internet ! lousy 20 pound charge ! one day ! daylight robbery ! good internet browse center nearby . skip hotel internet ! typify attitude hotel , take leave ! concierge desk redeem feature far service concern . advice . want bed location travel around london , take hotel . else skip . 
 Sep 9 2009 	 lovely hotel lovely location 	 book lastminute.com get £ 60ppn B & amp ; B , London good price . see hotel realise great price . at less one minute Gloucester Road tube station car park well situated . easy walk Museums , Albert Hall Harrods end city . surround area fabulous - market Kensington great evening early morning stroll . the room comfortable adequate . though watch extra . make sure b & amp ; B , breakfast fantastic - buffet style , though would going get £ 17.50 worth buy separately . we try hotel restaurant bar , though restaurant look expensive . nearby load place eat couple old style pub even Tesco Waitrose . David H - Shropshire 
 Sep 2 2009 	 Wonderful Fun Educational Party Time 	 London hope would . husband spend 5 day half ; 27 Aug - 1 Sep 09 . hotel great location ; two min walf Gloucester Rd tub stop close 74 Bus , run night . need rent car . one good subway system see . weather perfect , 77ish rain . much see , take good walking shoe . dollar rate good , recommend check place exchange money ; airport good exchange rate . get well rate mall around corner hotel . attend Notting Hill Carnival ( West Indies / Caribean Festival ) . nice crowd control police , many people . go back . highly recommend hotel . staff friendly room Hilton+ quality . 
 Aug 29 2009 	 nice hotel - great location ! 	 stay niece 8 night August . great rate - book 3 month ahead 20 % hotel 's & quot ; leisure Longer & quot ; offer . though book standard room , give superior room , quite roomy . front desk personnel efficient overly friendly . people work concierge desk helpful . location can not beat - hotel step Gloucester Road tube station , 3 line ( Piccadilly , District , Circle ) . hotel 's breakfast , seem little expensive , plenty place grab light breakfast within block hotel . would stay . 
 Aug 27 2009 	 wonderful Time ! 	 great experience hotel ! staff excellent , friendly , helpful ! hotel beautiful inside , room great , large european hotel ! clean decorate nicely ! continental breakfast also great ! would definately stay next trip London ! 
 Aug 24 2009 	 Good Hotel 	 second stay hotel find good deal , stay . hotel well manage . hardly interaction staff , actually , consider good stay everything go smoothly . check - in quick . always staff door assit . great room 4th floor . though busy area , hotel major road enough complete quiet . even window open , never hear street noise . everything clean well appoint . room London quite large -- 2 twin bed , tv / storage dresser , desk & amp ; chair , well relax chair table . good closet area . large bathroom . decent selection channel TV . location could not convenient , maybe 1 minute walk Gloucester Road Tube . Adjacent number resturant wide range offering , shop incldue Waitrose , boot , Tesco Express , Starbucks . Post Office also across road . 's safe area , middle aged female , often come go evening , important . surround street busy lot tourist also local , iit upscale area . short walk bring Kensington High Street , another good area lot shop resturant . I ' ve stay several hotel near vinicty also nice , level Millenium Gloucester . highly recomend hotel . 
 Aug 23 2009 	 bad front desk experiance time ... 	 check hotel 20 hour fly want room ... lengthy check period give key two room reserve adjoining however available one hall . parent get room fine . go hall find room make . back front desk , give key another room 5 minute elevator . open room someone sleep ! go back downstairs , repeat process give key another room . open door make ! fourth go , finally give key room one room presidential suite . hour finally get room – please . on third night , awaken fire alarm 3 am , change evacuate tone . grab passport wallet , go across roof building , stair onto street . group people gather lobby lone clerk front desk idea go . apparently drunken idiot smash fire panel set system . front desk clerk refuse call fire department think fault also refuse call manager hotel home , impression would get trouble … irate group individual point . hour alarm finally take care fire department show 30 minute first alarm . only good thing property closeness Piccadilly tube line good pub across street . would recommend all … 
 Aug 11 2009 	 lot street noise 	 hotel nice location find staff friendly . room clean think hallway elevator keep clean well . room extremely busy , loud street hard get good sleep . sure quiet room get one . room 251 -- assign room insist different one want sleep . 
 Aug 4 2009 	 unfriendly rude Front Desk 	 stay Millennium Gloucester 3 night end - July . hotel great location - cross road Gloucester Road tube station . would share positive review people put . drawback front desk concierge staff . , speak little English , unprofessional , never offer help . exception GREAT English lad concierge around 7:30 pm July 29 2009 . 
 Aug 2 2009 	 Great Hotel 	 stay weekend break hotel excellent . it right next Gloucester Street tube station , reach direct Paddington train station . manage get good deal Lastmin.com pay great value , sure usual rate be . there lot cabin crew pilot stay must good . room clean really comfortable , bed pillow memory foam really nice ! could moan anything except hairdryer rubbish , girl take ! ! resturant around hotel , visit two . first night go dim , great noodle / oriental type resturant great . bad value London really nice food . last day go Bugis St , part hotel , Sunday lunch buffet £ 7.95 . great , limited choice item fry ! however suppose price bad , leave leave bag owner chase we hand back . honest , thank ! overall great hotel , would definitely go back visit London again . tip : look good show would reccomend Sister Act , great fun ! 
 Jul 31 2009 	 Nice Hotel definitely business traveler 	 come London spend day friend want stay in / near South Kensington area . neighborhood fantastic quaint easy access Gloucester station tube . hotel doorman friendly accommodate . staff behind desk less friendly helpful . room nice clean , little stark . good part hotel location . 
 Jul 27 2009 	 go steadily downhill last 20 year 	 ' ve stay hotel almost every time ' ve visit London since late 1980 always first choice , stay hotel handful occasion recall ( even one move Gloucester part - way visit dislike hotel much ) .However , recent year visit hotel become disappointing . we dissatisfy recent visit . probably annoying attitude staff member , particularly front desk staff . relationship start rocky put twin room would specifically book double . & quot ; room computer double & quot ; , say . & quot ; assure 's & quot ; , say ( hotel business know full - well difference two ) . solution housekeeping turn say room double move bed together only / good solution proffer ? reservation book six month ? well be good enough really . but one thing well - really like new digital tv system large flat screen LCD tv introduce since last visit 18 month ago . however , enough get back . 
 Jul 21 2009 	 great experience - rough around edge 	 work , travel lot , fortunate stay number good hotel . attend conference Millenium Gloucester organiser arrange delegate stay hotel , well dining within establishment throughout two night stay . upon arrive hotel state check time , tell go smoking room leave , something especially like non smoker . upon arrival room , impress overall space offer nice large television comfortable bath room . good point . bathroom clean , form drip discoloration front counter bath sticky . bed double bed , old fashioned one , basically comprise two single bed , join middle one half bed incredibly rock hard , hard like bean bag - make uncomfortable night sleep . the room lack guest information directory , go reception purchase internet access card . go reception ask WIFI card room , subsequently provide charge . return room , could get work , however leave dinner , decide leave . morning say get wifi work . reception tell WIFI work guest room could believe tell time purchase . prolong discussion , refund . would say hotel aim business customer - something see great success internet access cost £ 9 4 hour , business hotel offer free wifi . dinner hotel conservatory , standard conference fare - serve hot relatively tasty - however Roast Lamb serve parsnip mash taste sweet turned stomach . desert , utterly hideous one poorly conceive dish ever see - become run joke conference delegate . the public area lavatory also permanently messy unappealing . positive side , checkout smooth breakfast well ever London . basically , scratch could much , much well less money , include hotel City Inn Westminster Gloucester ' sister hotel Chelsea fc - well job high level attention detail . deeply disappointing . 
 Jul 19 2009 	 Good Price Good Location 	 hotel not heart London , nice neighborhood step Gloucester Road tube station tour bus stop . think pay 110 Euro / night . 's business hotel tourist hotel . room bathrooms huge London standard . staff nice : allow we check early , concierge happy show we get around , get we reasonably - price car service train station . lot cafe shop nearby , include 24 - hour Tesco . eat Light India DaMario nearby -- good . 
 Jul 15 2009 	 really scratch 	 stay time time work ( get preferential rate ) . stay average problem along way . the hotel well locate 1 min walk Gloucester Rd Tube Station , 5 - 10 min walk museum South Kensington . first impression not bad . large covered driveway , limos park around . door often man . lobby reasonably large look like designer take inspiration large hotel Asia . hotel obviously popular airline crew stay . think dozen time ' ve lobby ' ve always see least half dozen airline staff mill about . for large hotel restaurant selection odd . nicely lay restaurant open Breakfast small restaurant serve singaporean food , be ! ' ve previously try restaurant really nothing special - Hot & amp ; sour soup neither hot sour . use sister hotel , Bailey 's Hotel Restaurant next door meditteranean fare like , wet night not want singaporean food be stick room service . hotel bar bad make reasonable place small meeting . I allocate double non smoking 3rd floor . offer morning call , paper ( free otherwise ) . room adequate reasonable condition . curtain close lighting bit dim . bathroom average size . bath overhead shower ( albeit set low 5 ' 6 & quot ; . ) . word warn bath steep high side make get bath awkward potentially hazardous . handrail 's useful want climb bath put foot toilet ! tv not work room . engineer come say 20 room know problem probably server issue would not get fix tonight ( 8 pm ) . least 20 room experience problem - not see much point request room change . the follow morning could get lukewarm water , bath question . water pressure shower power , little trickle . breakfast include tariff . 'd unhappy paying quote £ 17.50 . paper available desk 7.45am copy Wall St Journal . although Matre go get copy Telegraph concierge . buffet pretty uninspiring seem offer little standard buffet - surprise . 17.50 large hotel would think could finance extra , . orange juice terrible taste like ' ve add 1/2 glass water concentrate normally drink neat supermarket . Coffee OK.On check - out mention problem quick word assistant manager - note make upgrade next visit - will see . overall , hotel not bad . be clean , feel comfortable . get good price assume plumbing electric work , think will good stay . lot bad hotel . 
 Jul 15 2009 	 great expectation lead even great let 	 okay fellow trip advisor little hesitant writing review do not like party pooper hotel . I easy please sort guy take lot put something . when first check tell room ready standard since early drop bag go explore beautiful city London . we get back hotel around 3 go room could relax get eurostar take shower get ready dinner . we get 5 th floor see smoking room request non smoking room . once picky severe asthma alone nightmare try sleep night . when enter room carpet burn place , furniture t.v work neither internet service also peel ceiling paint do not anything either .. call see room could change book superior room ask similar room pay for . they move we club room suppose well room have . so say least hotel make inconvenience long trip . well get room look like bedroom set Golden Girls .... exaggeration . after point give say let enjoy London ... hey europe .. let try nd find someplace eat.dinn tonight ... ohh wait can not internet not work work hour entire stay ..... type long review .. one never think would .. stay folk risk .... p.s steer clear shady queen check desk .... nice .... warn ... place hit miss .. get great deal go pay regular price head hill .. like .. go .. really go 
 Jul 14 2009 	 internet charge acceptable . 	 check hotel 1 hour early room ready - relief . hotel bit souless really welcome . none front house staff speak English first language - communication bit difficult . hotel decor bite dark overalll could brighten up . our room clean except hair bath like see ! ! ! .We check box booking ask internet access room - get - eventually - call man staff re - configure lap top connect cable hotel internet [ Wi -Fi room ] . shock £ 20 per day use service . day age accetable rip really - every pub cafe around hotel offer WiFi free . on plus side hotel quiet - night Queen size bed comfortable - ihad 2 good sleep night.the breakfast £ 17.50 average - buffet - £ 5 reduction prebook check . total abscence english staff make communication bit difficult - although accept sign times london . breakfast available accross road nice deli £ 6.99 - include coffee . not bad hotel - bit impersonal - suppose lot people prefer . uinternet access thing badly let . hate rip . speak expewrience chairman Tourism Association know business work . 
 Jul 13 2009 	 great location great deal last Minute 	 pleased location hotel . get great deal top secret fault value . interior beautiful well maintain 
 Jul 12 2009 	 great value comfort 	 normally stay area decide give Millenium try . get one 3 night deal nice room first floor . road can not say noisy . breakfast buffet varied worth extra b / fast person would not bother next time . queen size bed large tv stylish room . not seem budget room would go deal ! hotel AC great hot spell visit . back . certainly well value aparthotel area use past . internet access 20 pound night internet cafe around corner . 
