perfect 	 part group 4 couple stay hotel would recommend highly . the room good size location could better less 5 min walk oxford street bond st tube station.lot restaurant within walk distance . staff hotel helpfull give we lots recommendation restaurant shop , sightseeing etc . the hotel relaxed atmosphere away hustle bustle . 
 Nov 20 2009 	 nice hotel lovely neighborhood 	 stay Milennium Mayfair 3 night London business . room pretty spacious London standard . furnishing lovely , bathroom well appoint service good . pleased value spend would definitely stay . mayfair gorgeous neighborhood also . 
 Nov 9 2009 	 Club Tropicana ! ! ! air conditioning work ! 	 look stay air condition room , choose another hotel ! stay last night birthday air - conditioning work room , air come vent either . temperature room accord digital display 27.5 degree , pleasant sleep get ready night without leave room cover sweat ! request 8 pm leave dinner reception ask engineer look room , arrive back hotel 10:30 ask reception fix fault tell & quot ; Gary engineer way look & quot ; . needless say go wait time night someone resolve problem request room change somewhere much cool . Gary reception staff show we another room ( Gary maintenance engineer could not find light switch ! ! ! ! hardly reassure faith hotel maintenance system ! ! ) time seem cool although unoccupied . within 15 minute realise air - conditioning room work all . reception offer change room , time truely screw suppose relaxing weekend away birthday could not bother move another room 11:15 , request speak Duty Manager morning . duty manager respond say nothing could , pay bill compensation fact not get sleep normally primary function hotel ? ? iasked speak someone senior , tell we basically would not reduce room rate that s ! please think stay somewhere else unless want sleep Sauna.4 star , doubt , even Travelodge air - conditioning work . 
 Oct 27 2009 	 Best Us ! 	 hotel superb service . although friend across pond downright snobby towards Americans , staff nothing friendly helpful ( overly ) . husband stay week honeymoon July . upon arrival , give upgrade junior suite . thrilled ! room spacious large standard american hotel ( i.e . Hampton Inn , Hilton ) . large desk , couch , separate living area , tv , king size bed . bathroom large , deep tub feature & quot ; old world & quot ; faucet ( shower work wonderfully well ) . everything clean well - keep -- one hair towel sheet . like stay feel comfortable everywhere around hotel . mayfair one wealthy neighborhood London , close everything ! Bond Street Green Park close tube station around . restaurant everywhere around hotel , mention 24 - 7 armed guard guard American Embassy next door ( check huge eagle american flag top Embassy ! ) .what like least stay outrageous internet price . $ 30 15 minute , connection entirely slow ( think dial ) . nothing & quot ; include & quot ; stay , nice room area London . 
 Oct 27 2009 	 Excellent Location Lovely Hotel area improvement 	 stay hotel 3 night friend & amp ; overall fantastic time . locate perfectly Oxford Street . 5 minute stroll take heart shopping ! also 5 min either Bond St Green Park tube station . Gordon Ramsay 's Maze right across square & amp ; lovely cafe past embassy . hotel look exactly like photo add user . room ( classic ) good size & amp ; lovely bathroom great power shower . staff hotel pleasant . bar food excellent . bed huge one comfortable ' ve ever sleep . fault room lighting - main light main area , & quot ; hallway & quot ; area . might seem like small thing , can not see mirror style hair go night , get annoying . one area would rate hotel poorly Business Centre . internet hugely expensive ( £ 5 15 min ) unreliable . crash 6 time 15 minute slot purchase . would frustrating book hotel intention work . explanation staff could offer must alot traffic find quite unhelpful . overall would definitely recommend hotel . 
 Oct 8 2009 	 great location value ! 	 overall , great experience hotel . location amazing - close underground activity Oxford Street . front desk staff friendly helpful request . room beautiful well - keep , although small , pretty standard . 
 Oct 8 2009 	 Location Luxury love . 	 spend couple night London celebrate 5th wedding anniversary . book Millennium two day monitor price top London hotel week . get € 150 night , € 700 night ! arrive hotel tell anniversary give we complimentary upgrade superior room look park , beautiful . the concierge staff could not enough , head London weekend particular restaurant mind , book well advance avoid disappointment . the hotel 's location excellent , five minute stroll one direction Hyde Park Serpentine lake beer bite eat informal yet cool cafeteria / restaurant . five minute direction hotel shopping paradise Bond St Oxford St . Bond St wealthy window shopper , Oxford St rest we mere mortal . in short , love hotel area around return next return London . 
 oct 1 2009 	 good location pleasant stay 	 get good price hotel location - right Grosvenor Sq block Oxford Street . room good size everything clean . other note , decor slightly fade dirty bothersome . little need ask anything staff pleasant check . hotel equidistant Marble Arch Bond St tube stop ( 2 - 3 block ) . area quiet safe night many embassy right square . hotel two restaurant bar ( pricey ) many cafe pub within 1 - 2 block Audley Davies St. like Alan 's Organic Weighthouse St. dinner , good luck north Oxford James St many option - La Tasca tapas well . selfridge & amp ; right Oxford & amp ; simply food Bond St tube station , use stock fruit water . would defintely stay ! 
 Sep 26 2009 	 wonderful stay 	 real bonus get great deal room inc buffet breakfast , staff fab room fab , Buffet breakfast awesome , nothing much trouble . hubby knee walking need see doctor problem receptionist give we hotel card recommend Dr trot see doc hand hotel card , charge visit . happy Punter . 
 Sep 15 2009 	 Nice breakfast 	 stay night June . locate relatively quiet square Mayfair , 15 min walk Oxford Street Piccadilly . room good size West end . breakfast buffet really good 
 Aug 28 2009 	 good value London 	 love place , stay 10 different occasion would 100 % recommend . not know service problem review ( always find fine ) reviewer obviously double charge , complaint way outweigh fact grow hotel good price . one occasion give room bit smelly , immediately give alternative tell front desk . bed great , bathroom fine , everything clean modern . , staff always friendly . hope keep room price reasonable ( normally get internet rate ) . agree people say drink expensive 24hr internet ridiculous 20 pound , expect ? expensive part expensive city world . want coffee nearby coffee house ( lovely ) take small mortgage . yet find well price . 
 Aug 27 2009 	 great location clean hotel good service . 	 Mayfair great area stay , hotel centrally locate many site London 's West End . good part hotel location . quiet neighborhood short walking distance everything need . easy get hotel underground , close Hyde Park ( get big red bus tour ) close Oxford Bond street . room small side ( standard room ) clean , bathroom . nice amenity , powerful shower , good housekeeping service around . Valet , concierge front desk helpful , though could crowd lobby . the bar nice , dark wood piano .. though busy . couple restaurant hotel not eat . room service not terrible . internet access expensive ( common London ) fairly quick . business center helpful . store hotel one right around corner not raid mini - bar . always lot black cab wait around valet rainy . certainly please place . would definitely stay recommend place , especially run special get room less $ 200 ( 125 gbp ) like . can not beat Mayfair . 
 Aug 22 2009 	 clean well locate great shower 	 ever feel travel europe , come back absolutely ready good hot shower . well , not case stay Mayfair . business hotel , be go party , probably not place . be goingt see site , nice dinner get normal night 's rest , perfect . close tube , hop on / off bus , Hyde park , Oxford Street , Bond Street - everything . would stay heartbeat ... 
 Aug 18 2009 	 Best Hotel Date 	 stop hotel January stress enough fantastic . stop suite top floor overlook Grovsner Square . room clean , tidy even get free bottle Red Wine hand write note manager welcome we , nice touch think . bed huge , 6 ' 4 & quot ; even fit plenty room spare length width wise . separte seeting area complimentary magazine bathroom super clean good size . minute strole Oxford Street yet hotel quite location Grosvner Square next American Embassy . bar cosy relaxed , stuffy uptight coctail superb . all excellent hotel highly recommend thought 5 * rather 4 * much well 5 * stop London perfect location . afterthought meal Gordon Ramseys BoxWood Cafe Knightsbridge 15 min walk food Devine generous portion . 
 Aug 12 2009 	 good location 	 get deal lastminute.com price pay good hotel location . decor seem bit date room clean large enough . one we get upgrade large room sofa . mistake number bed want one room quickly sort out . the hotel good location area quiet stay ( weekend ) . Grosvenor Square park middle , ideal sit sunny . Tube stop Oxford Street ( Selfridges ) shop 5 min away . not want eat hotel , lot place eat nearby . 
 Aug 8 2009 	 good location .. 's 	 first time 5star ( biz trip ) , can not really compare .. never spend money place . extremely expensive & quot ; ok & quot ; poshy place . not find towel room call recep . restaurant serve expensive water without u explicitly ask . case also mistakenly debit extra meal due .. keycards fail twice . doorbell phone not workwire internet cost 20 pound day ( hello , always free wifi crappy hostel ! ) laundry service cost 3 time value clothe ( 3 pound wash pair sock ? ! ) plus time unwrap plastifie , new - look package . ( point ? ) phone call 4 £ minute .. reception staff never smile , immigrant waiters\tress didIf pay bill would probably jump window .. oh , btw , u lift 20 cm aircon not go high 23 c ° 
 Aug 3 2009 	 Nice Place - Pretty Good Location 	 wife stay three child . two room ( adjacent would like close together ) . bit costly nice . clean . slightly dated hallway nice . lobby nice . breakfast nice include room . location pretty good . right across street nice park near everything ( six block walk Buckingham Palace ) . 
 Jul 30 2009 	 unimpressive 	 spend quick mini vacation London friend stay Millennium Mayfair . first trip England hear expensive London , , instead book check review Trip Advisor , usually , trust friend travel agent , find good hotel would break bank . location definitely plus , near everything within walk distance Piccadilly , St James , Trafalgar Square . concierge helpful suggesting tour appreciate advice give we . room another story altogether . book guess & quot ; standard double & quot ; ... 2 single bed across Gym , fortunately busy afraid would hear people come go hour .. amenity room ... one single bar soap , hair conditioner god forbid body cream grateful need AC sure work . strictly necessary number towel , showered night , next morning towel use .. minibar restock 2 day , room well bathroom miniscule least US standard , air stuffy keep window open night breathe .... well hairdryi ... work keep thumb firmly press button outlet bathroom , one dry hair front mirror room , front window .... fortunately view Grosvenor square ... money stay somewhere else splurge little next time visit London . 
 Jul 28 2009 	 good location nice staff would stay 	 like hotel . room small , fact big king bed , couch , coffee table etc , separate kitchen area etc . plenty room ! person travel room door , slightly small , mean & quot ; tiny & quot ; . stayed 3 night complaint . check wonderful cafe behind hotel . lovely cake breakfast around 5 gbp . pub block away . easy walk Oxford street ( around 4 minute ) . would stay next time ' m London . 
 Jul 20 2009 	 back 	 second visit hotel second visit book classic double room classic double room small end pay money large room delux double room acce vip club serve breakfast ... unfortunally breakfast buffet start 7:30 finshe 10:30 liitle bit early order breakfast room : sthe vip club horrible old style decor seventh floor carpet disgusting room heater dose not seem work will end cold like : ( room tv outdate -over price hotel staff horrible location great bed comfy room clean advantage 
 Jun 30 2009 	 incredibly poor service incredibly expensive drink 	 want debit credit card charge twice incompetent staff deposit , want woken maid 8.30 day departure noon check - out , even want pay £ 9.50 single rum coke hotel bar ( oh , be forget 12.5 % service charge put top without ask ) , hotel . otherwise would advise look elsewhere . 
 Jun 29 2009 	 great overnight 	 pleasure stay attend function . we surprise offer complimentary upgrade Suite room overlook Grosvenor Square , pleasant good sized bathroom nicely fit good toiletry . find room quiet comfortable adjustable air con . we use bar snack lunch good quite expensive , hey 's London staff good . we definately use hotel need area , would like another couple night elsewere next day . finally say give try 
 Jun 23 2009 	 nice location noisy hotel service unresponsive 	 hotel great location . room 158 nice clean small . 2 4 night party caterer pick supply 2 a.m. make considerable noise quite time disrupt sleep . staff sympathetic complaint . in fact , wake duty mgr call complain . the next day much well . would recommend hotel . 
 Jun 21 2009 	 Excellent Location Decent Value Poor Service - Likely Due Understaffing 	 great location Grosvenor Sq . ( Duke Grosvenor ) heart Mayfaire , step Park Lane , Bond , Piccadilly . clean room , outstanding responsive housekeeping - need extra towel , razor , etc . - two minute request item deliver . Front desk understaffe - take long check in / out , even though front desk clerk try well . staff responsive / welcoming , although try good . internet blazing fast . bed good comfortable . seventh floor executive lounge worth incremental cost room . summary : self - sufficient need help hotel staff ( e.g. , concierge service ) , hotel decent value . travel spouse , stay Brown 's - make feel welcome cater need grace . 
 Jun 18 2009 	 Great Location Small Rooms 	 recently 4 night stay Millenium Mayfair wife . getaway London sightseeing , search web length , Mayfair appear offer good value proposition we want stay Mayfair section London . the hotel somewhat small , sit Grovsener Park heart Mayfair . pretty much equidistant Oxford Street , New Bond Street , Piccadelly St. , upscale quiet part town . , perfect location - everything need short walk away . the lobby clean sharp . porter scamper walk meter luggage , guess fear people dash thing . clerk bit new , dismay nobody really willing help struggle check - in . make number mistake , many never rectify , not detract noticeably stay . while hotel quiet location , give room right parking lot bar let . People stand outside generally wonderful time around 2 , take several phone call front desk porter ask people cool . luck draw , suppose , aware kind room get hotel . after read website opt Deluxe King room 40 % premium . figure going stay well part week , bit room . ha . London tiny , tiny , tiny . inch way around bed sideways move around room . beautifully refurbish room , although big box tv seem place rest modern remodel . also aware business traveller , bring adapter - even remodel , mentality towards laptop user seem stuck last decade . I manage get consider good rate hotel $ 200 per night - see other do well - hotel come obscenely overprice goody one might expect hotel consider business hotel . internet 20 pound per night , want use business center ? 5 pound 15 minute ( , seriously ) . business center open 24 hour , major plus . internet , expensive , fast . the breakfast also 20 pound - operate expense account , something avoid . local eatery provide nice 8 pound breakfast , inclined McDonalds right street . since get deluxe room , can not even begin imagine unrefurbished regular room look like , go stay , try get excellent pricing seem internet . book straight Millenium hotel website . 
 Jun 17 2009 	 deluxe clean great location 	 stay two installment trip europe . first stay upgrade studio suite wedding anniversary . concierge front desk staff helpful friendly . store extra luggage 6 day another country . return stay problem internet service , remedie we move another ( big , nice ) room close wireless connection . room modern , clean freshly decorate . great location across quiet park super convenient bond street , oxford street tube station . def stay go back . 
 Jun 13 2009 	 excellent value good location 	 hotel possibly well locate value money London . room excellent - clean , perfectly acceptable bathroom . service good breakfast buffet excellent choice . within walking distance Oxford Street top class restaurant nearby certainly return Millenium London Mayfair . 
 Jun 2 2009 	 Brilliant location 	 need travel frequently london work amazing location . day ' work stroll along bond street big high.the room well equip amenity take care of . the breakfast early good , work beautifully london .Mayfair big attraction 
 Jun 2 2009 	 Excellent Place 	 excellent hotel nice location . also close Oxford Street/ Regent Street . hotel conveniently locate close Bond Street Station . hotel celebrity chef restaurant serve awesome food .. stay hotel almost 15 time everytime great experience ... 
 Jun 1 2009 	 avoid avoid 3rd floor - Aircon ducting make loud hammering noise 6 	 porter hotel check , sure regularly occur . carry luggage room , although capable . first strike . we put room 360 , quite happy room initially . complain sink clog , speedily repair out . in last 2 night stay however , terrible rattle noise come aircon ducting 6 . would subside minute 6 , loud enough wake dead . first night happen , think one - off thing , since not happen 5 previous night hotel . the 2nd night happen , terribly annoyed . catch overnight flight would appreciate deprived sleep . be early waker , please avoid 3rd floor cost . well yet , avoid hotel . from previous review , understand issue already highlight management , ' m rather surprised not resolve yet , still allocate people room know problem exist . 
