amazing 	 stay hotel head Paris Eurostar honeymoon ! will honest - bit budget cheap 4 * hotel could find within walking distance St Pancras - expect much . staff friendly check , hotel clean well present . bed HUGE comfortable indeed , really amazing thing view ! ! ! 14th floor direct view London Eye . way hotel organise mean pretty much room brilliant view London , book special room upgrade . excellent value money - wonderful start wonderful holiday ! 
 Nov 24 2009 	 nice location nice room 	 stay 4 night hotel . this hotel close King 's cross station , easy access many place London . we use Eurostar go Paris , really help . the hotel look old 's website ( be surprising thing ) , clean comfortable enough , consider rate hotel ( course , be cheap , 's London , anyway .. ) .The room spacy ( stay 2 singlebedd room ) clean . and breakfast nice . I would recommend hotel . 
 Nov 18 2009 	 great base everywhere London 	 handy Euston Station - clean , modern room , great bath shower - £ 14.99 24 hour internet movie package . great breakfast buffet - although ramp entrance - lift luggage stair . quick check - in / check - out . 
 Nov 17 2009 	 ...... okay lacked polish ..... someone smoke . 	 stay Novotel proximity Eurostar station , convenient reason . room , Executive , spacious mostly quite clean . however , detail bite disconcert : sink drain properly , take 5 - 10 minute empty , desk lightbulb burn , shower leak water floor , enough toilet paper , one pair slipper , face cloth . item give we upon ask , appear room inspect last occupant . also distinct smell cigarette smoke room , though terribly noticeable room time ..... still , bothersome upon enter . even thing , quite comfortable , central location hotel make seem okay . 
 Nov 15 2009 	 Eurostar getaway 	 decide stay Novotel London St Pancras Saturday night Oct 09 - choice make purely 's proximity Eurostar terminal . disappointed hotel mere 400 metre walk station , help journey Paris super smooth start . room large ( London ) everything one could want - tv , mini bar , great shower etc . bed comfortable room quiet ( despite overlook Euston Rd ) . staff friendly enough - laugh cockney receptionist 5 am - nice find Londoner work London . slight disappointment want leave luggage overnight . say possible left luggage depot St Pancras . fair enough suppose , numerous hotel request accommodate know 's impossible . it be often say two type hotel London - cheap clean . Novotel London St Pancras clean ideal hotel Eurostar trip . 
 Nov 14 2009 	 Noisy inefficient booking procedure 	 use hotel would suggest request - insist room back hotel high floor . place smoking room first floor - despite request non - smoking room . stank claim room available . beware bad smell siren - ambulance think - continually sound night . even resort buying ear plug still could hear night . bad noisy room ever experience . 
 Nov 2 2009 	 great hotel weekend London ! 	 arrive St Pancras 1 night stay . hotel easy find impressive look . stay room 9th floor , great view London London Eye . keep window close Euston Road busy noisy , didi not bother we . bed comfy , plenty channel tgo choose tv . breakfast good , one good London hotel . quite expensive free kid , make good value we . accoss road Pizza Express Starbucks not need venture far lunch . lot bus take London , 5 minute walk Euston Kings Cross tube station . definitely stay . 
 Nov 1 2009 	 Great Location good value . 	 wife stay overnight prior travel Eurostar . location excellent - convenient Underground Euston Kings cross main - line station . staff friendly efficient , room spacious , good quality furniture fitting . bit pricey - £ 130 , exclude breakfast , no - frill , no - refund rate , would recommend , particularly travel Eurostar next day . re comment reviewer , lift work , quite slow . room back , view not great - problem noise . 
 Oct 30 2009 	 standard ... 	 ' stay Novotels different part world recent month hold Accor frequent guest card . say , though , Novotel – St. Pancras really ' match other . we plan long weekend vacation great deal investigation select Novotel St. Pancras base combination location , facility , price past experience chain . book two month advance get good prepaid rate GBP 128 ( usd 210 ) per night include breakfast taxis twin room . arrive Friday 23 October 30 minute advertise early check - in time 14:00 receive without question . process efficient quickly way elevator . the room small side , particularly compare Novotels country , London anything large broom cupboard bonus ! , fixture fitting rather leave something desire . only one chair provide , double desk easy chair – surely oversight twin - bedded room ? desk clearly intend – mirror provide make - up hair . , , many hotel insist glass top desk , without provide mouse - pad ? mini - bar contain small selection soft drink beer provide hardly cool . complimentary tea & amp ; coffee facility barely adequate , bring supply . tv , movie internet available individually , " special offer " package GBP 14,99 24 hour , probably go rate . bottom three drawer wardrobe could open fouled door frame , reduce space bare minimum . coat hanger provide , skirt hanger – despite apparently sincere attempt housekeeping locate . bathroom small , mean smallest see London – reasonable shelf space combine bath / shower . amenity minimal – soap , condition shampoo , shower gel . many hotel stop provide separate shampoo conditioner ? shower cap , body lotion ... face cloth , first Novotel stay latter provide ! mid - afternoon snack room service shortly arrival – promptly deliver , good quality reasonably price , complaint . eat breakfast first last day , substantial – wide selection well present . queue Sunday morning simply long , eat elsewhere . ' otherwise use dining facility . compact well equip gym provide include sauna steam - bath ; kudo ! one three elevator action much stay resulted rather lengthy wait peak time . we request late check - out offer complimentary 16:00 little early we ; willing pay charge 18:00 check smooth efficient . overall , feel 2 - 3 star hotel rather 4 star . location good – taxis easy find , multiplicity Underground line king cross / St. Pancras Euston , hotel roughly equidistant two . but , next time shall pay stay genuine 4 star hotel ! 
 Oct 30 2009 	 Smart adequate 	 good job limit space London hotel . room efficient compact roomy like many U.S. hotel . low floor - late night noise pub next door . go higher away corner Chalton St . 
 Oct 20 2009 	 ideal early Eurostar departure 	 stay night take early Eurostar train Paris would . novotel seem pretty reliable - clean , comfortable , spacious good value take pre - pay rate offer , . give we three room party 7 , 2 interconnecting request , although will not allocate room arrive , take chance would able we . the location great St Pancras / King 's Cross , also far British Museum , British Library , Bloomsbury , plenty stay long , although way west end . my onyl gripe would room front hotel overlook Euston Road not well insulate sound , traffic noise problem light sleeper . seem room rear hotel may worth ask one . 
 Oct 16 2009 	 Great Value London hotel 	 book last minute overnight stay Mum law find hotel excellent value , conveniently locate tube train station spotlessly clean newly refurbish room bathroom . staff professional polite helpful time , two female traveller , feel safe staying . 
 oct 9 2009 	 fine short stay 	 hotel standard business hotel conveniently locate major rail station ( King 's Cross , St Pancras ) Eurostar terminal . room fine short stay service food restaurant good . hotel also well locate many tourist attraction central London ( British Museum etc ) . hotel locate busy noisy street ask high floor room disturb traffic noise . 
 Oct 7 2009 	 GREAT LOCATION ! 	 stay day September 2009 . reason pick location close Eurostar St Pancras Station . hotel pleasant , safe , convenient - step Underground St Pancras bus stop . staff friendly , however , ask restaurant recommendation area - send we Covent Gardens ( far ) , generally great room . negative bathroom . shower poorly design without curtain small divid nothing prevent water pour onto floor . shower high little - senior child ( actually kinda dangerous ) . drain shower also slow feel plug , room problem . WiFi also expensive $ 14.99 ( think gear towards business traveler ) 
