be 	 book Park Grand hotel 5 night stay . arrive early receptionist polite helpful say want check immediatley could room originally allocate front building , give well veiw , alot well maybe would well wait room ready , . wait bar area , pleasant enough , even though toxic smell , paint fume , hotel open . overpower one point go outside nose burn . also bar drink license alcohol could serve . restaurant well , serve breakfast , mean way anything eat time . the room allocate , standard double , first appearance , nice . spacious , large sash window , lovely bedding , panel wall , plasma tv . notice wardrobe . contact reception look wardrobe , politely inform one panel wall wardrobe . find eventually say dismayed find foot deep hanger hang face forward . definately would call wardrobe , big drawer bed . bathroom small shower shower curtain , shower tray stand , literally room toilet sink shower one , basically shower way everything , include toilet would not get drench . I disappoint plan getaway long time want special . contact reception desk explain distress sympathetic ask want see club room , might find agreeable . this club room spacious , huge sash window , bathroom large separate shower cubical glass door , shelf space around sink nowhere put toiletry . the bedroom wardrobe room , room 2 give bit space . say could room extra twenty pound night , pay . on positive note , decor lovely modern , hotel quiet noise thoughout night , bed comfortable bed ever sleep . seriously fantastic bed . staff helpful polite . it 10 minute walk Paddington Station . think could sort wardrobe situation , shower standard bedroom , room would perfect . pity , otherwise would really lovely little hotel . 
 Park Grand 	 stay new hotel 15 year old daughter 2 night theatre break please pay £ 218 2 night late room .Service goodand staff helpful . get club room spacious brilliant shower . breakfast buffet style also good . near Paddington station lot shop , restaurant pub . would definately stay . 
 Nov 23 2009 	 do not beleive read 	 book hotel couple week ago read take Shaftesbury refurbe . recent review harsh hotel . check 2 pm Saturday 21st November Reception staff polite well speak speak perfect English . delay show two room , twin room shower ensuite double room bath shower . room clean exytremely well decorate present . fresh flower room item mention website . ie wifi , tea coffee , safe , hair dryer , air con iron iriong board . hotel functtioe ther eexception drink licence . fitness suite open . highly recomende weekend shopping , theatre break staying night do . the hotel 8 minute walk form Paddington British Rail tuck away side street call Devonshire Terrac e open leafy square simlar style building . minor finish tuiche complete popular venue deserve star status 
 Nov 20 2009 	 little thing count hotel aware off … 	 first would like tell reader revue ` hoteli hospitality business wild . work restaurant , front desk reservation office … my whole experience start mistake write wrong email address reservation . find 5 second later go website send reservation email tat I m sorry make mistake please send confirmation correct email . take 2 day simply send one never get first time . opinion could least write line " thing happen blablabla , welcome hotel " arrive hotel two young man stand reception , look like miitary , ready take attack … reception aria beautiful , light , modern flower . LOVED . ` check , receptionist tall bend whole body computer ! ! brand new hotel desk owner think ! ( one tip read , build box could key board bit high staff low ) nervous fore strange reason . … hotel get four reservation name … well harm do fix , one man think kind manager , feel boss receptionist way ' front guest … " military " offer service bring bag room , myself … . room ` happy happy , happy ! ! small square meter , get need ! bath room good could be … floor get soak wet shower , also toilet . floor freese ! put tile heating day ? ? design nice , also rest room . go bed long day see light wardrobe sense wardrobe beside bed get thing stripe light cross pillow . go breakfast first morning get want , ` breakfast eat person . enjoy big breakfast important , get disappointed . staff EVERYWERE ! ! ! ! ! ! ! ! ! ! ! ! much blame , three guest five staff ! ! table nicely set , bite much small breakfast . plate hot alternative ridiculously big .. design fit rest restaurant . go breakfast , ask reception could please fix light wardrobe want someone join right away get dress meeting ask could day instead . one staff also lend adapter computer . life saver ! ! go give head go welcome fix . receptionist look strange say room number 3 time could bother lift pen writhe . sense get home late evening ` check bed course light still ! ARRRRRRRRR ! enough , day go reception talk news receptionist ( ) explain problem , tell pull card " light saver " get door light go .. looked ask would like watch tv bed without light wardrobe … " see " answer get . record fix get hotel next evening . first night yoghurt room . room get coffee tea course spoon well . prepare cup tea 3 night spoon taut clean ( HOPE ) yoghurt ! please housekeep ! dish ! today go breakfast man refer early revue manager kitchen dress tell chef bean hot enough … front STAFF GUESTS ! ! ! ! repeating let everybody know bean hot enough .. ` writhe hotel right , see morning bring check ! I m happy hotel , thing improve listen guest let staff care guest fine ! thank read revue . 
 Nov 19 2009 	 advertise bad service 	 stay Park grand night Tuesday 17th 2009 . book Cleveland Club Room full facility , think . pay £ 119.00 room Easy Book , check description room web site . the Hotel set quiet square , although sign outside Hotel , difficult find . automatic door confront two young Porters ignore carry private conversation . approach reception , 3 receptionist duty . looked approach look , come door . greet . stand middle reception say , reservation . check ok , pay kind room deposit also show room , hotel must .... later . tell time breakfast serve . tell Club Room . receptionist , unfriendly , busy talk Head House Keeping check . inform customer complaint , room need service , unprofessional ignore guest whilst talk complaint . welcome Hotel way . offer wake call newspaper . simply put , thing hotel usually offer afford call 5 star Hotel . the room contain & quot ; spacious room offer comfortable sit area lush sofa coffee table . & quot ; sofa coffee table . choose room 2 thing , lot paperwork evening want somewhere sit . 2 hard chair . find disgraceful . buy product match description . think fair . advertise something exist . 626 sofa , coffee table . the web site also advertise & quot ; Pampering extra include daily fruit mineral water , plush bathrobe slipper , daily local newspaper & quot ; . mineral water , tap water taste foul certainly newspaper . web site description MEET REALITY . also find pen paper , must hotel , instruction use phone directory service offer hotel . room WiFi , wire connection , receptionist tell wi fi . cable hide one thoe crazy wall panel , take age find . forget wardrobe , thin LCD TV . use . never find Club Room check , tell free beverage exist , eventhough advertised web site . Club Room joke , chair tv computer room size bathroom . Club Room Hilton / Sheraton etc standard . web site mislead wrong . alone total disgrace ! find room difficult first navigate . wardrobes wall , desk hide internet connection . idea . booking , inform thing room . press ever wall panel find wardrobe . the bathroom , call , tiny wet room , wet everything , include toilet paper bedroom carpet , small floor slope strange angle , away plug . overhead shower spray , close wall , stand underneath tray position wall right underneath show head , brilliant bit planning . bathroom design someone idiot . bad bathroom ever see hotel . the staff breakfast disintereste ever meet London Hotel . sit corner tv head . without ask , serve staff put tv , quite loud , disturbed breakfast . staff stand around watch tv . never ask want anymore coffee . Eventhough go past two member staff , one say goodbye thank , busy watch TV.On check , deal young woman , maybe French . ask ok . try explain , could speak enough english understand . simply give , try tell wrong . person reception asian man check , pointless tell he . I find description room web site , extremely misleading wrong . seek rectification , sell thing simply exist room . far happy way treat . booking request another room next Tuesday 24th . wish return Hotel inform Trading Standards . advice simple , listen positive review , believe web site , think 5 star hotel . slight saving grace , pay rack rate £ 300 . stay well Hotels , centrally locatedI stay London 3 4 time month , one Hotel deserve money . warn avoid avoid avoid ! ! ! ! ! 
 Nov 19 2009 	 pleasant stay / no complain 	 hotel nice ! wonder many bad comment ? check time tell upgrade junior suite without extra cost , although junior suite seem big absolutely perfect we . microwave fridge extra cost . must say hotel good location staff pleasant helpful . highly recommend good quality reasonable price / Anna 
 Nov 16 2009 	 curate 's egg - good bad part 	 be still finish ! bit , good , everything clean , bright gleaming .. bar , & quot ; SorrySir , not licence & quot ; , restaurant not ready , pool fitness suite open . unfortunately hotel online detail omit say , likewise screen tv hotel guide , appear supercede standard paper version plastic folder . trip road licence bottle local eatery ( lot choice ) really feel like go wet stormy night . wet room not work , good try , small keep dry stand dry . good bit , free upgrade junior suite , 4 sky Sports channel ( unheard hotel ) , cumfy bed , modern decor ( not necessarily sit high ceiling plaster moulding ) . Breakfast £ 12 could good , have not work keep food hot - even warm matter . seem lot staff , reception breakfast . get feel bewildered ! finish ok - make sure know get . 
 Nov 13 2009 	 Ignore bad review - nice comfortable clean place stay ! 	 return one night stay hotel , initially quite apprehensive reading negative review would wait we . however , good certainly would go back . able check without problem pre - booked room online . room cost £ 125 , give appear newly refurbish room , immaculately clean everything need . yes room small , comparison whatever else available London , room size seem average . room second floor , small room available . however comfortable double bed guarantee good night sleep . agree previous post wardrobe , literally cupboard , stay two night would probably problem clothe storage . bathroom ideal - yes small , underfloor heating walk ' drench ' shower really nice . , bathroom immaculate , major plus , despite small room warm shower , mirror not steam . another big plus place free high speed internet , unlike many hotel , free , high speed - exactly would expect . usual channel radio station available like would expect . breakfast include stay , really nice . everything could possibly expect breakfast available really nice . negative place good five minute walk Paddington station . may see negative , however limited time London , may slightly annoying ' centre ' London . , least be quiet ! certainly would return hotel , would recommend . 
 Nov 7 2009 	 bad might think 	 recently stay 1 night newly - open Park Grand London Paddington . we initially bite worried read previous review , fortunately , pleasant enough stay overall . ok , problem detail , whole , fine . Location - 10 min walk London Paddington ( hence , Heathrow Express ) . quiet neighbourhood stil London Zone 1 , , easy get around . stay Club double room . room contemporary decor quite spacious , London standard enough space suitcase / luggage . find sound - proof room sufficient we . bed comfortable air - conditioning / heating work fine . flat screen tv wifi enable . en - suite bathroom / wet room fine ( slope floor ) glass shower divider , , not flood bathroom . real problem hot water aside take warm . good head / rainfall style shower . Hairdryer provide wardrobe . little touch like fresh flower & amp ; small fruit bowl nice . light good sensible . however , although hotel aspire 4 star , be yet . minor problem detail probably iron time hotel open month e.g : - ' wardrobe ' pretty much non - existant ( i.e . probably enough space suit , 's ) - coffee / tea/ kettle could not use kettle not plug could not reach socket- mini fridge switch could not reach socket- safe room locate 2 inch floor right back one cabinet ; , tall ( like half ) , end go hand knee reach safe door- dust & amp ; debris leftover rennovation work room & amp ; bathroom- box packaging glass shelf probably put recently bathroom still , shelf.- carpet obviously yet clean properly post rennovation work dirt mark footprint carpet . breakfast ok fantastic - 3 star rather 4 star . cereal , small buffet full english item , pastry , bread , 1 type cheese , 1 plate salami / ham , fruit salad & amp ; yoghurt . hash browns excellent think pastry rather stale stodgy . breakfast room felt slightly cramp . table small size plate available - run space try fit drink , well plate , table . plenty serve staff handful actually know suppose . would come back ? yes , current rate £ 100 + vat per room per night continue . , pay full rack rate £ 250 + vat per room per night . 
 Nov 6 2009 	 Loved Stay 	 scared reading review trip advisor cancel booking . right concel booking . frequent traveller London small room seem problem London . give nice clean room . great bed great staff . would go extra mile accommodate request . breakfast lovely . would definetely come stay . 
 Nov 5 2009 	 Total Shambles 5 Star Hotel 	 Nice Hotel great location spoil open far soon . I think mislead claim 5 star provide follow Room serviceA Bar sell alcohol shut 10 pmno restaurantNo daily papervery poorly train curt staffchange time breakfast whim bother tell customersNo write bill credit card paper . free view room channel . film , dvd player cd player IPod dock workedNo table tea make equipment stand leave floor . dangerous clearly health safety issuepaint carpet room furniture damage door would shut . Safe would work . locked room couple time . ask ice deliver room never arrivedtwice end help ourself bar shame hotel wonderful position pity hotel open soon poorly train staff clearly timedo know do . would way pay rack price get deal aware shortcoming good option 
 Nov 3 2009 	 Definately 5star hotel noway value money ! ! ! ! 	 like fact give small room locate basement floor view amount money pay . & quot ; disturb & quot ; sign give staff give enough warning enter room disturb twice space 20mins . instruction use telephone food menu give room . absolutely wardrobe space , put clothe hanger small rail call wardrobe . low value money ! ! ! ! recommend place anyone lastly weekend spend hotel mean celebration engagement , disappointment ! ! ! ! ! ! ! Hotel newly build deifinately open public state . 
