great 	 2 day return another 7 . location could not convenient 's 5 minute walk Gloucester Street tube station Picadilly , Circle , District line . good , reasonable restaurant nearby grocery store Gloucester Cromwell . staff nice helpful . breakfast great . call continental , include egg , bacon sausage , baked bean , toast , sweet roll , cheese , meat , juice , etc . thing miss fresh fruit . stay two different room , quite nice . really like refrigerator . two non - smoking floor request ahead . not try wifi computer internet access lobby , 1 GBP 20 minute . guess like crisp sheet firm bed find everything comfortable clean . 
 Nov 26 2009 	 nice easy 	 need week - end London ? decent hotel clean room , good breakfast nice frontdesk service . great location like South Kensington , else need ? tube 100 m away , get 5 - minute walk Hyde Park , summary good cheap hotel , perfect short stay . 
 Nov 24 2009 	 clean roombe hard unable use internet inside room 	 ' ve stay hotel 5 night . the room clean quiet , course location good part choice . the price book via theie hotel web site cheap . the staff nice . the breakfast good , however , downside that:1 ) uncomforable bed hard me2 ) unable use wifi inside room , u use computer lobby cost u 1 lb 20 min.3 ) u early check , extra 20 pound every baggage u store hotel check csodt u 1 lb per bag . overall , may choose hotel need saty nearby gloucester road really attarctive price . 
 Nov 20 2009 	 expect 	 stay hotel May 2009 . room extremelly small ( solo traveler ) open window ( could open specific window ! ! ! ) . time , want room , could stay lot time . arrive , woman reception rude . member staff polite . breakfast average poor . price reasonable . location great really close tube . room clean , hotel surely need renovation . 
 Nov 20 2009 	 great location pleasant staff ok breakfast room bit small 	 stay Nov 2009 . really good location natural history science museum etc nicer area walk around many area previously stay . 2 - 3 min walk goucester road tube station.and restaurant , bar shop . downside room bit small get fair bit road noise do not find much problem clean . staff helpful breakfast ok - wonderful certainly sufficient . would recommend freind . 
 Nov 4 2009 	 excellent price - quality ratio 	 Excellent location , near tube station ( 200 ) . room 1st floor , still quiet . central London hotel room huge ... good bed , air conditioning , warm , clean , good breakfast ! well equip room : hair dryer , safe good light toalet make - up ! ! breakfast room small business trip early , queue , vacation hurry ! friendly helpful personel . 
 Oct 31 2009 	 good look something value central 	 could look average hotel victorian building . think bit well , close tube . area good . room ok . rate reasonable . surely 5 star hotel good base intensive visit London . 
 Oct 23 2009 	 central 	 position perfect 250 m underground , near place attraction , price optimal abundant breakfast , also service optimal return London would return sure ! … 
 Oct 15 2009 	 good location no - frill . 	 Park International conveniently locate near circle line train Kensington , make location perfect anyone want see sight . the room incredibly small , relatively no - frill , though mini - fridge . bed little firm linen little starchy , hotel quiet night . the upkeep leave little desire . equipment room run - down ... outlet loose , alarm clock could not set ( stuck hour ahead ) , air conditioning unit either cold cold enough ... sweet spot . the staff little impersonal . exactly would call rude , certainly warm inviting . all , Park International decent value be expect much hotel London . 
 Sep 9 2009 	 good location staff value 	 book last minute lastminute.com laterooms.com , decide last day spend long weekend London . review good , stay prove good many problem . room top floor front . street noise bit problem window ajar , ok closed . room clean bed bathroom , large tv , tea make facility safe . the reception staff helpful foyer welcome . many hotel London , bathroom small size hot water always available fresh towel change daily . transport , tube bus , close direction location provide staff good . price , consider good value money . management could consider , increase staff morning breakfast , sometimes food service may slow due large quantity guest breakfast room .staff attempt well sometimes overwhelmed .Good english breakfast additional cereal , toast fruit available . 
 Jul 20 2009 	 not let Front Door Fool 	 look nice outside . get inside not easy struggle luggage & quot ; concierge & quot ; stand watch we . reserve 2 room . one reason choose Park AC -- apparently room not work one . put fan help circulate air . drain tub room not work switch room -- smoking leave ( bowel building ) . room clean . safe room clock one not work . & quot ; restaurant & quot ; misnomer -- serve breakfast ; adequate . quote taxi ride Heathrow 45 pound actually 95 would tell we use service . request adjustment fee due inconvience . take 10 % still much pay hotel . 
 Jul 11 2009 	 hard beat location 	 review another hotel want offer comment stay two year ago . would agree other great location . 's central spot tube station -- link virtually London 's major attraction -- within short walk . staff friendly helpful . would say . 
 Jul 2 2009 	 great location small room single traveller 	 upon arrival , find air conditioning room work ( work actually entire 3 & amp ; 4 floor ) . promise change room morning next day big one balcony , give instead ridiculously small room , air conditioning work water drip onto carpet . totally impossible open suitcase unless sit bed , go back reception ask change room one time . luckily , room 214 acceptable size . problem shower , tiny size shower torture . plus , water somehow leak onto floor , clean every shower . the tube tv tiny well choice channel great . the decor room acceptable consider everything . overall , lucky enough get big nicer room , location great , 5 - 7 min . walk Gloucester Rd . underground station ( 3 stop away Victoria Station - convenient travel back home Gatwick Airport ) . plus breakfast substantial , even though conventional english breakfast . strike 3 star hotel , like 2 + . 
 Jun 23 2009 	 great location basic accomodation 	 stay Park International four night 14th 18th June , select hotel location tripple room ( 3 bed sofa bed ) . air conditioning room work . well , small fridge ideal keep cool drink tea coffee facility . room front hotel - would ask room back hotel return . busy road area . review hotel TA go review accurate . close Gloucester Road tube - good line circle / district picad . line good access city . shop fast food & amp ; restraunt area . hotel room small clean . breakfast reasonable rate pay . breakfast room compact get busy - good go early . choice hot cold breakfast . safe room work - someone send look - able fix - use communial safe reception . make fuss receptionist communicate good english common room hotel . bar hotel small much atmosphere customer - situate area use overflow guest main breakfast room morning time . think bar would well situate area leave reception entrance hotel whch computer seating - area far comfortable inviting . bar could use expand breakfast room make area less cramp cluttered . overall suppose hotel value money book hotel website get ' summer discount ' - 485stg approx 2 adult teenager four night . it serve purpose us trip - safe clean spot breakfast . will return ! ! ! verdict still . would incline search hotel area first maybe ! ! recommend friend would say let decide suited need . 
 Jun 7 2009 	 great location clean small room 	 choose hotel location South Kensington . visit Imperial College situate next Royal Albert Hall . Park International Hotel Cromwell Road , two short block Gloucester Road tube station , Piccadilly line direct access Heathrow Airport 40 minute . note 20 step one must ascend tube station , challenge lot luggage . tube station provide direct access Buckingham Palace area , east end theatre district . Cromwell Road plenty pedestrian seem safe . grocery store fast food restaurant near tube station , well good restaurant . the hotel , like many area , convert series victorian era townhouse , interconnect lot staircase fire door . number similar hotel choose Cromwell Road . pay 70 GBP per night plus 15 % vat single room . ask quiet room give one face back , away traffic . accompany two student share double room 70 GBP total ; seem happy room . the single room characteristically tiny . single bed , desk chair , bathroom shower , electronic safe , kettle , bar fridge , device press trouser . light immediately bed great reading . window modern metal frame one , open inch . air conditioning unit door , turn May ; room temperature 26c , get hotter go ask air conditioning . linen crisp clean , bathroom clean , although roll flooring bit uneven . shower plenty hot water . think wall adjoining room bit thin could guest cough , otherwise extremely quiet . the breakfast generic , typical english hotel coffee ( i.e . bad ) . orange juice good . lobby front desk plus concierge stand . staff friendly , concierge helpful several occasion . two elevator ( lift ) . second time stay hotel . 
 May 29 2009 	 excellent value friendly staff 	 stay hotel two night king size room hotel room basic clean staff good breakfast staff lookedrather overworked.continental breakfast good surprised choice warn small room get busy grumble tv remote do not work do not bother reporting see minor issuewould definitely stay 
 May 28 2009 	 Pleasant Stay 	 return one night hotel would recommend highly stay London . get rate £ 50 teenage son include breakfast excellent . hotel central , close Gloucester Road Station Science Natural History Museums , road . staff nice . drink bar reasonable . room clean comfortable Hotel clean . breakfast excellent . good stay . would definitely go 
 May 22 2009 	 extremely pleased hotel locaton 	 wife stay hotel six night ( Sunday Saturday ) . book direct hotel internet get discount stay three night . available book internet agency . book direct also guarantee breakfast include . hotel staff pleasant helpful . double room , although large , contain king size bed , fridge , tv en suite . every thing spotlessly clean . good selection breakfast restaurant get quite busy 9am . Gloucester Road Tube Station 200 yard away get right heart London less 20 min . catch 74 bus right outside hotel get museum 5 min . there several restaurant across road hotel ( would recommend Bella Vista ) . usual fast food outlet KFC etc . Gloucester Road Station . the criticism hotel one , room little warm even aircon two , floor board room room creak although not spoil stay . I would recommend anyone stay London 5 day get weekly travel card ( Oyster ) Tube Station soon arrive London . cost £ 25 save small fortune bus train travel . also get 33 % discount river trip . 
 may 16 2009 	 pleasent stay 	 look good quality budget hotel pleased find . stayed 3 night single room back hotel . quite , clean comfortable . room not small fridge safe . staff helpful friendly . main downside breakfast busy Saturday morning ( weekday morning ok ) Friday night price significantly high weeknight . the hotel 5 minute walk Glocester Road station , cafe supermarket . 
 May 10 2009 	 much well expect - excellent value 	 Booked hotel direct via website - £ 65 pn b & amp ; b king room . not expect much honest , normally expect pay double London midweek . pleasantly surprised - clean medium - sized room , include good shower full size fridge . friendly staff reception concierge accept luggage store arrival departure . £ 12 taxi Leicester Square , 15 min tube ( 2mins walk Gloucester Rd ) . breakfast reasonable , bar bit small lacking atmosphere . would certainly stay . 
 May 9 2009 	 highly recommend price location ! 	 holiday London 25th April 3rd May . ( 8 night ) actually want book Glouscester Millenium Hotel around vincity . stay occasion London kinda like location . book remain room grossly over - price , decide go Park International Hotel less . book room King size bed 2 young kid ( 2 4 yrs old ) . stay we use bedding therefore not extra charge they . the room big enough 2 suitcase , much walk space . expect hotel Europe complain . consider price pay , find value money consider hotel 5 min walk Gloucester Tube Station breakfast include . the hotel provide continental breakfast find particular good small hotel . however , aviod crowd , please breakfast early guest tend stream hour cafe open morning . room make everyday , except not change bedsheet last night eventhough big obvious milk spill patch sheet . room boiler tea - make facility standard tv program . internet available fee . they staff friendly enough , knowledgable . however , find information need internet ask inform walk past reception later . well do ! would recommend hotel location competitive pricing ! 
 May 8 2009 	 comfortable room - not go food 	 room fine bed comfortable - good night 's sleep . noisy even though room look Cromwell Road . bar bit weird - patio - style furniture arrange front big tv . breakfast great - bit free - for - all buffet cook breakfast nice . great quick stay go breakfast . 
 Apr 5 2009 	 would never stay 	 stay hotel September 2008 . arrive late 11:45pm immediately disapointe check . clerk never smile never even make eye contact . room invite smell . feel like cheepest motel usa.they also make sure repeat several time breakfast include , sinse make reservation internet . but bad experience ask order cab Victoria station . concierge tell we ride 25 pound . driver cab drop we , demende 35 , would hear nothing . also drop we 3 block away entrance , shlep case without even buggy . show indifferent ignorant staff . not care . not breakfast include deal - do not eat . find cheeper well food outside . good part , close underground station 
