not 	 not know people expect , read review worry ! hard find hotel reasonable quality less £ 190 per night plus breakfastT single room . hotel great price expensive location lot restaurant close want go far . money , could fault . 's good hotel London great value . hotel look great outside reception comfortable invite sofa 's newspaper handy . room clean , small bath ( would use ) otherwise excellent , slightly fade bad . breakfast good include room price . happy assume price increase dramatically stay regularly . 
 great place stay great location . 	 impressed hotel . friend book room online third - party travel agency , assume communication issue agency hotel , hotel get overbooke . go check inform us problem say would everything could find we another room . take couple hour , find we another room despite fact hotel book solid London , refunded money , get we private car hotel mile outside city ( expect ) . kind way , let we get ready lobby bathroom , lend hairdrier fix hair , give we free drink , watch luggage we go . top , owner hotel happen lobby watch entire process talk we personally say really appreciate way handle whole thing without get angry staff offerre we free room next night could spend another night London ( suppose go back Chichester ) free breakfast favorite breakfast place morning . return next day check free room , find give we second good room hotel ( good one book ) . room service prompt delicious , room immaculate , bed extremely comfortable , every staff person encounter throughout whole process friendly . definitely plan stay next time ' m London would recommend despite minor communication error . 
 Nov 25 2009 	 incompetently Run Hotel Beware 	 book hotel Hilton Premium elite scheme Park Lane fully book , book three room make five week due date . go check tell book ( apparently one 20 people ) would transfer we sister hotel Knightsbridge Green Hotel . assure would suite three separate bedroom . arrival think look right saw room confirm . alternative dump proably dangerous electrical wiring hang corridor . plight solve Coutts Conciege service . 
 Nov 12 2009 	 never . 	 husband book stay 40th birthday surprise , terrible let ! ! staff unfriendly , never smile ! room cold sleep t - shirt , wallpaper peel four wall ! ! bathroom really tatty shower useless.never . 
 Nov 12 2009 	 4 star hotel ! 	 book last minute ( Secret Hotel ) glad do not pay anywhere near full price . stay one night work Tower Bridge Travel Inn , ( honest wish have stay ) think wife join weekend would get something bit nicer Friday / Saturday night . room small bathroom small heating break ( small oil fill radiator keep room cosy take limited floor space least do not make noise ) window would not lock . room clean tidy expect ! previously stay Clarges Mews Hotel round corner lovely expect something similar . 
 Nov 12 2009 	 believe bad review book hotel 	 hotel organise work , read review Trip Advisor , think would give benefit doubt . big mistake . upon arrival , soon clear go problem . could not find book woman Reception give furtive glance talk we behind hand . tell ' lucky look like upgrade ' . time realise comment Trip Advisor correct . ship us sister hotel Knightsbridge . say 5 star , upgrade 5 minute away , Knightsbridge Green . load bull . 15 minute drive away , choose Park Mews location . scruffy dirty . people reception tell we teh room not pay , even though company pay teh room front try charge we inflated rate . I hate whole experience feel like con teh whole process . thank god book one night least company pay . pity visitor London check either hotwl . 
 Nov 9 2009 	 review totally true 	 definetly four star hotel . dirty , haggard cold . think probably four star hotel 10 year ago certainly . hotel look nice outside soon walk notice whole place need refurb . not usually comment hotel really feel hotel staff need sit read reviews act . hotel could nice TLC . 
 Nov 8 2009 	 dreadful ! 	 dreadful hotel . dirty carpet , cold , crappy tv , unfriendly staff , shabby shabby room . could go not want . use 50 character . way even 3 star hotel . stay . ever . 
 Nov 6 2009 	 bad hotel london 	 must say really disappointed hotel , book director one bad mistake life . staff terrible give ... guest . room cold rug filthy . manager terrible rude guest . firstly internet working , secondly rug dirty , whole staff really rude unhelpful . please stay away hotel . still sleep night feel bad director go . 
 Oct 27 2009 	 not even get far ! ! 	 live Devon surprise Birthday husband ( 50th ) book 2 night we stay hotel , arrange week ago . see website think wonderful hotel look excited staying , especially nothing luxurious live . 6.30 pm Friday night get call mobile say ' over - book ' move we ' the Knightsbridge Green ' hotel Knightsbridge . argue case express discontent inform late totally helpless anything stage way . get so - call ' sister hotel ' first impression hotel : shabby , dirty entrance hall , open lift expose cable ( quite frightening ) splodgy paint technique unbecoming , wallpaper peeling , sparse furniture , oddly - dining room , claim 4 star hotel ! ! inform could continental breakfast eat room ! upgrade we luxury double ensuite sitting room extra cost , however , room view , hot claustraphobic painting wall ( money spare comfort ) , table / chair eat breakfast sofa . choice accept 09.30 pm . we definitely feel rip future stay reliable ' Premier Inn ' england good value money comfortable . also add note onto review section ' the Knightsbridge Green Hotel ' . sound review also big ' no ' . 
 Oct 20 2009 	 Hospitable Location Inhospital Receptionists 	 stay hotel numerous time . mayfair location terrific restaurant , walk theater , shop Harrods Harvey Nichols even Oxford Street . location price bring we back small hotel . locate back street quiet , though room need bit update , clean . improve since last visit w/ new wallpaper tile bath . one never realize importance hospitality lack courtesy show . arrive receptionist could find reservation . luckily , print confirmation two half hour wait , include leave return , give room . credit , allow us room early usual 2:00 . receptionist duty trainee disagreeable hotel staff ever encounter . even mutter obscenity computer presence . treat another guest w/ equal disdain , would take attitude personally . two day stay , hear say , & quot ; Thank & quot ; ! two employee could benefit hotel hospitality training , simple courteousness go long way hotel 's reputation . despite negative comment , would recommend hotel Mayfair location proximity shopping , entertainment restaurant . 
 Oct 11 2009 	 Faulty tower ` ` London '' worst ever Hotel ! 	 unfortunate pleasure stay recent trip London , ' m general manager global customer service company rely upon repeat business , start ! front desk staff appear training rude place work load , interested chat look nail treat seasoned traveller child . bed room might well remove simple blanket place floor , sleep back building expect local flat start party 330am , everyday ! front local business shift worker also finish 3 am , checkout assure Amex charge find week later charge twice , faith hotel could detect let alone refund , course dispute room rate change unfortunate stay continue . imagine order food restaurant maybe Waldorf salad keep Faulty Towers ! 
