ok 	 clean , comfortable . choose area O2 arena , although 7 minute walk Waterloo . sightseeing , good area . room comfortable , although wake Saturday morning 08:40 house cleaner see room ready clean ! ( bit early ) ! . check in / out fairly fast , although load people . breakfast good . major problem elevator . 3 whole hotel . luckily 3rd floor staircase , otherwise could 1/2 hour wait lift . staff professional . many London hotel , not like fact pay internet access . 
 Nov 23 2009 	 great service average hotel 	 stay 2 night room think describe suite , contain double bed , sofa bed small kitchen area . need sofa bed travel young daughter . set bed arrive remain throughout stay , mean little room move . need 1 bed would really good size room London . the decor furnishing bland room far hot . interal air con not work complain heat poor night sleep tell regulate externally . turn still hot ( feel cold ) entire hotel . our room overlook Waterloo station could not hear thing . surprised see room directly opposite lift , doubt would quiet frequent wait lift . the sofa bed uncomfortable normal bed much well - extremely hard . breakfast ordinary crowd . early dinner hotel one evening find food bland , lukewarm price ( almost £ 70 kid meal , bowl pasta , 2 course adult meal 1 glass wine ) Room service similarly lukewarm mediocre quality . the staff superb - friendly attentive , especially daughter , make nice change . shame hotel lets staff , often way around . the hotel offer good value compare 4 star hotel London heat uncomfortable bed , combine poor food would mean would stay 
 Nov 23 2009 	 WOW view ! 	 recent business trip book Park , arrive early greet welcome staff possible . I overwhelm offer free upgrade ' Penthouse Suite ' overlook London Eye Westminister ! unrestricted view , walk around balcony . sumptious living area kitchenette dining area . two tv 's , choice pillow decent toiletry . well stock bar , plenty towel spotless throughout ! breakfast service accommodation top rate . enjoy peaceful evening would go ! ! 
 Nov 22 2009 	 surprisingly good ...... 	 stay one night Park Plaza Thursday 19th November two sister would rate hotel pretty highly . excellent location use Waterloo ( be attractive area London easy get South Bank bridge Covent Garden etc ) suite sitting room sofa bed one sister sleep double bed kichenette inbetween . good space , nice decor quite . unfortunately look Waterloo Station would imagine view side pretty amazing . lovely staff especially friendly italian girl Reception , charming ! not breakfast close lot cafe 's near County Hall South Bank . , good value money . 
 Nov 17 2009 	 great value maney 	 Perfect location business leisure . room toilets clean decoration nice ! good hotel ' ve stay London . 
 Nov 17 2009 	 close everything ... good kid 	 Stayed spouse two kid . location superb ; within walk distance Eye , Westminster , Waterloo Station . room large clean . definitely would stay . 
 Nov 16 2009 	 Fine 	 stay Saturday night fine , nothing spectaclar hotel . room clean spacious , though sofa bed put two we request one king bed . not problem room may impact walk spacious living area instead another bedroom . bathroom good size , couple thing let , crack tile floor rain forest shower head block jet agree glass door not nice design feature . overall hotel fine , nothing complain also nothing write home . 
 Nov 14 2009 	 good value money London 	 ` stay many time , business sometimes weekend break , location fantastic , £ 8 get anywhere worth go London cab tube 5 minute walk . Big Ben view nice wake morning , Leceister Square 20 minute leisurely walk London Eye 10 minute . room spacious , clean , staff friendly concierge doorman ` enough you . breakfast ok , executive suite bit small food well main breakfast area get early either safe enough . only one moan lift , last stay one order still fix 3 day leave . since 13th floor wait 20 minute one completely full every time ` stay problem . do favour want spend money important thing £ 1000 night room central hotel stay . 
 Nov 9 2009 	 sleek new hotel 	 book double room ' studio ' new hotel round back Waterloo station - location beat - minute Thames main cultural attraction South Bank . room 13th floor look Waterloo station beyond Canary Wharf oxo tower . glass lift interesting view main open interior hotel . suite brand new sleek - neutral decor , large comfy bed , big wardrobe lot storage space . mini kitchen consist microwave , espresso machine , kettle , crockery / cutlery . thing let kitchen UHT milk sachet fridge . the part suite living room panoramic view - nice modern furniture , widescreen tv . really stylish . complaint could not get radio work properly tv - radio 1 4 . ensuite bathroom large bath big shower , small pack toiletry bathrobe . opaque glass door next toilet little unnerving - make sure know partner well book ! reasonable - ish price room beign central part London - £ 140 bnb . breakfast serve 6.30 11 ' mezzanine ' level - plenty choice buffet style - include egg make order , usual choice cereal , cook breakfast , mini croissant little stale , pancake lot fresh fruit continental ham cheese . staff attentive , always come round check want tea coffee . service check efficient . rate also include use sauna night not take advantage . 
 Nov 2 2009 	 Outstanding Hotel ! ! ! 	 good hotel entire history hotel ! food beautiful , 's nice location , staff lovely , room top class amazing view go lift ! OUTSTANDING hotel ! stay twice wait go back ! 
 Nov 1 2009 	 Excellent hotel 	 stay two night business - first night keep awake dripping shower head night , complain leave morning . return evening , upgrade suite , lovely . 
 Nov 1 2009 	 amazing hotel right center ! 	 stay hotel many time since first open still bring back every time . price location , staff , spacious room worth . upgrade almost every time even get see penthouse . look place stay central sight London worth money - look ! 
 Oct 31 2009 	 Great Hotel 	 stay hotel one night husband . superior double room . spacious clean . room even iron board iron ! ! ! breakfast delicious variety . make sure go 9 a.m. wait table ( long queue ) not like view room- brick wall top London eye ( tiny bit ) .I recommend hotel . oh ! forgot . gym well equip - there even sauna steam room . we enjoy stay . would definetly stay hotel . 
 Oct 30 2009 	 excellent ( 	 stay Park Plaza last night take 5 year old girl Disney Ice O2 arena ( Thames Clippers leave next London Eye go O2 Arena ) want kid friendly hotel room / suite big enough 4 we . book Junior suite upgrade penthouse lovely . hotel clean , room spacious modern feel . Marc & amp ; Gary concierge easily spot bowler hat really helpful , offer direction , good place eat sound local info , can not thank enough ! easily accessible lot London site ideal Waterloo station . 2 niggle mini bar remain locked ( despite deposit ! ) bed bit hard ( well taste ) . really good hotel . 
