ubiquitous 	 room decent size , clean quiet . excellent location good value money . 
 Nov 24 2009 	 room standard really staff 's fault 	 choose park Plaza location stay park Plaza Westminster fab stay . excutive suite . look forward re- live experiance . although centrally locate great shopping walk restaurant , park Plaza seem dingy say least . room tired , mark stain furniture carpet , curtain thin ill fitting , room feel cold un love . slide door open terrace could lock find place little depressing . staff reception friendly enough invite enjoy excutive lounge free drink , canape & amp ; paper - yet another dull room , hard chair , bright light poor drink selection canape ? sort chicken mousse sausage thing slice serve cracker ( taste nothing ) bowl chinese rice cracker ! give away anything give good all . the location great station many eat house ! Westiminter park plaza league ahead far nicer , cosy , contempory style much warm feeling . 
 Nov 24 2009 	 Bed need upgrade 	 good well design hotel , location breakfast good . however , downside :1 ) air condition winter tiime , warm air blow machine . so stuffy room foe day need open window.2 ) bed become soft due overused can not feel support mattress all . so uncomforably bed pillow . so think put money maintain upgrade bed mattress blanket . I prefer hotel provision basic stuff good sleep bed pillow rather good look hotel . 3 ) also early check usually entertain although ' ve see empty room upstairs.4 ) internet rate expensive : 15 pound per day 60 pound week .Most likely would come back , think find well one similar price nearby 
 Nov 19 2009 	 park Plaza Victoria 	 good point : complimentary morning paper , excellent buffet breakfast , freedrink 6 8 pm . hotel locate good location ( near Victoria Station ) withgood restaurant near . neagative room faulty toilet would flush . complain three time move another room . inspite , would still recommend hotel . 
 Nov 15 2009 	 Excellent well locate hotel 	 stay hotel one Saturday evening November . arrive hotel 0945 expect check drop bag , greet excellent receptionist welcome we hotel offer check we , four party request room close . receptionist offer grade we two bedroome family apartment extra cost could stay together , apartment excellent 8th floor large lounge area wide screen tv , table chair 4 people , fully equip kitchen facility - hob , microwave , fridge , dishwasher , kettle . this excellent could bring thing back room cook , especially handy stay long one night . apartment huge outside balcony could view many city 's sight well watch many plane go past every couple minute . bathroom well equip hair dryer , toiletry , large walk shower well huge bath shower head . bedroom ok size also large screen tv 's . hotel excellent location right behind Victoria station , easy get area London . use tube bus travel around worry come back hotel late evening . anything eat drink hotel comment price quality service use excellent , seem hotel fairly new decor modern . staff come contact friendly helpful . check use free luggage storage service seem secure access conceirge 
 Nov 13 2009 	 ok hotel overprice 	 stay hotel many time since corporate rate close office . location close Victoria station . staff usually helpful friendly room usually clean , although bit small ( even London ) . however , find always something wrong room . last stay heating room . time dripping water bathroom , keycards get de - magnetized way reception room , noisy air - conditioning , etc . the breakfast buffet good . 
 Nov 13 2009 	 disappointed .. will not stay . 	 stay park plaza london early also.last 2 time issue .. one other.this time terrible . no internet connection room.very poor support.promise set right never kept.had meet GM.nice person & gt ; & gt ; .helped wireless internet connection.from day till came leave Mini Bar never work ..... many reminder .. many promise .. action.to check .. checkout .. address concern .. long wait Reception Desk.the main prtoblem hotel seem action taklen ... delay action.all staff coulkd friendly ( except ) .Dop Disturb Sign respect . House keep staff speak english walk room even without knock door.remember always request Body Soap ... do not get Toilet ... seem Hotel want one shower Soap ! ! ! : ) room winter Air conditioning heat up.too warm AC switch on.have keep window open ... ... make noisy night . hear whoever make Hotel make ! ! ! ! unbelievable ! ! ! time call someone set right.good thing hotel close Victoria station.good location . 
 Nov 11 2009 	 Nice hotel great location 	 really enjoy stay hotel . booked conference , disappointed . hotel modern clean efficient professional staff , friendly welcoming . concierge helpful , especially Danny . room spacious bed comfortable , room US adapter . breakfast hotel good . hotel great location vacation business , central lot touristy sight . 2 minute walk Victoria train station Tube , shop close , lot great restaurant bar .walking distance Parliament Buckingham Palace . 
 Nov 3 2009 	 real find 	 use hotel least twice year love . decide post amazed negative report . firstly , always book exec . room difference price well worth . find hotel centre London good rate huge plus . love early evening freebie meet guest party atmosphere soon develop go way . staff always polite accommodate . gripe - room need light . 
 Oct 29 2009 	 excellent location famlie 	 stay 3 night package include breakfast free drink nibble 6 - 8 pm . first time Victoria , usually stay County Hall site Excellent location tube walk City centre . distance Buckingham Palace . ' plenty good restaurant around hotel , use Giraffe , Wagamama great little mexican restaurantlocation clean safe . problem room next lift shaft , get use constant droning first 8 hour ! breakfast good , wait pleasant staff . similar County Hall Park Plaza decor facility , interesting see happen new Westminster Park Plaza hotel open . would stay , excellent family . cheap hotel London end day get pay 
 oct 22 2009 	 Great Location 	 stay hotel 2 night ( Oct 16/17 ) whilst visit London family wedding . personally find hotel 's location perfect , close Victoria Station / Tube , therefore rest London . hotel perfectly fine , room large & amp ; clean & amp ; reception / bar area quite nice . eat hotel take breakfast across road morning ' Giraffe ' restaurant tasty . also lot restaurant close . return visit London future would definitely consider stay location room rate get prepay room thru hotel 's website . 
