fantastic 	 28th-30th Nov 2009 . never stay Premier Inn . always favour spend money pricey boutique hotel feature Mr. Mrs. Smith etc . however , moment check immediately notice modern clean hotel . spotless spacious - everything want hotel short break city . unfortunately Sunday night wake feel unwell continue ill throughout night next day food poisoning ( eat outside hotel ) . London pay little hotel apprehensive phone reception ask late check - out . surprise receptionist incredibly kind understanding , allow check two half hour late call doctor . also bring toast room would not take painkiller empty stomach ! overwhelmed sweet forget much help day . great hotel fault , even not ill . 
 Great Hotel Great Location Great Service 	 highly recommend hotel - inexpensive ( London ) , close Tower Bridge many form public transport , be great place stay . clean , nice room friendly helpful staff . not fancy hotel , receive kind service would expect expensive hotel - well do . stay six night , lots Pubs Restaurants walk , coffee bar lobby early morning wake up . want stay Tower Hill section London budget , look , hotel ! : - ) 
 Nov 17 2009 	 Excellent hotel friendly good location reasonably price 	 stay hotel 13yr old daughter , treat birthday . huge , comfortable twin room 5th floor . bathroom also big decent shower bath . eat Bar evening long day sightseeing shopping price really reasonable - £ 9 curry , child 's pizza brownie . food tasty drink not expensive . breakfast fine include price . staff really helpful friendly - especially Barbara , great . difference hotel Apex area complimentary stuff provide , squeezy bottle shower gel / shampoo bathroom much coffee / tea etc really not problem . definately stay London , be cheap ( cost we £ 71 bed breakfast ) , well locate staff great . 
 Nov 1 2009 	 excellent location . 	 five minute walk Tower Hill tube station , could see Tower London room . room clean spacious double bed two single . bathroom clean toilet , sink wonderful shower ( bath ) . staff friendy breakfast good . even though train line run behind hotel , right outside room , noise disturbance . 
 Oct 15 2009 	 Excellent . 	 place fantastic . five minute walk tower hill tube . walk dark daughter feel safe . staff lovely room fantastic . massive room lovely comfy bed . totally clean fab bathroom . little moan rubbish pillow everything else perfect . downstair costa cofa nice little bar area . brekkie wetherspoons road much cheap . close tower london also walk london eye hotel less hour away . room cheap travelodge million time nice also great value central london . would recommend anyone deffo stay next trip london . 
 Oct 13 2009 	 perfect 	 stay quite number hotel london year well far , perfect location stone throw tower hill underground 5 minute tube euston , lovely clean modern room amazing shower , quite night , superb breakfast , helpfull smiley efficiant staff , , , , , perfect 
 Oct 8 2009 	 WONDERFUL ACCOMMODATION 	 stay Premier Inn 1 October 5 October . moment arrive nothing much trouble staff . problem get Viewbox work . Maintenance Man actually go home still come fix problem give we ifo regard local market . Fernando helpful . accommodation clean tidy . surprised breakfast include get accommodation Asda Travel receive good price . breakfast welcome Barbara lovely friendly helpful person . whole experience would recommend friend family . would suggest give try also close Tower Hill tube station . 
 oct 2 2009 	 Excellent hotel : big modern clean room friendly staff perfect ! 	 stay several London hotel year , add praise reviewer give ! hotel truly excellent price budget hotel ! room spacious ever London , furniture modern new , traveller 's photo show true room , sparkly renovate show room hotel brochure . bathroom new , clean , mould , shower work perfectly . book twin room not like fight duvet ; - ) delighted find could hold bed together via hook foot bed . breakfast good . go peak time will wait minute seat , nothing complain . choice breakfast buffet good , excellent coffee , cook breakfast rich plenty choose , although leave last minute everything might available anymore , well not arrive 5 minute end breakfast time . staff friendly helpful , waiter well reception . arrive early could leave luggage secure baggage room , access staff get token bag ( unlike hotel room often supervise open everyone ) . check , leave luggage spend day London collect way airport . location far Tower Hill good , although quite lot people around evening 's City . Aldgate might convinient Tube station depend go , also isolate ( feel ) . beer nice setting would recommend pub Minories round corner direction Tower Hill . great food pub White Hart , corner Bishopsgate/ Liverpool Street , close Liverpool Street Station . groundfloor 's noisy usual , downstair 's original cellar vaulted ceiling provide great atmosphere lot candle . food excellent . good Sunday morning experience Spitalfields Market walking distance . book Germany , check i.e . Neckermann . book 56 Euro pppn include English breakfast cheap booking booking.com . since stay ' ve recommend hotel several friend happy hotel . 
 Sep 26 2009 	 great service location 	 stay 4 night vacation . location great easy access tube bus service well tower London Tower bridge . staff curtious helpful . room quiet bed comfortable . breakfast every morning food good . staff breakfast area smile seem enjoy work . reasonably price London . Front desk staff helpful question direction . would definately stay return . 
 Sep 20 2009 	 excellent family room 	 great location access Skyride cycle event . make welcome excellent service . accomodate arrive 4 bike store . enough room luggage room kid bike secure bike parking rear hotel adult bike . room ideal family . large comfortable bed 2 separate single kid . room clean excellent shower facility . breakfast staff friendly wide choice quality food / drink . we would definitely stay visit London . 
 Sep 18 2009 	 be like ' m sell Premier Inns ! 	 stay work week . first time colleague stay Premier Inns not really expect much else adequate room reasonable location , although review look promise ... lovely surprise hotel ! friendly , helpful , large comfortable room spotlessly clean . day day consistently good service continue . staff genuinely please go way help happy good natured even busy ( eg breakfast time ) . breakfast beat budget hotel ... reasonable selection ( importantly ) plenty staff replenish cutlery item use . at end day , late - night bar staff carry & quot ; helpful ethic & quot ; hotel make drop nightcap pleasant experience ( rather ( budget ) hotel , seem begrudge give service end day . all - in - all , think tell colleague ( separate room , hasten add : - ) really good time stay heartily recommend ( long , , not become popular can not book ! ) thank much manager staff . could really open eye large , & quot ; posher & quot ; hotel give lesson run properly ! 
 Sep 16 2009 	 great value 	 ' m always happy recommend Premier Inns exception . great value really nice ( though little small ) room . nice bar area albeit limited choice beer Witherspoons restaurant across road real bargain meal . 
 Sep 9 2009 	 believe Lenny Henry .. well do Premier Inn A+ 	 do not believe Lenny Henry advert , pay £ 88 night London worth every penny . great welcome staff let we check early without fuss payment ( unlike Travelodge way ) . sky sport capability Costa Coffee lounge change onto request ( Bartosz ) . friendly reception people , well informed , welcoming . Room immaculate , really clean , really comfortable bed excellent pillow . LCD Tv room FREEVIEW , sky rip Sky charge , wonder . excellent power shower clean bathroom . coffee make facility Kenco Coffee pouch tea . overall excellent stay definitely stay Premier Inn . 
 Aug 7 2009 	 great deal ! 	 really nice clean hotel . well locate . nice bar downstair drink quick breakfast . nothing complain ! 
 Jul 18 2009 	 good hotel whole trip 	 say enough great thing gem hotel . convienient tube , open 24 hour food drink . room cool ( AC ) bed extremely comfortable bathroom well light clean contemporary . also stay County Hall property two night visit would much rather stay next time . teenager share room much space . staff bit slow , still helpful . 
