overprice 	 book theatre package recommend ( 4 Star hotel ! ) sister & amp ; look forward relax birthday celebration . the first thing one room still ready 4 pm discover one considerably small & amp ; dark ask another room tell . could get seat meal hotel Saturday facility pay guest general public thing tell order room service ! consider overprice rate hotel wonder facility pay . breakfast good keep wait table morning & amp ; din room cold , complain ignore .. staff abrupt rude last day try get meal leave tell run food & amp ; kitchen close ! travel & amp ; live abroad several year & amp ; honestly say dismissive disorganised overprice hotel misfortune stay . captive audience due location ( good ) , pride job well do along standard & amp ; quality sadly lack ( watch standard reply hotel ) 
 Nov 26 2009 	 everything great mouse show 	 hotel fantastically locate Covent Garden , probably stay despite mice room . ' m tolerant way , other might ! see three occasion room , type desk , another time emerge shower ( thus result epic sitcomesque womanly screech washroom ) , third get ready retire . ask discount , front desk clerk not actually ask stay ( maybe not want hear undeclared occupant ? ) , late flight case . warn sqeamish wary squeak night ! also , gym terrible . 
 Nov 20 2009 	 Location excellent - would highly recommend hotel 	 really enjoy stay hotel . front desk staff helpful nothing bother . location excellent - close everything able walk everywhere . stay standard room please size ( partner ) would find room bit small . bathroom big . downside not separate shampoo & amp ; conditioner think would well hair / shower gel . bar great place sit people watch bar staff attentive . bar extensive cocktail drink list . not eat restaurant plenty place eat nearby . I would stay would depend price , occasion get good deal . 
 Nov 20 2009 	 great location hotel bar room small service mix 	 two night stay . fantastic location west end main reason booking . hotel bar lovely . good check service quick respond complain intial room 6th floor - small , light work welcome note address different party . explain could not offer upgrade due hotel full second night . change room second floor little space . disappointed though service . check not intend put drink tab credit card detail provide . end night though couple drink bar come pay tell problem put room , . retire bed . midnight receive phone call room ask we come pay . partner explain stay two night could sort morning individual insist come room collect payment . partner therefore get bed find payment . kind service expect especially record would show stay second night intend run . let whole experience disappointing . would restay mainly location would definatley book superior room room small compare london hotel . 
 Nov 7 2009 	 ok give price 	 stay 2 night weekend Pats v Buccs NFL game . review correct much location excellent everything want see short walk . staff friendly professional , exception will come later . we standard room small could refurbishment . bed small one side mattress sagging really need replace . upside room quiet disturbed plumbing , AC , guest etc , good give room size . whether give hotel 3 4 star IMO depend price pay . meet friend US get 3 night stay $ 330 excellent deal . pay £ 320 two night , even London standard expensive . also food drink v expensive , shame bar excellent . bailey set back £ 7.50 breakfast ( v good ) £ 18.00 . Problem Sunday evening London shut 11.00pm . US guest , vacation , want drink midnight distinct impression bar staff want shut shop go home . fair enough , pay extortionate price much ask drink serve without make feel though let wind lift ? 
 Nov 5 2009 	 ok saw 	 reviewer be not lie size room . room first floor , pretty small everyone street outside could see . do not like low floor do not see point complain 1 night . shut curtain put light instead . room quite small , stay 3 day suitcase , might struggle space , , 1 night ok . everything room work fine . bathroom nice . unfortunate floor really noisy american guest would not shut even half 3 morning . close complain reception leave . hotel fault I m sure would sort complain . location excellent though . near everything handy . do not try breakfast , can not afford ! ! check , bit wary ask pin number credit card . normal London ? ! enjoy stay book hotel treat partner birthday , little thing really let pay much room . I d suggest other make special request advance guarantee perfect stay . 
 Nov 4 2009 	 ok'ish good ..... 	 stay 1 night , thanks god . room clean , fair enough . pay gbp140 1bed room , incredible small . to get room , walk small claustrophobic corridor , make unpleasant experience . location central , do not would not stay money , give shoebox proportion room . 
 Oct 31 2009 	 courteous stay great location 	 overnight stay Mountbatten locate excellent position heart Covent Garden within easy walk distance theatreland excellent restaurant . superior king room good sized bedroom , peaceful overlook pretty leafy Monmouth Street . welcome arrival welcome treat courtesy helpfulness staff . hotel attractive , clean comfortable ' homely ' feel . comment restaurant lunch dinner . breakfast adequate although bacon egg trifile overcooked . however fade background compare excellence rest hotel . W would certainly stay next visit London . 
 Oct 26 2009 	 fantastically central location nothing ordinary 	 Slap bang Seven Dials , right centre west end ideal be visit London theatre restaurant . nothing outstanding place . clean room nice bed linen . lovely ( rather old ) sash window let noise slight draft . one wierd feature service ' welcome ' phone call room . one wonder necessary ? return evening appointment 11 pm , slightly worried see message tv screen voicemail - obviously important ! er , . grow adult , ' m sure needed hear message basically consist ' phone we want anything ' ! would hotel three hour leave meeting 7 pm , not ' welcome ' come . 
 Oct 24 2009 	 excellent room dodgy water supply 	 suite 7th floor fantastic - water supply erratic morning . leave ' high dry ' shower first morning ! water tap five minute . do not bother breakfast - go along road Franx cafe , full english toast coffee fiver . also recommend Cafe Pasta dinner . the bar expensive exciting . terrific location though . free wireless internet good . 
 Oct 24 2009 	 Great Location hiccup 	 sister 86yr old Mother one night . arrive 12noon really expect room available - and not . leave luggage come back 2 pm book in . only one room book ready still ready finally leave get lunch 2.45pm . therefore unable get access one return theatre 11.30pm . acceptable . fair , offer refreshment compensate settle one free breakfast instead . position hotel perfect despite room small , quiet . pillow like brick bed comfy . bathroom clean unless lay bath see rim inder toilet , need good clean . management please note ! ! street great restaurant call Box staff cheerful friendly 's worth visit . food far well upmarket restaurant eat night . Baz waiter deserve tip ! would return hotel hopefully would encounter problem experience . 
