average 	 hotel clean & amp ; well present . easy access 02 dlr one tube stop . room service meal poor price & amp ; good . breakfast also poor £ 17 per person lukewarm cook breakfast ideal . 
 Nov 19 2009 	 nice mind drink 	 stay hotel two occassion - room well appoint hotel fantastic location price . weekend good value pay £ 69 Saturday night . first visit mar £ 27 two gin tonic include 12 % service charge . not mind pay service wait bar 15 minute . way write complain tell expect high price 4 start hotel . the second visit well prepared price bar time actually drink deliver table . 
 Nov 18 2009 	 great hotel great location romantic break ! ! ! 	 nice hotel great view 02 arena across Thames . suite recommend extra comfort large bed large bathroom , need ! ! ! 's onsite Spa facility superb worth book stay ( half price room ) thoroughly pamper along friendly , helpful staff relax pleasant stay . 
 Nov 16 2009 	 elegant different old City hotel small room thick carpet many door . 	 serviceminde friendly personnel elegant pleasent room see London . meet Dockland area , hotel perfect . 
 Nov 15 2009 	 modern soleless hotel 	 room ok , facility ok . business trick far town leisure trip nothing surround area . car parking awkward ( valet ) expensive fairly run mill modern room . 
 Nov 13 2009 	 fabulous room attentive staff superb location o2 ExCel 	 wow , fantastic reception entrance . completely set tone 3 night stay wtm 2009.this hotel great base ExCel across river o2 . choice transport get ExCel : DLR Blackwall 2 minute walk , taxi 's sit front walk Custom House / ExCel 25 minute . hotel brilliant base spacious , modern clean room compliment friendly , efficient staff . bar restaurant provide good food , however , also good italian do road . 
 Nov 10 2009 	 Excellent service 	 stay hotel 4 night business trip completely satisfied room manner staff always courteous . room comfortable , modern spacious , breakfast good receive complimentary copy newspaper . use gym find comfortable well equip though probably bit pack pick hour . also recommend spa centre use free guest hotel , really enjoyable experience . use business centre similar gym adequately equip probably bite small big hotel , also time staying printer work ( however , offer use one reception instead ) . whole pleasant stay hotel despite convenient location 10 minute away Canary Wharf really quiet necessary amenity guest relax long day . thing improve : air - conditioning find hard adjust require temperature also bit noisy , toiletry include simple shampoo bath foam / shower cream , shuttle bus service problem group space car one car every 20 - 30 minute . 
 Oct 25 2009 	 Lovely Hotel Great Location Reasonable Price 	 partner stay 3 night July . book last minute lastminute.com . chose & quot ; Top Secret & quot ; option Radison get . pay 60pounds $ 120 canadian per night . booking last minute look reasonably price hotel , not horrid , close public transport . price hotel central London crazy get really awful place choose bargain option . feel Radison deliver short train ride central London , really lovely clean price quite cheap London July . we please location . less 5 minute walk local DLR ( DOcklands light railway ) station . station 25 min . ride central London . quick easy . hotel across water O2 arena , take show , also perfect hotel night . hotel brandnew , contemporary design , elegant decor certainly cut Radisson location . room spacious , large flat screen tv , small stereo , insuite coffee , tea , minibar . heat towel rack , large comfy bed duvet ton pillow . trouser press , iron board iron , gorgeous bathroom deep luxurious tub , well sleek shower room . little extras provide , qtip , sewing kit , shampoo conditioner lotion . drawback hotel Docklands location mean bit way trendy restaurant bar not seem abundance . nightlife location , restaurant basic amenity near hotel pool , gym , bar restaurant , will not without . realize go take DLR downtown live order save bit money , beautiful , clean , brandnew hotel reasonable price . 
 Oct 24 2009 	 fabulous river view stylish hotel 	 want hotel near O2 combine anniversary celebration see Spandau Ballet concert , choose hotel look stylish website . not wrong , room communal area like something ' Wallpaper ' magazine , way pretentious staff extremely welcome friendly . because special occasion request river view afterthought book delighted find have upgrade one - believe - good room hotel also surprise fabulous complimentary bottle champagne , deliver room complete ice bucket chill glass ! would thoroughly recommend ask Room 330 . enjoy glorious view sunset sunrise river O2 , bed huge comfy , bathroom large luxurious also overlook river , hotel general surprisingly serene quiet . appreciated fact could not hear noise corridor thanks extra thick carpet . all communal area sleek stylish , breakfast buffet vary good selection quality food . lucky enough great weather beautiful autumn morning day leave chill outside later hot chocolate come sliver delicious cheesecake . funnily enough full investigate fitness centre ! business centre great though need , sadly , keep touch work . I would recommend hotel anyone like quality modern styling . be also incredibly close O2 via public transport . blackwall station nearest even see hotel . place eat , 's good walk Canary Wharf , 10 minute away . worth know handful restaurant ( one hotel ) close open peak time , seem . if improve hotel way would say perhaps staff , polite , could tiny bit ball time in - room guide , elegantly design , need rethink page keep fall binder ! minor quibble overall think receive excellent value money enjoy lovely , truly memorable stay . 
 Oct 18 2009 	 good hotel ever stay ! 	 lovely stay hotel , modern clean . stay one suite room far swankiest hotel ever stay ! bathroom really modern huge bath walk shower . wish could stayed another night ! read review experience , hotel location slight downside . get taxi canary wharf could find hotel walk . taxi cost £ 5 . venture used dlr blackwall useful . would say although hotel slightly way really want stay ! hotel right centre London would pay much money . fantastic hotel would gave pay extra £ 100/£200 hotel class central London . already look take another trip December , pleased . 
 Oct 13 2009 	 Terrific Week - end 	 spend two night attend Andre Boccelli concert O2 . great convenient venue , less hassle train expensive taxi 's . would benefit water taxi overlook Thames stone throw venue water , cut troublesome tunnel . service charge hike price would idea staff actually give option add , thing treat customer fairly everything clear . enjoy short stay , staff pleaseant easy go make we welcome . thank Isle Man 
