good 	 ' ve stay Ridgemount nearly 20 year -- travel alone , take group student SUNY Geneseo , play friend . Mrs Mr Rhees , owner , son long - time employee make hotel home - away every sense word . true , room well other , clean clean daily , warm winter , friendly small room . be free tea / coffee machine lounge . breakfast wildly generous wait - staff kind tourist not quite know difference B & amp ; b restaurant . leave purse , laptop , first - bear room doubt everything return . the location priceless . several major bus line , 2 short block two Tube stop , long block British Museum , big Waterstone 's world right across street ! Bliss ! ( eat Wagamamma leave almost New Oxford St. ) small fee laundry -- priceless service day carry - on baggage ! Drop morning , pick night = budget traveler 's delight . five time ' ve take group student January study - abroad class 's Ridgemount make possible . small group ( 10 - 12 ) SUNY staff one faculty member admin person , be much work without net faculty member . ridgemount net . know kid get 24/7 good advice London travel help main desk , know safe time around hotel , Rhees family pitch help sort situation . Mrs Rhees bring tea juice room sick student class Canterbury son drive we hospital another occasion . wonderful family genuinely want help way possible . ( provide shoulder cry tired / exhaust / piss - off professor . ) people write bad review may know hard find clean , safe , affordable room middle London . the two good room # 20 ( small double one flight garden side ) # 2 , tiny single first landing . ( # 2 bath microscopic , entire west wall room giant window opening back garden summer 's like sleep terrace -- fabulous . ) street side noisy summer ( duh ? ) winter window close , 's problem . many room without bath , nice option break . share facility extremely clean . bed great real cotton sheet generous blanket -- need , heat generous ' ve every experienced 2 + decade constant visit London . stay long couple week , go London House ( Goodenough College / Club Mecklenburgh Square ) option expensive not academic / member . I really can not say enough good ridgemount . stay ! 
 wonderful stay clean great service ( small room ) 	 stay Ridgemount four day , room private bathroom , happy . pick base favorable review Tripadvisor . excellent thing hotel : - CLEAN -- one speck dirt anywhere room bathroom . housekeeper clean room every day standard.- Breakfast -- serve downstairs 7 - 9 . unlimited juice , hot drink , cereal , toast , jam , plus hot meal , usually subset thing : tomato , egg , cheese , ham , sausage . be vegetarian , will modify dish you.- Friendly -- owner staff meet exceptionally friendly , eager help , seem really enjoy jobs- Free luggage storage -- useful last day- free internet -- wifi reach room 3rd floor- free hot drink day- cold soda 50 pence- amazing location -- 5 minute British Museum , less 5 minute Tube Goodge St. 15 minute walk St. Pancras , train Paris . thing know come : - room small- noise Gower Street- elevator , carry luggage stairsother information : - hotel provide bar soap , shampoo- & quot ; disturb & quot ; sign -- maid knock door see could come clean room ... though will admit sleep bit lateall , want clean , conveniently locate , comfortable ( albeit small ) room , reasonable price ( London standard ) , ridgemount place go . 
 Nov 25 2009 	 great value wonderful staff 	 stay 10 day great budget hotel . 's perfectly locate get anywhere London via Tube bus . 's family - run establishment , proprietor , family member , staff unfailingly pleasant helpful . lounge offer free internet computer guest use ( helpful , not bring laptop ) addition wireless access . also available lounge free coffee tea machine soft drink 50 penny ( bargain London ) . room ( standard , bath ) small utilitarian freshly paint impeccably clean , bed / pillow comfortable . aware , however , Gower Street heavy traffic , include bus . sensitive noise request off - street room ( stay room face street , use earplug find noise level acceptable ) . 
 Nov 23 2009 	 impressed ridgemount 	 choose hotel rare overnight stay london basis previous reviews.i happy add praise.unless need luxury , hotel everything stay capital.firstly , welcome charming , offer advice area city checking , allow leave luggage time head back home.the location excellent , minute goodge street tube station , northern line , easy access part and.there plenty nice look restaurant , bar pub close hand.my room good , small spotlessly clean nice en suite good shower.there tv hairdryer also.there computer set lounge available free charge tea coffeeunlike hotel , breakfast buffet serve group charming efficient ladies.there choice three cereal , fruit juice , substantial cooked breakfast , coffee tea toast.just require hard day sightseeing.my regret stay one night , return , definately long . 
 Nov 6 2009 	 great location great value . 	 truly great find . first little skeptical , give share bathroom & amp ; shower scenario , could turn well ! ask double room , end get huge room double bed three single top floor great rate . fantastic view Gower street , ton room . everything spotless - sink , bed , sheet , etc , * * wait bathroom shower . owner super friendly helpful , pointed attraction / restaurant map . great . the english breakfast excellent ; really hearty . full service ; lady serve we friendly . location fantastic . short walk ( 15 min ) British Museum , completely walkable Trafalgar Square attraction . be right smack middle London , yet B & amp ; b quiet nice street . I can not say enough place ! would definitely stay . 
 Nov 5 2009 	 ` ` goods thing '' RIDGEMOUNT Hotel 	 great location ( really near underground station Buses stop walk distance place see London ) , friendly helpful staff ( front desk manager and/or people breakfast room ) , quiet room ( surely locate rear hotel close back - garden non - busy street ; summarize : hotel recommend . 
 Oct 20 2009 	 good value great location clean room friendly staff 	 partner stay 13th 17th October 2009 . choose Ridgemount large number positive review , fact be relatively cheap ( London ) many people say hotel clean . we arrive half hour early , though able wait lounge whilst room clean . provide free tea ( p & amp ; G tip ) coffee ( Maxwell house ) , free internet public - use computer , well free wifi - though signal bit dodgy leave ground floor ( occasionally could get room , usually could pick stairwell ) . be also vend machine can coke etc 50p . we book month advance give room 26 - double ensuite overlook back garden . room large expect , though ' ve read lot people find quite small , be use room place sleep size fine . outside temperature vary 7 17 degree celsius - even , room quite warm , sleep window open little night keep get hot . definitely would not stay middle summer , see room quite unbearably hot . have window open increase noise level fair bit , though not bother able sleep well . might different story have give one room face street , be busy time ( even night ) noise level higher . the bed actual double - queen , be use share small bed partner might bit put . bed make , towel replace room bathroom clean every day . the bathroom smallish , not fog shower . 's plenty space store toiletry , water pressure great . breakfast 7 9 am include price . never wait table , staff always friendly . coffee , tea orange juice - also hear someone order hot chocolate , though never ask one . choice 3 cereal ( cornflake , frosty flake bran flake ) follow egg & amp ; bacon ( read lot Americans think like ham bacon , though think 's american bacon teeny thin little rasher . ' m australian like bacon home , little thick ) . be also cook breakfast item rotate every day - tomato , baked bean sausage . top much toast ( butter marmalade ) like . overall would stay . 
 Oct 18 2009 	 Fantastic Hotel friendly staff . stay . 	 love Hotel . soon arrive greet lovely lady run hotel instantly make we feel home show we map everything . really make we feel like family . hotel clean quite charming , simple comfortable room although room not come bathroom , share facility always clean ( make rate cheap ) . include breakfast also nice touch , simple wholesome food serve friendly smile . even laundry service hotel excellent value . hotel also great , safe location near excellent restaurant , theater district walking distance center London ( although tube fast gower st station around corner ) . great place stay London offer exceptional value . cheap , comfortable place stay could well U.K. would highly recommend anyone . 
 Oct 16 2009 	 clean comfortable delicious breakfast good location great price . 's love ? ? 	 two son ( 22 20 year old ) stay vacation , happy accommodation . room clean ; bed comfortable ; bathroom small clean . yes , room small , kid not London hang room . staff gracious helpful , willing make recommendation . service excellent . boy rave breakfast -- could eat , delicious . Andrew still talk orange marmalade ( refrigerator home , go London try ! God forbid would eat anything new home ! ) . location perfect sightseeing . by way , make arrangement email , person contact polite , prompt reply , appreciative business . pay advance , hide charge addition boy check . wonderful hotel ! ! hotel highly recommend family . would stay . 
 Oct 14 2009 	 great value - friendly service 	 stay several place London business last year , range hostel 4 star experience good bad - latter include cockroach , mouse faece night desk manager whose attention exceedingly creepy . not expect miracle - need somewhere decent , well price reasonable near work base two night . ridgemount great find . OK 's small hey London price expect ? be do like dog dinner quite frankly could not care less do not designer tap en suite CLEAN - beat criterion far ' m concerned . room tiny lot nook cranny 's put stuff . bathroom . single bed compact comfy . rear building quiet . staff - especially manager - really nice , pleasant helpful . breakfast good - will not get choice fairtrade fruit salad , home make kedgeree organically source muffin ( need fancy breakfast food anyway ? ) - get tidy , well cook food , clean table etc , quick service , lot cereal , nice toast make awful cheapo white bread , proper butter lot fantastic coffee helpful , pleasant , smile staff ( change grumpy face experienced place ) . location great accessable . nice big downstairs lounge , internet access free tea coffee ( ok lovely filter stuff hot , wet contain caffeine ) day machine . like much book ahead future work engagment July - ideal London hotel want - thank 
 Oct 12 2009 	 good value would return prob summer 	 thank review book stay Ridgemount end June 4 night ( double ) . return early July another 3 night ( single ) . stay 5 different single / double ensuite / standard room total ( switch room since book relatively late ) . experience mix initially : unfortunately catch ( uncharacteristically ? ) hot day London room extremely stuffy hot ( thank traditional english house ) . double room ' ve stay face street . one night ground floor ; window open , could hear everything go busy Gower St ( traffic , people talk mobile - could hear conversation ! ! ) . needless say , not get much sleep . room 3rd floor , also face street also hot noisy . follow week go back London temperature drop . time stay room face garden wonderful ! ( see photo ) pro : * common bathroom clean ' ve never wait . * breakfast good - bowl cereal , lot toast , tea , plate eggs+meat / tomato . * convenient location - 2 short block subway stop ( Gower St. ) bus stop walkable Oxford St ( shopping ! ) British Museum . * family run hotel great . Mrs. Rees LOVELY . helps serve breakfast go round table ask need help direction . give we bus map , circle bus number get we take bus around town . bus really slow London quite convenient relaxing tube . * free wifi ( though not work first get . reception upstairs not good , go common room ) * 's computer common room free internet access ( might wait line ) con : * 's air - con stuffy hot London day . overall : extremely good value London standard ( * * important note be deal London hotel standard ) . would love return , probably June / July definitely book room face garden ( book way advance ! ) . would like mention stay night hotel next door - lot expensive : pay bit attention detail ( e.g . bed well quality , nicer mattress , garden nice table / chair nice breakfast ) breakfast big buffet - not care , ridgemount good lot cheap . ( also walk two hotel Gower St lot run - down ; one owner also quite rude ) . 
 Oct 1 2009 	 Perfect ! 	 stay Ridgemount Sept 22- 28th perfect ( go know get ) group 5 stay 2nd floor 5 bedroom nice big window , nice clean . quiet , traffic noise much floor always bathroom available we . yes bathroom small , would get europe general ! maid come every morning clean always new towel everyday -- breakfast since always early wakeup time barely wait ! Breakfast always cereal , bacon , egg either sausage , bean tomato ... end week friend conclude eat enough bacon little pig .. haha breakfast room basement go renovation perfectly fine usthere also lounge room free internet even pay phone need make call , pay option pay pound usd ( sure make difference ) LOCATION GREAT ! right next goodge euston station little farther british museum british library . what s great line goodge somewhat main line trafalger square leichester ( theatre ) euston station circle time help -- beware weekend station go renovationsas price pay location cleanliness room nice people help we trip definitely worth ! go back ever go back London ... 
