pay 	 get cheap deal local travel shop 99 train hotel 2 night . arrive queue day night . 4 room 13 us 2 family 's room 3 small single bed camp bed kid refuse sleep . one room clean get look like someone party rang reception say would sort . great location tube bus 10 min away king cross . day come back around 10 pm room not do 5 kid is'nt ideal . breakfast horrendous like cold rubber staff really unfriendly go nearby cafe breakfast next day great . price pay did'nt complain pay full price something like 110 per room would happy 
 basic warm good location .... 	 book hotel ' weekend rail deal ' exactly get - deal ! room basic warm . hotel closely locate London 's sight seeing exhibit . want book somewhere impress would not reccommend , however , room book hotel . 
 like jail 	 simply price buy part good rate London BA.com . 's giant hotel right Russel Sq , convenient king X Piccadilly Line Tube . , be pretty much horrible stay . single bed suitable chlld 10 , adult . courtyard middle look like jailyard , miss weight . blanket drape hang window , wait fire start , especially drunk Belgian Standard Liege football supporter scream . take pub lobby courtyard lose Arsenal . heat room unbearable would not switch . sleep window open , hope noise drunken Belgians would soon go away . bathroom ok , pretty clean except towel stain . bring toiletry stay b / c will get 3 mini bar soap that s . be look bed hotel 's well locate , reasonable safe , cheap , stay . though , would recommend sister hotel , Tavistock Royal National . luxury missus definitely enjoy stay get lucky . thank goodness travel male friend , use place crash going drink London . convenient vist Arsenal Football Club . 
 try hotel side street 	 well arrive queue mile long book , every morning afternoon , wait half hour give key room . room adequate special , neither alot space . spend day come back 9 pm buy drink bar no - where sit go din area get kick drink unless buy hotel ? ? four we ask would need buy able sit din area almost empty , smile know get repeat automate statement ask much glass water ! ! say £ 5 agree say would ask leave . spoke manager reception say not dept ? ? go bed.8am get knock door house keeping .. & quot ; leave today ? & quot ; & quot ; er tommorow . & quot ; ok need clean room . go downstairs speak manager explain would well keep night bar sleep knock we 8 morning holiday , get bar becasue space . say would speak housekeeping , dept . go breakfast queue 3/4 hr room , actually get straight back room 10.15 not clean ? ? next morning thing happen again . so summary room small , great queue , slow book , broken lift , morning wake call clean wether need . one responsible not anyone dept.you buy drink drink . positive food good 's near station . would go , way ! ! accross road stay president , ambassador county hotel 100 % well , price much friendly . it would appear way make hotel change attitude let customer know alternative . 
 Nov 22 2009 	 SMILE cost nothing 	 stay hotel theatre weekend . brilliant time . hotel basic clean , room cleaner always smile greet good morning we . cook breakfast cold morning . if include package would paid day . one thing big problem reception staff . yes lot people book job . 5 staff reception one smile anytime whlst stand queue . get front queue welcome non existant treat though nuisance , one say hello , help anything . see people face hotel good impression . maybe management put room cleaner reception reception staff clean room real work change may bit happy job employ . 
 Nov 22 2009 	 budget hotel bad ? 	 stop wife superbreak Christmas shopping show weekend . yes hotel tired , come London spend one 's time room ? positive side great location , warm , clean represent great value money . side , 's bit run , need early breakfast ( reminiscent school canteen ) , breakfast will not win Michelin star , fill enough keep go day . try evening meal first night pleasantly please vegetable moussaka . would come back ? yes return trip . 
 Nov 21 2009 	 horrible bed bug 	 stay dreadful hotel October school holiday . check good , fast efficient even though arrive 3 hour early give room key . good bit , room tiny bathroom basic mould round bath . window double glaze hear every noise outside night , do not expect good night sleep . hotel locate central area , short walk Russell Square tube station 10 -15 min walk Dominion Theatre see Rock , excellent show especially Ross Hunter lead ! staff Rotal National pleasant unfortunately hotel need full upgrade . breakfast bun fight , big queue full english seat . return home wife son cover bed bug bite , prescribe anti - histamines combat itching , nice . yes cheap , yes central do not suffer horrible hotel many other much nice quid . 
 Nov 18 2009 	 good hotel great price 	 ' ve come back weekend stay ( 2 night ) hotel , wife 5 year old daughter , would definately recommend friend / relative . I must admit , prior arrival , little concerned previous review . however , upon arrival find room clean comfortable usual amenity would expect hotel price bracket . traffic noise noticeable nuisance , expect central London hotel . full english Breakfast include package - nice self service could much / little want . check - in breakfast canteen get busy - go one large central London hotel . do not believe bad review - hotel price range location 's hard beat . 
 Nov 17 2009 	 would certainly stay 	 husband recently stay hotel two night . prior stay quite concerned review read decide go open mind . drive London , find hotel easily ( help sit nav ) , park car park hotel , go reception check within three minute . abundance reception staff . our room 7th floor . compact clean , warm ( turn radiator - criticism ) , two comfortable bed , bed linen fine , good quality towel bathroom load hot water . quickly unpacked ( London spend age hotel ) walk Russell Square underground take 5 minute . after good night 's sleep ( little traffic noise consider centre London certainly noise within hotel ) go breakfast room , immediately find table enjoy full breakfast . although breakfast room busy notice staff prompt clearing table . the criticism not lift car park hotel mean lugging suitcase , major problem . would certainly stay , feel price good centre London location excellent . 
 Nov 17 2009 	 expect unwelcome visitor 	 pay room four day . leave gear bed come back find two people asleep two bed ! turn pay bed , thank let know RNH.They woken alarm 5.30am go trip replace new group every day . we single room key everytime one person use key wipe two , five time day go get re - set - up . the attitude management towards rude extreme . bathroom disgusting clean age . recommendation : stay hotel , little money stay hostel single room . 
 Nov 15 2009 	 like student accomodation 	 know - get value money central London elsewhere . place far average even semi - budget Bloomsbury hotel . room clean 1950s style tiny mattress probably age . bed horrible . hotel huge amnetie - even sofas lobby . the bad part breakfast . typical low standard weekday completly mess Saturday : bowl , plate , plastic mug enough table . plate finally arrive wet - since jam matter . staff friendly can not make obvious mistake management . believe story review could repeat experience . on side book hotel recommend four star . sleep much well two - star hotel . 
 Nov 14 2009 	 good location good value breakfast ok 	 good compromise stay London sightseeing budget , room good size , bed ok , noisy , excellent location , early breakfast get busy , would recommend hotel people travel budget 
 Nov 13 2009 	 shower sleep 	 2nd time hotel . choose 's really good deal ( comparison London hotel ) central location well ( 4 station Picadilly Circus ) . not get bother anything else , front desk staff careless , maid shout every morning . recommend traveller want stay close downtown without expectation shower sleep . 
 Nov 10 2009 	 would call utility hotel 	 like location hotel , find clean , though quite small . really large get quite noisy night bar / patio area courtyard . be close Russell Square tube shop walk distance British Museum . find easy explore city location . let say travel 20 - year - old brother time , pretty low - maintenance hotel people . clean feel safe . say , be amenity , want spend amount significant time hotel , place you . I think good value get , part package deal BA would stay good price . 
 Nov 9 2009 	 get pay . 	 boyfriend stay hotel extra night Contiki tour . early 20 . positive : location short walk Russell Square station , could take public transportation anywhere ease . also , easy get Heathrow Airport , not even need switch train Tube . also , two major double - decker bus sightseeing tour stop right front entrance hotel . price low consider location . room clean shower bathroom excellent water pressure rare trait many place stay Europe . concierge willing hold bag arrive check - in time could start wander around London right away . negative : lot little problem . room tiny enough space two twin bed , luggage , small path bathroom . one electrical outlet not work . air conditioning windows not screen choice hot bitten Mosquitoes . wall fairly thin late comer pub hard ignore . half time , room key not work . overall : would suggest hotel travel student anyone tight budget . need place sleep night two convenient location , job . like hostel hotel . note Americans travel Europe : can not really compare european hotel one back home . standard different . consider place travel , bad deal all . for fellow Contiki traveler : worth stay night tour especially Contiki Basement ( cafe pre - tour meeting hold ) hotel not drag luggage everywhere . plus get meet young people travel like . tour end , dozen we meet London Pub hotel relaxed pint / fish n chip . food pretty good fairly price . 
 Nov 8 2009 	 bad - not believe harbinger 	 ( partner & amp ; 2 kid ( 11 & amp ; 9 ) book half term week end October . read various review really worry place . however fear prove unfounded . hotel massive arrive 12 noon room not ready . allow put bag safe room head day . Russel Square 2 min away great place sit lunch - weather stay exceptional . get back hotel 7 pm , check take 5 min . bit annoyed tell pay kid breakfast ( adult cover deal ) . read review decide eat breakfast hotel . explain tell pay even take breakfast . say ' m glad breakfast fine . our room small basic fine . 4th bed ze bed 11 year old say comortable . bed bit soft acceptable linen clean . room clean - decor tire us room sleep night . lot noise road . wake sirens couple time night central London . the shower fab . batchroom look tired clean . venture breakfast - pay thought would risk one day . breakfast room pack grab table become available . cook breakfast include queue massive . however , juice , cereal , toast coffee easy get make fine . 2nd morning get cook breakfast . honest not great ( average well although surprisingly egg perfectly cook , bacon unevenly cook ) think stick continental well . the central location hotel 's proximity Russel Square tube mean 's perfect sightseeing break . problem noise guest genuinely enjoy stay . 3 night . 1st night complimentary meal one restaurant . kid want curry go Poppadom Express . decor excellent food good . deal mean buffet . starter good main course satisfactory . salad bar good . kid eat load love food . ' ve eat well curry ' ve also serve much bad . get we good start . this hotel not perfect . however find staff friendly helpful want keenly price deal central London , use room sleep washing think could lot bad . would certainly use place . 
 Nov 6 2009 	 like Circus . like hostel 	 go business crew 15 other . like circus arrive . kid everywhere ! take figure get room , maze . grand short hop London 's location ( although not leave passport room ) expect company get good deal . 
 Nov 6 2009 	 ` ` be bad '' 	 hotel offer we package hop hop , 3 day tube ticket 2 ticket WestEnd . read review quite worried . end happy hotel . 's nothing flash , room probably not update 20 year , still clean comfortable . location fantastic . first night end walk Trafalgar Square . tube also close . room face courtyard , mean could quite noisy night pub stairs morning lot tour group start . wake start 6 am . not find breakfast trouble . north building , think little small south . therefore breakfast room never ' crazy ' full . could also find seat . continetal breakfast fine , want pay extra 4 pound 50 could get english breakfast . bit greasy , bainmarie , still good . if budget not need flash fancy stuff , hotel fine . would stay , budget stay area next time go London ( hopefully ) . 
 Nov 4 2009 	 like hostel 	 Room let us say ok , toillet disaster . small , without shampoon two small soap . location good , near centre , taxi bus . Restoran great ( breakfast ) . staff pleasure . hotel like hostel expensive 3 * hotel . 
 Nov 4 2009 	 RIDICULOUS ! ! ! 	 hotel 15 16 last october really disappoint awful hotel ... day arrive towel lean corridor floor , maid seem tired ... get room feel horrible smell old thing , throat couldn´t stand ... ill whole 3 day spend ... even bad , breakfast suck ! ! ! ! still find charge $ 4,5 indecent English Breakfast increadible ... awful greasy food ! ! ! say brazilian one doesn´t know receive tourist ... ! ! ! god sake , worst ! ! ! I´ll try leave message internet page compare hotel ... isn´t fair earn money easily . 
