super 	 Sanderson one cool hotel London , great design / cool bar . must go would say .... 
 amazing hotel 	 beautiful place , like 's sister hotel St Martin 's Lane , hip , trendy noisy ! Perfect 's sort thing be look , . lovely food well . 
 Nov 22 2009 	 Unique bit sterile . 	 hotel 's fun point : cool decor lobby , good breakfast , hip style . however , point could improve : evening noise bar lobby . lack privacy bathroom . no wall spa = noise sit room massage . ( cool . ) occasionally less helpful staff front desk . ( though mostly fine . ) get hotel part charity auction . pay lot , good cause . would not pay hotel rack rate - not seem worth . however , overall experience satisfactory . 
 Nov 20 2009 	 Quirky fun expensive 	 recently stay Sanderson good friend Suka package deluxe room . would hear Sanderson friend recommend try . pull outside hotel look like convert 60 's 70 's office building enter lobby quirky lot interesting decor item add fun ambience . arrive noon thought would try luck check luckily room available . check guy helpful even give we upgrade room treadmill - useful girl week - end last thing mind workng - come handy fling clothe ! check flew room ( via fun space lift ) drop bag please first impression upon enter room - quirky fun styling ! love big sleigh bed angle weird egg shape footstool ? footstool ? head shop get back hotel late afternoon . grab nap get ready evening ahead . two lady friend share room amenity perfect able get ready without get 's way - plenty room move actual room plus bathroom wardrobe area . once ready head long bar already pack 7.30pm Saturday night . wait several minute serve able open tab could transfer Suka restaurant eating evening . close bar tab , open new one restaurant close finish eat open new one dinner drink back long bar - something perhaps understand non resident might abscond pain b * tt resident . Suka 10 foot long bar ! Dinner Suka restaurant ok - nothing fabulous anywhere would rush back give price . ask server 's advise many dish order 2 people advise 6 - 3 starter 3 main plus 2 side . eat know portion size go advice give - turn far much could got 4 dish total without side . leave 3 dish completely untouched - waste be talk nearly £ 10 dish ! flavour presentation wise food good great - hence comment rush back . ' ve well meal local asian cuisine restaurant . after meal head back bar heaving . wait 10 minute serve work hard catch someone 's eye order drink even though appear rush foot . the bar great atmosphere - lot ' beautiful people ' none attitude . in summary stay fun expensive - suka credit room rate godsend give price meal food eat . overall cost justifiable splitting friend would struggle hand credit card one night husband would take hit together . the hotel interesting , quirky would recommend friend deep pocket . 
 Nov 14 2009 	 Pleasant Unique Hotel 	 relatively small hotel would choose , typically enjoy brass glass hotel . nevertheless , quite impressed hotel . staff superb , room nothing short immaculate , contrary comment , hotel rather quiet . sheer curtain separate section large ( even american standard ) room . room service promptly serve . would not recommend hotel family kid , be great couple business traveler . 
 Nov 14 2009 	 Appalling waste time money 	 sign Trip Advisor warn waste time money appalling establishment . expensive mistake part book night away London celebrate special occasion . staff try well however poor , high handed management ruin effort . two experience Suka restaurant bearable however room service price inedible . unfortunately wake night fire alarm , complete lack care organisation resident member staff see experience stunk alcohol- thank goodness seem false alarm ! 
 Nov 9 2009 	 good cocktail accomodation 	 great bar , great room - didnt eat there . we often go uptown Kent hit well eat venue etc . we stay good hotel hobby . we stay hotel chain find room far small noisey sleep possible 
 Nov 7 2009 	 Price Awkward Design 	 second stay Sanderson . previously forgive hipster quirkiness since love stay cool & quot ; design hotel & quot ; . time ... find many little annoyance , pretty much add one BIG feeling frustration . ' m ' intentional imperfection & quot ; , vanity artwork askew enough look like mistake . ' m also petite 5 ' 2 & quot ; woman ... yet , keep run table corner , glass partition slightly wide , bathroom door slightly narrow . feel like Alice Wonderland mild acid trip . 's point ? travel business , get ready throw computer window . connection slow crap often , be liable lose work . ( ' ve write review 3 time ! ) make several call front desk , get run - around never get help . ' m sorry , 2009 , dock 5 - star hotel charge $ 15 / day wireless . the spa gym lovely , however . , spa freak , save grace . disappoint though deny Eve Lom facial several time always overbooke . plan well advance . also , bring music movie . submit list 10 library , get 3 least prefer back . again , horrible hotel trendy vibe . 5 - star standard , 's bit frustrating , especially one compare impeccable service attention 5 - star Asia . remind lot Soho Grand Paramount NY ... hype keep alive . I would love hotel redeem ! 
 Nov 1 2009 	 Exceeded Expectations 	 somewhat apprehensive prior arrival owe mixed review . however aniexty immediatly alleviate arrival . my partner Afro - carribean descent frequent many high end establishment whereby presence , often less welcoming : - ( complete opposite Sanderson Staff . infact extremely friendly welcoming . the receptionist , extremely patient accomodate , require place deposit ( something informed time booking ) , able pay cash , deposit pay debit card . make feel awkward . believe receptionist name name Inja .. ( 30/10 date , sure remember name correctly fair receive due praise ) upgrade Deluxe King ( breakfast include ) birthday . truly elated , never anything like happen : = ) love lift enter room 404 suitably impressed . huge sleigh bed , super white , minimalist interior lcd large screen tv , immediately noticable . I must say room spotless , dirt sight , remarkable white Decor . the bathroom love , sexy clean . visible sleep area use white curtain , conceal usage pink white curtain . complimentary toilitrie provide , shower gel , shampoo conditioner . ( make sure bring toothbrush & amp ; toothpaste , thankfully ) . bathrobe slipper also provide compliment duration stay . I would give room / bathroom 9/10.The shower need shelf enclose toilet would perfect automatically freshen toilet flush ) , light switch far away bed remote sort control lighting , temp curtain would much appreciate . tea coffee make facility much need also . order room service tea coffee , would much preferred make own . aside , Friday night , long bar purple bar popping ( slang full lively .. lol ) , yet room sooo quiet , transferrance noise fantastic . we dine , partner want steak , return doorman remember we we greet smile . atmosphere cool , alot well dress young trendy type . pretension notice , would not notice appreciative young gorgeous trendy well dress scene . my boyfriend love , hung Billiard room , fellow guest also mostly friendly . have good night sleep , divine bed , nice firm mattress pillow right . wake alot early partner . decide check agua spa ... woooow say . white , silver furnishing etc . receptionist lovely lead steam room dress area . plenty water fresh lemon slice , ice , magazine , iced flannel near steam room ensure suitably relax environment . great morning big night . cleanse detoxify . we go breakfast , busy staff faultless . attentive ensure eveything need . Breakfast hold Suka resturant , alongside rest hotel fab decor . check effortless , actually owe money , receptionist offer keep bag behind desk , go shopping . all fabulous stay , live London , really Urban Retreat cool , contemporary , liberal vibe . really possible mini break city . return , long one night plan use agua spa day need get away , 
 Oct 29 2009 	 sign .. 	 want weekend away Semptember family member stayed previously think would book Sanderson . really pleased read , never use , website feel need sign - up post review . fantastic hotel , 's & quot ; little different & quot ; positive way , cool , chic , superb location spend follow day tell everyone different cool - especially lift ! really enjoy stay , reasonably price certainly back next visit London . hesitation recommend friend . great hotel . 
 Oct 17 2009 	 . 	 lavish & quot ; Urban Spa & quot ; heart London ' west end , Sanderson offer retreat bustle city world fantasy wellbeing . landmarke 50 building transform Philippe Starck surreal Cocteau - like dream world , epitomize " new luxury " smart , pare , temper healthy dose wit irony . 
 Oct 15 2009 	 potentially great let service 	 good side Sanderson : high hope stay remember arrive Sanderson short spa break afternoon Agua Spa get we promising start ; team fantastic us de - stressed time ! room stylishly minimal miracle worker manage keep white wall free usual scuff mark even good hotel gather time . evening quick drink Purple Bar ( intimate friendly ) follow amazing dinner Suka - great food relaxed atmosphere . the bad side Sanderson : unfortunately first impression last check - in experience Sanderson leave lot desire . arrive 1 pm room not available 5 pm instead basic courtesy would get lowliest b & amp ; b 's , leave distinct impression desire room unwelcome intrusion primary role uber - cool style icon . happily aloof attitude extend beyond front desk set scene subsequently pleasantly surprise good service can not good sign ! overall will definitely go back spa Suka will sleep different hotel . 
