sospa 	 hire spa group six us corporate entertainment event . everyone fantastic time . build beautiful . staff knowledgeable helpful . lunch good . successful day experience definately repeat . many thank SoSpa . the rating base cleanliness , location , service value not see room 
 8/10 	 struggle find top quality hotel London honeymoon night everywhere seem booked hotel ridiculously price £ 500 . previously stay one top central London hotel year ago , Swissotel , Howard Embankment , would prove benchmark hotel stay . pay £ 320 2004 top quality room swissotel , overlook river separate living room area massive bathroom . pay £ 500 + 5 * Luxury Hotel London seem pretty silly , see standard room , offer breakfast room look tiny photo . in end , decide go last minute.com secret hotel option coincidentally Sofitel select luxury room . quite happy luck day rang Sofitel directly tell luxury room fully book date ring back confirm reservation day , say last minute cancellation ............ hmmm ! anyways , tell special occasion arrive , receptionist inform upgrade junior suite delight wife . we take upstairs show room also champagne ice letter management , welcome we ...... say letter , mean compliment slip thought count . the room bathroom small thought would Junior Suite . would luxury room like wonder ? Toiletries Hermes brilliant rain shower . bed incredibly soft review describe . order room service , , expect , overpriced - club sandwich £ 16 + service charge delicious almost justify price tag . as stay one night , say breakfast option .... know be think & quot ; 's guy 's wedding night ... cheapo & quot ; would think £ 26 per person breakfast ...... starbuck job £ 3 pop 's 500 central London . sofitel simple thing well : staff friendly helpful , room exceptionally clean , bed brilliant food . however , beg belief top central London hotel cost much hate think tourist think price choose book . guess less , especially hotels bang central London . yes hotel bang central London , minute walk Piccadilly yet £ 450 + room ( remember book luxury room get free upgrade ) astronomical - not think stay would good give small , luxury room . however , get pay ; question top quality hotel term service receive , food cleanliness room room big enough not expect much basic accommodation option . come conclusion large proportion pay location . everything damn expensive place yet anything complain be treat kindly make feel welcome . would stay though think well hotel , offer well room space luxury money . 
 Nov 22 2009 	 Excellent every way 	 stay stylish Sofitel St James Saturday night , moment walk hotel , greet Pauline till check treat soooo well . location fab , room standard dbl lovely , warm , comfortable spotless . everyone experience sleep Sofitel bed , want buy one . I slight problem use room interenet I m technical nothing much trouble Oliver consierge , spend half hour busy Saturday night make sure knew use . thank Oliver . highly recommend hotel could fault . 
 Nov 18 2009 	 overprice 	 doubt Hotel good , despite fact staff hardly speak English , originate France Eastern Europe . however , unreasonable praise get , two year increase rate x4.Chesterfield Mayfair far superior , half pricethank 
 Nov 17 2009 	 perfect ! 	 last month go London spend great weekend . lodge Sofitel London St James . stay fine Sofitels Paris Marseille , St James well . perfect location near theater , shop good restaurant , sofitel heart London offer great service fine room . certainly go return true luxury hotel . 
 Nov 5 2009 	 Perfect location classy hotel 	 husband stay Sofitel London St. James 4 night end September 2009 . reserve classic room , upgrade somewhat large room . room 526 . love location hotel - perfect walk restaurant , subway right middle wonderful sight London . lobby beautiful , spacious room luxurious decorate subdue color . bed linen comfortable . Bathrobes , daily newspaper , bathroom mirror steam treat room nice amenity . relax . try restaurant since seem expensive , perfect breakfast Apostrophe block away street . hotel right across tourist information center , also nice convenience . wonderful stay . 
 Nov 2 2009 	 french Touch 	 Sofitel St James locate cross Regent Street Pall Mall , ideal business leisure . stay hotel London absolutely love it . the hotel set beautiful 19th century building , double height entrance hall . reception give impression grandeur , especially around 6 pm piano play mezzanine bar far right buzzing activity – ' miss excellent cocktail . hotel also pink tearoom lady adore , recently refurbish gym , sauna hammam restaurant ( try room service , quality good ) .The room quiet spacious ( even small room space double bed , desk , shower / bath flat screen tv ) , elegantly decorate dark / grey tone , often feature « read corner » comfortable armchair , side table lamp . ample space cupboard store luggage clothing away . finally , room recently upgrade Yamaha ipod docking station / radio really great . but make big difference hotel staff attention detail willingness please : remember preference , bring select choice newspaper morning ( even ' breakfast room service ) , find table whatever fancy restaurant want try ( help good alternative ' get table ) , make extra effort particular event . in last visit , bring wife London 35th birthday – hotel give we great upgrade ( least 2 room type one book ) , every evening prepare little surprise we ( remember fondly divine chocolate birthday cake evening arrive ) .All reasonable price : experience , quality cost 30 - 50 % London hotel . actually find Sofitel well Mandarin Hilton town . in one word , ' miss . 
 Nov 2 2009 	 top 5 star 	 one & quot ; proper & quot ; 5 star hotel London . location great - right bottom Regent Street . inside staff excellent room big London everything would expect 5 star hotel . price reflect money stay ! 
 Oct 28 2009 	 Perfection central London 	 Hotel location perfect , staff service awesome reservation ( special thank reservation manager exceed special request expectation ) checking - out . room always clean , great amenity , new extras room expresso machine available freely upon request . of course , cheap hotel get deal include breakfast make affordable , especially buffet base order demand meal ( try Eggs Benedicte ) .I highly recommend hotel . 
 Oct 28 2009 	 c' magnifique ! ! 	 Landed Paris move St. James Sofitel . bit odd staff spout french center London . one get quickly use . check - in breeze - staff know even though first time . nifty guesswork suppose . daughter asleep arm lead we straight room could put bed check - in , room . extremely considerate . room modern -chic , exactly like . bathroom spacious , toiletry nice , room cozy . huge spacious . , London expectation low . great thing Hotel course location , location , location . walk distance Trafalgar , Piccadilly , theater , Buckingham Palace even shop Oxford Street . brilliant ! amazing thing staff service - impeccable ever . worth every rapidly depreciate pound . 
 Oct 27 2009 	 great hotel great service great location 	 moment arrive front door hotel , make feel welcome ( without anything feel ' over top ' ) . check doddle luxury room , small similarly class room city , excellent . front desk ask celbrate anything stay ; wedding anniversary , later evening return stroll , bottle wine ice bucket deliver compliment hotel . restaurant ( Brasserie Albert Roux ) good bar something suit every taste ( word acknowledgement bar manager , Matthieu , run top notch establishment relax friendly way possible ) . location hotel beat - 2 minute stroll Trafalgar Square , PIccadilly Circus , Mall etc . taxi always available trip afield ( cab Harrods cost £ 7 ) . nothing complain - would always go back visit London . 
 Oct 27 2009 	 great hotel great location 	 three hotel stay month London favourite . great location centre London . could walk everywhere . loved bed . like sleep cloud . staff great . complaint . 
 Oct 26 2009 	 Excellent hotel comfort location 	 Stayed Sofitel husband one night October . the decor lovely , staff friendly helpful . hotel also well locate , easy stroll theatreland . also convenient area Regent Street Covent Garden . the room good size well present . also include ipod docking station , plus like listen music . the breakfast good . good choice hot cold food , tasty . would defintely stay . 
 Oct 14 2009 	 Felt like royalty ! 	 ' m avid user tripadvisor , never leave review . pleased stay Sofitel St. James share experience . friend travel London end September .. stay hotel 4 night . jump nearby Piccadilly Circus tube airport , walk couple block hotel meet doorman outside go inside friendly well dress lobby . room great .. clean stylish . enjoy full english breakfast staff great . Loved Sofitel St. James much book Sofitel Hotel Scribe 3 day stay Paris . experience , pleasant London . Cherio St. James ! 
 Oct 10 2009 	 thrilled hotel 	 fantastic place . wonderful , spacious room amenity . great service , entire staff wonderful . top location easy walk distance Trafalgar Square , Charing Cross , Picadilly Circus , St. James Park . spend whole week would recommend hotel anyone . free internet connection call Lite plenty fast enough . super high speed additional charge ' need it . restaurant expensive breakfast , surprisingly , dinner . 
 Oct 7 2009 	 Terrific Hotel great spot . will not disappoint . 	 stay Sofitel 3 night October 2009 end month honeymoon Europe . bit extravagance think worth every cent . book ( expedia $ 1250 AUD Fri , Sat , Sun night ) primarily TA review fact Sofitel Melbourne favourite hotel world . live hype ; great spot ( 200 meter Piccadilly Circus tube station , take tube exit 3 walk straight hill ) room great staff absolutely first class . great place stay London , will back sure . 
 Oct 7 2009 	 good location relatively good value 	 two block south picaddily circle . easy access tube station . pleasant room service , ( London ) relatively reasonable room rate . 
 Oct 5 2009 	 round excellent experience great room breakfast service . 	 stay sofitel waterloo place girlfriend 4 night end september 2009 . room comfortable , quiet clean everything could possibly need . breakfast excellent especially buttermilk pancake serve chocolate sauce maple syrup . staff helpful courteous obtrusive . location hotel ideal see sight foot well easy access good restaurant shop . 
 oct 2 2009 	 really like hotel 	 hotel great location . room big enough , well equip , bathroom roomy . tub bit high -- see someone old might problem step . room clean , turn service night . hotel staff extremely friendly . stay 5 day . really like bar drink great . free internet business center well . think money well spend . 
 Sep 30 2009 	 Attitude problem ? 	 rate Hotel quite unfortunate , simply could easily good one . great day London wife walk Hotel bar sit drink . arrival male bartender stare intensely unfriendly we return good evening greeting . seat friendly waiter bartender pick 2 menu card came aggressively walk towards table hand menu card without say word . give menu card wife say anything either make unpleasant theatrical performance she . it extraordinary experience behaviour , everything else stay good Hotel ( bar ) staff genuine friendly professional . 
 Sep 30 2009 	 satisfied guest 	 parent visit London Paris first time celebration mother birthday . have spend 4 wonderful night Sofitel St. James London encounter General Manager depart . . father mention General Manger St. James excursion part birthday celebration have head affiliate hotel Paris . arrive Hotel Scribe Paris , mother greet complimentary flower , pastry bottle champagne celebration birthday . hotel General Manager Scribe explain GM St. James contact behalf . thank much , make birthday overall experience quite memorable . type courtesy generosity seldom see today economy , London Paris definitely stay Sofitel St. James Hotel Scribe.a satisfied guest , 
 Sep 28 2009 	 Great Hotel Great Location Expensive worth . 	 Service excellent 's matter be stay class hotel . 5 star . 
 Sep 26 2009 	 London gem 	 regular stayer Sofitel Grand Amsterdam decide stay Sofitel St James London couple day two week ago . must admit A - CLub card point collect Sofitels worldwide keep loyal brand always experience try somethnig new admit St James hotel wonderful . location great building , former bank die . love gym especially spa good . nice facial massage jacuzzi bath great oil feel like reborn . relaxation room lovely cup rosebutts tea fall asleep place close . wonderful food excellent staff . waiter bar good job remember drank come next day . well worht try : ) 
 Sep 24 2009 	 good hotel location service London ! 	 stay wonderful hotel six night . hotel staff attentive , room large , location central attraction , restaurant , nightlife . room clean twice day , amenity home provide .... include slipper . husband love internet service room . would stay hotel recommend friend . 
 Sep 23 2009 	 Excellent 	 Stayed Sofitel St. James three night . come back , look forward weekend December . fantastic room , location , food staff . 
 Sep 22 2009 	 Excellent Service tripple ` ` '' Location 	 enjoy fantastic weekend Sofitel London . sure find service like 5 star hotel 2 minute Piccadilly Circus ! great room , clean nice bathroom . staff helpful always anticipate . overall CHAPEAU ! 
 Sep 21 2009 	 Awesome experience ! ! ! 	 nice locale , close everything . service well ever see , room exceptional . arrive early checkin , staff accomadate workout spa facility refreash . experience .......... 
 Sep 21 2009 	 Superb 	 nice service ( minimum detail ) well train staff , food also nice 
 Sep 15 2009 	 great location real slice fine living- prepared pay ! 	 overnight London wife need central base , hotel fit bill excellently . hundred yard Picadilly Circus , Pall Mall , hotel get location tee . service standard excellent , cost low . wonderful romantic overnight break celebrate third anniversary , long would made sense stay little use tube- would saved lot . 
 Sep 7 2009 	 new favorite hotel London -- treat like royal . 	 family finish 3 week whirlwind tour Europe , ten city six country . lucky begin vacation Sofitel . service impeccable handle family like Royals . we arrive 1:30pm , fly night , grumpy tired . check 2 pm , room ready , show bar ( beautiful area ) , give free tea , coffee parisian macaroon ( super good ) . stroke 2 pm , room ready , please poshly appoint . give connect room , request ( thank Sofitel ) .this kickoff city tour Europe , wonderful first day tour London driver Peter Jamieson -- see separate review . next day , Saturday , young daughter fall extremely ill , cancel Saturday 's activity . even though trap we largely hotel , treat extremely well . try room service -- not normally travel leisure , well - price arrive room quickly delicious . ( frequent business traveler , would put room service top 10 % room service experience worldwide . ) also try breakfast Sunday morning downstair hotel . superb . menu service buffet delicious . also make good use free internet computer ( thank Sofitel ) . apple fan , hotel two Apples downstairs center -- take minute two get use . one computer first night , line form , guest also boarding pass print charming ( put good mood Sofitel also ) . next night need print boarding pass ( problem British Airways ) , printer blink , concierge swung action email ticket desk printer . attitude concierge good three - week trip . what say ? greet door London 's good doormen - bell staff . hotel lobby gorgeous ( convert bank brokerage ) . Piccadilly Circle . room immaculate pillow divine . wish stay tonight . 
 Sep 4 2009 	 fantastic hotel nice location beautiful Spa 	 stay spouse August hotel child away look nice relax stay get . time , come staff make we feel special . room give large nice bathroom . decide try restaurant full people enjoy . food tasty nice choice wine . finally decide try new Spa ( apparently open wek stay ) . keen Spas usually great experience large choice treatment even order favourite martini ! get chance use Fitness centre . location great . decide go dinner 5mn walk everything ( Soho , Piccadilly Circus , May Fair ) . recommend hotel confidence . 
