overbooke 	 book room Bloomsbury specifically 's location - walk distance theater , restaurant , musuem , etc . arrive early around 1pm tell room ready yet , leave bag go lunch . return tell hotel overbooke room we ( also tell people situation sort consolation not people ) . think totally unacceptable , thing could re - book us sister hotel , Kensington . hotel excellent , completely different area city . pay cab take we hotel check , still pay transportation go evening could not walk restaurant / theater . also ask would compensate we , say no . the final thing bother whole situation arrive hotel book we , front desk seem idea situation owe cab driver fare . call back Bloomsbury confirm new reservation make cab driver wait pay ( bit uncomfortable ) . Bloomsbury could call ahead make sure thing go smoothly . so , lobby look nice , unfortunately never get see room . 
 Nov 26 2009 	 Excellent Hotel Central London 	 first impression count lot . moment door open 2 doorman arrival know arrive somewhere want stay . reception friendly efficient offer help theatre booking , dinner booking etc . incredibly offer smoking room take . turn top floor hotel speedy lift make light work that . stunning view window rooftop towards BT Tower make glad smoker . room large certainly adequate need , much time actually spend room tourist London . the room clean clean every day stay , bathroom heat floor heat mirror godsend shaver ! staff meet stay friendly approachable . the location excellent , within 2 minute walk British Museum Oxford Street . one word caution , book agent Booking.com Expedia keep book confirmation , may need . come check hotel tried charge we standard rate £ 40 dearer rate get agent . agent 's receipt may struggle . apart slight niggle excellent stay Bloomsbury would recommend . 
 Nov 21 2009 	 Bloomsbury get right 	 one night stay theatre trip find Bloomsbury excellent . welcome staff polite friendly . room spacious clean . decide pre - theatre dinner hotel rather hunt around place eat , glad - food delicious , beautifully present ( good value money ) staff helpful . breakfast buffet treat , excellent attention . thank Bloomsbury , hope sometime . 
 Nov 18 2009 	 look beautiful problem 	 stay one night . like style hotel , funky really nicely furnish . build beautiful plenty historic feature . our room not ready arrive ( 3 pm ) disappointing offer upgrade suite ( albeit smoking room ) . non - smoker really keen want get room also tempt upgrade ! although room pleasant spacious , would describe suite similar size amenity deluxe room friend stay . separate dressing room area part bedroom set aside two comfortable chair . bathroom lovely separate shower large bath tile - in tv.although happy room initially , later problem temperature - despite air conditioning set low temperature 16 degree celsius , room uncomfortably warm . unfortunately , well ineffective , air conditioning noisy . like hotel genre , light subtle ( i.e . wholly inadequate ) bedroom . our big problem underfloor heating bathroom . follow morning floor hot hot walk . could not control inside room adjust cupboard hallway . improve matter bit whole room make unbearably hot glad check . Breakfast could describe chaotic . insufficient number staff , time clear table - one long table became dump ground - guest - clear away use crockery . take nearly 15 minute we get menu order tea / coffee . eventually get breakfast ( perfectly nice ) , let provide empty bottle sauce leave half - use pot jam . overall , would return hotel . may unlucky room breakfast much well place stay London price bracket . 
 Nov 13 2009 	 beautiful place stay 	 believe , stay Bloomsbury hotel really good choice due outstanding location : decor room quite sophisticated even standard double design touch , often miss London hotel within similar price range . room decent size appear recently refurbish ; common area look nice well . reception staff quite helpful , make stay even enjoyable . 
 Nov 13 2009 	 amazing room -decor lighting comfort ! ! ! 	 stay overnight without breakfast , not know food room amazing . comfortable bed , quiet , ultra modern lighting , furnish decor still cosy . air - conditioning keep room fresh whatever temperature require bathroom awesome speaker tely relay favourite programme tile marble bath tap - take work water come . 
 Nov 7 2009 	 oasis London hotel desert 	 bear London well seventy year ago live North America 44 year . return city every year generally disappoint low standard hotel keep relation price . the Bloomsbury outstandingly good , good value . check - in easy book excellent website . room clean , look new , large London hotel standard . the 32 & quot ; LCD tv work properly ( sometimes not ) room quiet . the bathroom ( always good criterion ) modern encounter Britain , unaccustomed tap , think , german , would appreciate instruction diagram room brochure . figure shower bathtub setting work perfectly . a great hotel . 
 Nov 7 2009 	 almost right 	 currently one two room return beside lift 7th floor . noise floor room creak hear year stay hotel . people last night not move around lot every move make creak . cope get sleep room started clean 10:10 morning every move service like happen beside . creak , creak , creak 25 minute . ' m blame staff annoying . room nice newly refurbish hotel little reading light attach bed not work ( right hand side ) . no - one notice thing like light switch toltally recess make inoperative ? simple thing like check time guest leave . sorry sound like bad review like place , concenience , etc . stay many time Manager even give we special rate due prevoius problem decide give new version chance . simplething would make place perfect . 
 Nov 4 2009 	 perfect hotel perfect / classy spot London . 	 perfect location visit , 5 minute walk everything ; West end show , Oxford street shopping , great restaurant , subway station . excellent staff . perfect room . everything picture web site . 
 Nov 1 2009 	 Classy 	 small thing set hotel apart - hot towel arrival busy tube journey , welcome open door favourite heated bathroom floor . turn door within 5 min look egyptian mummy British Museum . another small walk Covent Garden . perfect central location back . 
 Oct 24 2009 	 recommend place stay London 	 Stayed Bloomsbury Hotel Great Russell Street , London 2 night weekend mid October . husband find website like look hotel , decide book read positive review TripAdvisor . firstly , Bloomsbury really lovely hotel , staff deal we ( ie concierge check - in staff ) helpful . arrive early check room staff happy let we drop bag return later . room little small side , expect city space premium . furnishing great , particularly large flat - screen tv , bathroom excellent . not eat breakfast , plenty place eat close not expensive . 's great location conveniently close Tottenham Court Rd tubestop . minor fault would AC / heating system room little noisy evening try sleep , not disturb we much . , enjoy stay Bloomsbury would definitely return , would also recommend friend . 
