COLORBLIND 	 Prior trip whether business pleasure go Trip Advisor view late review hotel stay trip . enjoy read review see other feel certain hotel frequently find recommendation restaurant locate near hotel . recently look review Darlington Hyde Park ( DHP ) London recent trip shock read negative review partner person color advise people color stay dhp.i person color discover DHP Trip Advisor web site stay DHP four five occasion past two year direct response find site even though travel agent make suggestion time familiar dhp.during visit always treat utmost respect courtesy . time feel slight inkling distain perceive negative treatment towar race . fact entire staff reception , dining , housekeep fantastic least . besides convenient location five minute walk Paddington Station two tube station , cleanliness entire hotel , bright attractively decorate room , quality breakfast outstanding attribute hotel staff care considerate manner . I fortunate consult business allow opportunity travel around world stay hotel every class . travel London either stopover point specifically holiday visit DHP hotel choice . in past recommend DHP colleague friend . visit last week highly recommend Darlington Hyde Park anyone . 
 great location great staff bit noisy room 	 stay 6 night Darlington Hotel . location perfect , easily hop bus tube travel London . travel mostly bus : 15 minute Notting Hill Oxford Street . perfect ! first stay room 10 . room quiet fresh , not much daylight . ask room street side hotel . staff helpful put we room 203 . room lot big , two nice seat relax day walk , bathroom much practical . disadvantage room bad ventilation ( night could hot room , even window curtain open 10 degree c outside ) noise outside ( window open fresh air ) wooden floor ( hear upper neighbor walk toilet ) .However , really enjoy stay : nice breakfast , spacy room , cleanliness really friendly staff . definately worth visit another time ! 
 Nov 23 2009 	 good location reasonable room 	 hotel two hundred meter Paddington Station Lancaster Gate tube station , give plenty chance move around London . build hotel victorian floor creak . hear morning night guest room move around , agreable , room big price right . accept creak floor , good hotel . 
 Nov 19 2009 	 Everything TripAdvisor say would ! 	 great quality hotel reasonable price . room modern , clean , 2 huge window , big enough sofa armchair . staff friendly helpful , breakfast fresh , well cook serve quickly . quiet even though busy road , soundproof window work well . 5 min walk Paddington station , 5 min taxi west End . 
 Nov 18 2009 	 Excellent London hotel - good value service 	 Darlington good , clean , well staff hotel affordable . excellent location Paddington ( 5 minute tube ) room simple clean . deserve four star rating well run , great staff . hotel simply comfortably furnish great value money . stay 7 night total , experience great . 
 Nov 16 2009 	 Shame room 	 would echo general good vibe hotel allocate poor room stay ( room 11 ) . book twin room room 11 actually ' split room ' single bed entrance room double back room ( come entrance room ) . fridge locate cupboard two room . tv single ( front room ) poorly lay , need thought room layout ... far basic . two window look onto brick wall foot away ... view . double bedroom bathroom ( come double bedroom ) small suspicion bath leak somewhere seem excess water floor use . a great shame room hotel good other say ... breakfast also good quality / quantity . staff polite helpful also . 
 Nov 14 2009 	 Pleasant Staff 	 book hotel location also positive comment Trip Advisor . visit London celebrate 30th wedding anniversary , day prior arrival , ask phone could ' nice ' room view special occasion . check - in , mention say allocate street - face room third floor , one well room . first impression favourable . the pleasant staff provide service breakfast excellent , quality english breakfast could vary much like ( within reason ) . bar hotel , occasion see guest , breakfast restaurant always healthy number diner , hotel clearly quite full . like english breakfast , admit wish ' Continental ' style may disappoint limited choice available . Paddington tube railway station less five minute walk away , Lancaster Gate tube less ten . also number bar restaurant around Praed Street , want venture far evening . go nearby indian restaurant ( Spice India ) good value . the security hotel already mention bit comfort . swipe card issue we , gain access external door , internal door lift , bedroom . also digital safe room ( free ) useful addition . they also variation ' Room Service ' , entail takeaway various London restaurant bring room . not use service , can not comment timeliness , quality etc . thoroughly recommend , would delight return Darlington . 
 Nov 4 2009 	 always nice stay London . 	 ' ve 3 time Darlington 's always nice place stay . 's Hyde Park zone , hotel quiet surround tree green park . the hotel little quiet room pretty nice . time try twin nice double room family . 
 Nov 3 2009 	 safe bet 	 room large , clean quiet . the location convenient sightseeing . the breakfast prompt well prepare . we use hotel . 
 Nov 1 2009 	 do not stay black 	 Booked hotel due review . room Perfect , location Perfect . unfortunately reception good . partner black . moment book treat contempt , initialy subtle receptionist comment like & quot ; together ? & quot ; . partner want let ride . however , breackfast next morning contempt racism overt . look staff smirk evident moment walk breakfast . partner virtualy food throw attempt get coffee joke . in short , black partner black , use hotel 
 Oct 15 2009 	 Excellent location value 	 close proximity Paddington station Hyde Park , tall ceiling , friendly helpful staff , clean room , plenty hot water , large bathroom , old non - contemporary English feel , free breakfast reasonable hour , free quality Ethernet WiFi , plus price . well do ! 
 oct 9 2009 	 great location price 	 stay hotel begin great holiday pleased choice hotel . luxurious good value , comfortable great location . close Paddington railway could catch Heathrow Express . good Breakfast selection good service . 
 Sep 30 2009 	 well maybe give another try 	 complimentary hotel 2008 not let unfair price good value spotlessly clean . furthermore another reviewer mention cook order breakfast outstanding . complain , always seem , sausage last time tasty , lovely bacon , mushroom , properly grill tomato perfect egg . say great start day . however bathroom small tub tiny spotlessly clean . extractor fan noisy . bath sheet good quality delight use . bedroom small side bed hard side spring make bong noise ! theworst morning realise wife consume measly allowance two coffee sachet phone reception say & quot ; come reception give & quot ; hold dear 's 7:30am ' ve get next nothing , wrong answer ! make mad breakfast console , maybe give another try . 
 Sep 29 2009 	 Good Home Base London 	 arrive Darlington Hyde Park early morning flight Canada . able check early pre - arranged fee . worth able lay shower . hotel easy find close Paddington Station . great take Heathrow Express airport arrive departs Paddington . catch Tube ( subway ) well , also lot place buy snack meal station . room clean bed comfortable . bathroom decent size clean . staff deal friendly helpful . complimentary breakfast offer , well average choice self serve continental breakfast bar ( yogurt , fruit , etc ) could also order English breakfast menu ( egg , toast , ham , etc ) . overall good hotel reasonable price complaint . 
 Sep 18 2009 	 great hotel 	 stay hotel 2 night July impressed . whole place clean , airy light . room good size London staff efficient friendly . breakfast also nice cooked order . location 5 minute walk Paddington 10 minute Hyde Park , Marble Arch & amp ; Oxford Street . make preferred hotel London . 
 Sep 18 2009 	 Great Place go back 	 great spot we . able walk bag Paddington station 5 minute . staff helpful room spacious comfortable . breakfast room nice food excellent . look forward stay next time London . 
 Sep 14 2009 	 worth know .... 	 stay one night 12th September would recommend be look clean conveniently locate hotel Paddington / Hyde Park / Marble Arch area , good access transport route touristy part London . room 400 top floor face rear building , request , quiet ( although next lift , lift whisper quiet ) , scrupulously clean , basic necessity . room massive ( bedroom 12 foot x 9 foot ) en - suite , let us say , extremely compact ( 6 foot x 4 foot ) , barely enough necessary ! check /out fine - east european girl polite business - like rather overtly friendly , find bit general trait , not see negative point . similarly , waitress breakfast . full English cook breakfast good start day , well cooked ; stay far expensive hotel much bad , sadly , many well . partner couple lovely poach egg , perfectly cook , plastic moulding often pass poach egg . room digital safe instal good see , plenty pillow spare blanket openable window roof - scape outside , effective air conditioning ( though find filter air conditioning room unit not clean time limit air flow - owner please note ! ! ) . , good overnight stop . 
 Sep 13 2009 	 wonderful value 	 not think could get acceptable single room London £ 70 . flashy , clean , quiet comfortable . acceptable breakfast . excellent location close Paddington . definitely recommend overnight . 
 Sep 12 2009 	 nice hotel ... 	 stay hotel week , spend around 700 £ double room ensuite . hotel offer good service cleaning breakfast , honestly find lack would not expect price pay . first noise insulation : hear every single step upper floor , room , since bathroom next bedroom , impossible sleep shower . plus almost half socket fake , 2 socket work bedroom 2 work free sitting room ( sometimes unplugged tv turn ) . another thing , curtain bathroom . hate stuck shower . last thing could appear minor problem , consider average hotel london , honestly expect price pay ... 
 Aug 29 2009 	 convenient everything 	 check comment Trip Advisor wife & amp ; decide stay Darlington . good choice . read squeaky floor problem ask room top floor allocate room 404 . room clean , en - suite area . we look main road allow plenty fresh air small table fan along open window work well keep temperature right good night sleep . ample storage space - travel two large suitcase cover three climate . a lift floor , small library paperbacke book , tv room ( good reception ) , security tight - electronic key front door , another locked door gain access inner area hotel course another lock room . we find staff friendly polite . breakfast good - mention other hot food cook order portion generous . we already send copy hotel brochure UK friend visit London frequently . the location good - five minute walk underground , many pass taxi cab , plenty restaurant & amp ; pub area . close large shopping strip include Marks & amp ; Spencer . eight minute walk , tow suitcase , Paddington railway station catch Heathrow Express . would happy return Darlington Hotel next time London . 
