cool 	 enjoy 2 night ' theatre break ' City well pleased choice hotel . benefit greatly refurbishment enjoy ' upgrade ' check - in . beautifully appoint room , ( view onto back church not view ! ) nice sleek minimalistic line . pleasant staff . get good deal website booking find location ideal - easy walk Covent Garden Theatreland . 
 Nov 2 2009 	 excellent modern hotel great location 	 stay Thistle theatre break anniversary . not sure expect disappointed . hotel undergone refurbishment room spacious furnish high standard . great location - 10 - 15 min walk covent garden nearby theatre 5 min British Museum . also various bar / restaurant nearby . breakfast buffet style full english / continental available along tea / coffee / juice . staff friendly helpful . would definitely stay hotel . 
 Oct 30 2009 	 Great Hotel Location 	 Service arrive efficient staff polite helpful . room one good stay 's modern trendy good size LCD telly . slight let window open weather mild time year room quite hot , AC faulty , concierge come manage open one window slightly helpful . meal hotel expensive , eat out . the location ideal central main part London tube short distance away , would advise get day pass work cheaper go use tube alot otherwise every trip take tube cost £ 4.00 go even dearer . tube get busy 5pm-7pm try avoid time can . London 's self busy place also enjoyable , plenty thing plenty place eat local back street cafe posh nosh eatery . would recommend Planet Hollywood food awful look taste cheap complain people , price would expect good quality anything ! ! ! .On whole fab stay would recommend hotel . 
 Oct 20 2009 	 Love Hotel Location 	 stay Kingsley March mom Aunt Sring Break March 2009 . London several time good trip . hotel walk distance tube shopping . love shopping Oxford Street could walk Oxford hotel . course take taxi bus also walk spend euro shopping . great hamburger place way hotel . American not think food great London burger big , good , juicy . highly recommend hotel 's location forgot ... 's newly renovate 's real modern . will definitely back next spring break ! ! ! 
 Oct 7 2009 	 pleasant surprise 	 go London couple time year accustomed disappointing hotel tiny room . kingsley complete exception although suspect room upgrade . the hotel recently refurbish impressive boutique style use high quality fitting , room excellent huge comfy bed , flat screen tv , armchair , desk etc . completely quiet . bathroom crisp , modern well equip . the include breakfast buffet provide eat full english continental good surrounding enthusiastic staff coffee toast etc . we sample much service can not really comment . hotel step Bloomsbury square park car . nice part London . great value money pleasure stay . 
 oct 2 2009 	 great hotel great location ! ! 	 stay one night , impressed quality staff , service room . ideally locate , close tube station , close theatreland , main reason stay . room ideal , modern , clean comfortable ( 514 ) . downside lack hot water full bath / shower , big issue one night stay . breakfast great , one good hotel stay in . would thoroughly recommene other , would definately return . 
 Sep 29 2009 	 Brilliant ! great location clean friendly staff . 	 would definately recommend friend go use base whenever visit London . location within easy walk distance main attraction ideal wish visit theatre stay . room ' cosy ' ample big enough base clean . the tea coffee drawer always ask reception obliging . 
 Sep 22 2009 	 excellent value money 	 pay £ 112 double ( room 206 ) line distributor night ... - room locate front building 2nd floor good sound proof assure problem . large room , lot room move around king size bed ; recently renovate inthe usual clean line , trendy look ; large bath good shower ; located short walk Tottenham Court Rd tube , several short street bus line , good transport central London .... use breakfast bar omment .... really please give tiny many London hotel room .... will stay ... 
 Sep 16 2009 	 good value hotel 	 book hotel ( much search ! ) , due location deal get Laterooms.com - £ 79 night . absolute bargain ! ! ! hotel immaculate , newly refurbish , location fantastic - 5 - 10 min walk Covent Garden , Leicester square , Trafalgar square , Holborn tube station . room ' mezzanine ' level , posh way say & quot ; bottom absolutely view & quot ; , not stay room day . room well present , lovely bathroom , tv , Ironing board & amp ; iron ( handy ) , extra pillow , tea tray ( drawer make sure not miss ! ) . would gladly stay . 
 Sep 15 2009 	 GREAT GREAT HOTEL ! 	 fantastic staff , fantastic room ( completely refurnished ) fantastic location make stay London great . several time London never receive nice service hotel . theatre , Museums , Bars , Restaurants etc ... outside ot corner ! hope keep rate keep affordable come back ... love ! ! ! ! . special thank Beatriz ( chef reception ) staff great help kindness . 
 Aug 31 2009 	 Impressed 	 Chose hotel base proximity theatre ( Oliver ) course trip advisor review always pretty accurate . really impressse , hotel fresh , classy modern , love elegant staircase purple carpet chandelier , make feel good walking ! room comfortable excellent bathroom . 5 - 10 walk Drury Lane theatre covent garden market great , lot free entertainment , never use tube . park car secure underground car park round corner Bloomsbury Square , £ 20 24 hour , walk lot shop bar great location . tip ; tea tray drawer , do not find till leave . 
