Best 	 stay Langham 5 day Thanksgiving holiday . good service moment walk door check . place clean , bed great , service amazing . ask bucket ice one time , get 5 minute . watch service charge , though . order room service , will get service charge well tray charge . coffee water cost 15 GBP . also charge use internet - 7gbp 40 mintue computer center , 20 GBP hook laptop . need internet , 's internet cafe 2 block away 1gbp 1 hour . need water ( beverage ) , 's newstand block away leave side Regent St , 1.5l evian cost 1.45gbp . avoid eat hotel 's expensive . be many good restaurant within walking distance . Soho 20 minute away foot ... will not even feel long since be many thing see way . 
 great service amazing room 	 stay Langham first wedding anniversary . room amazing , staff great make we feel really special . there two thing let hotel , long wait cab fact key card disable first night . oh , watch service charge , be add * everything * 
 good London hotel stay ! 	 moment arrive outside hotel 's grand facade , feel though special treat ... nothing Langham disappoint . book room 2 night celebrate partner 's birthday . room upgrade arrival , receptionist wish happy birthday ; escort suite . find fresh flower fruit , gorgeous little cupcake ' happy birthday ' ice plate , handwritten welcome manager hotel sumptuous look bed would ever see ( not disappoint either - like sleep air ) ! set tone wonderful weekend . breakfast morning - room , ' the Landau ' - meal fantastic . ambience Artesian Bar wonderful ; champagne chill perfection . nothing much trouble . really treat like royalty . location hotel fantastic ... couple minute walk Oxford Circus tube , able walk theatre , good restaurant , shopping Regents Oxford Street . could not ask anything , not want leave ! disappointment forgot take swimwear , not experience spa . will save next time ! 
 Nov 26 2009 	 Wonderful 	 return long weekend Langham - Friday Monday - stop Club Room - tranquility - worth pay extra club lounge facility excellent - continental breakfast - afternoon tea - evening snack drink - hotel beautiful - pleasant lounge - wonderful bar area - great leisure facility - wonderful pool - back soon possible 
 Nov 23 2009 	 can not wait go back 	 Excellent location , excellent service , friendly staff , good food - stay London could well . 
 Nov 22 2009 	 Love Langham 	 eat Landau , gorgeous , Langham re - open refurbishment want experience stay . arrival , upgrade immediately room comfortable . public room exquisitely decorate . however , make Langham Landau special staff - customer service well ! 
 Nov 17 2009 	 utterly superb - wish could stayed long 	 Party 4 , 2 adult , 2 young adult ( 18 ) 2 Classic room . everything perfect , breakfast lovely . take afternoon tea restaurant excellent , albeit little expensive . concierge knowledgeable helpful , Valet service perfect , check 10.30 give room key friendly receptionist immediately rather wait 2pm - wondeful ! ! Shame stay 1 night . definitely visit ...... 
 Nov 17 2009 	 extremely disappointing hotel 	 ' m afraid soooo disappointed hotel . use work nearby , several year , want stay . spectacularly beautiful inside lobby , artesian bar , Palm Court dining room ; really stunning refurbishment . likewise , hotel website beautiful . , loveliness hotel end . room absolutely nothing special . standard room perhaps pay get exciting , small feel rather shabby sparkle clean . also far hot . air - conditioning nothing resort open window whole visit . actually , not really mind use live London enjoyed hear night noise city . obviously , would problem other . hotel good , central location . order breakfast one morning porridge taste cheap watery sort seal , presumably wait time bring . honestly could make well . cost outrageous . bread roll hard ( almost impossible open chew ) similarly famous afternoon tea Palm Court , edge sandwich slightly dry assume mean have lie time . first sit afternoon tea . visit small swimming pool ruin several young unaccompanied child bomb water repeatedly refuse calm ask . ' m parent authority remove pool would ? accept fault hotel , rather strangely absent parent . member staff uphold sort rule child small leisure area . presumably someone admit unaccompanied child enter facility go reception desk . whirlpool break throughout stay . bad thing Langham sort spirit meanness underlay whole ' luxury ' experience . everything much trouble . drink water standard room . Wifi charge , think , 40p minute rule minimum charge . find astounding wifi free almost everywhere nowadays . feel staff Artesian Bar border rude problem bill ( making ) develop flat denial , unwilling refund apology . feel friend treat something ( something ) wrong certainly not . small group old friend 30 spend two hour together think two drink consequently spend fortune . lastly , one night go Pierre Victoire sister brother - in - law Soho dinner . yes , busy noisy queue even book five minute Saturday night . relief . food excellent , staff friendly could . great , unpretentious , fairly - price evening really show ' m Langham girl . would definitely never go back . click username will see also write glow review not think critical traveller . 
 Nov 16 2009 	 Outstanding hotel - class act 	 hotel provide outstanding value money . ideally situate shopping area West end , combine stunning exterior lush , tasteful comfortable interior . staff first class - concern helpful without obtrusive obsequious - without disdainful condesecending attitude often find upmarket hotel . food excellent , , especially afternoon tea . gym , health centre , pool first class , ( claim one reviewer ) require pay facility whilst guest . I would unequivocally recommend hotel . 
 Nov 16 2009 	 Lovely Hotel Great Service Excellent 	 Staff helpful , good location , extremly comfortable room . evening meal , good price excellent service . 
 Nov 14 2009 	 worth 	 book special rate refurbishment . ok , not feel like 5 * & quot ; luxury & quot ; . supposedly upgrade mid - level room . roomy enough , desk place contortionist could get chair . bed lumpy . swim pool kind dungeon , fitness equipment marginally satisfactory . probably Club Floor , company pay , fine recommend unless get really good rate . nothing horrible , nothing special . good location , course . 
 Nov 13 2009 	 exceptional 	 wonderful hotel , be become favourite London ! impeccable service . fabulous room ( club floor ) fault anything . can not wait return . 
 Nov 10 2009 	 could not well 	 recently stay 3 night shopping / cultural trip London choose Langham comfort location . disappoint either count . impeccable hotel , attentive unobtrusive staff within stroll distance Regent St. , Oxford St. Soho theatre . Time allow we take advantage hotel facility appear first class . we course time avail good hotel bed ever . like sleep big white fluffy cloud , surprisingly quiet 300 plus room hotel capital . top class . 
