location 	 love boutique hotel not already say . rooms- adequately sized , spotless furnish beautifully . quiet night want go sleep , bustle day . location shopping transport beat . the outstanding feature though service . herald team ( inparticular , James Ava ) go well beyond one would hope receive . great dinner recommendation , request have . breakfast plentiful , well know make great Strong Latte . fabulous way start day . 
 Nov 23 2009 	 everything perfect Levin ! ! ! 	 stay Levin 7 night say one nice hotel i´ve ever stay . hotel lovely , service staff excellent ! there´s , good location London , step Harrods Knightsbridge Subway Station . breakfast good also , love Boutique Hotel . I definetely stay Levin every time visit London ! ! ! 
 Nov 16 2009 	 brilliant Place 	 location one good London , within walk distance good shop restaurant London . room modern tasteful rather small compare get part world ( Europe ) service brilliant , staff attentive weather great make trip perfect . next time ' m back London , place think stay . 
 Oct 25 2009 	 good surprise london 	 go quite often London fact hotel normal ! levin nice surprise .... modern . cosy elegant.the location great airport , shooping site seeie . easy get to.the room clean confortable staff always attentive helpfull . support service . help we taxi , exhange money , give tip . amazing ! good hotel stay ... definetely ! 
 Sep 26 2009 	 Perfect spot heart Knightsbridge 	 stay 17 night beautiful hotel London . staff helpful friendly , room modern elegant . hide gem London 
 Sep 17 2009 	 small ( yet perfectly form ) auberge Basil Street 	 take make mind place . enter street , everything seem close together include registration desk , lounge area stair affording access bedroom . also antiquate lift , stair simple option . my room ( first floor ) hugely comfortable . spacious , airy decorate calming shade blue . bathroom also peaceful place , restorative refuge luxuriate day spend London . unlike hotel , Levin offer champagne bar ( oppose usual mini - bar ) . though offer choice champagne ( facility make champagne cocktail ) , prefer allure pint good lager , preferably quaff out - of door whilst people - watch . 's something & quot ; bead bubble wink brim & quot ; pint beer everytime . the hotel literally three minute stroll away Harrods , also within close striking distance Harvey Nix . breakfast Harvey Nix A - one worth experience least time Levin . though Levin offer room service cook breakfast , restaurant Levin currently close food emanate sister hotel , Capital , locate beside Levin . give divine nature Harvey Nix breakfast ( consume al fresco & quot ; Indian Summer & quot ; last week ) , however , avail either Continental English breakfast Levin . another add benefit Levin proximity Knightsbridge Tube Station . 's four minute walk away hotel ( tube Heathrow Airport within ten minute leave bedroom Levin ) . finally , staff Levin could not nicer stay ; genuinely kind people , . 
 Sep 17 2009 	 idealy locate well decorate luxurious Levin top supreme service 	 daughter get least glimpse London , go day . stay levin definetly make role guide attractive ever . service provide touch impeccable - pro - active without intrude . THANXALOT 
 Sep 14 2009 	 ava make stay delightful . Le Metro open . 	 first trip Levin since L'Hotel . stay three night begin three week trip UK , one night fly home . first three night , put Room 24 , definite upgrade standard room . 's lovely large room third floor ( american count ) overlook street . everything L'Hotel top notch new decor , amenity , quiet night 's sleep . second stay , room 16 back building ( first time ) . quiet , ugly view ( peer behind sheer curtain ) .The staff wonderful - hold bag time arrive unusually early ( first super quick transatlantic flight , second elect drop luggage return rental car ) . formally check - bag waiting , room turn properly . I two nitpick stay . first new air conditioning system unusually noisy . alternate turn night . be okay opening window little street noise - 's well solution good air circulation . second issue Le Metro . love Le Metro enjoy breakfast ( occasional dinner ) . unfortunately 25 August Le Metro experience flooding problem not open . still repair upon return 8 September . instead take breakfast sister hotel , Capital street . less enjoyable experience . range continental item small , last trip - not enough table breakfast , wait bar 15 minute , give breakfast - little service . ask everything - food , cream , tea . bit hassle . plus expressly not stay hotel like Capital hate atmosphere kind pretentious place . 
 Sep 2 2009 	 delightful surprise Central London 	 stay son , find last moment . room nicely decorate , bathroom amazing , amenity well . service top - notch . be half block away Harrods Sloane Street , location could not well . be also quiet get good night 's sleep . restaurant quaint nice food . 
 Aug 25 2009 	 one lonly choice LONDON 	 Greetings Riyadh , Saudi Arabia ... nice experience stay Liven hotel , totally impress every thing start location , luxury , room , staff , cleanness smiley face every . doubt , liven hotel choice next visit London recommend hotel friend relative look oasis Luxury Knightsbridge , London . Mr. Harald , Ava Martin . help cooperate much appreciated . 
 Aug 11 2009 	 EASY PLACE stay 	 excellent hotel easy access amenity & amp ; part London , reasonable , clean , friendly , accessable . what elss anybody want . when one London , one day one need comfortable hotel like LEVIN make trip worthwhileA . MESHKAT 
 Jul 5 2009 	 find london hotel 	 travel often london business need lot special request hotel conduct meeting in - house . suite levin perfect , even amazing attentive service Harald staff . local guest comment wonderful hotel ! feel like guest staying friend place , female travel alone perfect base . beautiful sophisticated decor , large bathroom , friendly staff , right doorstep harrod Harvey Nichols Hyde park . stay levin future london visit , need book early ! 
 Jun 30 2009 	 Perfect romantic getaway centre London 	 brilliant little boutique hotel next Harrods . my wife love interior decoration room common part . the staff extremely friendly helpful make we feel really welcome . would definitely stay highly recommend . 
 Jun 17 2009 	 give six ! ! ! ! ! 	 title say , perhaps good hotel ever stay thing consider . greate arrival night porter check within 1 minute room 2 min . room spacious , bright comfortable . bathroom little small normal clean large bathtub . breakfast plentiful , tasty serve day ! location excellent yet quiet hotel ever stay , large city . Tube 30 sec awayTo top managment give we bottle champagne celebrate special occasion . check smooth staff excellent . I really prasie hotel highly enough - bad Harrods corner shop ! ! 
 Apr 29 2009 	 hide gem ! 	 lovely able stay luxury boutique hotel heart Knightsbridge ! stay Levin wonderful experience , great location allow shop drop escape sophistication calm hotel room relax prepare champagne cocktail minibar ! staff friendly , helpful attentive area hotel include restaurant . Levin decorate beautifully individuality mind ! 
 Apr 26 2009 	 ` ` Location Location Location ..... Great Service ! ! ! '' 	 husband return week London . stayed & quot ; Levin & quot ; Hotel already look forward next visit UK ! manager Harald staff FANTASTIC , room impeccable , hotel restaurant & quot ; Le Metro & quot ; great food ( dill dip salmon AMAZING ) , find nice hotel well location ( right next Harrods ! ! ! ) anyone consider trip London absolutely choose & quot ; Levin & quot ; ! ! ! ! - Mr. & amp ; Mrs. M. Al - Hussainy , USA 
 Apr 26 2009 	 well exclusive hotel London 	 nice quiet discreet hotel heart London friendly staff , respond professional demand , real treat people travel lot want good rest refined environment 
