beautiful 	 Mayfair Hotel stunning - great location , clean tidy uber trendy . barely week go without photo one celebrity another see go come popular hotel . therefore , expect alot hotel . we arrive later day , reception relatively quiet , however gentleman behind desk surly , moody not look remotely bother attend we approach desk . make eye contact we whatsoever not even greet we . after give we room key walk away without tell we room , get etc .... least expect ask we want newspaper morning , need help luggage ( large suitcase ) , disappoint whole demeanour could not believe 5 star hotel checking . however , get room delight . large , clean , king size bed marble bathroom , make rude reception staff . however , 8 am follow morning , woken knock door ! housekeeping staff want make room ! 8 am ! could not believe , especially go relax weekend catch sleep . I shock later day return hotel 4 pm discover room not make , despite housekeep eager 8 am ! confront front desk , surprise surprise shrugged shoulder not really see problem . breakfast bar first morning restaurant busy . staff polite attentive , however still wait 40 minute breakfast , order la carte breakfast menu , feel wa long , especially bowl porridge order . all say , hotel alot excellent quality . bar fantastic always lively atmosphere matter time day . the spa outstanding food Amba grill delicious ( would recommend cod ! ) .It also one clean hotel ever stay in . when book room , ask one not overlook front hotel keep awake night people leave various bar / nightclub area . 
 Nov 24 2009 	 ask confirm booking 	 book due review . study London know hotel 's location well . Booked ( communicate reservation office email ) double room 3 week arrival . I offer room king bed , tell daily price inclusive breakfast & amp ; VAT.Upon arrival , assign room difference photo website , small & amp ; identical deco . hesitate ask change front desk rude check - in . perhaps stay 2 night , book low class room ... breakfast ... ask ( booking ) whether english breakfast continental breakfast include ... eventually give full english breakfast ... really hope be able state clearly guest reservation . however , location good . 
 Nov 23 2009 	 Excellent Hotel Excellent location . really top class . 	 every thing hotel exude excellence , class , functionality . central location make easy access important land mark London . free wi fi make even well . friendly staff , ready help . 
 Nov 20 2009 	 market hotel ! excellent 	 stay hotel partner honestly say ... get pay . fitting reception ( Fendi sofa 's etc ) . room beautiful B & amp ; ( Bang & amp ; Olufsen ) t.v . , phone , desk dressing room fit marble lead marble bathroom . quality luxury leave speechless . also mention t.v . bathroom ? fall love hotel . local ( small ) sainsbury 's supermarket face hotel . go drink etc hotel pricey . location excellent . walk Oxford road ( shopping ) 5 min away . 10 min walk Ritz Hotel . around corner Starbucks coffee shop cafe 2 door street side excellent english breakfast quarter price hotel . want spoil live luxury , ' ve find ! ! enjoy 
 Nov 18 2009 	 good hotel sooooo noisey ! ! ! ! 	 first time criticise hotel usually stay 4 5 star travel world . let give truthful honest assessment hotel . let get one two thing straight say word & quot ; & quot ; .This hotel excellent location . next shop Oxford Street well Bond Street . staff excellent & amp ; general atmosphere place good . stay 3 night put room 124 . take downturn ! ! ! enter lobby zap room card key hole . room 124 right doorway recur nightmare evening everyone hour floor slam door next room ! ! ! ! happen night terrible deal regard get sleep . room ( superior ) small warn look space . my room face outside street entrance hotel every car & amp ; move vehicle stop slam door wake ( pretty much every ½ hour 2 am 8 am ) . also 1st night Friday reveller leave busy bar night make noisy . may ask ask move 1st night ? ? answer like make fuss think maybe slight mishap . WRONG . happen 2nd night leave return home 3rd night think silly move . let get straight hotel making 5 star hotel like 8 - 9 hour sleep take warn GO ! ! ! ! warn . 
 Nov 16 2009 	 top class hotel excellentvery friendlyvery efficient warm service 	 stay Mayfair absolute must visitor business traveller London . the hotel superbly decorate , excellent finish colour /light combination . the whole interior design simply fabulous . whoever design interior get major award excellence . the staff May Fair , door concierge reception staff polite , helpful attentive . on arrival departure , nothing much staff May Fair . the May fair bar energy ambience hard match hotel London . the service warm friendly food & amp ; drink deliver superb professional efficiency . the Bar simply buzz great energy vibrate superb musical sound evening . every one party mode 5 pm onwards . it simply superb . I come May Fair Bar restaurant , amba restaurant many year simply good place hang out . from Hedge Fund manager medium celebrity , May Fair place see relax chill . decide spend night May Fair girlfriend gentleman reception simply superb . nothing problem offer upgrade spacious room without ask . the whole process take 3 minute complete efficient simply handle . the room clean , bathroom clean bed wonderfully soft relaxing . we enjoy stay check also swift efficient . we would highly recommend May Fair visitor without hesitation fantastic hotel stay in . one big recommendation guest arrive , check head May Fair Bar 5.30pm get great seat enjoy May Fair Bar drink music .... experience definitely miss beat spend time Bar Mayfair area ! ! 
 Nov 10 2009 	 nice minor annoyance - terrible internet connection 	 stay four night choose hotel stayed previously enjoy location classic style hotel . surprised hotel reflagge Radisson , totally renovate modern , contemporary , hip look . nice , expect . the hotel nicely appoint comfortable . service , general , accommodate . two issue . first , upon check - in , arrange friend receive key room upon friend 's arrival midweek . somehow , lose note friend get key show , luckily minute later . second , wireless internet connection terrible . hard make connection drop often . waste much much time wrestling internet . 
 Nov 6 2009 	 Excellent hotel perfect location '' 	 stay mayfar last october ( 21 - 28 ) nothing complain ! room big , comfortable clean ! stay first room view second day change view street .. room view excellent silent . give we upgrade accept . bathroom big , comfortable . everything beautiful plan . staff friendly . breakfast excellent , specially one front desk , near hotel many place take breakfast . hotel´s bar full beautiful people night day . location perfect ! near major atraction wonderful neighbordhood . it´s possible walk Buckingam Palace , Hyde Park , Oxford Street , Picadilly Circus . also , metro station ( Green Park ) one block half hotel . love hotel woudl recommend friend excellent place stay affordable price . thank internet ! 
 Nov 4 2009 	 absolutely fantastic ! fault May Fair ! 	 stay hotel month ago trip London see concert O2 bowl amazing hotel . amazing ambience ooze luxury location perfect London sightseeing . feel like staff really cater individual guest hotel attentive altogether superb . room Twin Superior fantastic . decor first class room spacious even stereo could dock mp3 player onto ( luxury never hotel ) ! supply really comfy bathrobe room safe could use . technical problem work safe promptly attend hotel within minute we call reception . room fit air conditioning , something happy weather trip quite close humid come handy . not eat drink hotel trip due commitment elsewhere book two night May Fair next Easter hope take advantage next time . hotel amazingly appoint present example London 5 star 's good would hesitate return well recommend friend , family anybody ! 
 Nov 3 2009 	 good value even price 	 simply great place London shopping / Theatre treat . like stay Mayfair , place ( second trip ) not dissapoint . glamorous room decent size , service great , snobby . great mohito martini hotel bar walk around aimlessly restaurant ( plenty , useless deciding ) , could decide go , end back Amber restaurant hotel - great meal . good place treat missus , will not feel place . ok , bar cheap ( £ 9 good cocktail ) restaurant be not bdget ( £ 90 two wine 2 course ) good value , especially London . get room £ 200 value , less stuffy Westbury ( still v good ) restaurant service well . 
 Nov 3 2009 	 Definately five star 	 partner stay Mayfair last sunday first november 2009.we choose one allergy friendly room . the reception staff friendly welcoming . our room nice indeed , much view clean fresh . we drink bar great , even sunday evening real atmosphere . the hotel lovely location , handy everything . we comfortable pleasant night 's sleep . a real delight . the mayfair definately five starexperience ! m lediard , Bath , England . 
