hotel 	 husband , mother inlaw stay 3 night lovely hotel . moment step taxi welcome feel ease . staff friendly helpful . room quaint warm , one could ask anything far amenity go . turn service include light candle side bath , nice touch one could help enjoy long bubble bath . resuraunt cozy homelike food wonderful . look forward go future . 
 excellent service perfect location 	 second stay Milestone . charm truly exceptional hotel . service excellent . enough . highly recommend . 
 Food Service need Good Rooms 	 stay weekend November , 2009 . hotel great location lovely public area . reception staff great doorman really friendly show we room . room lovely , well furnish big bathroom - generally high standard . the place hotel let come food service restaurant . eat dinner hotel experience dinner breakfast service bit chaotic . first day ask quite time room number serve omelette not order . food come ok nothing special - would expect something bit ordinary room rate hotel charge . on second day wait around 30 minute breakfast & quot ; everyone turn breakfast time & quot ; . surprise London hotel weekend . Whislt wait breakfast , ( friendly ) staff wander around look bit confused really achieve much . get breakfast serve waitress forgot bring milk , forgot pen , forgot notepad , etc . etc . seem quite disorganised . our third day well - hotel encourage people take breakfast bed . service still little odd . day get milk , . day 's honey table . order two course breakfast might find show time . generally , great hotel would recommend make sure either get good deal include breakfast start day elsewhere . 
 Milestone apartement - perfect base London 	 stay Milestone apartment September 2009 2 year old son nanny . the apartment perfect choice , offer beautiful traditional decor like rest hotel , space kitchen . public area hotel beautifully decorate . rather small side not matter give hotel intimate feeling . our apartment beautiful , full light amenity , service twice day . marble bathroom specious huge bottle Penhaligon 's toiletry . bedroom plush matching drapery , carpet , bed canopy wallpaper traditional english style . location hotel great , right across Kensington Gardens close major attraction great shopping . staff helpful knowledgeable . truly home away home London . 
 superlative true ! 	 book hotel American Express , cross reference London hotel book Trip Advisor . milestone high trip advisor review , choose family four happy do . if look authentic holiday London , think find follow true Milestone Hotel : location : excellent , ; 5th floor room wonderful view Hyde park Kensington Palace . short walk Park , Palace Orangery serve lovely tea cake . also short walk South Kensington tube many small restaurant . roughly fifteen minute stroll Harrods Harvey Nichols , approximately sixteen pound taxi ride , ( traffic ) british museum . check check : excellent ; efficient , welcome friendly . room : excellent ; elegantly tastefully appoint , immaculately clean , fine linen , comfortable bed pillow , cozy . marble bathroom also perfect -- clean new , great water pressure ... room service restaurant : excellent ; much enjoy dine Milestone . server manage strike perfect balance friendly attentive , yet intrusive . happy learn history hotel whilst enjoy hearty english breakfast . husband son could think well way begin day . daughter particularly enjoy afternoon tea fire , surround book . concierge : excellent ; knowledgeable , friendly helpful . lastly , visit England love history . could bear , , large chain hotel could anywhere world . end , people encounter travel , think , make journey enjoyable . gratify we encounter Milestone speak english knowledge history legacy . last trip England year ago , stay Mandarin Knightsbridge , , lovely many way , could hold candle Milestone . we wonderfully memorable holiday Milestone would happy return.high mark activity teenager : Sherlock Holmes museum , International Friends tour Stonehenge ( Nicholas drive Pat guiding ) , pub fun well , Army museum also well do . 
 Nov 18 2009 	 wonderful stay ! ! ! 	 totally wonderful , staff helpful location hotel good . strongly recommend hotel everybody want great holiday ! ! ! 
 Nov 14 2009 	 wonderful experience 	 hotel wonderful . time arrive check make feel special . room different unique . Harlequin Suite fun black white theme . staff friendly professional could enough . 4 night staff would greet name . breakfast room charming service food great . usually waitress Lou whou would remember name like eat . the neighborhood location great . easy walk tube many great neighborhood restaurant . I can not say enough good thing Milestone . 
 Nov 14 2009 	 beautiful boutique hotel 	 husband recently stay 2 night Milestone Hotel kensington , London celebrate wedding anniversary . it beautiful boutique hotel certainly consider return would recommend friend . the front house service excellent dining experience . our room little compact decorate beautifully rest hotel . our little niggle breakfast service 2nd day disappointing . 2 table restaurant surprise wait 40 min cook breakfast arrive find rock hard poach egg . also overcharge 2 glass champagne dinner mean complimentary month November . soon mention departure everyone seem genuinely apologetic . I suspect unfortunate occasion would certainly like return charming hotel 
 Nov 9 2009 	 Royal excellence 	 feel like royalty , upgrade juniorsuite , champagne midnight feast anniversary . hard work staff . would ever exceed anniversary . 
 Nov 6 2009 	 new favorite London 	 Hard beat . wonderful location Kensington near Notting Hill . Outstanding service , impeccable charming room , great breakfast room . 
 Oct 29 2009 	 Charm Atmosphere impeccable service will not disappoint . 	 wife spend 20th Anniversary London stay Milestone . choose fine review trip advisor . must say however glow review could never hotel , staff atmosphere justice . one night stay & quot ; wow & quot ; make special . first upgrade beautiful suite overlook park . complimentry champagne ( bottlle glass ) . fantastic room service . try afternon tea ` must . nothing much trouble staff everyone genuinely seem happy . would like thank staff kindness congratulate management assemble great team , absolute credit company . 
 Oct 26 2009 	 fantastic hotel amazing service ! 	 wife one night Milestone Hotel away four kid . go rang hotel tell would time away kids year trip also mark anniversary . moment arrive staff attentive nice we , recieve free upgrade amazing room ! keep bring treat totally dedicated give we good time . really special break really revive we already strongly recommend hotel friend ! 
 Oct 23 2009 	 Fabulous hotel 	 husband , son stay hotel 6 night August . staff could possibly go trouble make stay comfortable enjoyable . room beautiful . location fabulous 5 minute walk tube lot restaurant within two minute walk . dine different one night bad experience . dine one night hotel 's small restaurant . quite romantic food good . small intimate hotel . husband receive separate handwritten welcome note manager . definitely stay . 
 oct 22 2009 	 Nice Hotel 	 Nice accommodation friendly staff . room clean . would go back ! 
 Oct 12 2009 	 one best HOTELS ever ! ! ! 	 would HIGHLY recommend MILESTONE anyone visit London . year stay high rate hotel would say 1 outdid anyone 's hospitality . incredible hospitality include , hotel fill exquisite personality . 2 night superb hotel long enough ! love every minute hope back London near future ! terrific city ! thank ! 
 Oct 3 2009 	 absolutely superb service really nice accommodation 	 husband absolute pleasure stay Milestone Hotel September way cruise . find enough word say wonderful everything . staff extremely accommodate . suite decorate perfection . eat hotel almost time food terrific . butler service plus . really care . make effort know name ask pleasant stay write nice letter receive return cruise . other say , conveniently locate able walk favorite store . fifth time London really would never stay another hotel . hotel & quot ; stuffy & quot ; mandatory wear jacket diningroom . 
 Oct 3 2009 	 fantastic ! ! ! 	 say Milestone ? fantastic location , amazing staff great look building . the whole weekend stay hotel birthday weekend . staff great we overall service well hotel stay London . I would recommend afternoon tea , get one share huge . I would fully recommend hotel everyone . enjoy 
 Oct 3 2009 	 Excellent 	 state two night totally pamper , fed well menu everything ask , . nothing much staff provide little touch make stay something special . get marry everything perfect small detail . the staff provide service something remember [ pay say ] .I would recommend stay want special hotel ordinary left feeling must stay . many thank Milestone team wonderful stay . 
 Sep 30 2009 	 Highest Level Service 	 sister find Milestone tripadvisor review correct . lovely stay beginnne arrival . greet everyone lobby manager come welcome we shake hand . Pedro give we tour property along room . room unique high quality . service front desk , bar , restaurant concierge spectacular . treat breakfast morning due website glich , give welcome drink upon arrival . every time leave enter hotel greet name person lobby help we get taxi , make reservation plain reccomende option . turn service lovely feel nice come home night feeling welcome appreciate . we would stay tell everyone look place stay London stay . request small , reccomendation spectacular . 
 Sep 19 2009 	 high quality service handsome property excellent food 	 Attentive , gracious , professional service hotel excellent restaurant . lovely public room , view Kensington Gardens . 's great location , peaceful yet convenient . fine hotel . critique : junior studio room crowd furniture necessary , make crowded less fully functional travel luggage need unpack . can not tell anomaly notice another reviewer say . 
 Sep 16 2009 	 Finest service 	 recently spend four day Milestone travel world 40 year , stay lead hotel world , one top . physical plant beautiful , service amenity . make reservation , receive questionaire like need stay need airport transportation , restaurant theater ticket . fill survey , receive call concierge arrange everything , get we impossible restaurant reservation , great theatre ticket lovely pick hotel 's bentley fromthe airport . every need attend , room type pillow love , blanket , favorite color snack ... thing ask survey fulfil . stay red carnation group hotel possible future travel can not wait get back milestone london 
