absolutely 	 everything hotel excellent , staff could not enough overbearing way , arrive leave look brilliantly , room gorgeous , breakfast lovely , set beautiful , can not say enough hotel staff , would love stay .... 
 want leave ! 	 Montague wonderful , really list enough compliment express happiness facility service receive staff member . location extremely convenient - right next British Museum , Russell Square Tube stop block away , walk distance Covenant Garden , West end . hope return ! 
 Warm 	 use Hotel many time theatre trip , shopping sharing weekend friend Chicago . never fail deliver ambience , staff attendance round friendly atmosphere . the room beautifully appoint feel luxurious . I personally soft spot Jorge one Consierge 's funny , efficient , kind , hardworking . gem Hotel , Red Carnation Group proud 
 Nov 24 2009 	 Montague Made Trip ! 	 recently stay Montague Awesome ! hotel make trip . service staff absolutely wonderful . always offer help assistance friendly . concierge , Mustafa , extremely helpful . London , want go see soccer ( football call ) game wife want english style afternoon tea . concierge able find ticket Man . U Chelsea ( perhaps big game year ! ) afternoon tea hotel perfect . hotel little walk near underground , use lot , also easily able arrange taxi whenever request well taxi could hold bag trip train station . feel safe walk hotel underground ( subway , tube ) night . stop little pub wonderful pie mash english style Ale 's enjoy . overall , wonderful experience would highly recommend hotel . 
 Nov 22 2009 	 great hotel friendly staff 	 stay Montague wife October part city break London . hotel well locate quiet road Bloomsbury , right next British Museum . arrival give complementary upgrade junior suite . room spotlessly clean , comfortable overlook quiet , share garden back hotel . thestaff meet extremely friendly helpful . thoroughly enjoy food restaurant service excellent . really like hotel definitely return . 
 Nov 19 2009 	 Excellent Service Location ! ! ! 	 first time city , stay hotel 4 day cruise Western Europe . stay London become highlight trip Location convenient service excellent . recommend hotel go back another opportunity . 
 Nov 15 2009 	 weekend break repeat 	 hotel gem . set quite street close British Museum tastefully furnish beautifully present lot attention give detail . service generally good suggestive expensive hotel . London hotel offer good value money . one minor disappointment . breakfast arrange hot cold buffet . day stay hot food somewhat neglect therefore fresh hot would table service something spoilt would perfect stay . 
 Nov 13 2009 	 outstanding service Montague Gardens Hotel London 	 recently stay 4 night hotel , thoroughly recommend it . room comfortable well appoint . hotel quiet street adjacent British Museum . level service throughout hotel outstanding staff encompass reservation , concierge food & amp ; beverage personnel . stay travel London . Marie WigmoreSydney , Australia ( marietwigmore @ hotmail.com ) 
 Nov 13 2009 	 high class ! ! ! ! ! ! ! ! ! 	 call class : C - l - A - s - S .... beautiful boutique hotel high level customer sevice ! breakfast delight ! ! ! place must 4 star hotel London ! perfectly situated near British Museum , everything appeal glamour fan ... downside room bit warm put aside , 10/10 ! ! ! ! ! ! ! ! ! ! 
 Nov 12 2009 	 one London 's good keep secret 	 use hotel year . it be close Russell Square - right edge Covent Garden -very central goody London offer . it warm almost family type atmosphere nothing much trouble staff . if want theatre ticket Mustafa Head concierge ensure get good ! garden view great tranquile good night sleep even though be hub west end . the breakfast die ! give try -you will not disappoint . Steve Cleethorpes 12/11/09 
 Nov 12 2009 	 exquisite service - unique experience cherish 	 run Conflict Resolution workshop Montague remarkable experience . never hotel ever experience high calibre care attention . service perfect - invisible hand anticipate might need , help always discreetly hand , room grace gorgeous flower fit wedding food refreshment joy , little surprise treat every turn . client go away feel thoroughly cherished . world become impersonal , fast homogenised special come across unique experience Montague every little care take individual delighting care . delight . feel like home hotel yet professional . put superb GM staff . 
 Nov 11 2009 	 5 star price 4 star 	 excellent hotel , ideal situtation , tube travel require , walk everywhere ! ! superb standard service , staff well train , hotel far superior 5 star hotel use Europe . also decor lovely , room spotless . I would definately recommend hotel . 
 Nov 11 2009 	 expectation exceed ! 	 Montague beautifully - appoint hotel , suite everything need week spend visit museum , attend concert , eat magnificent meal enjoy good hotel stay 50 year globe - trot business pleasure . staff friendly , helpful attentive , food restaurant excellent , high tea charming delicious , concierge amazingly efficient : short , nothing disappoint , everything pleased . not Red Carnation chain hotel New York City ? 
 Nov 10 2009 	 LITTLE BIT LUXURY ! 	 stay Montague overnight visit London see Sister Act theatre , stay make trip even special . treat special guest right arrival . greet doorman Samir helpful throughout stay especially direction . Montague lovely warm friendly atmosphere , make staff . room feel luxurious littletouche lovely , bring fruit room turn bed witha treat leave pillow . breakfast well ever London Hotel , really tasty , hot lot choose , cater taste . location really good , 20 minute walk , Oxford Street , Covent Garden Theatreland , however , not like walk Tube Station 2 minute away . could want . 
 Nov 9 2009 	 Exellent Hotel - highly Recommend 	 recently stay hotel work trip find staff friendly welcoming . bedroom cosy bed extremely comfortable top breakfast nice . go london need Russell Square close British Museum ? one perfect ! 
 Nov 8 2009 	 Lovely Hotel ! 	 stay Montague five night October . choose hotel base excellent review Trip Advisor feel make right choice . beautifully decorate room , friendly helpful staff , delicious breakfast , great location , excellent service … . everything wonderful ! ! especially like evening turn - down service sweet canapés . since love flower , fresh carnation bathroom ( breakfast tray ) also make happy . the day receive thank - you letter General Manager fill guest satisfaction survey , remind great time Montague . I would really want visit hotel ! 
 Nov 7 2009 	 one well hotel london 	 stay several time , last time june year . hotel excellent terrific ambiance , location bit marginal purpose . room clean comfortable , staff extremely attentive . 
 Nov 7 2009 	 Excellent staff great location 	 stay hotel 3 night October . hotel convenient location staff frienly accommodate . due central location hotel find quite easy walk anywhere need go meet friend visit attraction . we would recommend afternoon tea quite experience : nice cake . the breakfast good variety perfectly fine . we would definitley use hotel stay London . 
 Nov 4 2009 	 Character service location great night 's sleep ! 	 spend weekend London 10th wedding anniversary thrilled service Montague . food excellent location brilliant go see Les Miserables Queens Theatre ! room lovely - even though close buzz West end - area surround hotel ! quiet 2 great night sleep ! love ! 
 Nov 3 2009 	 First Class 	 arrival sad ' goodbye ' , feel like king castle . great place - quiet location near British Museum , within walk distance Oxford Street shop west end theatre . stay four night wish last long . hotel breakfast buffet complete , Blue Door restaurant first - class , traditional british bar look onto lovely private garden , afternoon tea service appear perfect conservatory . be also impressed concierge know name day say hello . 's little thing like make place special . one quibble : gym small use effectively , however hotel staff arrange attend Fitness First five minute ' walk away £ 5 fee . thank ! 
 Nov 1 2009 	 Perfect Wedding Anniversary 	 originally recommend stay hotel friend return every year since long weekend stay . would consider stay anywhere else bad experience London hotel . therefore , hesitation return October celebrate special wedding anniversary . every effort make make anniversary special occasion , include room upgrade personal touch . could thank staff enough kindness arrange everything . staff efficient well friendly . the hotel ideally situate British Museum around corner restaurant , pub , tube station central London within easy walk distance . please note worth pay slightly stay room rear hotel overlook garden instead road . since find hotel , tell friend also stayed return Montague would hesitation recommend hotel . 
 Oct 28 2009 	 charming hotel exceptional service wonderful location 	 family spend 6 day Montague Gardens . travel often family stay wonderful hotel throughout Europe recommend TripAdvisor . selection could magnificent - - review encourage we book hotel experience cause we return return London , well highly recommend Montague friend colleague . room beautifully / tastefully decorate , service impeccable greeting front door staff care room . location convenient British Museum theatre district - yet private enough make forget stay hotel busy city . Tube station , restaurant , theatre - - within easy walk distance . easily find cheap hotel London - - likely never level professional service presentation Montague deliver . 
 Oct 28 2009 	 lovely place stay -- excellent service attention 	 come London 6 - day trip , accompany husband colleague ( meeting ) . love hotel -- Mustafa ( Concierge ) Samir ( doorman ) outstanding , helpful , gracious , rest staff member . expect room would overall rather small , small , colleague 's room -- decor , cleanliness , etc . , could not beat . definitely stay , husband colleague agree . location also terrific -- right British Museum , two tube stop , restaurant , etc . 
 Oct 28 2009 	 nice great 	 context sake , mid - late 50 's travel world stay many fine hotel . we select Montague see depth different part London , plus , mood small english boutique hotel , Montague definitely spade . service fine instance , border exceptional bit average service throw breakfast attempt get adequate portion ice chill nightly Champagne . location nice within easy walk distance tube much London . big dissapointment room . mind , room nice , well appoint , excellent bathroom ( though shower swinge door not quite long enough contain water ) nice view garden ; , room small . anticipate smallish room , book Jr. suite downstairs , still find small side . I would gladly suggest hotel other would stay wanted visit British Museum , mindful , Ritz Four Seasons . good many way , good other . the bar charming & quot ; minature & quot ; cocktail compare healthy pour enjoy martinis Los Angeles . great singer deightful finger food enjoy . pleasant lobby quite compact side , small elevator bring luggage thru . 
 Oct 27 2009 	 value service place - nothing big small 	 Service unlike anywhere ever stay . hospitality start moment walk door . staff make feel welcome value , guide tour begin stay know everything , attentive service dinner throught evening . thank Vincenzo Gerhart ! hotel feel unique consider 's decor - 's not feel like corporate much like family run establishment individual touch consideration run generation . room smallish ( ' ve small London ) make cosy luxurious decor . even bathroom air individuality waterfall shower blue night lighting . another useful little consideration , thought not disturb anyone need pay visit night ! locate right heart London - next british museum , short walk Tottenham Court Road / Oxford Street Covert Garden tube / bus / taxi . atmosphere service sell hotel . back definitely go list place stay London . will disappoint be book next time want stay ! 
 Oct 27 2009 	 FANTASTIC stay highly recommend 	 one night stay Montague Gardens fabulous weekendThe room beautiful surround furnishing , concierge make stay we . particular Gorge Sal . they honestly make we feel like royalty assist we dopey & quot ; tourist & quot ; question ! great time , would hesitate recommend hotel . J . Mcewan 
 Oct 25 2009 	 Delightful Stay 	 husband stay Montague late August wonderful experience . room spotless turn - down service chocolate pleasant surprise end busy sight - see day . love location . first time London teaming sidewalk people hurriedly go one place another , find Bloomsbury district little peaceful pleasant area walk explore . find several restaurant area really enjoy – ah King Noodle Café Il Castelletto . although price little steep Americans , find fix price menus restaurant reasonable . favorite meal London Mela indian restaurant theater district . , before - theater fix price meal perfect reasonable . food well indian restaurant city . like other mention … really make Montague special staff . greet Jorge give we tour hotel show we operate feature room ( lighting , remote computer , etc . ) . decide take sight - see tour bus see sight London , staff front desk make reservation we , add fee room bill ready go . also make arrangement car take us airport departure . car arrive time grand ride airport . decide try hotel bar , glad . give first cold beer trip lot delicious snack . live music right – loud unobtrusive could still carry conversation . meet Gerhard ( food beverage manager ) bar give we recommendation beer try ( nice south african beer ) well lovely conversation . we find Montague wise choice make base critique Trip Advisor . would recommend hotel would stay future . 
 Oct 21 2009 	 great hotel great location 	 stay Saturday night . room end corridor first floor not hear guest . staff exceptionally friendly helpful room clean , comfortable sylish . criticise something , becuase shower come directly ceiling , get wet hair unavoidable . delicious afternoon tea could not finish ( quantity ) , despite lunch . 
 Oct 20 2009 	 compare hotel London Montague quite good 	 wife recently stay Montague four night . first night Junior Suite garden view special pay two night get third night free . room little tight nice . fourth night move Classic double garden view tidy enough , small . would suggest spring fourth night Junior Suite ( stay three night get pay two get third night free — there ' plenty London ) . staff nice hotel model English Country House Hotel , location excellent — close lot great thing see nice area . ' get hooked purchase anything Montague cost could / would escalate quickly . example , leave offer hotel private car 65 GBP Paddington . instead hail black cab pay 12 GBP ( tip ) . 
 Oct 20 2009 	 stay beforereache expectationswill stay . 	 upgrade room ideal , term size facility . staff courteous friendly , even provide surprise anniversary cake ! reservation book hotel next London trip . 
 Oct 19 2009 	 Fell Short 	 stay one night , business London , read regular review hotel , really excited stay . however somewhat let , service ( watch service charge bar 10 % walk two foot bit nonsense ) reception attentive , concierge friendly , even clearner nice , let room , small would big word , trouble get room becasue door would open fully wardrobe obstruct entrance , far much furntiure small space , need three door wardrobe . positive clean well present , price would expect room two people get walk around . 
 Oct 18 2009 	 Exceeded Expectations ! 	 recommendation friend travel back Britain frequently visit family , book Montague 5 day trip October . research number London hotels Trip Advisor first , pleased settle Montague say enough good thing Montague ! arrive , email special request -- address . when arrive , greet Jorge , say expect we could do make stay enjoyable -- logistic travel theater ticket , dinner reservation boarding passesjorge address every need ! hotel great location -- 5 minute Underground minute walk many pub site . the facility gorgeous -- small totally suited need -- great tea room , lounge sit area . if go -- go Montague ! ! 
 Oct 17 2009 	 Real Taste UK 	 great pleasure write review Montague Gardens . stay since 2007 whenever London business . ' m professor never abroad want conduct joint research colleague local university . single woman travel alone , worried excited time . accident , find amazing , lush hotel price range even college professor could afford ! find exactly look . clean , convenient everything London comfortable real british flair . ( not cover chintz cover hunting print , flower , gilded -- include original , museum quality portrait front lobby . ) afternoon tea back gardens worthwhile indulgence , be really quiet oasis craziness London . can not say enough staff , wonderful every time go . always look forward stay hotel , truly everything make trip special one ..... 
 Oct 11 2009 	 nice enough attentive service 	 stay one night - November 2009room : stay standard room , pretty small , pretty standard London . room tastefully decorate fully air condition . bed partically comfortable pillow make tricky night sleep . there mini - bar room , ice facilite . nice bathroom product , slipper dress gown provide . cleanliness : could not fault hotel , cleanService : attentive time polite ( little scripted ! ) good breakfast service nice friendly check staff , something find every London hotel . value : depend rate get , possible upgrade big roomlocation : slightly way , near tube Russell Square , although get busy look buy ticket , walk king Cross , ( 7 - 8 min walk ) food : Breakfast standard fare , usual stuff , pretty good quality . 
 Oct 11 2009 	 Perfect hotel Great Trip 	 Loved hotel minute arrive . greate Samir doorman soooo friendly . Mustafa concierge know name initial intro.- extremely helpful , w e need assistance . jr suite # 309 - plenty room , comfy bed , large extremely clean bathroom . location perfect . Near Br museum block tube . decore room victorian . face garden make room quiet . free internet , afternoon canape water . also tea kettle . we love hotel location . 
 Oct 10 2009 	 Great Hotel Clean good location . 	 great location , nice posh hotel . service friendly . only problem size standard room . small indeed . guess London , be standard . 
 Oct 10 2009 	 not want leave hotel go work ! 	 Montague locate quiet side street Russell Square , Bloomsbury & amp ; Holborn . stay London often chance get room breakfast £ 100 rare . know lot work well attend meeting complimentary wi - fi help make decision . I single room look street . would normally book single seeing photo know would problem . room beautifully decorate blue white theme . bed comfortable able choose whether would like duvet , blanket feather pillow beofre arrival . flat screen tv lot option , large wardrobe , good desk space , drink facility luxurious bathroom . really want go work . the thing miss fridge / minibar room keep drink cold . room service breakfast plentiful even make speciality muesli . the communal area downstairs gorgeous perfect relaxing . eat restaurant menu look good ( hotel price ) want go back afternoon tea ! rate staff highly enough , everyone polite helpful . normally London step busy street get scoop rush Montague quiet , safe area ambience within tranquil cosy . I book use superbreak pay advance rate £ 118 breakfast reasonable compare less luxurious hotel less convenient area . not forget London travelcard £ 5.60 9.30 get day bus ticket bus stop £ 3.80 . Russel Square Holborn easy walk distance along Oxford Street Thames . also NCP car park end street Bloomsbury Square . I definitely return Montague also plan treat mym mum weekend . 
 Oct 10 2009 	 classic british experience 	 classic british decor . excellent continental breakfast cream tea afternoon . room spacious London free internet certainly plus . convenient location . get directly black line Heathrow . 
 Oct 10 2009 	 Standout service - request much - execute friendly professional manner 	 stay many large , chain hotel , two night Montague open eye new world temporary accommodation . small enough maintain cosy , homely customer centric atmosphere staff dedicate capable willing go extra mile , Montague leave want return like chain ever have . an urgent requirement overnight dry cleaning accommodate staff despite on - site facility . food ( high standard ) drink serve early hour , long kitchen bar close , utmost courtesy . british , live New York - proud discover hotel homeland could give famed NY service run 's money . 
 Oct 10 2009 	 Catastrophe 	 take wife romantic trip London . choose montagu reading review site . thing came expect : room old fashioned ( read : wear , aged ) , small ( read : way small even London . suitcase stand bed wall ) , obsequious staff ... except & quot ; restaurant & quot ; simply incompetent . good point hotel location . stay total failure . 
 oct 8 2009 	 Charming hotel wonderful location 	 plan return hotel next time visit London . small friendly great location : quiet street next door British Museum within easy walk distance many attraction . room small inexpensive , give price London seem like good value . 
 Oct 8 2009 	 warm 	 hotel conveniently locate Underground , British Museum , theater district . entire week staff helpful theater ticket restaurant recommendation . view ground floor Deluxe King room good wonderfully quiet . one note , breakfast expensive . try small italian cafe park around corner . beautiful set good price . 
