oct 	 low price hotel 	 near Camberwell Green - well connect Oval station - near ethnic restaurant local shop . 
 Jun 2 2009 	 one look room walk . 	 could stay . Bathroom mould grow wall . stain bedside table . broken light fitting hang inch bed . check immeadiately still try charge even though stay . chargeback via bank . 
 Apr 28 2008 	 friendly - clean - tidy - prob 	 book hotel website say 10 min walk tube station . not fool like 20 min walk would advise get bus 36 436 go straight oval tube station . area quite intimidate noisy traffic hotel look like much front walk door fine . find lady young gentleman front desk friendly pleasant . 3rd floor - lift - quite lot stair 3rd floor room warm welcolming smell ( air freshner nice ) , room everything would need , tv , window view london , shower etc . 2 night towel change 2nd day unusual nice . breakfast restaurant section basic cereal , toast , juice need £ 60 night think bargain ! would def stay . 
 Mar 26 2008 	 Awfull ! ! ! stay away ! ! ! 	 book stay hostelworld.com . charge we book fee deposit . guess ? yes , arrive magnificant hotel reservation , place stay . , another money , change departure date london national express , etc . bad experience ! advise stay away New Dome hotel , well reservate online hostelworld.com ! ! ! 
 Jun 26 2007 	 good place world ? 	 well start ... moment walk know wrong . basically New Dome indian restaurant room , well need renovation clean . lady reception be not welcome direct room point door way . room small dirty . wall dia need repaint , toilet look like public one middle park carpet look like much wild life could ring David Attenborough . sheet look like may change do not feel alone bed . room do not arrive breakfast . sorry habit write bad review , would rather write one pleased , people need aware New Dome , really desperate go , be not daughter would sleep rough . overall would never set foot . 
 Nov 13 2006 	 Discrace 	 Terrible Service , would not give breakfast 9:45am say till 10:00am , Rat Catcher room , Discrace £ 70 per night hotel £ 30 hotel mile well . stay away one . 
 may 27 2006 	 stay car instead 	 hotel well avoid . everywhere worn look feel . room double bed really big enough single . 6 inch foot bed poorly wardrobe ready fall . evidence smoke / fire alarm system throughout building could see . some people seem hotel quickly perhaps day . there nowhere park except street nearby . free end long way hotel . 's gamble whether car still intact return . 
 Mar 16 2006 	 need new mattress bed 	 Carpets , paintwork fixture wear clean . mattress consist grid one - inch diameter spring cover feel like single sheet . sleep top duvet spring hurt much - bedspread cover . bedspread SIX cigarette burn possibly moth hole . launder clean , really ' not nice' . if not state mattress bedspread would fine price , 's . 
 Dec 11 2005 	 customer service ? ? ? what s ? 	 would use hotel dog . upon arrive record booking make 4 week advance claim payment make . would acknowledge receive payment day 3 stay phone credit card company . spend 2 night bed metal spring poke mattress arrive back night 3 find room flood attempt make protect belonging towel lay bed floor help soak water . leave move thing another room one floor , receive apology provide standard one towel per person . reduction make cost stay follow inconvenience . room ' smell pleasant bathroom clean much standard guest , carpet extremely overdue replacement least shampoo . 
 Nov 19 2005 	 Hmm good 	 stay 5 day course king College . light do not work room , move next day . breakfast good ( cornflake dust bottom box , grumpy woman provide coffee 3/5 day ) .room bathroom clean . position good college , it . note tube station nearby . keep hotel apart sleep ! would functional stay , price ok , would come pleasure - I viste London would stay elsewhere . 
 Oct 14 2008 	 parecio básico pero tenia de todo ( buena calidad - precio ) 
