expensive 	 extremely expensive consider state . public area beautiful , however room terrible . stay two night previously Harrington Hall ( 4 * ) far well half price . room need total renovation . tea coffee make facility . bathroom poor shower gel shower attachement tap therefore could stand . corridor extremely noisy well . great location . 
 lovely building great location beware ` ` extra '' 	 first qualifi : stay Starwood point . lovely hotel great location - walker runner , Green Park , Hyde Park , Kensington Gardens doorstep . also easy walk Underground West end theater . beautiful area serve tea day drink night . grand space . pay privilege . one gripe layout hotel nowhere lounge sit lobby . health club nice - nothing special certainly adequate . this old building , room type size vary . room clean spacious - London - nicely appoint . bathroom especially nice . service good , great - find level concierge service unpredictable . one thing one qualifier & quot ; extras & quot ; really overprice . ok , certainly great breakfast restaurant 23 pound ( be $ 40 today 's exchange rate ) . Starbucks street Marks & amp ; Spencer wonderful pastry buy less pound . also , Internet Access 18 pound per night - huge ripoff . nearly $ 500 / night hotel , breakfast internet access cost $ 75 . 
 excellent service 	 stay three night great period hotel service give staff excellent ! ! ! stay many london hotel past twenty year would problem recomende , breakfast one good london ! ! , bed heavenly want take home staff helpful I ve happy time 
 Nov 26 2009 	 need refurbish badly 	 stay one night disappoint . common area hotel gorgeous - palm court area ballroom . standard room though really bad need total renovation . everything old fashion scruffy . room feel oppressive depress corridor so . if look 4/5 star - not stay disappointed . 
 Nov 25 2009 	 edwardian grandeur 	 magnificent hotel , still ooze turn century decor atmosphere , staff also lovely . Palm Court delightful , breakfast wonderfully extensive . 's location fantastic , edge historic Mayfair . Buckingham Palace brief walk hotel across Green Park . absolutely recommend stay . 
 Nov 23 2009 	 Dingy smelly tired . horrible . 	 rarely leave feedback hotel stay , , praise hotel . however , sit dingy , smelly room , exception . could hotelier please confirm , book last minute like today , hotel intentionally give dirty broom cupboard eventhough hotel half full undoubtedly plenty well room available ? rarely book last minute site treat like social leper . hotel could beautiful makeover prison cell bathroom break light bulb , peel paint , break shower bedroom break radiator substitute monstrous portable heater block desk seat area furniture would feel ashamed great grandparent own , mean wish anywhere . stay lot Sheraton / Starwood hotel , fair , never like . plus point ? good bed per normal , good location great little restaurant nearby . 
 Nov 22 2009 	 stay hotel unless afford one good room 	 book hotel lastminute.com 's Top Secret Hotel facility . do . check want stay properly Trip Advisor . the standard room allocate Park Lane terrible , bed tv may five star rest , rusty soap dish hiss cistern grubby carpet , 1 star . they move great room make fuss , know stay first would book . 
 Nov 21 2009 	 good location hotel need LOT work 	 ' ve stay hotel number occasion , extend stay 7 - 10 night . hotel dire need renovation - room definitely show age , get stick tiny dingy room - nightmare . also shame not get recognition SPG status ( ' m platinum ) beyond initial & quot ; thank & quot ; gift . would great offer atleast free breakfast . would probably stay option London not available , would not first pick . 
 Nov 17 2009 	 excellent location amazing suite 	 book hotel use SPG point / cash option night theatre wife bday , take suite upgrade offer , look good read review ! need worried , room superb real penthouse feel , one good shower ever take amazing view London skyline , staff polite upmost help question have . I not know reflection room first class , fact room floor 7 semmed similar standard . for location quality hotel would hard beat . add beautiful breakfast , memorable stay . 
 Nov 16 2009 	 Disappointed 	 Stayed 1 night attend dinner hotel 's ballroom . room large date . need upgrading . tile bathroom need renew . hold shower fit ...... 5 * ? ? ? ? tea / coffee make facility - go ask reception still wait 1 hour 20 min later . iron 1 bathrobe twin room ? nice Hilton hotel round corner - would stay next time 
 Nov 13 2009 	 not believe everybody say ! ! ! ! ! ! ! 	 stay Park Lane Hotel 3 friend early November short break , book ' Show & amp ; stay ' . must say bit wary due review previous experience poor review find hotel excellent not put . hotel grand ' traditional ' , room ( 431 & amp ; 432 ) immaculate , evidence damp , poor furniture shabby furnish ! bed exceptional , room big enough , large tv , mini bar ( unopened ! ) . breakfast excellent attentive , overbearing , staff . staff hotel excellent , tea tray within 5 min , A / c unit 5 min shower repair within 5 min ! ! Conscierge helpfull check day . not eat time tight schedule . location main winner hotel , across Green Park , stroll underground Buckingham palace . disappointment bathroom , shower curtain not fit properly & amp ; shower head break , result wet bathroom , quickly rectify bathroom could really upgrade ! ! ! 
 Nov 2 2009 	 Great Location Hotel Old Fashioned 	 partner stay hotel 31st October one night try give really honest balanced review . book Lastminute.com ' Top Secret ' pay £ 119 RO . arrival hotel walk front door lead impressive traditional hallway . walk Palm Court use Afternoon Tea gorgeous traditional big sofas lot high ceiling gilt . reception back however deal quickly efficiently review Trip Advisor email hotel prior arrival , upon check give upgrade Executive Room . arrive room grant 5 * - like 4 * - certainly would not say 2 * like review . bit shabby paint work furniture however huge bed feather quilt pillow . bathroom clean shower enclosure huge . front hotel look Green Park , right Piccadilly - view lovely park Autumn leave could see top tree Eye Big Ben Westminster - full moon well look positively beautiful evening light . not eat hotel can not comment come Palm Court afternoon tea look lovely ! location fantastic turn leave back hotel walk street nice resturant pub near - away hustle bustle piccaddilly . if want contemporary , pure luxury , first class hotel Piccadilly need pay massive price tag somewhere like Wolsley Ritz - relaxed accomodation choose see positive place 's surrounding think would fine short stay . I can not really fault hotel - yes 's traditional would benefit bit refurb however location fantastic , staff friendly place clean - l use Lastminute.com ' top secret ' many time mainly really good experience even London - think 's luck draw - think book top secret need sometimes prepare great hope would - still think London area good value money . 
 Nov 1 2009 	 bad hotel ever stay 	 dissapointe experiencr ever , book last minute.com top secret , wonder secret probably way get people stay . vile date decor , musty old fashioned room , virtually soundproof , mean spend day shop London today come home tired sleep noisy american room next door keep hear every door slam entire floor . close bulldoze . warn , place rip . 
