Broken 	 book hotel four night Sat 21 November , check tell boiler broken would stay another nearby hotel night . organise taxi take four we drive hour Quality Inn near Wembley Stadium . pay 4 star London end 2 star next door Wembley Stadium take hour get ! next day bunch people , book hotel own group across road - appear boiler break ! not get pick taxi 12.00pm next day , waste whole day 4 day break . people weekend , weekend spoil . hotel , find nice food really good . not believe broken boiler excuse - accord taxi driver - double book room time shift patron like around time . least put people nearby hotel , outside London . 
 great value ! 	 stay 3 night partner .. last minute book good price,225 GBP/3 night . the room really nice , big , really can not understand complaine size .. 's right size hotel room .. ( u will not take u guy , come on ! ) anyway , bed nice , decoration also , big flat tv opossite bed . the bathroom great ! even small flat tv want watch something be take shower .. maybe not high expectation , believe , u be extremely strange , u will love .. stay go back London .. 
 uncomfortable bed shabby furniture Free WiFi lobby 	 location WiFi good thing hotel . two different room - furniture shabby . hotel list remodel . year - 1990 ? bed uncomfortable ; could feel spring tick . service staff nice . put annex build street hotel first night . ask move room hotel solo traveler not feel safe unmonitored building . move follow morning . very close Earl 's Court tube station several breakfast shop . 
 Nov 24 2009 	 nothing special good value would stay 	 read many negative review Shaftesbury hotel book hotel pretty low expectation . fly Heathrow 2 week Florida spend 2 night London prior trip . budget need quite near Fulham visit friend also able travel Wembly Park easily . overall hotel fine would stay . price really good compare property look , look several b & amp ; Bs bad review expensive . location near Earls Court tube make trip wembly easy ( via tourist sight ) . walk hotel Harrods amongst place , lot pub , restaurant close by . we not eat hotel get good deal direct best western website . overall feel quite old fashioned personal taste . reception area bit scruffy room feel like best western hotel several year ago ( dark wood ) . say clean , bathroom fine , bed comfy , wi - fi room . price want pay not think could beat , however plan nice , romantic weekend London would look elsewhere feel treat , would come price . 
 Nov 20 2009 	 pleasantly surprised ............ 	 book room bargain price london crowd , expectation high . house one modern building scruffy ( safe ) street Earls Court , first impression great , reception area nothing special . the surprise come enter room , way expectation , double room face street , well furnish decorate , comfortable flat screen tv . bathroom ingeniously design make good use fairly small space , equip offer individual toiletry well soap & quot ; wall & quot ; .The downside problem operate tv , night staff oblige twice swap remote control one work . one curious lack attention detail offer orange apple , plate knife ( minor quibble ) .I understand less good room ; single describe & quot ; poky & quot ; , well worth pay little extra double avoid basement room , less desirable . difference great , , value money ( price really low ) endear hotel . 
 Nov 5 2009 	 excellent value easy locate couple minute tube . 	 book hotel couple day travel . staff appear smile friendly reception . executive room 50 metre across road main hotel . overall find room extremely comfortable rather glad top floor , therefore less noise traffic night . everything spotless would think fairly recently refurbish . great location bus underground , though actually walk hotel Knightsbridge ! huge variety local restaurant , etc choose within minute walk distance . would definitely stay ! 
 Oct 24 2009 	 Fabulous Hotel fantastic price .... location breakfast great ! 	 partner decide spend August bank holiday London decide find nice hotel rather hostel make stay extra special ( currently live different part country due university ) . spend almost week umme argghe hotel review mix . end however , decide book . extremely happy .... arrive early suitcase think would leave case luggage room not carry around day til room ready . however unecessary arrive tell room ready could go straight . room good size London hotel ( book duluxe double ) fruit basket nice addition room . also , dress gown slipper use though never use . bathroom modern clean adequate space purpose . also plenty toilettrie take home ! room warm airconditioning cool easily . room forward face onto street quiet . bed large comfortable . bed also good length partner well 6 ft hotel problem long bed . location hotel second none . aproximately 3 minute walk Earls Court Station add benifit although close station station noise could heard hotel . find could access area city easily bus tube . price pay extremely satisfied . after lovely night theatre good night sleep wake find newspaper slip door lovely unexpected . make way breakfast 9 . breakfast room lovely decorate beautifully . huge selection thing breakfast continental meat cheese , cereal , pastry also full english buffet . also plenty fruit juice , fresh fruit tea coffee serve need . partner find especially good huge appetite able go get disapprove look . breakfast staff friendly cheerful although speak little English make good effort greet smile guest . breakfast equally goofd next morning neither day sign amount food diminish . also like fact check monday morning able leave luggage pick later day make final day together . I think great hotel would reccommend friends family would concerns te quality would . wul like thank hotel make weekend great ! 
 Oct 21 2009 	 say tin ! ! ! 	 great experience hotel ! weekend visit various group friend great base explore city ! ! impressed room book luxury single spacious , clean cosy ! always feel safe time go reception smile face ! minor mean minor room key keep de activate go reception activate ! good u one many ! ! blame tube magnet ' m sure ! also even though room clean daily high standard change sheet nite left , also soft bed not comfortable ! hey not go London sleep . location brilliant near tube safe anyone ! go want nice base short stay London amazing good 
 Sep 25 2009 	 good price location minor problem 	 hard review good hotel not perfect , win good rating London Club room well appoint , good & quot ; access area & quot ; location next Earls Court one cheap 4 star central London . we stay 18 August 24 August . second stay hotel previously pick hotel due location last minute deal travel 18 month ago , say , time spend several week stay dubious standard hotel mainland Europe great place stay Club Room fantastic . really sell we location young hart , local pub easy access entertainment appeal . look somewhere different time however price convince we stay easy get Heathrow Airport . the hotel also nice little service like fruit , chocolate turndown service , coffee / tea facility , full satellite tv service free internet access . why would not stay . firstly 's time stay different area South Kensington , Notting Hill appeal we well reality know London pretty well easy city get around long near tube station reasonable line . second think would happy pay bit well service well experience . book know well Club Room get put slightly small room face back street great view roof , stay six night second stay ask moved front room , apparently could not do straight away even though check , room not bad , rooftop view suck stay night . we move room next day , issue old room independent aircon unit however new room centralised unit , London 30c plus week not cope honest room hot uncomfortable . ask three occasion fix , honest not even know try fix . maintenance item need fix like door handle fall , wall scrape public area crack light cover minor damage fix occur leave build , sort thing lose hotel 4 star rating . staff attitude disappointing , every request , matter polite charming met & quot ; not care much effort & quot ; attitude . one constant noticeable exception restaurant breakfast manager , clearly enjoy job , helpful , make small talk , ask , check food service make sure coffee table clear etc . breakfast hotel use bar facility couple time experience good breakfast good standard . I think critical time around particularly arrive excellent 5 star hotel Dubai enjoy time London last time stay hotel , rise coloured glass maybe … I would still say want good 4 star good price good location stay , particularly be come Heathrow . not expect prefect remember lot bad hotel sort money London , oh , book Club Rooms . 
 Sep 24 2009 	 Fabulous stay great breakfast close transportation 	 arrive five day stay August 28th September 2 , 2009 . little apprehensive since reviews board . ( seem basement room claustrophobic ) . arrive early noon wait 20 minute till room clean . occupy Room 502 face street . clean modern bathroom . book direct hotel seem give well deal travel site best western site . 80 pound night include full english breakfast . find breakfast include site . check make sure include booking site . breakfast buffet fabulous actually well buffet cruise ship travel follow week . ( make egg omelet order well . ) breakfast room maitre would pleasant helpful , make day start right . location work great block Earls Court tube station . lot restaurant nearby . frequent four english pub within easy walk hotel . find staff helpful prompt . also please computer internet connection along printer we bring laptop we , locate near lobby . Laundromat hotel tube station well option laundry service hotel . happy hotel would consider stay . PS also nice get point Best western . 
 Sep 10 2009 	 Staff Steal Clothes ! 	 stay 03/09/2009 one night - go see theatre show boyfriend . stupidly leave dress hang wardrobe depart . rang hotel evening date check , trace lose property box . wait next day housekeeping find . state dress room . I hang one dress wardrobe , do not take many clothe overnight stay . small bag able carry around London thoughout check - out day . disgust staff member find dress decide keep ! trustworth chain . never give business . lack communication compensation top really . 
 Sep 3 2009 	 great price London hotel 	 book MD hotel business trip Bank Holiday weekend . must admit little worried read bad review various site , picture hotel look good right location business trip . book single room , reasonable £ 59 night - Saturday night . thankfully happy hotel , bathroom newly fit room amenity hotel stay . side room quite small , single room get pay ! would hesitate book hotel , business , trip London family . the hotel parking use car park couple min walk away a4 , Marriott hotel . cheap parking find area . 
 Sep 2 2009 	 Excellent choice 	 could find fault hotel . it comfortable clean everything require . close tube station Earls Court 74 bus route . starbuck , BurgerKing Dinos Tescos shop main high street short walk away . 
