quiet 	 love stay find hotel clean relax . actually lounge lobby read collection travel guide book . front desk staff happy assist us snail mail , restaurant , anything else need . breakfast great variety staff tend buffet readily available supply whatever need . stay back side building noise comfortable bed . room decent size Europe . also location three block north major metro stop Hyde Park . 
 Nov 23 2009 	 Nice hotel great service good location 	 spend long weekend sumner overall happy choice . the hotel perfectly locate shopping sight - seeing , 2 min walk Marble Arch . hotel staff friendly helpful , give we recommandation restaurant area , etc . our room ok , nothing really special , small side really fancy furniture . bathroom also small , everthe clean well equip . bed good . breakfast include rate also good . big choice , cold warm dish everything available really good fresh . my complaint would room hear lot nice room beside top . group noise elderly woman around would return hotel every morning 3 giggele like teenager make lot noise . room around we wake we every night bit annoying . apart hotel nice would go . 
 Nov 15 2009 	 sumner deliver 's promise comfort service . 	 recent eight night stay Sumner prove everything look boutique hotel London . great location , quiet , comfortable clean room amenity . helpful courteous staff breakfast buffet give we good start day . would not hesitate recommend gem hotel 's close location marble Arch . 
 Nov 15 2009 	 spotless great location need couple tweak 	 previously book Sumner 2008 shift sister hotel ( Montagu Place , way also good ) , wife look forward weekend . the hotel generally meet expectation , couple specific would benefit bit thought . positive - spotless , finish high standard , comfy bed , great location , £ 135 per night weekend , reasonable price paynegatives - couple , detract perfect stay . firstly , breakfast room floor level slightly cramp . hot cold food self service , breakfast hour 8 am 9.30am , everyone land breakfast 9.15am bit melee . would smoother cold food self - service , hot food order table . secondly , check - out Sunday fairly early 11 am , still clean staff start work 10 am . late night , disappointing woken chatter maid , vacuum clean stair . could wait till 11 am everyone would check ? thirdly , window single - glaze , result hotel suffer slightly location . traffic early morning riser would not audible double glazing . overall , good time , couple tweak , would close - on perfect . hope hotel read review consider suggestion . 
 Nov 14 2009 	 Quiet Pleasant 	 arrive Sumner 5 - night stay acquire terrible cold Dublin . relieve walk quiet , elegant townhome feel like upscale residence . small lift help luggage , bellman . room locate 3rd floor , flight stair inaccessible lift haul rather large suitcase . room decent size outfit simplistic , functional furniture . ceiling tall help small scale . everything need space , include free tea service serve room lounge upon request . be look private , small property , Sumner sure bet . 
 Nov 14 2009 	 would first place i d try book return trip London 	 stay 4 night late September small boutique hotel find exceed expectation .The room generous size , bed comfortable cleanliness whole place excellent .It quiete location yet handy marble Arch station , bus stop , Hyde Park Oxford St .The shower little tight do not bother we may big people . the staff accomodate ie helpful friendly . the breakfast small hotel everything you d want .We already recommend hotel other . 
 Nov 7 2009 	 Oasis calm bustle London 	 Cdn . couple recently stay sumner ten day .... wewere happy return lovely calm room day spentin buzz London . bed probably comfortable hotel bed ' ve sleep . service quietly efficient ... bathroom although small .... immaculate , well appoint warm ..... onlyquibble coffee maker room ' time - zone early riser ' ... yummy breakfast ready ...... return . 
 Nov 7 2009 	 great location lot else recommend 	 Chose hotel stay due positive review Tripadvisor get good price London Hotel . very happy location , 3 minute Oxford Street Marble Arch tube station . room average , twin room , good size , reasonable bathroom . my main gripe tea / coffee facility room usually standard hotel - instead ring reception bring pay . lucky enough receive stale biscuit drink . also hotel noisey - put room basement floor next breakfast room wake 6 am staff prepare room breakfast . little extra touch would make lovely hotel , would not recommend . 
 Nov 6 2009 	 Great B 	 excellent stay Hotel Sumner London . room clean , fairly large european standard , bed soft . bathroom nice also large european standard . breakfast nice ... meat , cheese , egg , cereal , pastry , juice , coffee . free internet station lobby also . location great explore London , couple block Marble Arch tube stop & amp ; also near hop on / hop bus stop . negative comment staff 's lack knowledge .... numerious question girl working night , not believe able answer . 
 Nov 6 2009 	 great hotel 	 great little hotel real nice part London . good service moment check . big room , really nice furnished . high stylish ceiling . excellent breakfast variety choice hot & amp ; cold food . second home London ! : - ) 
 Nov 3 2009 	 swanky boutique hotel good location ! 	 last discover London hotel large clean room comfortable bed reasonable price . room furnishing stylish modern amenity . staff friendly willing help direction . location near Marble Arch Tube station perfect explore London even though busy commercial street , hotel quiet feel completely safe walk area . definitely make Sumner Hotel & quot ; home & quot ; whenever London ! 
 Nov 2 2009 	 excellent stay Sumner Hotel 	 Hotel staff helpful breakfast delicious . visit London will book stay sumner sure . 
 Oct 21 2009 	 Sumner contribute perfect celebration weekend 	 sumner well locate hotel central London great access foot many tourist location , restaurant shop . perfect plan fine din theatre weekend due access . easy find clean friendly staff . well lay hotel make good use light modern artwork . organise surprise birthday weekend family member perfect place stay . thank Sumner will not stay anywhere else future . 
 Oct 17 2009 	 Crown Jewel North London 	 Lovely B & amp ; b style hotel . quaint helpful attentive staff . room quiet , clean comforable . lot hot water comfortable mattress always welcome long day sight - seeing . short walk Marble Arch Metro make hotel convenient . will stay next trip London . 
 Oct 16 2009 	 adorable hotel lovely staff 	 location extremely convenient , staff lovely attentive . room comfortable clean . 's cozy base explore London . 
 Oct 12 2009 	 Great Location Excellent Value London 	 spend 3 excellent night sumner . location perfect - walk distance ( 10 15 min - 's basically 1 km 0.7 mile ) Paddington Station catch train Heathrow , step Marble Arch tube stop Oxford Street load shopping restaurant . tube day pass get major attraction 15 min Marble Arch stop , even walk distance prefer walk ( British Museum 25 min walk we , Buckingham Palace & amp ; piccadily Circus ) . king room face street , road quiet soundproof glass work wonder . Breakfast included not expect ( bread , scramble egg & amp ; bean , cereal ) adequate . room hotel character ( nice high ceiling , crown moulding , sit room , etc ) . great hotel , perfect location we , excellent value London . 
 Oct 12 2009 	 nice ... Pity hotel always fully book ! 	 Location fantastic quiet street close busy shopping area Oxford Street . walk distance Hyde Park . very spacious confortable room . nice english style house . small hotel . breakfast ok , available 8 9h30 , perfect holiday maker ; 3 day row , start really poor variety ( general problem hotel London ) .Free high speed internet . excellent value MONEY . wish could always stay Sumner always fully book . much appreciated american people . 
 Oct 7 2009 	 love place ! 	 come back sumner 2nd visit London September , say , still top game . visit pleasurable , fun , come room comfortable bed plus . free internet , free breakfast ( buffet style ) courteous , friendly staff , efficient chambermaid , clean room , flat screen tv , minibar … .i ' say enough hotel . great location next Marble Arch tube , bus , shopping ( Oxford Street ! ) , nice restaurant , local pub , especially Carpenter Arms Mason Arms nearby . return London , definitely back wonderful place ! 
 Oct 5 2009 	 epitome boutique hotel 	 stay sumner last month six night . ask quiet room andwere allocate small room face rear property . despite small size , feel comfortable - decor simple stylish . importantly , spotlessly clean . bathroom fitting good quality , immaculate . reception staff relax keen please . one member staff spend quite time assist we unable connect wireless computer internet , grateful . good range breakfast food drink surprise anyone would find inadequate juice , cereal , fruit , yoghurt , perfectly cook scramble egg , bacon , sausage , pastry , bread , toast , top helpful , happy staff . owner / owner / manager hotel proud achieve . think must good people work tthe staff ensure overall experience hotel could fault . location wise , close restaurant , shop major central London attraction . 
 Oct 5 2009 	 fantastic small hotel 	 husband 13 year old son recently stay Sumner week stop rave . good size room comfortable hotel bed ever sleep . staff great , location great , hotel quiet , also serve fresh breakfast ( overcooked egg ) . hotel feel like someone 's home staff discreet , tastefully furnish . would definitely recommend hotel would stay . 
 oct 4 2009 	 little room big exprience - worth every penny err pence 	 delay honeymoon , choose Africa destination choice . way , fly London , decide spend 4 day en route . Sumner Hotel choice forwhere stay , say , choose well . the stay start bit rocky . arrive bit early , allow early check - in . room , always full , turn room . arrive , sit Hyde Park ( right across street basically ) , go back wait wait area . two party wait well . everyone tired ( probably all - night flight ) , sumner staff keep assure we & quot ; 5 minute & quot ; . honest , annoying . 5 minute - like 45 minute - tired . fair , need clean room , well accommodate . grumpy . the room themsleve tastefully decorate , though small case London . bed comfy , bathroom clean functional , window offer least partial view rooftop . breakfast pretty good , beakfast area actually quite nifty . consider complimentary breakfast , actually quite pleased . little bacon , egg , random fruit juice make every day start little well . the service actually quite remarkable . need help set touristy thing , helpful arrange transport get ticket whatnot . need head company 's work office London , arrange private car . quite good . the good part location . 5 minute tube , easy get around . plenty thing immediate area , find couple nice place eat within walking distance . sumner good value , quaint , worth stay . functional stylish , need , think choose well could . 
 Sep 30 2009 	 Yes Tripadvisor comment really true ! ! 	 book Sumner husband two night follow month travel around UK , well proved oasis . everything say site true , great room , helpful staff , lovely buffet breakfast , perfect location , relax lounge area QUIET ! definitely return ! soon hope ! 
 Sep 22 2009 	 Excellent all - around hotel great location 	 although label hotel , posh flat like bed breakfast . clean ample room excellent shower , hotel make great stay . notable advantage include outstanding staff , LCD TV 's , five minute walk tube - marble Arch . would defintiely recommend hotel . 
 Sep 14 2009 	 Awesome ! 	 frankly nice hotel ' ve Europe far even North America ( exclude luxury resort Caribbean e.g . sandal ) . courteous almost polite staff , knowledgeable . we room 201 ( deluxe room ) every thing perfect mattress bathroom look . conveniently locate close Marble Arch ( include tube station ) , close shop Oxford , Hyde Park , etc . very good breakfast small basement room . we one night perfect we . would return time . 
 Sep 14 2009 	 great location great room nice staf 	 come back nice weekend London . London lot year first time enjoy hotel : - ) room great , clean airy . staf nice helpfull cour location perfect . choice next time . 
 Sep 13 2009 	 Superb ! 	 great find ( site ) .The staff friendly , helpful inform ' ve come across . the whole hotel spotlessly clean room delightful - one comfotable hotel bed ' ve ever sleep . London couple day ( 20th Wedding Anniversery ) , would happily stay long . highly reccommended . 
 Aug 25 2009 	 small understated town house good location 	 travel teenage daughter find triple accommodation spacious european standard . location good , near Marble Arch , Oxford Street ( good shopping ) lot restaurant . hotel residential area within easy walk distance major sight ( eg . Buckingham Palace , Eye , etc . ) . good location we , first time London . include breakfast convenient , although window opportunity 8 9:30 -- work we , maybe . bed comfortable , include single twin bed bring daughter . Bathroom clean work well . staff helpful . sit room comfortable , lot seat computer free internet service . also use room free password . real bed breakfast feel place guest friendly intrusive . room face front , perfectly quiet . would absolutely stay . 
 Aug 23 2009 	 Loved hotel ! 	 truly enjoy stay sumner . great location . friendly helpful staff . extremely comfortable bed . nice breakfast . free internet bonus . get tired pay internet use hotel ! would highly recommend hotel would definitely stay . 
 Aug 22 2009 	 lovely staff comfortable bed . 	 stay August 09 read Trip Advisor review . find staff friendly helpful , bed comfortable ever . give ground floor room , find people could look walk past . a / c seem work well room smell stuffy , open window get street noise . hindsight , would much happy room upstairs , quite large standard good really . breakfast quite good , although fruit platter , fresh fruit available . breakfast serve 8 till 9.30 , great lot people . overall though , would recommend Sumner , book deluxe room like , stipulate upstairs . 
 Aug 22 2009 	 Perfect location great boutique hotel 	 2nd time stay Sumner say London back . accommodation everything need , pleasant room stair cup tea , read one book browse complimentary internet . location fantastic , self service laundry around block , transport not far Oxford street selection restaurant around corner . highly recommend we ! 
 Aug 21 2009 	 lovely little ' town house ' hotel 	 Smart convert town house hotel , couple minute walk Marble Arch . room ( stay room 109 top floor ) reasonable size central London , spotlessly clean , comfy queen size bed , good linen , air con , flat screen tv mini - bar . room face street suffer much noise due secondary glazing . bathroom clean modern although small size - shower , bath little space toiletry etc . compliementary breakfast ok range cereal , croissant , ham & amp ; cheese plus coffee orange juice . however , hot item limit scramble egg , bean , strangely , hot dog sausage - certainly not expect full english breakfast buffet . breakfast room quite small bright place would take time leisurely breakfast read Sunday paper . overall , pleasant change major 4 & amp ; 5 * chain perhaps little bit cheap . downside limited breakfast selection small breakfast room would want spend 15mins ............ 
 Aug 16 2009 	 dreadful fabulous either . 	 look forward stay sumner read strong review . unfortunately , room would book basement hotel . good - sized king room , basement level light ok . however , one really not greet scenario fly seven half hour , claim baggage , go custom , manage tube LHR . boot , room across hall hotel 's breakfast room , every morning subject din clink flatware , porcelain , tourist conversation . unbearable , have sign . breakfast ok , lack sense bounteousness mark decent buffet . ' m huge eater - good fruit selection would make difference . keep think great little hotel stay Cologne last year ... lastly , hotel offer procure ticket London show guest . could take care , delegate task front desk last day London . return hotel around 5:00 find not happen , person work front desk receive information request staff work early day . time , picking show slim . overall , feel like people game . rate pay , expect . 
 Aug 13 2009 	 Fantastic 	 Hotel staff fantastic ! ! double celebration us 35th wedding Anniversary 56th birthday celebration special ! friendly staff , excellent cleanliness rather nice buffet breakfast . back sure . thank . Mr & amp ; Mrs Oak , Oxford , UK 
 Aug 11 2009 	 gem ! 	 Superb location - easy access Marble Arch surround attraction . room , although dark ( basement ) spacious , comfy lovely . staff welcoming & amp ; helpful . overall , really enjoy two night stay . son stay room we still plenty room even sofa bed . would recommend b & amp ; b 4/5 * appeal . 
 Aug 10 2009 	 love place ! 	 hotel like bed breakfast like renovate brownstone . room lovely , staff nice helpful great location want . feel though nice home . room comfortable nice bed bed . breakfast good though one room could use well decor breakfast room . plan stay next trip . 
 Aug 9 2009 	 Loved ! 	 stay Sumner hotel last year , decide return 2nd stay . opt large front - face room time disappoint . request room top floor request grant . the whole hotel simply wonderful - helpful staff , adequate breakfast , free internet lounge . would definatly return 3rd stay ! 
 Aug 7 2009 	 Nice Boutique Hotel Good Location 	 Sumner Hotel receive good rating Trip Advisor choose stay London . good choice . quiet , small hotel , quite modern , 20 room . staff young , friendly helpful . large room amenity except room safe . real disappointment wall well insulate could hear next room . excellent hot full breakfast include price . really like location , couple block Oxford Street Marble Arch make access Underground rest London , quick easy . several restaurant , price range . near hotel . guest provide map detail . 
 Jul 31 2009 	 good second time 	 stay Sumner October ( 2008 ) enjoyable stay . return visit good . room little large & quot ; standard & quot ; London hotel room , bathroom compact serviceable . negative stairs landing room - unsteady foot - thread carefully stairs narrow always perfectly level ( lift , access room need negotiate set stair ) . otherwise issue . the breakfast - generous fresh . service excellent - waitress ( last year ) remember tea coffee preference day 2 - 4 . internet facility lounge plus . this time eat locally find fact sheet hotel provide excellent guide . couple night expensive meal elsewhere delighted eat reasonably price ( London standard ) neighbourhood restaurant , within couple hundred metre hotel . the hotel perfectly locate transport shopping . excellent price value - London . 
 Jul 21 2009 	 Location Great 	 back second stay sumner .. nice , again . location great , walk Hyde Park Harrods , Buckingham Palace Victoria Station . also , Oxford St tube Marblearch . nice restaurant area local pub . get good price -- take . 
 Jul 21 2009 	 stylish great location good value money 	 stay two night , book ticket see Westend play bit shop London . hotel lovely , bright , friendly small . room second floor , face street although be busy part city , noise level low inside . bed comfortable bathroom good . breakfast serve basement , lot choose staff pleasent . reception guy could not helpfull . we never get chance relax lounge , look relaxing . will book hotel next time ' m London . Fab 
 Jul 19 2009 	 word - perfect 	 pleasantly surprised . room spacious ( inner - city London ) , quiet , location close paddington st pancra station , metro , bus shop walking distance . staff pleasant helpful . the breakfast basic , include rate . 
