Super 	 Stayed Tower one night business due overnight function London . the view room front hotel Tower Bridge , especially night , something see . room comfortable little small rate pay fine . breakfast morning plentiful good selection hot cold . check - out quick occasion - know slow . 
 Nov 25 2009 	 stunning location 	 4 5 hotel room little dusty . little care cleaning staff would well worth 5 . stunning view Tower Bridge Thames room . brasserie excellent . use . 
 Nov 21 2009 	 overprice pretention 	 stay year ago Thistle hotel ( Guoman Thistle brand ) thing change much . stay ' refurbish ' room - scuff skirting , scruffy window tear curtain suggest may gtime . typical lot London hotel overprice poor value money room . since previous visit normally stay one nearby hotel Tower Hill , - room available , stay thsi time 
 Nov 19 2009 	 enjoy VISIT 	 wife back four day stay . double room first floor overlook St Katherines dock . room good size , clean good view . the breakfast also really good , wait one morning 5 minute , size hotel acceptable . hotel lovely staff friendly helpfull . St Katherines dock number nice restaurant although leave Dickens Inn see mouse . cross tower bridge plenty eat place side . good location great view bridge , handy tube ( 10 minute walk ) . nice walk along Thames onto Covent Garden . cross bridge nice walk back side . yes impressed hotel area would definately return . 
 Nov 17 2009 	 Great Location great service 	 stay business . compliment business service centre . top class . will definately back next trip . 
 Nov 14 2009 	 room small stay 	 go week long conference . book part conference deal . must end small room possible . double bed literally touch wall , room bag . colleague pay rate massive king room . request room change , try charge extra ! end pay rate thankfully ask manager . hotel location amazing . right next London bridge tower . good pub 1 min away , restaurant also . inclusive brekky quite good ; busy . conference facility excellent . good bar , gym bad . room little aged comfortable . if get good rate , stay ; realistically pay location . 
 Nov 12 2009 	 quite good actually could well breakfast 	 first good deal hotel ... always propose good price often 2 + 1 night formule ! price pay , good value ! nice 4 * room ( quiet ) outstanding view thame ... really nice get back nice hotel day sightseeing business .. hall reception impressive ... really friendly customer orientate ... anything wrong say service ! downside ( sad cause rest perfect ) breakfast .. bad , see well category hotel .. large choice seem greasy ... location quite good close Tower hill station front tower Bridge Tower london ... load restaurant bar nearby ... recommend tourist Businessmen ? ? ? sure ... shame average breakfast cause rest excelent 
 Nov 12 2009 	 Love hotel ! 	 second stay , husband 9 - year old , be go back December . find staff fantastic - first visit daughter 's birthday rang room ask allow chocolate , would prefer fruit ? thoughtful , parent - friendly approach ! delight box beautifully - wrap chocolate hand - deliver door . not eat dining room breakfast bring room service time , extra charge , time 's great - hot , well - cook good quality . perhaps alternative happy buffet ? 's regular hotel London trip . 
 Nov 9 2009 	 nice room shame breakfast 	 arrive friday late afternoon reception choc block guest queue book receptionist pleasant upgrade lovely room view thame .we promise bottle wine upgrading deliver two hour later phone tell would sent leave theatre look forward nightcap return return 11 still deliver get touch desk finally arrive . we disappoint breakfast stand queue 10 minute find buffet breakfast luke warm ask twice bread toast also seem waiter fill various pot also run jam.all 4 star disappointing 
 Nov 9 2009 	 thing tower offer good location 	 good value money . breakfast terrible : not waste tome go ; ' well go starbuck across road ! ask executive suite view tower : get horrible old smokey room even though state website renovate non smoking . eventually put 5th floor do ok view . gym working , staff properly train overall hotel dirty . disappointed . 
 Nov 3 2009 	 plus minus 	 first trip England , although business , could excited . read week , kind travel agent move Tower Hotel Friday night not return States Sunday . Friday , night , check - in desk swamp people help , long process , take room . I heat wave . give Tower Room . view Tower wonderful , although bit hard see window grimy child 's hand print . room do metro - chic could city . Boring ! , room HOT , hot temperature could adjust . call maintenance , one person come , never return . finally , 3 a.m . go reception robe -- hey , will never see -- ask help . staff nice check several room , well . finally , upgrade suite , dark hall , overlook St. Catharine 's Wharf , definite need refurbishing , still english charm , although internet work room , COOL ! bed marvelous . look dinner menus , everything seem heavy , wandered . Breakfast , Saturday , cafe , dreadful . buffet style runny egg under - ripe fruit . save grace staff wonderful . final morning , ready far early need plane , find tour driver take wonderful 2 - hour drive around early , empty Sunday - morning London . would stay Tower ? probably . 
