Welcoming 	 reception staff welcome helpful even late hour night . hotel nice , well locate . room basic , bit small basic furniture . bathroom however really nice multiple amenity . breakfast week end really good , weekday however limited choice always ask staff hot food . the negative comment hour opening bar . close 11 pm Sunday . 
 Nov 21 2009 	 Great Hotel great location 	 Husband stay last weekend weekend London . we work airline frequently stay luxury hotel around world therefore high expectation . disappoint Trafalgar . we check around 8 pm guy reception friendly chat us room choice . explain hotel full unable give we room nice view take attitude pleasant . we arrive room unfortunately smoke room - book late left . upon exit lift meet strong aroma cigarette smoke - expect smoking floor ... bit worried room smell . great relief ! room spacious flat screen tv good standard amenity . good selection tv channel . bathroom nice size bath robe everything use replace next day – always case experience ! impressed location room size also 2 wardrobe – plenty hanger . view rear hotel still lot light room . the day check go reception desk large queue . porter immediately came offer store suitcase day – nice touch . ask advice good route Liverpool Street mention time meeting friend . check bill leave credit card number check say would get receptionist use copy bill wait return collect luggage ' wait . – outstanding service ! return evening ready – correct ! much enjoy stay would definitely return – maybe room view – next level ! 
 Nov 16 2009 	 Good Location stay well hotel less money 	 book Trafalgar greet reception friendly staff , check corner room fourth floor tiny , bathroom big enough 2 people stand in . Rang reception tell upgrade available cost , take upgrade extra £ 50 per night , new room much big bathroom small , yes agree alot technology room class tv , stereo dvd player technology . overall hotel great central location everything , stay well hotel less money . definately five star hotel , likely 3 + . 
 Nov 11 2009 	 great trendy hotel heart 	 great hotel - go 40th birthday trip ( use Hilton point ) , ticket hit Patriots Tampa Football game Wembley - GO PATS ! wear previous 5 day Ireland gas time arrive , literally plan use room sleep soak weary foot tackle thing make plan . not think would utilize great service would hear , end take staff help , partially keep offer ! staff among good place ' ve ever stay . welcome bottle wine room . every time walk hotel feel like die something nice ! whether show roof bar ( close ) day night , help sell extra pair patriot ticket , make sure good time , etc . etc really feel hospitality like not feel hotel . set & quot ; front desk & quot ; open area barrier staff , think purpose approachable . definitely never wait , address name feel like guest friend 's house oppose one many traveller check in . I call front desk couple time little thing like help open french window , utensil , hair dryer etc someone within minute smile face . hardly ever call hotel front desk hate bother people , actually make feel like under - utilizing . room nice . stay 2nd floor face back little noisy - also Trafalgar Sq expect . also window open . bathroom incredible . nice like spa . use expensive wi - fi . laptop go coffee / sandwich - shop outside hotel right - free wi - fi . otherwise use computer business center 5lbs 30 minute . go visitor center regent st ( 5 minute walk ) 20 minute computer use 2 pound ! not try hotel food look good , atmosphere great . wish wasnt't tired could enjoy ! try hit musical one local theater - saw & quot ; Rock & quot ; Dominion ( one tube stop away ) . also get reflexology ear candle treatment around corner 25 Royal Opera Arcade ( Pall Mall ) place call Synerge . also make sure make use visitor center leave exit hotel - get huge discount theater attraction like Madame Tussaude ' s. overall GREAT hotel - would stay could afford , stretch without Hilton point . make sure stay long enough see main thing walk distance - Buckingham Palace Pall Mall Rd , Big Ben Strand , London Eye , Thames , Picadilly Circus ( opposite direction place ) . history fan see Ben Franklin house Craven St , Shakespeare Globe Theatre ( reconstructed ) also nearby . Tower Bridge also & quot ; not miss & quot ; - think one 2 tube stop away . rent bike London Bicycle Tour company help get tired walking . only get London Pass plan 12 hour day thing Pass . find worth - enough time get money 's worth lot thing misadvertise pass - handbook . enjoy hotel great base , beautiful welcome place come back everyday ! 
 Nov 2 2009 	 Excellent Location 	 Trafalgar Hotel great location . staff helpful accomidate . we receive full breakfast every morning . travel Africa ask hotel keep & quot ; Europe luggage & quot ; Africa . return London , luggage store charge . foof top bar nice room attractive spacious . 
 Oct 29 2009 	 beautiful hotel great location 	 room amazing huge even basic room . surprised . room great bathroom huge . loved huge shower adn ammenitie . hotel lobby trendy love set like part bar . location could better trafalgar squre close char cross . the complain would internet 15 pound day really high phone call expensive . would stay could get good rate like make high expense . excellent service . 
 Oct 25 2009 	 Dr John Trafalgar 	 one good Hilton property pleasure visit 30 year business travel . seem pattern upon W model , minimalist room ( i.e . little storage ) high tech electronic . excellent location , professional staff . restaurant low level great breakfast location . room look upon Trafalgar Square , location befit HHonors Diamond vip , opinion . thank Trafalgar . 
 Oct 19 2009 	 great location nice hotel 	 will not find Hilton name anywhere look try & quot ; W & quot ; -like . funky casual lobby bar loud would suggest room first floor . room however nice stark . modern bathroom large comfortable . room large bath stall shower . fantastic location . could walk everything . 
 Oct 19 2009 	 Awesome lcoation hotel 	 fabulous hotel . service exceptional . location fabulous . close many resturant , site asbuckingham Palace good Theater District . staff alway willing provid helpful tip durig th stay . room also great . find hotel London meet need . 
 Oct 16 2009 	 Location great expect 	 arrive rather early book we early great , not feel welcome straight away rather dissapointe , young couple kind look we shame . room ok , do not recieve complimentary anything , do not get offer upgrade silver hilton member think mite do not look though hotel busy . seem though hotel interested bar night hotel . breakfast poor order la carte menu standard , refund still leave partner feel sick day . would probably stay location . restaurant staff rude whisper not give comfortable feeling . 
 Oct 13 2009 	 could not fault 	 spend two night , wish could stayed long , everything perfect . 
 Oct 12 2009 	 Cool without cold 	 hip Hilton brand hotel locate Trafalgar Square , perfect location explore London 's swish area , experience theatre scene , middle cool urban vibe city . room huge , even north american standard , mod con need today 's world , generous high - end amenity provide Temple Spa . startlingly thing hotel , though , incredible staff oversee canadian general manager . make stay pleasant ever experience four corner world . never felt welcome home . staff accommodate we previously - book hotel experience flood enroute London , book Trafalgar Heathrow give rate quote first hotel . fact , take Trafalgar , currently plan return trip . London spectacular , end busy day , simply go home Trafalgar . 
 Oct 11 2009 	 Location Location Location 	 Hilton Trafalgar rock ! location awesome- everything walk distance hotel block tube . early Dec Christmas light market full swing , easy hop hotel go somewhere . one night hang Trafalgar Square performer & quot ; talk Lion & quot ; Square . hotel bed heavenly ( especially 2+week travel Spain Portugal stay non - chain hotel ) . bathroom huge . breakfast hotel awesome , even guy play guitar . sit hrs nice voice remind JAck Johnson . hotel also hip bar , easy grab drink friend night . love Hilton ! 's bad Hiltons oversee much well Hiltons country ! 
 Oct 8 2009 	 Convenient Comfortable Hotel 	 Attentive staff , welcome . clean room , particularly spacious area . convenient location - many restaurant within easy walk distance , underground station , bus stop aplenty . 
 Oct 8 2009 	 strike one good trendy HILTON hotel stay ... 	 guess , really lucky decide stay Hilton property . even though , Trafalgar part Hilton family , sign Hilton see building . locate heart London - Trafalgar Square . reception area part nice lounge / bar . lounge serve breakfast morning turn place party night DJ . hotel one Rooftop restaurant area - view major London attraction - Trafalgar Square , London Eye , Houses Parliament , St. Paul Cathedral , etc . staff friendly go beyond help . room bathroom spacious luxurious . teenage kid also love . enjoy stay hotel wish day spend . 
 oct 8 2009 	 trendy modern hotel great location 	 London begin end point trip . hotel conveniently locate . Buckingham palace nice stroll away Big Ben Parliment , mention Trafalgar square . tube close , walk distance even luggage . wonderful breakfast spread rooftop bar offer wonderful view , especially night , warm season . fire alarm go 7 am consiquently evacuate build PJ 's , wonderful place stay . 
 Oct 6 2009 	 Fantastic Location 	 Partner stay three night conclusion holiday around France UK . hotel stay UK far good - wish hotel stay work Australia fantastic ! location central lot activity - right Trafalgar Square , yet hotel pleasingly quiet . room face laneway - never spend much time hotel room , care view . the staff exceedingly helpful honest . drink Upper Rockwell first evening London intend dinner Lower Rockwell . bar staff recommend dinner bar relaxed environment . overall - room spacious , bed comfortable , hotel environment well maintain , staff easy deal . 
 oct 1 2009 	 Best Hotel London 	 wife recently return first trip London . particualr hotel usually lean toward Hiltons service high standard . Trafalgar Hotel Hilton hotel market . first thing notice upon enter hotel minimalist decor . enter & quot ; hip & quot ; bar first glance reception area obvious . quietly tuck away corner signage . enter room sparkingly clean crispy decorate . bathroom large european standard seperate glass enclose shower over - sized tub . room two level . first level house king - sized bed . three step lead second level television chaise lounge . over - sized window look Trafalgar Square . double - pan window th eroom absolutely quiet . service impeccible . concierge take care every need book trip make reservation restuaruant & amp ; theatre confirm transportation booking . rooftop bar 6th floor offer command view London . breathtaking ! walk outside door front Trafalgar Square , BEST location London . hotel close everything : theatre , shopping restaurant , tube etc . London fantastic Trafalgar Hotel make much well ! cheer ! 
 Sep 30 2009 	 another excellent stay heart London 	 4th stay Trafalgar name suggest heart Trafalgar Square therefore heart London . hotel continue professional friendly feel , always nice receive & quot ; welcome back & quot ; check . receive complimentary upgarde room amazing view nelson column lucky enough room one occasion well view London would hard find . room modern & quot ; business & quot ; style could certainly complaint housekeeping , room indeed area hotel keep spotlessly clean . would higly recomend hotel business leisure . 's position within heart city would hard beat . 
 Sep 29 2009 	 's refreshing change 	 stay wife birthday fantastic surprise . moment check 9.30 a.m. team fantastic service excellent . roof terrace cool beer glass wine , generous room view Trafalgar Square , fantastic buffet breakfast next morning . will definitiely return . 
 Sep 22 2009 	 not bother find another hotel head straight Trafalgar Hotel 	 joy long trip Australia arrive clean , modern , service orientated hotel . deluxe room large , minimalist , extremely tasteful overlook Trafalgar Square . right middle London hotel make thing accessible foot . the breakfast good Europe plenty friendly staff remember food / beverage preference throughout stay . the negative roof top garden bar popular unless get right time , private function enjoy spectacular view London . overall hotel absolute gem . well do Hilton Hotels little beauty . 
 Sep 20 2009 	 fantastic hotel EXCELLENT location 	 stay five day mid - September great time . ask well location . soon step outside , London front eye . Trafalgar Square action & quot ; hub & quot ; get major sight . handful street intersect right near hotel taking take major sight . Charing Cross station entrance extremely close . I arrive early ( around 9 am ) give room right away could catch sleep long overnight flight . concierge , Sam , extremely helpful able book tour ( Windsor , Bath , Stonehenge - Excellent Tour ) , answer numerous question , help book transportation back Heathrow . the room nice well appoint ; will not disappoint room notice amenity present account . offer choice daily paper room clean rather quickly put & quot ; Clean Room & quot ; sign . for convenience many coffee shop , ATM , Tesco , 24 hour store purchase drink sandwich right near hotel . bar inside hotel pretty lively walk every night . also roof bar , not go there . everyone hotel friendly hotel great condition . budget ( free stay via HHonors Points ) , would strongly recommend stay . not cheap location beat . tip : go Tesco pick Cadbury chocolate bar . taste lot different ( tasty ; creamy ) compare chocolate within United States . 
 Sep 18 2009 	 right thick thing ! 	 wife spend two night Trafalgar use point last week . hotel stone 's throw away Charing Cross station Tube . inside hotel modern lobby bar restaurant fold right . room face Nelson 's Column , Square National Gallery . make quite view window . however , view come price : traffic , car horn endless police ambulance siren throughout night . literally , night . light sleeper , would recommend get room face square . as room London , somewhat small . however , need shower bed explore day . bathroom need update , ; serve purpose . the staff friendly helpful . get slightly bitter wife bring sandwich bar / lobby area . buy 13 pound whiskey . state health code something effect . think want buy 7pound item menu , 3 pound sandwich around corner . pack food drink go room . in would recommend Hotel . * * * oh , check email account day lead visit . send we dinner drink promo , not learn stay ! * * * cheer ! 
 Sep 18 2009 	 not know much hospitality London .... 	 wow , arrival departure kind inform people greet ! many hotel London , should / can choose , take one . ( travel lot far east use kindness cooperative people hotel , find early London , Europeans ' cold ' ) surprise enter premise overwhelmed kindness staff , bar - keeper management . make stay lot well usual . next time London , except back . PS normally not write report , read , hotel make change mind ! 
 Sep 5 2009 	 far well local thought London hotel would ! 	 stop night change , even though would normally head home , could pretend tourist local . low expectation chain hotel Trafalgar Square , tourist trap , price , soulless . well , surprised , none . arrive late welcome swift , warm professional . staff friendly reception layout inviting . hotel stylish modern , grand destination buzz . & lt ; room continue great start , spacious , huge bed great bathroom . bay window view Nelson ` Column real treat , even someone see many time . pillow feather , fancy feather one , call reception full set feather one arrive 10 minute . night drink , prompt answer night staff door welcome . sleep excellent , despite centre city , sound proof great room quiet . breakfast great , lunch booking , might really pig . downer not bring pot tea promise , could prompt not , can not hold . get good price booking advance , worried would get poor quality due low price ( London ! ) , feel get one good stay possible , price , exceptional value . sometimes worry review genuine , people might know local quality could . take someone live London , would recommend anyone . 
 Sep 1 2009 	 First Class - Best Hotel Town 	 season business traveller experience hotel world Trafalgar rank one favourite hotel anywhere ! recently stay special birthday staff wonderful , room amazing great view nelson 's column breakfast complete live music stunning . recommend hotel highly . 
 Aug 31 2009 	 Quality trendy hotel 	 enjoy stay well locate hotel would comment excellent soundproofing ( consider 's location ) spacious comfortable room bed , excellent service , good breakfast experience . it certainly typical Hilton , cheap ( London ! ) like atmosphere ease could walk sight , restaurant theatre . convenient , expensive public car park behind hotel . have minor plumbing problem bathroom quickly sort , walk - in shower flood bathroom ( triumph design practicality ) result sign wear , dealbreaker . nice linen - think duvet quality natural one standard hotel . would stay , recommend , except perhaps traditionalist ! 
 Aug 28 2009 	 great location room show wear . 	 pick hotel location , great covent garden restaurant theatre go . slight confusion finding , Hilton sign apparently part re - branding hotel . also bit bemused checkin desk , look like restaurant checkin quickly give room , ready early request . room ( 410 ) not quite fit rest hotel , smart modern . public area well maintain room not wear well not live rest hotel . bathroom suffer obvious place like grout peel away , go black , well loose control shower . floor tile also look bit shabby , bit disappointing price . bed also feel saggy wear , ' ve find Hiltons . whole room look tired need either deep cleaning replacement . eat lunch roof terrace , good , although shame close private event evening particularly appeal booking . staff mention often close evening private function . bit surprised lack information room . although room service menu , nothing give breakfast hour , checkout time etc local information . well stock mini bar win expensive ' ve ever see ( Savoy , Manhattan Hilton ... ) 's useful spot , room not worth price . pick hotel Hilton ( member Hilton HHonors ) , look modern ( think room would ) location . lot hotel area , would not tempt back unless improvement make . 
 Aug 17 2009 	 Hilton Trafalgar Square London 	 Excellent overall experience . staff friendly accommodating . breakfast include package steal consider London price . big breakfast get lot sightseeing . lounge definite hipness . highly recommend . 
 Aug 10 2009 	 great location yes worth money spend . 	 hotel lovely -- modern design large room bathroom . location wonderful -- right Trafalgar Square . however , wi - fi prohibitively expensive ; breakfast average choice . expect Hilton hotel -- especially since Hiltons famous breakfast spread -- one charge much per room . ask twin room receive double tell twin available . fine hotel one night , would stay long . 
 Jul 27 2009 	 service great location ! 	 stay hotel probably 5 time last year , frequent visitor US.In short awesome hotel . get good combination location , style service hotel know London . as Diamond member Hilton frequently upgrade always appreciate room spacious cool . shower also great , important rare feature London . have several time say service consistently excellent , friendly , efficient quick fix thing problem . highly recommend . 
 Jul 25 2009 	 Great Location Good Hotel 	 visit hotel December 2007 trip mother 's 60th birthday . hotel kind enough let we use room get early shower nap . hotel right Trafalgar Square maybe 1/4 mile ( .4 km ) Charing Cross rail station embankment tube stop -- mean everywhere London accessible . also 1 km/.6 mile Piccadilly Circus . the accommodation good well . large room plenty space . staff also excellent -- accommodate quick help make stay excellent . downside price -- 's cheap hotel , not expect one . 
 Jul 20 2009 	 Fantastic experience Trafalgar Hilton ! 	 stay full two week Trafalgar Hilton June July , 2009 . travel extensively Europe last 20 year honestly say good hotel experience ' ve thus far ! first , location beat . Trafalgar Square , many restaurant , west end theater , 2 block Thames River activity . easy , hot day , walk river take ferry see sight cool . Westminster Picadilly within walking distance , Buckingham Palace . subway across street ; bus outside hotel . addition , hotel staff -- day night -- extremely attentive accommodate alll need . able communicate via email prior arrival , sightseeing already book even get London . possible pay internet hookup room , able keep contact w/ business colleague go . highly recommend hotel ! like home away home -- everything need right room . hotel restaurant , rooftop bar , nearby food store snack . vow always stay Trafalgar Hilton London ! 
 Jul 14 2009 	 excellent hotel excellent location 	 Everything London near hotel . important thing staff . really helpfull , professional , kind smile . get good room , big nice bathroom ; cd player really top us - go see Priscilla musical three day listen original CD non - stop ( hotel ) .very good breakfast . perfect choice London . 
 Jul 14 2009 	 Perfect location rooftop bar access .. 	 want middle everything , hotel . location top . staff accommodate , friendly helpful . room size average though clean . view dismay . twin bed comfortable .. though price pay would think would well duvet . duvet , cotton - cheap .. cheap ... cheap ... ask , noone get back we . large t.v . believe see hairdryer . lot socket . two girl ... one need lot socket . the bathroom large robe slipper . shower / tub bit awkward get high handle opposite side tub , need put end tub help safely . not fan complimentary lotion gel . masculine smelling . one reason book hotel rooftop bar . want unwind go couple drink three day , allow access private party . extremely disappointed . manage get see look like half hour leaving manager take we top look see . bad could utilize though . view amazing topside . however , hotel send we bottle wine help disappointment . everywhere go free WiFi - except hotel . 15 pound 24 hour 75 pound week . astronomical . ' ve never pay $ 30 week somewhere . , London . London cheap - bit overboard opinion . however , McDonalds literally 2 minute walk right street . free WiFi cost drink . really rethink least cost . free - 15 pound week sound reasonable . breakfast good . load everything .. early ... around 10 a.m. start get skimpy . lot juice , muffin , pastry , meat , cheese , cereal , full english breakfast , american Breakfast , pankcake ... fruit . service wonderful . one gentleman even help sister concoction help tummy trouble . thoughtful . downstair lounge happen night . loud ... loud music . lot people - business relaxed .. stay , ask upper floor . think stop 3rd floor could still hear music . 6th floor hear nothing . oh one elevator work whole three day ... inconvenient . end wait quite bit sometimes . not know , walk around London day , last thing want take stair . would stay , however , get well price . give 4 point mainly staff amazing location . 
 Jun 30 2009 	 great location friendly staff view askew 	 nice accommodate staff . go bargain room , see small ( problem ) come unobstructed view office building . kindly change room upper half window view Eye long stand set position head back slightly tilt . sure check location room hotel booking . 
 Jun 22 2009 	 hospitable staff wonderful room amenity fabulous location ! 	 first tip fellow Americans , well driver look Trafalgar Hilton ... indication hotel Hilton look Trafalgar Hotel Spring Garden corner face square . wonderful location , truly helpful hospitable staff . room spacious Europe fit roll away child comfortably . two room two adult one child . ( may need speak directly hotel arrangement ) delicious convenient breakfast downstairs , include gold member pay separately ) Loved stay return area . 
 Jun 17 2009 	 excellent stay 	 great hotel . location , staff , ambiance . would hard press find well hotel London 's west end . 's Hilton hotel , would never know , high Hilton standard . roof top bar place see warm sunny afternoon . 
 Jun 13 2009 	 great hotel ! good location 	 stay hotel move poor hotel night . check friendly room spacious clean . unfortunately bit close entrance roof garden bit noisy not much problemIt take reach room service order arrive fairly quickly food good . breakfast strange set harpist corner low level lighting make feel bit & quot ; cocktail hour & quot ; ! say breakfast good wide selection food.all good stay . would stay room rate competitive however generally hotel expensive . 
 Jun 11 2009 	 big difference night day staff 	 hotel nice enough , another reviewer put , soul . daytime staff helpful nice , however , leave service end . night staff make clear like tourist want room hair 10:30 . rooftop bar seem marketing ploy . view beautiful , area tiny , be often close , close early ( last call 10PM ? ? ) staff rude . lounge lobby advertise available resident hotel 24/7 , however also seem marketing ploy . night staff make rule regard serve - rule change nightly . 10:30PM bottle wine dinner wanted quietly finish lounge . however , brighten light , turn music , repeatedly bump chair vacuum , spray clean table around drink , wait staff disappear bald bouncer rude point hostile . glare we good & quot ; kill - face & quot ; trying intimidate we lounge ... 10:30PM . refuse leave , cleaning staff gave go sleep next we . actually sleep next we . Hotel Manager , happen read , stop hotel one night 10:30 see . positive side , location great room clean ( although shower leak bottom cover floor water ) .another thing ... internet free hotel calibre . come on . be free every cafe street . evolve time offer free internet - 's 1998 anymore . 
 Jun 10 2009 	 Hospitality 	 spend three day hotel . seem like three minute . stay lot hotel around world . view Trafalgar hotel good stay family friend . hotel big size service briliant . thi staff give good service . opportunity , stay . never forget hospitality . wish good luck . Anisuzzaman Khan 
 Jun 9 2009 	 Bland insipid utterly soulless 	 month Europe stay seven different hotel , place far bad experience hotel trip . expect haul luggage step reception desk porter sight check . reception desk informal affair consist computer back back desk . look like internet café unwelcoming . guest stand way guest staff check move luggage around order accommodate passer - by . small reception look restaurant concrete column dark colour , cold barren . the gentleman check we disintereste sullen . light elevator poor take along torch check number button press . room featureless bland one single picture exciting visual cue see . bathroom amenities middle road exciting good quality expect . shower temperature get hot enough bad soak London chill . pen room view drab London office block hideous . decide venture much tout roof bar . top elevator rude bouncer demand : " ' ticket ? " reply ' . say " must ticket ! " say guest hotel show key card . say " ok case go " terrace tiny , freeze ridiculously overprice . view great pretentious pompous London office worker colonize roof make we leave quickly . stay another Hilton recently enjoy ghastly food decide leave overprice offering venture city meal . we really enjoy stay pleasure leave . however ask check enjoy stay , say ' wait leave . receptionist immediately puff insist call someone could talk regard experience . say rather would like leave soon possible process payment . sit wait taxi airport reservation manager come chat . annoy we obviously mean receptionist respect wish ask manager come we , regardless wish . address wrong name take defensive confronting attitude keep tell interested chatting . rather persistent individual eventually get message , happy . get feel wanted find problem order damage control pr hotel instead address experience . although location amazing right Trafalgar Square centre London , feel option nearby offer well guest experience . stay three night see staff bland operation would surprised smarmy twee response management – expect uninspire over - price edifice . 
 Jun 2 2009 	 WONDERFUL LOCATION ! 	 husband recently stay Trafalgar ( Hilton hotel ) London . sit one corner square . first trip London previous review right . location beat . location , almost everything want see within walking distance include bus , underground , Big Ben , Parliament , Buckingham Palace , Kensington Gardens , museum plenty restaurant . bed well , convenience worth . walk bar , desk leave , right greet help luggage . end night show , dining , sightseeing , extremely pleasant sit lobby hotel nice drink , great appetizer ( dessert ) pleasant music . really want dance , dance place . spend one evening rooftop bar lovely great view . conceirge service hotel wonderful . scored we great show ticket , point we ( physically ) right direction ( many time ) pleasant deal . food review great London , conceirge direct we Gaucho 's Steakhouse ( 5 6 block , walk distance ) wonderful - unique experience , dark inside , mostly candlelight , romantic great steak great wine selection . Trafalgar 's restaurant good well . also dine right next door Albinnach ( think 's correct ) find pleasant dining experience great food . place try fish & amp ; chip - much well little cafe find . monday food 50 % discount ( least . ) definitely stay hotel visit London . 
