3 	 book 2 room superbreak disappoint date room especially bathroom . friend room even bad dodgy electric although tv report not work one acturally go fix it . we ask soap would think would provide ! shower curtain rail place head , shower stuck body ! bar expensive 4 drink cost £ 18 ! however restaurant good helpful staff . when go breakfast queue horrendous , waithe good 20 minute ! although breakfast ok . no way 4 star hotel ! stay . 
 Nov 24 2009 	 ok - 4 - star standard 	 one night stay hotel Friday night , can not argue location - next Euston railway / tube station easy access public transport , feel like Camden Town West End easy walk away . first impression not good , build rather ugly 1970 concrete carbunkle front desk not exactly efficient . stand line 20 minute whilst receptionist not confidence tell rude people barge ahead we go end queue . elevator small cramp . the room big , bed comfortable , air tattiness . furniture old , scratched , scuffed , odd cobweb cornice . window draughty , save fact slide inner window . then get wake 4 am morning guest next door engage , ahem ..... nocturnal activity ..... either right old time , divide wall paper thin . next morning , lack towel partner , quality bathroom furniture floorcovering old , date would expect 4 - star hotel . luckily pay £ 90 experience , full rate close £ 200 per night . 's problem - Ibis Euston St Pancras ( hundred yard along street ) top line rate £ 80 cheap . admittedly , 's 3 - star , ok , fixture fitting bit ikea , clean , modern probably quieter . overall , Thistle Euston not bad bad , not deliver would expect 4 - star hotel . 
 Nov 19 2009 	 Noce stay friendly Thistle Euston 	 regular leisure traveller London . come Cumbria , Euston station thistle really handy . right front desk staff friendly helpful . depend pay suppose , good price via Superbreak . people want expect London hotel ? think unrealistic expectation sometimes . want nice , friendly well locate ( surprisingly quiet ) London hotel one . be sparkly new , neither ! ' ve ten London hotel past three year good . 
 Nov 19 2009 	 date 	 travel teenage son shopping trip stay 3 night . room size ok clean , deluxe room state booking , flat screen tv . Bathroom date , hang towel bathroom , stain room carpet . noisy night even though 4th floor . location suit we use Euston travel everywhere couple min walk Euston station . breakfast ok , quick service . wait lift . nice reception area . ok base not expect 4 * . worth get good deal . 
 Nov 16 2009 	 four star hotel 	 read several review beforehand not expect much . hotel indeed tired room need update badly . washcloth bathroom temperature shower difficult get scald hot . staff quite pleasant , although fitness centre advice find one , even though least two within easy walk distance . wireless internet service room keep lose signal . tell staff offer refund 10 GBP fee . breakfast average staff pleasant . although near train station hotel quiet , big plus central London . get good price hotel line would disappoint pay 200 GBP publish rate . want convenience , price low , expect two star room disappoint . 
 Nov 16 2009 	 close Euston Station - pleasant staff 	 location prime importance hotel great - twin room stay hairdryer , iron , iron board & amp ; tea & amp ; coffee make facility . breakfast buffet style everything would want set day sightseeing / shopping 
 Nov 14 2009 	 tired 	 £ 170 plus per night expect something little smart . whilst room good size feel tired . poorly decorate , bathroom see well day . lift small can not cope volume traffic peak period . plus side , serve decent breakfast course well locate . food Brasserie 43 well cook present bar price extortionate . 
 Oct 28 2009 	 Nice hotel friendly staff good location . 	 stay business not pay bill not stay previously . say , whole , hotel nice staff polite ( word caution - none staff seem british origin speak serviceable English ) . room first floor bit trek reception locate around courtyard . expect noisy ( read review ) quiet peaceful . nice park adjacent hotel . bathroom spacious nice selection toiletry . concierge staff helpful left bag retrieval quick efficient check - out . breakfast acceptable . two single bed room comfortable night 's sleep . flat screen tv room look fairly recently instal . tea coffee tray generously fill . hard find fault £ 123 night , include breakfast central London . good location travel via Eurostar King 's Cross / Euston station British Library short walk away . 
 Oct 25 2009 	 love Thistle Euston hotel ! 	 stay hotel part post - tour accommodation love - wishing could stay long . room good size decor lovely , breakfast great . location fantastic . 
 Oct 24 2009 	 not stay thistle euston ! ! 	 first room toilet paper air conditioner . not even offer fan . ask receptionist say would send technician look room . figure do not know turn . miserably hot though way could sleep room . technician came say floor several other not air conditioning right not know would fix . receptionist not even know floor air conditioning ! communication hotel ! anwyay room change second one puke floor nightstand ! ! ! not clean room . know even wash blanket ! @ ! not stay get bad ! hotel not know customer service either would not even help carry luggage ask change room lot luggage carry many floor away . hotel also unluggare friendly . enough room carry luggage side . 
 Oct 24 2009 	 nice beginning end 12 day European Tour . 	 read many bad review hotel , expect bad ! must different hotel ! find everything fine . helpful friendly staff . room small clean everything need . location great . two tube station within easy walk , could get everywhere fast easy amount time . breakfast good , plenty eat . eat dinner one evening quite good . another evening ask inexpensive place eat . suggest 4 local pub . choose one 2 block away , not recall name cover beautiful flower . fish chip drink .... perfect ! ! go back sure ! 
 Oct 18 2009 	 worth staying get good deal . 	 stay thistle euston 4 night special offer ( though bank account ) cost we £ 350 not expect much usually get pay . hotel locate minute walk Euston station handy we long train journey . upon approach hotel look quite tired could really lick paint , reception area nicely decorate modern do not need wait get check ( arrive 3 pm check time stipulate reservation confirmation ) stay 3rd floor . hallway 3rd floor dark could bit update room decent size price pay flat screen tv along 2 seater sofa decor bit old fashion big problem use room sleep shower room clean daily although notice last night bed make properly . bar area pleasent modern staff attentive breakfast 3 4 morning stay include deal good selection hot cold food choose offer tea coffee toast soon sit , standard food good . would recommend hotel get right price breakfast include . stay overall good would stay , especially decor update bedroom . 
 Oct 18 2009 	 convenient helpful 	 stay last weekend- attend conference stay extra night . contact hotel prior visit concerned review say small single room . give double quiet area . satisfied . good breakfast excellent service . ask bathrobe give one within minute . great access tube line Euston . definitely book go conference next year . staff lovely helpful . Thankyou . Julie Foulds . 
 Oct 13 2009 	 little tired round edge clean 	 read previous review really apprihensive go hotel . would not say 4 star hotel . reception area clean tidy . restarant clean modern . room rather tired need decorate . however clean . 3rd floor next train station , not hear noise . good location 2 minute walk euston station . hotel ok need , go city break use room get shower change sleep night . 
 Oct 12 2009 	 NEEDS refurbishing 	 Affordable Tours book we hotel part package . get room , change water room small ! ! ! airconditione , small Electric Fan ! imagine , 4 - star hotel fan ? ? ? carpet old need replacement . furthermore , breakfast , serve Continental Menu , want hot food like egg , bacon , hotdog , baked bean , need pay extra . the hotel also far London center , need use Underground walk block get hotel . this hotel categorize 2 3 star ! lobby small big group ! 
 Oct 7 2009 	 Charming 	 first trip London & amp ; find hotel charming romantic . first room small & amp ; bit claustrophobic , change big room . staff helpful & amp ; upgrade room bit ( reasonable ) . location hotel close tube & amp ; convinient . great experience . thank 
 Oct 1 2009 	 get bargain price 	 pay £ 59 lastminute.com one 4 * * * * secret hotel single room . locate side Euston station walk distance king Cross . hotel look bit old tired outside , lobby quite fresh elegant . we arrive 12 noon check room , problem many many 4 * * * * hotel I ve stay . however problem Thistle Euston ( expect refugee camp host reception ) get room early 2 pm - forget ! store luggage , come back later , room small - clean - really expect minibar , space one ! shower , A / C much appreciated , flat screen tv ... breakfast next morning , enquire check - in lady offer we voucher breakfast £ 7.50 , otherwise would not bother . take age get table , firstly pay ( hotel would charge breakfast ) seat people behind queue - lot lot item run - certainly rush staff replace they . we overhear conversation people pay £ 193 rack rate , could not imagine , whilst worth £ 59 pay per room , certainly be not worth penny ! 
 Sep 30 2009 	 go special offer 	 stay 2 night worried read previous review . since get 2 1 offer decide give try since tour end hotel . pay 208 pound 2 night include buffet breakfast . hot cold available good selection . tea / coffee ' good though , juice . service average . room average . old . sound proof could hear people walk vacuum cleaner go . would like leave luggage concierge pick later , sure check charge already check - think 2 pound piece something . 's 400 m walk Euston Station . overall , ok stay will not return . think could probably find worthwhile place stay . 
 Sep 30 2009 	 tired hotel need update 	 room small tatty , although clean . bathroom dire need complete overhaul , shower easy get require temperature . Staff seem disintereste , service well adequate . very expensive get , stay well budget accomodation , luckily stay one night . do not book hotel dissappointe . 
 Sep 25 2009 	 Ignore bad review 	 hotel book company read review website , would say bit nervious stay.however , moment get hotel ( 3 minute walk London Euston ) meet pleasant helpful staff , give spacious clean room fresh laundry every day . however hotel not miss small detail , complimentary shortbread enjoy tea bed infront nice selection tv flat screen tv every room . the bed comfortable extra pillow avaliable need extra support . dinner breakfast well present wait staff friendly could enough help . so ignore bad review , 5 Star hotel , perfect . 
 Sep 21 2009 	 Great 	 stay one night much last resort . room overlook derelict building suffer noise everywhere : train station opposite , people room next door , room , car alarm go night etc . seem whenever anyone use loo , plumbing room start shake . invest bathroom leave rest room alone feel old date . say , investment seem unplanned - screw shower pole across bath room - purpose : suspend bath plug tub ! ! still , bean toast room service . 
 Aug 23 2009 	 stay 	 helpdesk staff unhelfpul put forward important reservation requestthe reception staff rudethe room tiny date , bathroom cleanThe breakfast upstairs cold veggie - bean toast , it . I would go back . 
 Aug 14 2009 	 Single Travellers avoid like plague want comfort 	 come back night hotel - well night . book deluxe double web site think 4 * hotel . check give Rm 226 narrow corridor room small wardrobe right front - turn room dark small claustrophobic go desk get move Room 342 small room well light - luggage rack fold wall room open . want watch tv bedroom , case small chair get bed watch tv head end bed ! ! go dinner night spend night , lie end bed watch tv . room exteremly hot control wall not really know far air - conditioning spend night watch tv end bed room exteremly muggy . must say breakfast nice staff friendly . 's far cry standard 4 * hotel Ireland . 
 Aug 7 2009 	 fine hotel good location good price 	 stay two night 2 teenage boy superbreak deal . room 3rd floor adequate need , single bed . clean , bathroom good condition large flat screen tv . quite noisy station window open . staff friendly breakfast good . fear bad read previous review pleasantly surprised . would go get good deal 
