word 	 stay TMA one night Sunday 29th November business trip . ' ve use , satisfied , Thistle hotel previously different . check - in , fair courteous reasonably quick , tell upgrade cost superior room - jolly good . jolly arrive room . although undeniably large , include seat area sofa , room scruffy long overdue refurbishment . arrive 9 - 15 p.m. ( later would hope ) leave first thing next morning , have reject . several place wallpaper lifting seam ; considerable stain decor ceiling adjacent , lead , aircon unit ; bathroom tired apparent defect appalling state principal table , wardrobe , slightly less degree , bedside table . chip , stained , damage visually dreadful . main table fit firewood . also , bizarrely , tv could not orientate viewable bed . want watch , sofa nothing . ( mattress bed ludicrously soft , hey , maybe 's ) .It explain room & quot ; much , much well & quot ; room would book ... would not want see one ! breakfast ok ... , staff restaurant friendly efficient , check clerk . there way 4 star hotel - charge £ 148 room breakfast excessive poor experience . staff markedly well infrastructure hotel - room border unacceptable ( call ) 4 star hotel high - profile chain . will not back hotel . ' m stay another Thistle hotel Liverpool 2 week time son - not deliver , Thistle forget custom . 
 need reconstruction 	 furring bathroom tap , wear room . 4 lift large hotel - wait away . unbelievable breakfast eat room - look like dining hall factory . 
 good value money upgrade 	 book standard room upon check offer upgrade wich first decline , however go room go back reception ask upgrade pay resonable amount must say difference room huge term size also state room , want bit comfort go upgrade 
 overprice poor service jade hotel 	 Location perfect early morning appointment American Embassy work visa . in aspect Thistle , Marble Arch never fail disappoint . check take forever , room shoddy date . dining room small size hotel , table cram together . breakfast like rugby scrum , walk around circle try find table not use store dirty dish . ridiculously overprice , exist 's location , pay internet ! ! ! ! 
 Nov 24 2009 	 Decent hotel beware ` ` upgrade '' 	 stay hotel 3 night business event , also organise hotel . travel lot find hotel okay , quite live standard would expect . first huge hotel , tend prefer small establishment . distance lift room feel long . check - in ask want upgrade well room £ 20 . say . offer & quot ; upgrade & quot ; & quot ; large room 2 single bed & quot ; free charge . accept , room indeed large although hindsight mistake single bed quite narrow . room okay , bit worn , bathroom definitely need update . strangely , bar cupboard contain glass tea - make equipment - empty space minibar suppose . bed , however , good room blissfully silent - family move next door shout kid woman particularly loud voice . could hear clearly room . service generally helpful friendly , except occasion want use internet ( laptop ) . business centre advise need purchase voucher reception downstairs , also 2 terminal lobby could use free charge . great , think , want check email . however , reception tell voucher free - of - charge computer . even try help problem end give . plus side , meet arrangement handle nicely conference staff friendly , bonus point . also , buffet lunch Saturday good quality . main complaint really reception fact crowd place feel quite impersonal - despite nice vintage decor . : be okay hotel excellent location like shop Oxford Street surround area . could stay , probably will not London full hotel 's expensive . ' ve get other give well service personal touch price . qualified recommendation . 
 Nov 23 2009 	 absolutely shocking customer service 	 say do not reservation arrive , no - one hotel speak english housekeeping staff terrible attitude ! hotel ask send card detail e - mail refuse ask another method pay , send expensive black trouser leave behind charity shop ! obviously clue fraud make wonder people bank detail . choose stay vary careful choose method payment ! never go back ! 
 Nov 19 2009 	 fine - like large hotel 	 hotel well expect . room spacious , well equip comfortable . although one room overlook Oxford Street , window shut , really enough noise disturb sleep . ( colleague ) offer & quot ; upgrade & quot ; room two single bed - seem twin bedded room need enough double - bedded room . not clear upgrade , not seem executive room - guess might bit large double room . television offer good choice tv Radio channel . Art - Deco decor run way hotel make pleasant change rather bland hotel . negative mainly size hotel . check slow - wait serve - queue despite fact least 6 receptionist duty - process take rather long hotel . breakfast frenetic experience , time quite queue people wait seat . whilst seem plenty staff duty , item run take replace . orange juice water , addition Ice cube rather tasteless result . foyer also rather noisy . finally , quite long walk room . overall , have happy stay ( room ) , slow check - in chaotic breakfast make idea les appealing . 
 Nov 18 2009 	 Great Location Nice breakfast spread 	 hotel really near Oxford street . great u want go shop . hop n bus , bus stop near . end walk Hyde Park Victoria ( that s correct one remember ) hop n bus . the hotel average . chair look bit old , bed okay tv small seem like London n Europe standard . toilet spacious , major shopping mall close 8 pm small shop close 9pm . the reception hotel pretty friendly . leave early 2nd day 5 am , ask reception like breakfast pack . thus , able bread , jams yougurt check out . the breakfast buffet good selection food . think hotel far number dish . quality good . 
 Nov 9 2009 	 great location 	 recomendable hotel . location great , staff attentive despite almosta hotel factory . room good , nice size . take care donot room face Oxford Street . could noisy . look allocate inside court room . 
 Nov 9 2009 	 rude staff ! ! offer upgrade fee check room first . may already upgrade ! ! 	 stay hotel last weekend . book 2 standardroom . check 21.00hr friday , girl reception first look computer looong time . type typing . ask want upgrade . ask upgrade would mean . say big difference standardroom executiveroom . executive much well room . big renovate . pay 30pounds per night . accept upgrade room , say would keep standardroom son . understand , receptionist say . not ne extra luxury ! room ok , surprised turn son exactly room . go reception , confront . use long time front computer , tell son get free upgrade . strange , not tell first place ! say theory sell standardroom check , would automatically get upgrade . instead try make pay 60 pound . receptionist deny ! ! tell accept , said- ok- pay extra upgrade . check sunday , upgrade fee bill ! ! talk customer relation manager , tell whole story . say : ok , will not pay , next time make sure be beeing upgrade . kind behavior ? ? tell him- will not next time ! ! said- well be .. LONDON full nice HOTELS , avoid one ! ! ! ! 
 Nov 9 2009 	 favorite european hotel 	 elegant subtle way , clean , 2 block tube , center shopping 
 Nov 6 2009 	 great location - shame staff reception . 	 stay Marble Thistle business can not comment much price . the location central excellent shopping see sight . my room clean keep well - stock tea - make facility toiletry . I not find problem queue breakfast previous reviewer mention food good . I feel safe lone female traveler plenty offer help bag etc door staff . however , check check find receptionist hard work , especially problem leave . it be shame guest 's first last point contact hotel can not manage smile civil word , yet clean staff probably earn lot less polite friendly . 
 Nov 4 2009 	 great location 	 excellent location good value would stay again.cant comment food do not eat hotel . 
 Oct 30 2009 	 bad chioce 	 great location , near oxford bond street .. really un welcoming staff , rude , friendlyroom keepig clean 
