love 	 recently visit Thistle Westminster part group organise work . cheap due amount people travel cost £ 150 bed breakfast coach travel boyfriend . hotel good 's price . however regardless amount spend , still feel hotel lovely place stay . second time stayed find pleasant last year . upon arrival check tell relevant information ( breakfast time etc ) take luggage room two double bed ! ! ( boyfriend ! ) also sofa facility make tea coffee well need hard day shopping ! admit hotel room warm however extremely cold outside not problem stay there . the bathroom seem bit old tired however clean important thing short time . we walk near tube station ( Victoria ) approx 5 minute hotel . Victoria central station key place would want visit minute tube ( fantastic ! ) .after lovely evening Tiffany ice rink Somerset House , go back hotel tired ready good night sleep . 11:45 woken alarm go . concerned half sound like car alarm half sound like fire alarm . rung reception ask problem , mind put rest deputy manager 15 minute alarm go . 10 minute rung knock door deputy manger come check situation see everything okay ! ( fantastic service lovely man make we feel concern deal appropriately ! ) breakfast fine , much variety good quality staff pleasant . overall hotel great location , lovely staff big room . would definitely return ! 
 Nov 23 2009 	 disappointing Thistle Hotel Central London 	 use work Thistle group stay nearly Thistle / Guoman property across UK must say recent stay Thistle Westminster disappoint . 's diary one - night stay ..... choose stay Thistle Westminster primarily conveniently locate within couple minute walk Victoria Station . excellent business traveller . leisure traveller , walk distance Westminster Abbey Buckingham Palace . ideal location shopping dining- try Thistle Piccadilly , Trafalgar Marble Arch want near Oxford Street shopping Soho . easy enough check - in personal touch .... like checkin - in flight use self - service machine . receptionist could mention time breakfast ; need newspaper morning offer wake - up call . I book twin room second floor , room 253 . think great two queen bed impressed layout- could hardly open wardrobe door lack space foot bed . nice couch room along tea / coffee make facility iron . call reception concierge 3 time space 30 minute requesta bath robe . one answer . go downstairs cigarette see three member reception gossiping . give request . go evening , concierge helpful enough help locate destination . realise two big problem hotel later evening . first state bathroom : tile crack , paint job around shower poor ceiling step bathtub low anyone 5ft10 . shower old disgusting ..... latch loose ' m sure go health safety policy . second major problem temperature room . ' m glad 's not stupidity can not work air condition another traveller mention . turn air conditioning matter , offset hot air . open window open window still boil hot room . must say ' m sort person much prefer heat room nightmare friend tell morning sleep . issue must admit informed duty manager . regard shower , notice 2:30am thought not worth hassle . regard temperature room , friend problem wake inform severity problem , would demanded change room . morning full english breakfast . staff friendly attentive . however much selection continental option .... like Thistles . hardly selection fresh fruit . would not pay breakfast .... not value money . if must go Thistle try Thistle Grosvenor ( 5 minute away ) Thistle Marble Arch Guoman property . standard term quality service Westminster really not worth . 
 Nov 22 2009 	 never - Simpy worth real disappointment 	 stay Thistle Westminster November start holiday UK . checking could get safe work ask ask ask ask everyday fix everyday tell - suspect noone ever look . girl front desk look confused ask help - like strange want actually work .... room HOT ! force sleep window open disturbed sleep give noise outside . the iron fall wall go use it . the internet work whole time - not advertise something not provide . I must admit would move hotel concierge - really good . pleasant professional guy make stay bearable . I would never recommend hotel friend - much well option ! need revamp , need facility actually work need reception staff care ( concierge excuse comment ) . 
 Nov 10 2009 	 : Unbelievable could get bad ? 	 travel wife London short relaxing break start October 2009 . stay Thistle westminister attend private function Monday 6th October . leave Hotel ( 7 pm ) night , need iron hotel safe open valuable . hotel room rang rang , rang ! answer hotel reception housekeeping ! even phone main hotel number mobile ! ! ! still answer . safe locked frustrated spend 15 mins+ try speak hotel member staff , decide safe place passport phone , instead take we evening . truly wonderful evening function , return later night Thistle . the follow day check 1 pm . usually sightsee shopping ( London ) return hotel 6 pm pick bag catch express Victoria Gatwick flight home Belfast 9.20pm night . remember passport ! tell concierge hotel Manageress check room , go ! hotel nothing list housekeeper book ! couple check , happen room ask would like check , , nothing ! Panic ! ! ! REAL PANIC . explain person could hotel housekeeper ! manageress try get touch housekeeping could not ! tell not want upset ! ? think hear thing ! understand say ? unbelievable ! phone Easyjet see could travel home without passport ? , unfortunately BAA legislation need photographic identification ! contact Police report passport steal . two hour speak Police mysteriously appear , although previous record anywhere ! ! ! ? Manageress stipulate anything find guest room always log , maybe exclude british passport ! consequently , grab luggage passport rush catch Gatwick express ! express wife rang hotel Manageress Thistle inform find head housekeeper drawer ! passport important document , record ? manageress could answer question ! complete mess conclude speak Police . miss early Express Gatwick consequently flight back home ( Belfast ) , day visit London arrange babysitter 4 year old son , babysitter stay another night ( work next day ! ) . unfortunately flight London Belfast London Airports . extra expense two flight home another night accommodation , plus transfer two hotel Gatwick , mention unnecessary stress annoyance . feel strongly unfortunate situation ask solicitor forward letter . reply Thistle Westminister believe follow correct procedure . unbelievable ! add insult injury Manager Thistle Westminister refuse compensate , even reimburse expense ! imagine , angry anger elevate much high level ! due customer service simple exist ! quite simply , appalling ! thistle sympathetic unfortunate incident cover extra cost would feel hurt . funny side highly unfortunate incident , find amusing simply share everyone ! Thistle head paper . strapline read , ' the way ' .The Thistle may need reconsider brand ! obviously not practice PRINT ! irony feel may lose Hotel Manager . treat customer ! would suggest anyone travel London business pleasure simply avoid Thistle ' the way ! ' 
 Nov 8 2009 	 ok well less money 	 stay 1 night . check problem cheeky enough ask free upgrade girlfriend 's 40th . room give we spacious everything need also something ' ve , round bed ( see photo ) quite usual . think room need revamp little date . room quiet nice dark blackout curtain , always good we . breakfast ok expensive £ 14.95 . staff helpful concierge seem happy help . hotel convenient Victoria station , 5 minute walk . overall hotel ok think overpriced hotel need update . stayed room 228 . room quite warm AC not seem work . 
 Nov 7 2009 	 would expect 	 stay part party deliver event colleague . facility event quite good staff helpful enough need prompt need . occasional ' jobsworth ' moment ask milk coffee whilst set tell visit local shop ! fortunately isolate whole everything go well . the room large bathroom small bit ' tired ' . slightly character rest hotel hopefully management address long . hotel quiet significant noise wall room service area ( ? ) . happen least twice ( 06:30 ) hardly room except sleep . ( Room 125 ) .. good . breakfast good food freshly reasonably freshly prepared traditional choice . 
 Oct 30 2009 	 Great Location 	 room hotel quite big London standard clean . end corridor little noise guest , however room hot even October ( airconditione blow heat ) sleep window open consequently lot noise road outside . bathroom also quite tired certainly 4 * standard . cold tap work bath report sighting silverfish bathroom young duaghter subsequently kill & quot ; daddy & quot ; , flake paint , break ceiling tile mould also evidence . plus side staff great location brilliant . 
 Oct 26 2009 	 really bad service 	 run dish washing liquid provide call reception guy say buy fight call room service give we fresh bottle . need bed change every 3 day thought would good change every 5 day . every thing BAD , BAD SERVICE , housekeeping , RECEPTION ROOMS daft . 
 Oct 25 2009 	 good location breakfast offer ? 	 stay hotel last week one night choose location convenient meeting Gatwick Express - front , could not fault . welcome warm room clean reasonably spacious . late evening find tv remote control not work though leave phone ring several minute get answer , reception finally pick , charming someone housekeeping come immediately battery - ont plus side woman , request , already pyjama . this hotel make quite point - least one website - offer full english breakfast free stay Thursday ( ) night , not show booking suppose offer hotel . well guess , word say nothing book confirm offer , go breakfast mark value result . 
 Oct 10 2009 	 nice place watch bathroom 	 hotel great location . 2 concierge great help'.the bedroom always clean . problem breakfast . bathroom mold plastic towel holder screw wall . could see black mold grow wall behind plastic . knowledge mold profession suggest another type towel holder good scrub bleach wall . 
 Sep 28 2009 	 excellent - fantastic time ! 	 stay Thistle 1 night stay visit London ! concierge great nothing much trouble , pester alot first time London ! never judge book cover , outside hotel will admit look abit shabby , inside excellent ! ! room lovely , clean spacious , breakfast great . hotel central pretty much everything & amp ; Buckingham palace take 15minute walk , bus stop around corner . 1 thing say plug hole , clog hair , refuse use , easily solve ! 
