bad 	 stay three night Thanksgiving weekend . 's way downtown London , little town 's great -- lot delicious restaurant , inexpensive shopping , close fairly major highway . two room spare comfortable clean . bathroom fine . mattress sad , saggy lumpy , least rock hard sheet fit stay well . comforter perfect weight weather -- sleep well . be in - house restaurant room service , never chance use . la carte price reasonable , except buffet breakfast , high . be difficult find parking lot , figure one way street round - about , safe , adequate parking . would go back . nine pound night two people , be great bargain ! 
 Oct 11 2009 	 uncomfortable stay 	 stay hotel father could not make rather cancel room take place visit family , however arrive check 10.30pm tell put system ' No Show ' ! ! night porter start look another room we , find we room top floor go back office get key card , return tell do not key card hand would ' run hotel find ' point also 3 party wait check also key card available , go 5 min later return key card , add though apologetic unfortunate case guy desk still work desk check 10.30am ! ! approach room could smell cigarette smoke along corridor , get room light bulb miss entrance light , bedside table rip wall , bulb snap broken bedside light light shade rip , dirty smear finger mark ceiling bedroom ceiling shower , 1 bath towel we , phone contact reception top floor room 703 think need top bed bad sleep long time , pair we wake severe back & amp ; muscular pain . grab quick shower leave ASAP ! ! ! 
 Aug 24 2009 	 Cheap Cheerless 	 10,000 White Van man wrong ? room large ( enough four workman share ) , bathroom clean ( ish ) lift work - time . business hotel . company put , either junior unloved . Most staff try hard , obvious hotel need refurbish bed saggy ( 4 workman ) sofa wear carpet wall damage . it , however , cheap - book get sale price . low pay £ 19 mid week . tolworth little offer except brilliant italian restaurant ( Sorrento ) , good fish chip restaurant fast route a3 ! 
 Aug 21 2009 	 great budget hotel 	 get great rate hotel perfectly place visit thorpe park , friend london . park £ 5 night never fail get space . bar also serve breakfast time write £ 7.50 2 child eat free every pay adult . impressed quality , next day go cafe broadway ( local high street ) much well value we . also use kebab takeaway pizza go go impressed . also use local tesco express iceland bit bobs.the local station less 10 minute walk day travel card ( 9:30am ) cost £ 7.50 . go waterloo . train every 30 min journey last 30 min . travel card also work bus go london another area miss last train get night bus run night . also go kingston less 30 min away worth visit bus run quite often . nice area along thame good shopping . also great centre ( rotunda ) restaurant , bowling cinema ) , get chance go TONY ROMA 'S monday eat rib ! ! ! would hesitate use hotel . 
 Aug 18 2009 	 Standard Travelodge unpleasant surprise 	 use Travelodge place 3 child & quot ; crash & quot ; party June . stay totally bizarre experience , nothing hotel last time enter building , 20 year ago , work ! ( house branch Home Office . ) away novelty sleep former place work good example Travelodge Chain . firstly car park bonus , cheap . secondly fairly new conversion room clean freshly decorate . check - in fast friendly efficient , despite negative review complaint decor lobby ( maybe remember original entrance ? ) . unfortunately get room find sofa trundle bed make linen . trip back reception oh power Tripadvisor ! . receptionist try fob assurance would do later forwarne Tripadvisor review , insist , front group check do go ( expect back early hour ) casually mention lack linen mention Tripadvisor voila argument cease ! receptionist scurry away bed make get back room . ( apparently problem room make outside staff come hour morning . ) rest stay happily uneventful . however room noisy . Tolworth Tower a3 local police , ambulance fire station close . despite attempt soundproof building wake several time night screech siren . as mention previously park . however hotel well situate far public transport concern . Toworth Station 1/2 hourly service London across side a3 ( 5 minute walk ) take 281 bus turminu directly outside hotel Surbiton Station fast service Waterloo . , Rugby fan use get Twickenham . surbiton station catch number 65 bus Chessington World Adventures opposite direction Richmond . bus go Kingston ( great shop , club , pub etc train Waterloo Hampton Court ) run past Midnight . the Toworth Tower Travelodge serve food . sample breakfast complaint . however breakfast room quite small size hotel could see cause problem busy time . really need use restaurant . Underneath Toworth Tower large & amp ; food market . site one end Tolworth Broadway , 1930s high street * large selection eatery budget . Red Lion opposite end Harvester Restaurant attach not mind walk fish chip shop & quot ; Fishmania & quot ; Tolworth Broadway change name Ewell Road comes highly recommend . pleasant stay happy use would kid provide promise go work ! * interested architecture , modern shop front buiding remarkably unchanged . hotel afford great view . 
 Aug 13 2009 	 not stay ! 	 stay spend day Chessington World Adventures - wish not ! Travelodge policy make bed child , 14 hour time get , welcome discovery . exacerbate fact also necessary fetch duvet , sheet , towel pillow reception carry back 7th floor , , 2 child tow . if stay , not eat ! table cafe not sticky bar look window large circular table 6 . table appear problem varnish leave unappealle sit , let alone eat . could go , guess get picture ! 
 Jul 26 2009 	 Travelodge expert 	 well say , 's Travelodge ... know be get , 's old style hotel purpose build , 's much quieter alot other . parking bad , park free along street 6 pm . 's & amp ; , subway , superfish , good indian restaurant near ( not go Spice House ! ! ! ) . 
 Jun 7 2009 	 Shabby 	 stay book two night visit Chessington World Adventure . arrival staff seem helpful knowledgeable foyer clean tidy little shabby . give room number scrawl scrap paper went room key would not open door . go back reception staff say try wrong door - bad handwriting ! ! ! room ( get ) shabby clean & quot ; stains & quot ; wall . window look like never clean cloud dust sofa dreadful . half toilet roll bathroom . travel cot request room another trip reception need . hot day room absolutley stiflng . go reception request fan tell give . couple hour try get child sleep husband go reception demand sort fan - different member staff say could gladly take fan £ 10 security deposit .. bar cafe tired look none clean eat elsewhere . cancel second night went premier inn instead . appreciate budget hotel chain , stay far , far well travelodge - disappointment round . 
 Apr 17 2009 	 helpful Reception - 5 minute railway link London 	 Family accomodation want , budget , find ideal place , £ 19 night perfect . tolworth railway station roundabout , 5 minute walk hotel train run every 30 minute Waterloo location get 4/5 we . around Tolworth many varied place eat , takeaway restaurant certainly recommend chinese high street . room would expect , basic clean room quiet good night sleep all . value certainly 5/5 beat £ 19 family room London , next railway station link City centre . Breakfast Travelodge well though , three cafe high street much well varied menu . in summary though- highly recommend . 
 Apr 6 2009 	 Perfect Location 	 stay Tolworth Travelodge one night , Saturday 4th April 2009 . manage get room sale pay £ 19 large family room . find easy enough park ground floor check get £ 5 overnight parking voucher . we move car 2nd level ( roof ) Travelodge designate space clearly mark plentiful . also door car park hotel lift right get floor . we key card we . upon check , hear guy behind desk tell another customer cover reception ' normally work . write room number room card holder – 619 minute later change 1 0 making room 609.well , go room 609 find key work . think make mistake go room 619 find key fact work - people room ! ! ! ! apologise beat hasty retreat ! embarrassing ! ! go back reception ( 6 floor lift ) ask guy room actually suppose . change we 619 609 ' bother change card key . maybe check try 619 try logical avoid 6 floor trip downstairs . oh well . when finally get room , find clean , large , bright well prepare . dead - lock door though , case guy downstairs make mistake , ha ! stay many travelodge know basic great value money . even , one small towel two people little naff , especially book family room . guess ? another trip six floor get additional towel . first time ever wish phone travelodge could call ! ! ' compromise make room cost £ 19.after shower , notice awful smell bathroom . get bad keep door shut tight hold breath go . finally , think put plug sink bath hour later smell go assume drain ? ? smell seriously disgusting drain may present one room . having say , hotel great . location ( us ) spot . plus point go lift , go front turn leave , walk car park make another left find & amp ; shop huge food section , cash point boot next door . road Subway , Dominoes . road right petrol garage . we go Hever Castle Saturday take hour get hotel . get morning , take we 15 minute along a3 get Hampton Court Palace . ' also well place Chessington World Adventures . so apart guy reception , stinky bathroom kid run corridor 10.30pm scream bang door wake we 4 time – great . next time , bring towel earplug fine ! ' also worth mention although ' go , restaurant 2nd floor evening meal breakfast £ 7.50 . 
 Nov 20 2008 	 terrible 	 ' stay many occasion work . yes ' travel lodge get pay ... still ! must stay 30 + time still yet find room work .... tv broken shower ' work , light ' work etc etc . you frequently get woken delivery lorry 6 am morning keep awake night kid scooter . short would avoid unless option ( like ) . 
 Jul 23 2008 	 Value . 	 stay whilst take family Chessington world adventure . great value family hotel , get pay ask ? 
