pleasantly 	 stay attend ATP Tennis Finals O2 Arena . book hotel economy practical reason near dig leave o2 late night . after book ...... turn Trip Advisor ( ! ! ! way suppose work ... read review book ! ! ) half review hate place half satisifie .We pleasantly suprise , expect bad hotel well locate safe , front staff polite helpfull . room basic definately clean ... especially bathroom . will use . 
 Nov 22 2009 	 Excellent location buffet friendly helful staff 	 go £ 19 offer travelodge short walk dockland railway .Staff friendly helpful . room brilliant daughter smell bit stale restaurant excellent drink bar first night wonderful breakfast morning , que get not effect quality cleaness . would definitly go back . 
 Nov 12 2009 	 not bother ! 	 book 2 night company work . choice thought would okay . arrive . receptionist rude unhelpful , hotel dirty smelly . need total refurbishment . silly thing like tv remote annoying . bathroom grubby shower curtain disgusting . breakfast farce - awful laugh . hand cold plate enter restaurant plate sawdust sausage , cold scrambe ( think ) egg goodness else suppose . bread toast still packet put toaster three time get light toasting ! generally awful definitely stay . 
 Oct 29 2009 	 get pay London bargain . 	 would not recommend hotel holidaymaker , be short trip need visit O2 Excel centre , be perfect . buy breakfast online discount get part deal room 's bargain . would pay breakfast reception . facility make coffee room , not taste bad . pick breakfast snack near DLR service station 5 minute walk away . if buy breakfast , be actually worth money friend / partner like cook English breakfast . eat croissant muffin , nice choice , trick get breakfast go relatively late morning , around 9:30 ( breakfast run 11 ! ) way miss morning rush tube , anyway . there not really anywhere eat around hotel - London , could get tube eat brilliant restaurant ; go Bento Cafe Camden . the room basic fabric sofa wear . limescale toilet bowl , difficult get rid London Thames Valley Water hard . otherwise , room , towel linen clean . room also quite big budget european city hotel . plumb shower strength well home . the staff quite friendly , though get funny look leave room fancy dress . bar open late reasonably price London standard . selection drink not brilliant , ' ve see bad . annoyingly , band play O2 , play music band bar day . Green Day playing stay , not want hear Green Day long time . I someone go London 3 4 time year tight budget . stay Association Youth Hostels cut cost . although hostel value money , place . book early enough advance , hotel cost slightly hostel get room bathroom , instead share 5 stranger . might need YHA card ! 
 Oct 19 2009 	 awful mean good ! 	 stay 2 night close o2 . basic norm travelodge find sheet clean properly carpet can not hoover broken finger nail floor . parking pay per day reception . staff ok . bar serve drink till late vend machine snack . reception busy take get check even though 10 pm . 
 Oct 11 2009 	 pleasant surprise 	 apprehensive reading review , pleasant surprise . room adequately clean , shower hot powerful enough bed comfortable could do more / big pillow . convenient DLR . breakfast busy still organise compare hotel stay . also evening meal delicious reasonably price . would highly recommend affordable hotel visit London . 
 Sep 21 2009 	 HIDEOUS - would stay ! ! ! 	 absolutely idea positive review come , must massive variance room quality ! ! ! ! stay room 28 , ground floor .. walk reception usual basic nature travelodge evident friendly reception staff .... walk room , corridor extremely old dirty looking , one point could smell urine start experience ... walk room carpet old worn , stain wall look though someone either throw food something .... extremely grubby usual clean basic room ( stay lot travelodge hotel ) ... bathroom horrify , look like public toilet shower - bath manky old stained shower curtain ... absolutely vile ! bar / cafe look like service station actually food cheap cheerful lose ... would recommend hotel Holiday Inn Express - Limehouse another budget alternative .... 
 Sep 14 2009 	 Pleasant Surprise 	 place come criticism reviewer slightly apprehensive staying , pleasantly surprised . yes , be basic comfortable place stay London , would sell internal organ two order able afford accomodation . 's Travelodge : expect basic . long 's comfortable , clean staff helpful - criterion fulfil - can not go wrong . it be easy find dlr station ( East India ) . cross footbridge signpost town hall 's behind big office block . 's 2 - 3 minute walk . side station , supermarket 's open til 10 pm ( 8 pm Sundays ) pick basic provision . 's six stop DLR get central London O2 Arena across river , find number restaurant entertainment venue . convenient ! hotel perfectly adequate restaurant not want travel eat . , be basic , reasonably price . the criticism make concern toilets hotel 's restaurant . Gent 's toilet particularly unpleasant state - obviously , can not comment Ladie 's loos - could really put food ! otherwise , enjoy stay will definitely stay future . 
 Sep 10 2009 	 quiet comfortable 	 two minute walk East India DLR station 's perfect short break London . food restaurant / cafe average 's handy arrive late not want travel far meal , place eat immediate area . O2 great place go something eat want avoid busy city centre , plenty choice Thai , italian , chinese , Pizza etc , be japanese sushi bar opening soon . room spacious comfortable lobby vend machine snack drink ' ve forget get something shop , also two computer terminal need check anything online . be outside seat area smoker shelter rain weather turn . staff pleasant , friendly willing help query . ' m plan next trip London first place will check availability . 
 Sep 6 2009 	 pretty Damn Good 	 check fast , clean room ( Beds , Bathroom Furniture ) . location ok , shut window can not hear noice . staff good , food excellent ( Cheap & amp ; cheerfull ! ! ! ! ! ! ) . round good experience . overall complaint . peace . 
 Sep 3 2009 	 Passable 	 come 4 day trip Docklands Travelodge . hotel base really nice Industrial Estate , drive need let , parker car park try stay right hand side vandalism cause car leave hand side ( past bar ) . reception try sell breakfast £ 7.50 per head , do not bother walk hotel bear right , take right first park bench right hand side ( 5 min walk ) find italian restraunt ( average £ 5 meal ) , newsagent ( great cheap drink ( open till 6 pm ) good sandwich shop / cafe ( open 3 pm ) -it past newsagent superb Bacon sandwich £ 2.50 full english £ 4 . also store alcohol DLR bridge side well price open least 10pm . the Hotel basic , typical Travelodge fair could TLC , room ( stay upper floor ) adequate size , bed clean , seat bloody awful uncomfortable bathroom mildew grot around toilet curtain , acceptable . one major issue find staff nearly impossible get replacement loo roll , end give buy pack store , another thing never understand always get 3 pillow , credit reception get another ask ( although first offer dirty ) say do basic acceptable hotel want base , do not expect frill extra , ok 2 - 3 day long push unless tight budget . transport link reasonably good Canary Wharf 10 min away DLR central London 20 - 25 away . would say eat bring something back bar reheat stuff worth elevated price anything close bar DLR Canary Wharf ( Heron quay excellent shopping centre house Nando 's , Tiffinbites , Burgers great Wagamama ( eat 3 time : ) ) 
 Aug 25 2009 	 Good London sightseeing 	 well , be Travelodge know get - hot water , decent bed , adequate room , tv etc , fault value get room one offer . stay always difference location , room thing find one : bar / cafe attach look somewhere buy sandwich pint milk may caught short middle office block couple shop close office hour not open weekend . visit London , eat return . room noisy back front Travelodge buildng work go front various fan / air conditioning type noise office block . closing window help make room hot . internet access buy £ 1 20 min - ok check online info travel next daythere often coach party stay - book breakfast , ask coach party always seem early need eat time cause large queue seat cafeparke £ 5 per day resident ( cheap rate ) - check , want park car cost £ 22 4 hour extra . cheap car park E14 4AE ( West India Quay station ) £ 1 per hour - move car final day travel DLR usualStaff Travelodge - find coffee & amp ; tea replenish go ask extra ( reception desk behind man ask toilet paper perhaps economy drive ? ) . would also recommend staff , interest professionalism , try argue loudly reception area earshot guest dissatisfaction various shift pattern , holiday time , wage rise turn feel member staff get preferential treatment . Save manager . all , would say good place base city break sightseeing trip - easy get underground station DLR link reasonable rate . 
 Aug 12 2009 	 stay child 	 two child age 3 6 , family room book . on arrival Sunday 9th Aug 2009 tell everything make ready . family room allocate we face main A12 , incredibly busy , noisy main road keep child awake night . room could changed ' make ' receptionist excuse . excuse make like ! twaddle - pull make two single bed . walk back reception get correct number towel put two four we . after night little sleep come battle plate . massive queue get dining area , hotel enough glass , plate , cup cutlery keep wait outside . guest go kitchen washing crockery themselves . on second day wait long give go elsewhere food . the hotel joke - avoid like plague want sleep breakfast wake - funnily enough two thing pay ! ! ! ! ! ! ! ! ! ! 
