RUDE 	 hotel rude person customer service base job ever misfortune encounter . lie , accuse lie , obnoxious completely incapable work hotel reception . people skill quite clearly ability deal genuine complaint . brief time hotel hoverheard 4 seperate people make complaint facility . we book 3 double room family break , travel seperately other party arrive partner book . arrive tell ' receptionist ' double room leave would tripple , say come 12 pm follwe day could change room double , reluctantly accept , make way tripple room . room would expect travelodge ( see photo ) . bathroom dirty dirty towel remove , hole bathroom door , grout around bath sink grubby , dry rot skirt disgusting brown build something unidentified around join toilet tile , soap , plastic disposable cup clearly use guest we ( toothpaste stain etc ) dress table / desk chair , look like brown liquid stain wall top bottom ( god know happen room ? ! ? ! ) look like either vomit hot chocolate stain side tv unit finaly mould around window . disgusting . avoid cost . photo post reviewer REPRESENTATIVE ROOMS HOTEL . FLOORS RENOVATED ROOMS.As suggest night go reception ask room change , receptionsist ( different one ) say fine tell we pack bag preparation move . tell come back afternoon double room would ready . return original rude receptionist back duty- cut long story short - double room available , deny person speak morning even exist , counter say woman not work ! ! ! ! deny tell we check could swap room , basically accuse lie making . hotel overbooke option stay room find another hotel . appear ok hotel give someone else double room book pay arrival refise point blank give we double room someone else yet book even although mean splitting party 6 . end two we move another hotel . arrange we pick taxi move another travelodge . turn taxi unmarked driver drop we 10mins away travelodge . idea go hail black cab take we . get second hotel record we move ! wait hour deputy manager able give we room . sort mess . fussy , expect room standard pay , pay £ 59 per night ( room ) , cheap London standard . expect palace expect get double room , get clean room staff treat bit respect dignity pay customer . 
 Nov 23 2009 	 good choice tight budget 	 staying hotel cheap allow eat breakfast without use money outside , definite plus want minimize spending . breakfast consist typical english food like baked bean , scramble egg , sausage , bacon , etc . room adequately spacious contain wardrobe , desk + chair , large mirror television ; towel provide bathroom change daily / every 2 day depend personal choice . complaint window ( slide upwards open ) keep slide close due gravity . end slot bottle underneath keep fresh air circulating - otherwise , stay hotel good , mention close proximity King 's Cross St Pancras Station ! 
 Nov 19 2009 	 2 night without sleep 	 single bed place wide 2 1/2 foot , mattress make , feel like , 3 blanket layer top . staff pathetic , do not clue anything . noise outside traffic unbearable . charge £ 1.00 20 minute internet . Rip . bathroom build Hobbits , come think , bloody bed . avoid . avoid . avoid . avoid . avoid . avoid . 
 Nov 17 2009 	 Fine we 	 stay Royal Scot 13 - 15 November think ok . pay £ 100 2 night accommodation return train Aberdeen expect anything spectacular . hotel 5 minute walk king cross station / tube ideal . room rather small ok 2 night stay busy day hotel . could give towel take cart morning . hotel internet access printer ' m afraid . do not eat restaurant want try restaurant city seem good choice ( whether nice another question ) . do not worry cold room , window do not open cosy ! ! ! would go back cheapness . 
 Nov 12 2009 	 bad expect clean warm . 	 stay hotel visit city two night ( ( 9th-11th November 2009 ) . pretty concerned report read hotel would travel alone . be not plan spend much time hotel think would give go . give room 4 actually disabled room ground floor . situate right behind lift overlook main road . surprisingly noise lift road , idiot shout lift wake several occasion ( 4 am one delightful wake call ) . room little grubby part could update bad travelodge city hotel stay . one point mention find room incrediably hot heating gauge room complicated work . Towels linen clean complaint staff , although direct polite helpful whenever encounter . location hotel also good , around 5 minute walk king cross station . area immediately around hotel may cause concern ` interest ` shop , take away , cafe , etc around . friend live area whilst Uni assure area safe enough London 's standard . , think hotel previously recieve bad feedback may completely warrente . would happy enough stay . like other say , get pay . 
 Nov 10 2009 	 basic clean 	 last minute decision book 2 night stay Travelodge Kings Cross .. prefer one 's nearer train station full settle one locate slightly street . 's budget hotel , nothing much expect . not particularly like lift , be small old ! room fine , clean , tea / coffee tea amentie , towel soap . one thing impressed 2nd day back afternoon , room clean make . not really expect budget lodge . take good 10 - 15mins walk train station will not advise traveler take train plan go till late night walk back hotel . take cab : ) great night town , much safe especially girl 's quite quiet area walk back train station . view room pathetic , see back building rubbish pile high . really noisy due work going wake we 7 - 8am . although would say 're budget want decent place sleep take shower , . frill , good enough since will time anyway . staff not friendly though , rarely see smile , be robotic . complain , huge compliment hotel either . 
 Nov 2 2009 	 cheap cheerful 	 boyfriend stay hotel 30th october-1st November expect something really terrible , review paint place dump . pleasantly surprised ; room clean bed really comfy . also tv music channel could put tune whilst get ready . good part close tube , hotel 10min away king cross station . the room air con heater , never cold hot . bathroom basic- least clean , 's main thing ! shower nice hot , must admit ABSOLUTELY FREEZING Saturday morning ( get early guest use hot water ! ) come blue fingernail cold ! Least wake though ! ( mainly ) peaceful night sleep , hear lot police siren fire engine siren night , expect city big busy London . traffic noise either , surprisingly road outside hotel relatively quiet . the shower room next we make awful noise whilst , sound like die dog- wake early morning people next door shower . view not scenic either , look onto yard full overflowing bins- not really matter ' ve come London go sight - see ! staff helpful enough , lot not speak English well . the criticism hotel pay £ 10 get room 2 oclock arrive Friday ( tell room would ready ) . think disgraceful , room ready use pay extra ? ! ? pay £ 102 return train ticket 2 night stay hotel , absolutely worth . hotel ( experience ) , basic , clean , secure warm- need be use room sleep shower . definately go back ! 
 Oct 19 2009 	 bad axpecte 	 stay hotel 15/10 - 18/10 2009 . reception ok . room large , clean , bathroom OK . Streetnoise loud , must expect big city . noise guest . bad place stay - breakfast mess . time guest stand long queue enter restaurant . another queue coffee , toast , juice . bit patience could get something eat . don´t want spend much time money hotel , place ok . 
 Oct 17 2009 	 basic clean 	 Stayed Travel Lodge Royal Scots 9th October 2 night husband , brother sister - in - law .... hotel well look Hotel look rather dingy .. bit grubby lobby well light . check quick direct room go lift ( stair ) 2 lift ( 3rd one order ) need date room 2nd floor get lift follow direction end describe basement .... however even though street level noise . bedroom small , bed bed spotless bathroom need date even bit grout tile would made difference whole bad place stay , would stay ..... 3 * describe value o.k ... easy get tube taxi 's cheap travel , tube west end would cost 4 we £ 16 cost we £ 8 taxi .... 
 Oct 16 2009 	 Basic OK 	 stye one night friend arrive King 's Cross station . close station , easy enough get tube town , room ok basic clean . not breakfast - highly recommend Guzel cafe Gray'ss Inn Road towards King 's Cross station though . 
 Oct 15 2009 	 ok Budget Hotel - Forget Breakfast ! 	 book hotel via Asda Travel web site cheap Travelodge 's site & amp ; include ' full english Breakfast ' Travelodge charge £ 7.50 extra . hotel reception area hostel feel hotel . good 10 minute walk King Cross Tube & amp ; surround area rather run . public area well worn & amp ; quite scruffy . fill doom & amp ; convinced have make mistake pleasantly surprised room . clean , comfortable & amp ; well present . everything work ( tv , Kettle etc ... ) . bathroom clean & amp ; good shower & amp ; plenty towel provide . double bed comfortable , linen clean & amp ; extra pillow available . pleased - £ 57.50 ( via Asda Travel ) include ' full english Breakfast ' . really let place however breakfast . coffee self serve machine . buffet style breakfast egg sausage leave & amp ; platter bacon could describe congeal mass grey fatty meat - wonder remain untouched ! real shame Travelodge let way - lick paint & amp ; tidy public area & amp ; call ' full ' breakfast sort & amp ; would great hotel . nice look italian restaurant close well Mekong Chinese take away dinner box £ 4 great solo traveler ... 
 Oct 13 2009 	 bad hotel ever- avoid cost 	 hotel basic extreme ( primitive actually ) , room grubby , breakfast room first floor see believe - total shamble . night stay hotel run spanish student run slam door till 5 am . value wink sleep , favour stay somewhere else . total disgrace . 
 Oct 10 2009 	 revolting 	 Title say , stay ! dirty , smelly staff could not care less . 
 oct 9 2009 	 will not back - poor hotel ! 	 go group friend , share room husband . room clean , bathroom dirty clean , give dirty bath towel cover blood - yeuck ! ! ! ! bedroom window open , fresh air room smelly , also mattresse bed bad I ve ever sleep . breakfast £ 7.50 cold buffett style stuff that s sit agaes . toilets reception also horrific cover sh ! . good thing hotel location , i d rather pay clean hotel . 
 Oct 8 2009 	 good enough . 	 London class Norway . together 28 people . location hotel suit we well , consider always go somewhere . king cross/ St. Pancras near also convenient come Eurostar Paris . hotel also close small supermarket pub . near king cross able find Starbucks kfc.the staff hotel bit mixed . receptionist want help , not know much , would end finding . breakfast lady bit & quot ; sharp edge . & quot ; not want make angry , would breakfast . order continental breakfast . expect much . bread toaster , jam , coffee , tea . cereal remember correctly . the room ok . could find two negative thing . friend room window open come , able move one millimeter . stick , room pretty cold . second thing could hear scream noise every time open water tap . bit annoying , make we quick shower , maybe trick hotel side : ) could hear go outside room , hallway . guess not say much , consider classmate mostly make noise . could always ask quiet room , sure receptionist put room far away big group . all happy hotel . use card key get elevator , lead room , make feel bit safe . would mind stay go London later occasion . 
 Oct 8 2009 	 comfortable clean one night stay 	 stay Royal Scot one night go holiday . five minute walk king Cross , room clean warm could not fault one night stay . certainly appeal one two star option seem available area . the side incredibly expensive ( everywhere area ) bit noise people 's door bang shut . 
 Oct 6 2009 	 good 	 consider good price , think hotel good . room totally fine . clean simple . location far away king Cross , ' pretty easy get wherever want . hotel offer internet 20 minute one pound . guest could stay restaurant , even without buy anything . service good , pleasant staff . therefore would like recommend hotel ' need luxury hotel , nice hotel decent price . 
 Oct 6 2009 	 great budget hotel 	 classmate Norway spend three night Travelodge king cross Royal Scot London . turn hotel much well first thought . accesible , minute walk near metro station . price hotel affordable , pay much three night . staff kind helpful . even tough room small , think cosy .I get good impression hotel . also , could use restaurant hotel like , without buy food . sit play card talk several hour . think Travelodge king cross Royal Scot really great budget hotel ! 
 Oct 6 2009 	 good choice travel budget 	 stay three night , ' disappoint choice hotel . arrive Eurostar Paris , could easily walk station hotel ( take probably around 10 minute suitcase ) . staff friendly helpful , room nice clean . bed comfy , bathroom good . large amount space , get pay . day evening , usually go , ' say anything particular hotel daytime . eat dinner restaurant one night , food affordable taste quite good . breakfast , breakfast ' experience London , poor . recommend pay full breakfast , continental breakfast consist toast jam . 
 Oct 6 2009 	 three night London 	 big hotel lot space . help full staff nice restaurant / bar . clean room . breakfast simple , toast strawberry . get pay . location close city London , metro , bus taxi get want time ! want stay fine hotel , one alternative . 
 Sep 29 2009 	 Great Hotel 	 stay hotel 26th-29th September 09 ' sleep soundly ( alcohol ) experience ' noise ' previous reviewer mention . look Tripadvisor leave home bit anxious reading negative review , however , report good thing hotel - check - in excellent , staff friendly , room ( although decor bit poor ) clean comfortable . would book hotel recommend other . 
 Sep 28 2009 	 drink heavily ensure abilityto sleep 	 pay £ 50 friday night . location brilliant St. Pancreas . pretty standard Hotel room middle range Travelodge . sadly get absolutely sleep due street noise ( inner window little nothing quieten noise ) bang door , surround room akin gunshot go . ' m someone complain noise London Friday night people always go noisy hotel least relaxing night ' ve ina long time . get sleep Eurostar next day . I recommend one people late need flat pace pass . danger sober please avoid hotel 
