CLEAN 	 stay London travelodge , never South Bank . excellently locate hotel , 100 yard tube station Southwark 5 minute walk Thames . great base want bed night clsoe amenitie London town . reception staff helpful . 
 Nov 26 2009 		 stay one night late November pre - booked rate £ 81 inclusive ( ~ $ 135 ) . select hotel close meeting location . well - basic room , comfortable bed , work shower / toilet , clean . location good , parking ( expensive - London ) around corner , convenience store next door two pub across road . small flat screen tv desk area convenient power socket . coffee small kettle room . point note provide shampoo 's expensive convenience store next door ! not use hotel facility - restaurant bar area provide breakfast . somewhere sleep night work well . think , London , good value have problem stay . 
 Nov 23 2009 	 bad timing = poor value money 	 timing poor come transatlantic cruise want visit UK . good location could find 85GBP per night not worth . exchange talk $ 150 per night . everything London expensive hotel bargain . say , location excellent walk Tower Bridge west bridge . typical Travelodge entrance start elavator up - to - second floor lobby . breakfast mediocre expensive get . still great England visit value - for - money vacation . many book early pay 29GBP steal pay 85GBP leave . would happy 30 - 60gbp well timing . cleanliness , 4 
 Nov 20 2009 	 Excellent Value money . 	 stay long weekend ( thur - mon ) & amp ; complaint whatsoever , get double room bargain price £ 33 per night ( breakfast include ) . room clean & amp ; clean daily , bathroom immaculate , tea & amp ; coffee make facility & amp ; flat screen tv freeview . staff helpful & amp ; polite & amp ; great stay . couple evening meal nice & amp ; good value money . side check facility store luggage clearly state website , also view railway track not bother we & amp ; not hear much noise night good double glazing , excellent stay . 
 Oct 29 2009 	 definitely would stay 	 wife stay 6 night period 2 week March 09 . get great deal 19 pound per night , end pay less 120 6 night . try beat anywhere . first 3 night room high overlook railway line rear building . read reviews hotel people make like train would keep awake . , could hardly hear , light sleeper . scale 1 10 , 1 annoyance scale . the room expect Travelodge , especially new one like : basic clean . huge , plenty room 2 people 2 big suitcase , consider spend time , really matter . small tv wall , kettle make tea coffee , shower good , plenty hot water . location hotel might seem far centre London , get Jubilee Line , be less 10 minute away . could leave hotel city centre 15 min later . Waterloo station 10 minute walk away , useful , one weekend stay , Jubilee Line close section line engineering work , use Waterloo instead , big deal . there also bus stop close Blackfriars Road near Southwark station . there handy convenience store right next main entrance . buy sandwich , snack , beer , magazine whole bunch stuff . forgot toothbrush , pick one here . there bar restaurant along Cut hotel Waterloo station , do not go go central London mainly thing . one local restaurant visit couple minute walk hotel , Mar Terra , spanish bar / restaurant . go lunchtime feast tapas , come like stuff whale ( Portions big thought would ) hotel staff friendly enough , even though see reception . one thing dislike though Travelodge 's policy nickel dim charge check early , be obvious already room ready get . people would pay do not want sit around reception 2 hour wait 3 oclock arrive avoid pay , guess that s count . pretty firm rule , unless be quite close check time may let slide reception staff good mood ! overall though would stay , new hotel , pretty quiet , good location good transport link 
 Oct 23 2009 	 adequate place breakfast bad world ! 	 yes , typically Travelodge , clean spartan room air conditioning . internet access good cost £ 10 per day . surround area ok Lord Nelson road recommend . Wine Theatre fine decent wine food strange music . walk either Borough Market South Bank Centre well worth it . do BUY BREAKFAST £ 7.50 disgusting , cardboard sausage , cold bean , egg tomato . clearly pour tin tomato warm tray expect heat small candle flame . find cafe , go Pret 's anything reward well value money . 
 Oct 10 2009 	 not Travelodge get ? 	 perfectly clean functional room . air condition - great summer . bed pillow not comfortable - surely ought thing hotel get right ? 's one thing 's £ 40 night Travelodge , place charge £ 90 night . good value . 
 Oct 5 2009 	 great value location frill break 	 good deal hotel great value . location great literally 2 min Southwark tube bus less 10 Waterloo . the room fine like travelodge basic , clean . it really near train line hear bit ... bit noiser hotel London noise bother we all . service ok .... minor annoying thing , like use iron time , never enough towel pillow 2 people , key card stop work every day validate per day we reason ! however would def stay could get good deal . 
 Sep 30 2009 	 great value clean good staff . location good 	 stop Travelodges London , recommend son stop . easy get Tube close , Tate Modern 5 minute walk next river . excellent service , clean functional room . pay lot bad place . book advance get good deal . pay £ 40 per night room excellent value , breakfast ok , standard feed face buffet . 
 Sep 30 2009 	 Excellent O2 Waterloo 	 spend weekend London Mum go concert O2 . past stay dockland hotel , Travelodge offer £ 19 per night could refuse ? hotel couple minute away Southwark Underground station Jubilee line stop away Waterloo station O2 without hastle change . room spacious , clean , tea coffee facility , flat screen tv importantly quiet - apart people slam door . do not eat , cafe cheap food . definately would stay . 
 Sep 21 2009 	 New Travelodge good location shame breakfast ! 	 stay hotel part hen night group seem popular group would not know little noise . poisitive , hotel really easy find , really close Southwark tube station . seem relatively new hotel room basic clean tidy , communal area . on downside receptionist overly helpful seem little disorganised . far big negative breakfast . one site cafe way small size hotel £ 7.50 would expect choice . small hot plate area keep run hot food , result big wait food . stay would save money get breakfast somewhere else . 
