nice 	 visit hotel 7 night November , pleased service receive relative good price pay stay . hotel relatively central location , minute away tube . room basic whatever necessary make stay good one , clean fresh towel provide daily basis . breakfast good one , fresh fruit really fresh , whilst hotel environment staff extremely helpful . hotel ideal anyone look centrally locate budget hotel london good price , would recommend hotel anyone . 
 Nov 10 2009 	 poor value hygiene easily one bad hotel ever stay 	 firstly , location really Notting Hill . would make somewhat upmarket . lift fifth floor . wall bed bathroom cover mould . noisy throughout night due firedoor corridor slamming paper thin wall . overall dirty grimy linen look unchanged . night even vistor four legged furry kind rummage luggage ... something would expect city hotel . not fool photo website like . oh forget mention staff reasonably consistent abilty give incorrect direction basic landmark . Wifi also relatively expensive compare hotel free wifi standard . location easy walk tube luggage . would recommend stay close paddington come London international destination want avoid cab ride treacherous battle luggage steep escalator stairs characteristic bayswater queensway tube station . 
 Nov 9 2009 	 get tired ; time spend money 	 UMI need urgent renovation ; particularly bathroom consistently disappoint every visit . last time , paint peel side bath lukewarm shower water ; time leak tap shower head drip night waste litre water . nevertheless like stay great location lovely bayswater , 5 min walk bayswater tube station Queensgate Road Restaurants . reception area also nice , staff friendly hour , also nice . breakfast great speedy , restaurant downstairs night dining avoid cost - horrible food , shockingly bad service depress ambience . think anyone eat muzic blaring sport play silent large tv screen beyond we . 
 Nov 6 2009 	 not quite live advertising still good choice 	 stay one night ( plan - not walk ! ) , want somewhere inexpensive , convenient appointment next day , nice area depress , tick box . the decor room little odd , think have take another hotel yet redecorate . do not fit young groovy image , bit tired old - fashioned , though pleasant inoffensive . would guess main new addition would bed ( good , though big americans ) flatscreen digital tv freeview , nice touch . executive room , sure worth , though wa good size maybe standard tiny . bathroom minute - toilet shower - freshly paint . as well reasonable price fairly nice room , good thng great location - lovely quiet square park middle . block away Westbourne Grove , restaurant shop could shake stick . frankly forgive odd loose floorboard beautiful old building - want standardisation , go Holiday Inn ( hotel lift , though ) would not come honeymoon , would happily stay . 
 Nov 5 2009 	 good value tired room 	 hotel recepton friendly helpful reception area smart clean . room small decor room corridor tire really need upgrade first impression enter room disappointing . use , fne clean . locaton pretty handy underground bus West end walk distance Kensington . 
 Oct 11 2009 	 would not recommend friend ok money 	 stay two night begin October boyfriend birthday . choose hotel cheap yet good review 3 * hotel could find . room ok size , ( end day sleep ) sink bedroom , bathroom tiny litrally could not swing cat . bathroom full black mould absolutly stank foust , , clean use shower toilet , not look nice . would read review stay hotel , couple say creeky floorboard .. not stop book . , seriously , talk loud creeky floorboards room keep we 1 am ! room next lifts noisey ! sensitve noise , stay hotel , ask room top floor away lift . the breakfast good . def fill we til lunch . 4 option choose include toast , muffin , cereal , fruit , tea , hot chocolate , orange juice , apple juice etc . nice , need cook full english . it 6 minute walk bayswater station , 12 minute walk Queensway station . near station hotel . could obviously get much close hotel , ok bother walk ..... rain . all , ok Hotel , would not stay recommend friend really . good money tho , piad £ 150 2 night include breakfast , London , not bad . staff could not friendly either . 
 Sep 25 2009 	 disappointing room good location 	 upgrade stay Grove Room night disappoint . towel stain bathroom small , ' quality ' coffee tea basic . bathrobe not match overall room quite shabby need work . bedhead attach wall two short screw not hold lean watch tv . location good - walk distance Metro station , restaurant , pub essential like pharmacy grocery ( be fridge room not buy anything need refridgerate ! ) . hotel cafe restaurant choose eat lot great option like Thai indian fast food option be something quick . 
 Sep 24 2009 	 Disappointing 	 stay Uni 3 night way Europe read review Trip Advisor . staff reception pleasant , however quite disappointed hotel overall . arrive 8 am morning , store bag checkin time 2 pm - luggage room access anyone ask key & amp ; open theft anyone goes - stress anything take opportunity certainly - luggage security definitely need look at . for 2 3 night hot water - reason give old building pump trouble lift water 3rd & amp ; 4th floor . management problem attend quite quickly & amp ; apologetic shower cold water 's fun . also venture & quot ; restaurant & quot ; one night dinner menu limited & amp ; not open prepare anything not menu ( even something simple toast cheese & amp ; tomato sandwich ) . table basic & amp ; absolutely charm surrounding end go elsewhere eat . hand , breakfast room pleasant & amp ; choice cereal etc continental - style breakfast include room - rate . the hotel 10 minute walk Bayswater & amp ; Queensway tube station easy get around London . also excellent chinese restaurant near tube Bayswater well plethora eat establishment & amp ; pub area . 
 Sep 17 2009 	 Excellent experience - well expect ! 	 UMI Hotel Bayswater great . experience European three star hotel , know exactly get UMI - except bit well . clean , extremely close 3 underground stop several major bus line ( explain reviewer would complain - ) , service friendly , breakfast fine , television room wonderful , bayswater part town within walk distance Notting Hill Kensington Park . around front lobby area hotel document history hotel 's space - explain row house convert hotel use live home . mention explain thoughtfulness put aspect hotel . old building - elevator slow ( , hey , one ) carpet wear place - , oh well . not detract value hotel take away vacation London . three pound purchase 1 hour internet card - use send infrequent email check theatre time fine stay . four computer available guest - never problem get . complain noise hotel - explain either . hotel quiet - especially night . sleepy part town - residential mostly full similar style hotel . door room fire door - find frequently throughout London - heavy , slam . , noise bad - especially hotel sleeping . water pressure sink shower awesome - problem water temperature either . day receive fresh towel room clean . television get many , many channel . bed great - clean good enough . room small , will not surprise research first ( like read ! ) . room good enough sleeping , shower , dress , store thing - not spend much time hotel anyway ! August - hot , bad - keep window open time cool air ( , would still say hotel quiet ! ) . morning breakfast good enough - hot drink , pastry , cereal , yogurt . plenty daily newspaper magazine available take . also place store luggage arrive early fly late ( want store something important behind front desk instead municipal storage closet , ask ) . - great place stay . beat price - , important mention , even though budget hotel , treat like budget traveler - feel like one stay . staff helpful , hotel full happy traveler world - family , college student , old people , married couple - quite surprised guess expect traveler like ( young ) . think diversity guest speak comfort hotel - not hotel backpacker study - abroad Americans ( though sure type would enjoy stay UMI ! ) . 
 Aug 15 2009 	 great location nice price 	 stay 4 night fabulous rate find UK tourist website . agree lot other say . room clean ( staff seem hardworke ) lot thing old little run . room small bathroom tiny servicible . notice noice upstairs neighbor , ' ve problem lot hotel extremely difficult fix old building like one probably next impossible . service good like simple breakfast . neighborhood beautiful quiet , couple block away underground , shopping , restaurant , course Hyde Park . three teen like room flat screen . real complaint air conditioning . pretty stuffy night , leave window open time . window open wide fourth floor screen . young child would seriously concern real safety hazard . 
 Jul 31 2009 	 Basic Hotel Great Service Fantastic Location 	 initially choose stay UMI Hotel convenience pickup drop - off point tour group . slightly concerned read mixed review pleasantly surprised . we stay 5th floor room bathroom much large expect . even mini walk - in wardrobe . nice wallpaper , Audrey Hepburn theme seem carry throughout hotel . room bathroom clean although bathroom fixture update . take we get use turn hot water shower . hotel provide kettle , hair dryer flat screen tv cable . iron provide request . would suggest also leave window open be occasionally return room strange smell . not know , put poor ventilation . like walk school demountable not air . also , be elevator 5th floor roof take elevator 4th take stair . service however FANTASTIC ! reception , staff breakfast well cleaner friendly . staff helpful recommend nearby restaurant , route supermarket , cinema site . need print ticket tour book Stonehenge eager willing print we . also , room not fridge , food need store fridge , give name room number will store . another example return 10.30pm want cake hotel cafe close . staff still go way get we . the hotel also offer free service want book tour show . also provide we walk tour route London . breakfast good , buffet - style . every morning choose 4 thing menu serve . plenty newspaper read ! Location PERFECT ! block away Basywater Station little Queensway Station Kensington Gardens . 's 4 supermarket include Tesco Express , & amp ; , Sainsbury chinese supermarket 3 - 5 minute walk away . be also plenty restaurant italian , chinese , japanese , Indian well Whiteleys shopping centre small cinema . really great area , lovely character building , clean also safe . get back 12 am weekday lively buzzing . would probably stay hotel . really love area , although room wss basic , clean need remember be go day anyway really want place sleep . service really high , staff need commend . Recommended be look inexpensive hotel great area lot . 
