basic 	 stay long weekend . find one member staff rude manager uninterested complaint . bar man opinion anti irish .we refuse 10 % discount suppose residents.closed bar early even refuse serve we last night .other staff member offer serve we , group woman weekend away totally ruin .. 
 Nov 19 2009 	 good location reasonable rate 	 hotel 5 night business trip . great location . single room first night ( Room 305 ) faulty hot water mixer shower . make complaint front desk manager promptly arrange change well quieter room high floor away street view . room rather spartan clean . toilet bath new bathroom brightly light clean . 
 Nov 19 2009 	 horrible 	 Disgusting room , filthy corridor stain carpet & amp ; even lift dirty 
 Nov 13 2009 	 Location Location Location 	 stay Waverley House 10/28/2009 11/1/2009 . twin room friend.in back view street noinse construction could hear windo closed bed comfortable , although pillow hard ; bathroom clean ; air conditioner work well unusally warm , Mid 60 's fall weekend . there two tube station within 5 10 minute walk hotel 20 25 minute slow walk Covent Garden . first trip [ London great location . desk staff helpful keep luggage unitl 2:30 although check 10 . breakfast quite good take advantage fresh fry poach egg fresh toast . scramble eggs cold toast buffet disgustingthe room small two twin bed plenty room store luggage way . big problem tv stand large could easily walk arond end bed get door . change one piece furniture would make two bed room much manageable . .The safe locate close floor closet find unusable , small print hard read carpet wear near bathroom invest new toilet seat new tile bahtroom floor wall comfy full size soak tub . 
 Nov 10 2009 	 pretty horrendous 	 hotel pretty poor . 's dank , dingy , dirty , noisy light room not work . breakfast surprisingly good , staff friendly , interior room , elevator corridor embarrase . 
 Oct 19 2009 	 wee Gem 	 stay anniversary . want close Covent Garden . hotel close tube station , Piccidilly Line , hotel hold characteristic make homely . check quick smooth . room adequate bathroom need lick pain new toilet seat . breakfast hot buffet continental choice well cereal etc . complaint maid service come 3 pm service room want rest evening show . guest could quite noisy return night ( 3 am ) . otherwise wee hotel gem find feel quite safe area . plenty place eat tesco metro opposite Tube Station Krispy Kreme donut . 
 Oct 3 2009 	 Great Hotel - Good Location Near Tube 	 hi , back London . Stayed waverly house hotel . stay location perfect sandwich Russell Square Hoburn Tube stop . one stop convent garden . ye , hotel look little rundown staff nice , breakfast wonderful location excellent . step outside door hotel lane nice restaurant pub . room fine air condition . 
 Sep 14 2009 	 Value money great location 	 impressed hotel price pay good value money . location great , ten fifteen minute walk Oxford Street Covent Garden . staff helpful friendly , esp concierge , breakfast good , available 11 am , nice touch leisure traveller , restaurant light airy . hotel clean , well light , smell nice ! ! . bed comfy noise level outside acceptable room ( 5th Floor ) .i gripe , air con pack room , could happen hotel , bathroom ridiculously hot ( even b4 air con packed ) , although clean towel fresh . I would def stay would recommend due location value money . 
 Sep 2 2009 	 daughter love ! picky . 	 wonderful surprise hotel ! yes , small , like little jewel box . fresh flower lobby gleam brass glass elevator , small cozy , flower - and - stripe - wallpaper bedroom gleam bath wonderful shower , plentiful wide - range offering comfortable attractive breakfast room , quite satisfied . ' ve stay them , numerous country . ' ve search internet another stay London . also like Old Amalfi restaurant across street . staff nice helpful , well . 
 Aug 15 2009 	 clean comfortable room could bit makeover ! 	 return stay Waverley House Hotel . hotel situate close 2 tube station ( 5 minute walk ) bus stop outside . staff hotel polite welcoming . room clean , although little date . kettle tea , coffee hot chocolate , biscuit bottled water . en - suite , although clean , desperate need renovation . toilet difficult flush need replace along shower . room fit remote control air conditioning unit wonderful ! breakfast definate highlight stay . bacon delicious , well hot buffet , freshly cook poach fry egg available upon request . staff breakfast room friendly helpful . 
 Aug 2 2009 	 Pleased 	 Capital city centre hotel poor , dirty expensive . hotel adequate stay day . the breakfast excellent - help - yourself wide choice restiction quantity . use back bacon jam marmalade Tiptree , none cheap . my room sixth floor clean quite spacious . although one single bed , would easily take double even two single . rear premise quiet , although room front Southampton Row could noisy think owe traffic . kettle room plus selection tea , coffee hot chocolate sachet , plus pack two biscuit bottle water . tv 19 inch one . the ensuite bathroom , little cramp , modern spotlessly clean , Shampoo , shower gel , soap , shower cap shoe polish kit provide . hair dryer dress table drawer . the hotel non - smoking detector room . notice warn anyone smoke charge deep clean room would hefty sum . staff firendly helpful . leave case 4 pm reception day check problem . I would happly stay again . a word warn book online : price hotel vary superior room . shop around also check cancellation term . site alloe free cancellation within two three day stay begin , other levy charge . 
 Jul 21 2009 	 nice hotel friendly staff 	 ideal location near underground tube station 5 minute walk , friendly & amp ; helpful staff , make feel welcome , good heating winter , nearby restaurent expensive , nearby super store 24 hour shopping , breakfast really nice , like place 
 Jun 20 2009 	 good ... 	 stay one night organize trip girlfriend London . unfortunately bit disaster , room clean electricity 7 pm water morning , plate breakfast ! great location do not pay alot .... thank god ! ! ! 
 May 16 2009 	 Great Location 	 comfortable stay , bedroom huge adequate . evening meal breakfast nice . staff helpful courteous 
 May 12 2009 	 IMPRESSED ! ! ! ! ! ! ! 	 stay hotel past weekend 2 friend . advance telephone many hotel request room 3 single bed 2 companion share , choose waverly tell would provide . arrival however discover hotel 3 bed room ! ! ! name person speak want know unhelpful . stay 1st night move next morning . room double single bed quite ok , comfy spacious though bathroom antiquate . 7.30 , 8.30 10.15 next morning awoken housekeeping knock loudly every door corridor shouting & quot ; checking & quot ; , ask couple resident 8.30 checking walk , ask 10.15 say want know time check . breakfast fine staff rude come across many many year travel . obviously hate job want , get feel managment quite alot work regard working relation staff . glad move practically next door hotel round much great experience . definately return waverly . 
 Mar 12 2009 	 London Sightseeing 	 stay wh 26 day September 2007 . room , # 206 , corner one door onto tiny balcony overlook Southampton Row . newly instal air - conditioning double - glaze window able control temperature noise thoroughfare . room decor bit date everything nice clean . bed furniture comfortable enjoy near month - long stay live wh . meal - wise , mostly breakfast hotel , recommend lamb shank Sunday night though ! , dining room staff exceptionally friendly helpful . great wee hotel base whilst & quot ; & quot ; London thorougly . we return . Tip , not eat Cagneys ! ( round corner ) 
 Feb 3 2009 	 location room staff quite perfect . 	 tiny room might expect London , really clean truly genuine british style . bed comfortable many 3 star hotel . bathroom perfectly clean well equip ( large bath ) . follow previous review comment , startle see air conditioner room remote control . book double room girlfriend last weekend January useless time summer , would useful indeed . breakfast large english buffet bacon , scramble egg , sausage , croissant various good thing eat . ice cake helpful staff , prone anticipate every wish . seek cosy atmosphere well locate hotel , one . 
 Jan 30 2009 	 disappoint 	 check tell would hot water 8.30 follow morning . none try 07.45 . room , 315 badly arrange , coul not get case together without pass . mattress lumpy spring . breakfast fine , staff conspicuous absence . ' ve write complain week response . 
