nice 	 Windermere Hotel great location . conveniently locate near Victoria Station , within walk distance major site ( Buckingham Palace , Westminster Abbey , Parliament , etc ) , grocery store coffee shop . complimentary breakfast good service overall wonderful . room clean meet need . would definitely stay hotel . 
 Nov 21 2009 	 would happily recommend hotel 	 spend two night hotel trip London . complaint would recommend anyone . helpful staff , nice breakfast , good location good sized , clean room . 
 Nov 18 2009 	 Hidden Gem Near Victoria Station 	 husband travel Europe first time year anniversary . stay adorable gem hotel London . room small , sweet . nicely decorate clean . also nicely size bathroom shower . tiny bathroom expect . complaint extra blanket end bed clean . complain front desk quickly remove , replace another one . rainy cold London could use new one . another perk cute restaurant within hotel . breakfast complimentary really nice . morning continental breakfast spread also give option hot breakfast item make order . lovely . the staff lovely . helpful . one computer hotel use free . super helpful checking online . highly reccomend quaint , little , & quot ; budget friendly & quot ; hotel . 
 Nov 15 2009 	 nice comfotable stay 	 hotel minute away Victoria station tuck away quiet corner . room small side though . 
 Oct 31 2009 	 delightful hotel convenient everything London offer . 	 nice stay September 2009 . staff accommodate knowledgeable get we ticket several attraction . easy walk Victoria Station . quiet neighborhood . room include full english breakfast . ' ve stay family - own operate hotel . pleasant experience . would stay Windermere would recommend friend . 
 Oct 18 2009 	 stay away . 	 worth . first arrive could check we , fine tour London get back hotel exhaust want get room rest . person front desk nice guide we room basement . small damp bedroom enough space double bed . little window great view people leg walk room restaurant chef would smoke side window . could stand show ceiling low . hotel old , cold look like something Dynasty circa 1985 . up - keep . would recommend friend . 
 Oct 14 2009 	 place stay visit London 	 recently complete week - long trip London tagging along friend business . ( first visit . ) Windermere Hotel everything could ask city hotel : safe , quiet , convenient location ; clean comfortable room full bath ; full english breakfast include downstairs Pimlico Restaurant ; staff family hotel friendly , gracious , pleasure , helpful request . dinner one evening restaurant also food delicious . easy walk Victoria Station , safe single woman walk back alone night . cab also readily available . I definitely return windermere . thank Nick & amp ; Sylvia enjoyable stay London ! 
 Oct 4 2009 	 Windermere gem owner dear 	 daughter spend three night Gem . breakfast great , free wifi appreciate , staff amazing make arrangement moment notice . room G2 good roomy two twin bed main floor . location brilliant . first night walk six hour see lot site right London Eye even run Red Fox street . coach station five minute Victoria train Tube station ten minuite walk . Apollo theatre Wicked play 10 minute . stay whenever London . owner staff truly remarkable . kudo ! 
 Aug 29 2009 	 great place stay London 	 stay week hotel London glad make choice stay . staff great we ! really nice accommodating . could ask well staff . room clean , comfortable , roomy enough . bathroom small , clean , big enough need . nice , hot shower every night relax long day 's sightseeing . shower small , clean , complaint . bed comfortable . idea people complain noise ? noisy area ; fact quiet . could barely hear anyone room . convenient location . complaint . would stay . 
 Aug 24 2009 	 expansive service 	 130 £ per night per room 's really much hotel , expecially send one basement room ridiculously small equip smelly tiny bathroom . ' ve ask move another room not possible . breakfast free internet ok . 
 Aug 18 2009 	 great hotel excellent restaurant 	 husband stay Windermere Hotel five night end June . find pleasant , quaint extremely clean . staff helpful accommodate . complaint top floor ( actually request ) , quite climb heavy luggage . bad part hot AC . window open night street noisy . alternative run fan window close , finally . love Pimilico Room dinner would recommend try stay . chef use freshest ingredient willing prepare dish suit individual taste . whole , would recommend hotel mainly cleanliness , friendly staff nice restaurant . 
