avoid 	 Decent room . however avoid room service . send cold stale bread . 
 oct 1 2009 	 wonderful retreat middle 	 Windmill locate Clapham Common , adjacent pub . Clapham wonderful residential area southwest London . easily accessible tube bus chock - a - block full young family kid , dog , soccer player , bike rider etc . many good restaurant , shop , pub etc . room , premium one , extrarodinarily large beautifully decorate clean , modern style . breakfast , include , nice great pastry full - cook option . common huge great place take walk enjoy London live fortunate . bargain around 150 BPS . 
 Sep 27 2009 	 hotel great spot nice room great atmosphere bar yet room surprisingly quiet 	 stay hotel two seperate occassion . staff friendly , food good location great , especially summer month lot thing happen common . breakfast excellent definetly stay . 
 Sep 22 2009 	 would stay 	 travel London american friend . , first trip U.K. find way Clapham Common Heathrow ( first Paddington Station , via Tube Clapham ) , tired redeye flight . stay premium room , expensive standard room . bed comfortable , though prefer firm mattress . room large enough , decent wicker furniture , tv , coffeemaker , fridge . small closet ( inadequate two set clothing ) . bathroom ventilation ; shower , mirror steam , open window necessary ( get chilly London ! ) . Pub restaurant serve tasty complimentary breakfast guest decent pub fare dinner . negative : housekeeping provide new bath towel unless request . front desk staff knowledgable London attraction ( seem start work ) . quiet common area guest sit outside one 's room , pub . , wash cloth , one tiny bar soap entire week ! ( buy soap nearby Boots drugstore chain ) . thankfully , spend much time hotel , much see London . overall , disappointment , give & quot ; premium & quot ; room . 
 Jul 5 2009 	 Loved ! 	 stay night London Brighton Bike Ride - great location event . nice room . staff helpful . look forward stay next year 's bike ride 
 Jun 8 2009 	 Nice hotel good price 	 stay May 29th 30th wedding . travel U.S . hotel charming Inn attach pub . room quiant comfortable . close access bus tube station . also directly next large park . pub get little noisy can not hear room . staff helpful friendly . event weekend prepare random people pub walk event long que washroom ... unless be lucky enough also room . 
 Dec 24 2008 	 gem hotel 	 hotel Clapham Common parking available hotel guest extra charge . room contemporary everything need ( minibar though ) . bathroom modern , bed comfortable inclusive breakfast good . part pub hear noise late evening . pub lovely , big leather sofas , load seat really welcome bar area . I would use hotel without hesitation . 
 Dec 12 2008 	 great much needed r 	 travelling business combine see friend sometimes tricky , many hotel residential area questionable . Windmill Common - great place . the build big old brick building , solid , warmth retain sound prevent wall . room ( stay superior ) modern well appoint , tastefully decorate impeccably clean tidy . bathroom slate style floor mine spotless - even corner bath free tell tale little black mold mark , something rare see british hotel . the breakfast excellent - proper full english , well prepared . staff polite , cheerful helpful throughout . food pub good - well prepare gastro pub stuff . the location idle , common , bit away road associate noise . certainly not hear noise form pub building ( midweek ) . great want go run evening , activity common ( british Miliatry Finess instance ) .Overall , represent excellent value . £ 11o £ 140 , be get top quality stay , 25 min tube city . 
 Oct 2 2008 	 rude staff 	 stay 2 night find room great food bad ever taste staff rude head chef name ian bad plus manager arrogant however reccomend hotel stay clear resturant 
 Sep 14 2008 	 love decor 	 stay part large group family wedding . thought bar area lovely - modern / unusual decor . family room fine - bathroom high standard . we eat evening meal lunch hotel - good . two breakfast - one excellent , 2nd shocking - obviously different chef not care - order thing previous day difference presentation effort huge - send back . the hotel bite far consider walk distance tube , shame good price London character chain hotel . it situate right Clapham Common , ideal walk food ! 
 Aug 11 2008 	 little pricey pretty good 	 stay last night favourably impressed . reception corridor look bit tired fear bad room , superior double , well appoint stylishly decorate . bed large comfy bathroom , fairly petite , modern spotless . Breakfast , include room rate , fair outstanding . price room high end reasonable fair enough give quality location beware drinking bar actually pub , albeit rather good one . £ 16 large small glass fairly ok Pouilly Fume not unacceptable £ 9 pint single g & amp ; verge insult . 
