Clean 	 London expensive city , especially come hotel / accomodation . look something simple , quiet , clean affordable spend week London . that be Windor House be . for £ 38 / 40.00 day get clean room shower ( en - suite ) simple breakfast ( enough start day ) .ok , tv , telephone , internet , tv set , example , would spend night see tv , & quot ; ruinning & quot ; day ! , place stay day quite clean place keep thing sleep . Earl 's Court tube station really around corner , make easy go everywhere . if want take food hotel , kitchen open guest Marks & amp ; Spencers & quot ; Simply Food & quot ; shop 50 meter far hotel . two internet shop really nearby . I recommend Windor House : good value price ! friendly people too . but look real luxury , go ... House windsor ( call Beth Phil ) .André Acker , Rio de Janeiro , Brasil 
 Nov 13 2009 	 unpleasant misleading 	 experience Windsor House Hotel good . arrive find ' double room ' , describe double bed make two unequal height single bed push together . room tiny , dirty , euipped minimal old furniture well price . although stay 30mins ( trying find alternative accommodation ) deny deposit amount 70pounds even though pay ( double room ) provide . back packer accommodation charge . 
 Nov 8 2009 	 friendly helpful comfortable clean place stay . 	 Stayed Windsor House B & amp ; b couple night , early November . the staff helpful friendly , location excellent couple minute Earls Court tube station museum South Kensington . I stay small room face street , clean shower sink room , toilet across hall . perfectly adequate need price reasonable . 
 Oct 15 2009 	 good value great location . 	 stay Windsor House two time . set quiet back street , minute underground , shop , pub cafe . access kitchen great help summer item store fridge salad sandwich . microwave though . room basic perfectly adequate . give tv nowhere plug - matter , not watch tv anyway . stair steep narrow , issue carry heavy case . time stay promise room first floor . however , despite book well advance , arrive still give room several flight stair . not quite understand can not get right . manage , not let spoil holiday . even minor irritation , would still stay Windsor House , recommend . will not find anywhere cheap central , staff friendly . 
 Aug 13 2009 	 France - girly sightseeing weekend stay 	 hotel well situate , minute 's walk Earl 's court tube station . stay triple room three bed laugh fit see layout . room higher wide shower small ( ) round friend . quickly come conclusion visit London , bum room . after first night conclude room fine . quiet . comfortable bed . allergy dust mites personal hell travel . the nice surprise although extremely quiet London ( sleep window open ! ) good selection restaurant diner area . breakfast simple get raid kitchen midnight tea lovely . I would not suggest romantic place wow girlfriend girl 's weekend away absolutely fine . 
 Jul 31 2009 	 excellent value money Central London 	 stay hotel leisure trip young child satisfy expect . Website hotel honestly describe basic facility provide , atleast not try lure customer false promise . excellent location central London , near earl 's court subway many tourist location walk distance . staff helpful . standard cleanliness even minimum staff high . bathroom inside room well floor clean fully functional running hotwater . once inside lack present day glamour attract english atmosphere especially din room basement little garden . a definite advantage hotel facility utilize kitchen . after spend hectic day , rather eat quick dinner bring grocery cook enjoy time comfortable dinning room . Read magazine watch t.v . review pics day . go room . all type restaurant include indian pakistani food , pharmacy , grocery shop , outlet buy advance ticket tourist location immediate vicinity . breakfast plus point , generous serve caring manner . serve staff happy cater small need hot tea coffee plus rest thing . if get late still 10 a.m kitchen open serve yourself . all guest well mannered noise hotel vicinity . the website hotel promise basic facility provide they . it snob extra requirement leisure pleasure hotel straightforward tourist want economize well look forward comfortable stay base near central London attraction . there elevator avoid carry one heavy piece luggage . 
 Jul 29 2009 	 nice budget hotel 	 hotel excellent location , step away Earls Court Station , lot local shop restaurant around . room simple , main thing stay budget place - clean ! ! : ) room small ( again- be not room London ? ? can not really complain ) . however , cook breakfast small - get one boil egg ... plenty toast jam ( hence 3 * service ) , allow free access kitchen times thing , make time . 
 Jul 26 2009 	 WHH undeniably well - locate modest homely plus staff really efficient . must . real value money ! 	 stay Windsor House Hotel ( WHH ) way beyond expect … well . live Patagonia Argentina , idyllic paradise . begin year , travel Spain visit sister family live five year . quite long time see people love dearly . anyway , time , friend brother - in - law ' get sister , newly bear Iván inexpensive ticket London . everything bit rush , , end , turn great . find WHH web friendly tone really attract scratch , especially consider first trip Europe London baby , well first hotel book online . starter , bit unsure whole thing , WHH , make really easy we pay room , give ' credit card . make bank deposit fax receipt . simple ! true hotel well - locate . plus instruction site get tube station hotel extremely clear simple follow , come handy . really crystal clear indeed ! efficient people reception utterly kind minute meet , help we upstairs luggage ( travel baby considerable , say least ) . love room soon enter . shower bathroom share , case , one else staying section hotel time , proudly say bathroom . everything clean tidy time . truth luxury , logical charge ' undeniable truly homely . reception , kind brochure leaflet excursion sight - see tour could take free . kitchen fully - equip always available . dining room , even tv could use whenever wish . , breakfast quite conventional delicious ' add anything else . good thing coud much need people wait we totally adorable polite . whole , opinion , WHH certainly family - friendly , claim site , unquestionably highly recommend . next time ' London , ' definitely pay visit ! 
 Jul 19 2009 	 never get stay Hurray ! 	 credit card confirmation room two night arrive record . also room availaible , even though confrimation number . helpful . go street another hotel luckily find room . would not recommend hotel . 
 Jul 14 2009 	 good location good value ! 	 close Earl 's court Marks Spencer nearby . I arrive late , however hotel people flexible friendly ! 
 Jun 25 2009 	 excellent hotel stay london 	 stay hotel another 6 person , 7 . great room ground floor request . location great circle , district piccadilly line come go time . round cornere station bus stop well . shop restaurant area great good cheap food . hotel & quot ; kitchen great u want save money food . cleanliness everywhere , hot water everyday nice warm shower long day London . staff helpful friendly . Windsor house hotel ideal young old , infact second visit 6 month certainly stay everytime go London . 
 Jun 23 2009 	 clean modest amenity warm friendly atmosphere . 	 Thankyou Jan staff another great stay Windsor House . repeat visitor clean , comfortable accommodation . room simple , noluxurie , warm atmosphere friendly safe . good breakfast provide , clean kitchen facility available personal use . location perfect , walk distance Knightsbridge ( Harrods ) tube ( Earl 's Court ) two minute walk front door ! .every location bus tube ride away . ask . Philipow , Manitoba , CANADA 
 Jun 18 2009 	 bad hotel ever 	 read review , impressed complete different opinion : good bad . I discover good opinion justify astroturfe . this bad hotel ever . everything go wrong : - arrive , friend discover toilet room . possible bedroom change get room get toilet .. - kitchen microwave elementary thing - bread breakfast handle hand eccentric experience - service , provide asian guy , rude - ask keep luggage checkout go airport , arrive luggage other guest room , I m insido room - suspect card use pay hotel use internet fraud . 
 Jun 18 2009 	 good place stay / location / price 	 Windsor House Hotel already many time , regularly commute London bad / busy/ time small , cosy hotel always offer good price accommodation area . love sense stay victorian high ceiling building able eat take away kitchen beer sweet garden ( be last time american family Australians friend visit well ) . find Windsor house easy reach , staff friendly , location super plus room clean ( partner comment last time ) ahj lift would make place bit heaven .. simply find hotel cup tea .... would recommend friend colleague stay time . fact already . ps . winter offer cheap , always find load family cook great meal around evening will not feel lonely ! 
 may 25 2009 	 Budget accommodation value money 	 close underground London central . quiet , clean suburb accommodation . room adequate ensuite . breakfast good start day , use kitchen prepare meal big plus , London 's restaurant expensive quality size meal . negative stay lift internet . would definitely come back . Marie & amp ; John ( Goolwa , SA , Australia ) 
 May 21 2009 	 disgusting b 	 book b & amp ; b part due somewhat normal review Trip Advisor convenient location earl 's court load shop , restaurant tube station nearby . normally stay King 's Cross london thought would try location change . arrive long flight , concere outer appearance London b & amp ; b 's look old outside quite normal inside . front deskman nice welcoming , room burst tear think stay even one night manky place . door room would not open lock half bust , clean , furnishing ancient disgusting , matresse sag middle must 50 year old , broken spring , room toilet / shower ridiculously tiny , even London standard sure anyone could actually fit shower - husband call [ -- ] & amp ; shower special ! leave night do not even spend night , awful , start break hive dust room ( part wall fall ! ! ) would scare take shoe walk gross carpet . stay dive worst see . go King 's Cross instead load normal b & amp ; b 's choose will not make cry look ! shame money charge per night disgusting room provide rate . 
