class 	 arrive hotel cold sunday afternoon greet friendly staff , free steaming hot chocolate marshmellow . great way warm room functional , clean comfortable . great view , return Chicago would hestate stay . staff incredibly attentive polite , business centre free internet access big plus . 
 Nov 19 2009 	 great location small room . 	 staff friendly helpful . checking , front desk manager ( Tracy Hunter ) select 3 room we look & quot ; petite room & quot ; would not fit 2 people luggage . get room priceline ' ve never problem room . Tracy tell we would upcharge change room . also tell another group checking would charge room . experience Tracy hotel nice . 
 Nov 16 2009 	 great location 	 great location , term shop see attractive part downtown Chicago . hotel relatively inexpensive part town overall quality . aspect place drawback , note prior review . first , place hamper inadequate elevator . even though five , find wait fair amount , include get lobby street level . second , room small . corner room 11th floor , measure roughly 9 x 11 , leave little room beyond take bed desk . virtually drawer space , closet bathroom also tight . one person , acceptable , european / sailboat kind way . room nicely do , fairly good quality bed finish . talk guest , get impression room somewhat large , though expansive . as aspect , breakfast anemic buffet price $ 15.00 . hotel large workout area top floor . overall , think Allerton fairly good option , especially price . 
 Nov 13 2009 	 nice stay GREAT LOCATION 	 second year row stay three night Allerton Hotel ; fact come back speak highly property . really like place . be funky , though . enter street level Huron ( even though Michigan Avenue address ) , greet doorman , need take elevator second floor check . really not hotel lobby either , understate check - in concierge desk . bar small restaurant well . elevator small North America , room sweet comfortable . year reserve Jr. King Suite great price . room living room tv bedroom tv . bathroom definitely tiny , clean working condition . Allerton much like many hotel would stay New York City . 's old hotel great location modernize , thus room relatively small , update nicely . feel Kimpton property . like , able go flow . 's grand hotel lobby lot staff . rather , old hotel small window room , modernize great comfort . location beat ; literally step Michigan Avenue Chi - town offer . 
 Nov 10 2009 	 great value 	 great location great value . room clean nice . 
 Nov 10 2009 	 could well 	 surprised read review visit wonderful . front desk concierge greet we immediately make we feel welcome . able check early . pleasantly surprised room ( junior king suite ) . clean , comfortable , quiet . location could beat . lobby bar restaurant inviting . old world charm maintain despite recent renovation - classy tastefully do . be look chain hotel , be look somewhere character , place . definitely stay would highly recommend anyone else visit Chicago . 
 Nov 10 2009 	 pleasently suprise ! 	 always homework come book hotel . read mix good bad review hotel book anyway , could not beat price . $ 150 night . spend 3nights complaint ! check go smoothly , staff friendly . room clean , fresh suprisingly lot room ! bathroom small , clean . great location , always walk everywhere . would absolutely stay ! 
 Nov 8 2009 	 Loved ! 	 recently return Chicago attend friend 's wedding . search place stay , find great deal expedia.com $ 89.00 / night could not pass . book Allerton spot start read past review forum . become skeptical choice base everyone 's complaint size room , elevator , service , etc . base price , figure bad could really ? boy pleasantly surprised ! hotel awesome location . entrance Huron Street N. Michigan right . stay standard room . bit small perfect two .. ! Loved Bath N Body product ! view N.Michigan Ave . could see Zara store outside window . grand opening night , red carpet lay whole nine yard ! everything walk distance , right two block Hancock Observatory , Navy Pier probably ten minute walk leave . many shop window shop . red line CTA station also short walk away ! yes elevator small , occasionally wait awhile one , figure ' m vacation , be rush anyway ? ! not eat restaurant , price steep esp . cup coffee . complimentary coffee available lobby every morning . also ton restaurant nearby , eat Giordano 's Rush St. , two block away , Great stuff pizza ! also evening , carriage ride available outside main entrance hotel . service wonderful , problem safe closet , help way less five minute . overall , experience Allerton wonderful would recommend anyone visit Windy City ! 
 Nov 4 2009 	 great stay Great Location ! 	 stay 2 night junior king suite ( picture list executive suite Allerton website ) find great deal online . room bedroom separate living area , t.v ! enjoy extra space know petite standard room quite small , boutique style hotel , expect ! say , could happy hotel location . staff nothing friendly helpful . example , hour sightseeing first day , arrive back hotel luggage still bring upstairs . call front desk apologize immediately someone bring we . man deliver bag give we tip go decent Chicago pizza ! concierege make reservation we always help direction ! location also great ... entrance Huron Street , Michigan Avenue right . water tower 2 second walk well Hancock tower , Lots great store along miracle mile , navy pier 10 minute , less 5 minute walk red line take loop easily walk great destination . bathroom bath body work shampoo conditioner , smell great , wish would add lotion mix ! never eat hotel , breakfast price high , everything else seem reasonable hotel ...... different drink special night lounge ... free coffee morning ... room window three side ... bedroom view Michigan Avenue , partial view water tower ... 2 side building . living area keep blind close right next office building could practically read person computer screen ( city , building close together , can not always great view ) ... recommend go fitness center night ... small window , great view water tower hancock tower one , look beautiful night ... complaint hotel , list thing maybe could little well , make stay less special comfortable ! 1 . bathroom small , toilet take much space next shower , small shelf sink toiletry , magnify mirror poorly place right behind door , get hit every time open door ! ..... shower head little low person 5 ' 9 .. great water pressure ! 2 . elevator slow time , small normal ( could easily fit 5 people ) ... ' ve small european hotel , elevator seem huge : ) 3 . breakfast menu ridiculously overpriced4 . internet free room , free lobby business center.5 . towel bathroom soft.6 . pillow little soft head would sink right ... find bed comfy friend hate . 
 Nov 4 2009 	 bad Hotel 5 year 	 stay two night , Nov 2 3 BAD . conference rate $ 157 appear cheap enough consider hotel , service , etc way price . room right 4 shoe box . upper floor hallway 90 degree . food weak average . bartender evening helpful person entire staff lobby bar comfortable either . one Star many . 
 Oct 30 2009 	 Fair warning : not stay Allerton ! ! ! 	 hotel care slight guest satisfaction . upon check - in request two bed room tell would pay upgrade fee , nice room , extra bed , begin , not get start . strongly causion stay Allerton , plenty guest friendly hotel choose . learn mistake ! ! ! 
 Oct 30 2009 	 disorganize unapologetic : beware room 512 	 keep review , receive room promise : deluxe king water tower view . instead , bed wide king extra short ( perhaps queen turn sideways ? ) . well yet , & quot ; water tower view & quot ; view LOUD heating ventilation system side alley ( see pict ) . cap cave - like aesthetic , ceiling interior half room low could place hand flat ( ' 5 ' 4 ) .What tick , however , snitty way Allerton staff deal we : treat ' wander uninvite someone ' home refuse leave . upside , incredible well - locate hotel . , plethora other . 
 Oct 29 2009 	 Exceeded Expectations 	 recently stay Allerton everything property exceed expectation . room recently renovate , stylish , clean , hotel could better location . service excellent . stay many 4 5 star hotel Chicago would put Allerton top good property town . 
 Oct 29 2009 	 dress pig still pig 	 try hard dress - up hotel make modern pretty look not make - up quality hotel service . not book hotwire low price would even furious place . the concierge bad one magnificant mile . one incident , Sunday ask breakfast spot woman conceirge not know ask someone else , direct we 1 restaurant hour wait . 20 minute roam finally find somewhere else eat . the elevator small slow accomodate floor leave take dingy smelly staircase . luckily 5th floor . book 2 room , sister call ahead time make sure could get cot room neice come last minute . say would fine phone . arrive say cot could fit room book room double bed . option upgrade King room $ 25 get rollaway another $ 25 . sister decide squeeze King bed 3 people . last least room clean well funny smell . bed four star bed , rock hard feel like sleep ground full size , even queen . bathroom TV nice part room , Chicago vacation really need comfortable bed since spend time walk around . 
 Oct 27 2009 	 good location bad staff 	 location great . however be difficult believe 's 4 star ( room well 1 2 star experiment ) ... staff friendly . would care not charge we expensive room service not order . first think problem resolve concierge . finally see credit card account still charge we . email , phone call fax , still not answer 2 week ... advice : carefull check account stay . 
 Oct 26 2009 	 poor customer service 	 stay hotel recent business trip Chicago . location great sightseeing , pretty far away airport shuttle provide hotel . room pretty small functional . one thing bother could not put stuff minibar refrigerator . charge anything move not consume , pretty steep ' restocking fee ' . also , hotel not offer soda machine unless go next store couple block away ( nicely recommend restaurant staff ) stick overprice minibar . my main complain come day departure . noon get room , thing pack left room business meeting finish . return around 11 , room clean anything pack away ( drink , cookie , shower stuff ) go , even though clearly check item pack plastic bag . mention check - out , tell nothing could pretty much get & quot ; could not care less ' response . bother overall attitude whether lose thing . 
 Oct 25 2009 	 Decent hotel great location 	 Allerton perfect location Magnificent Mile , especially be Chicago see major sight and/or go shop . afraid approach front desk read review , staff perfectly friendly concierge helpful . I give king - size room even though alone , roomy , clean , nicely decorate . view -- one small window look onto fire escape -- room dark lack sunlight , build large old go room like , might moved ask . get room cheaply Hotwire , not feel comfortable complaining ! hotel restaurant open breakfast lunch , dinner ( information book room say otherwise ) . jazz singer perform lounge Wednesdays Saturdays , nice , entire second floor , include lounge check - in area , free Wi - fi . if like channel surf , hotel -- nice big tv room , surprised find pay - per - view programming . one movie cost $ 15.00 . seem ridiculous provide room nice television equip cable -- would nice least watch news . major complaint place . 
 Oct 25 2009 	 not Bother 	 stay via win Priceline - good thing do not pay full rack rate hotel ! one night want relax business trip Chicago continue stay Affinia around block ! arrive rainy Friday , tired exhausted work week . alone , want chill relax take Michigan Avenue sight . hotel odd entrance . arrive hotel bellman 's area - - bellman gladly take two bag give ticket / receipt . figured would bring bag room . . busy hundred bag small area -- particular area lead whole section elevator bank -- take lobby 2nd floor . figure .... go registration level check . ( check process take forever - line long ) . , poor guy , ( father bride ) already complain small room . think ... oh noooo - get problem already ? get room 19th floor TINY . poor layout , update little box small bathroom look like attempt renovate , still old . one person fit time , put way . noise level be not bad compare Affinia around block . room face Michigan Avenue hospital block ... good thing - room quiet manage sleep well . bed ok - -nothe ultra comfy / modern . oh , internet additional $ 9.95.this first time Priceline ever disappointed hotel . would not ever stay . , pay full price hotel , would really angry . favor , find another hotel city . 
 Oct 12 2009 	 Poor Customer Service 	 arrive Chicago early Friday morning drop luggage bell service . know would not able get room right away , front desk attendant morning call cell soon room become available . think , & quot ; nice gesture ! ? ! & quot ; unfortunately , front desk attendant helped check - in Friday morning attendant stay Saturday Sunday not receive courtesy attendant . weekend front desk attendant not pleasant , not helpful , ' smile , personality ask speak manager regard concern could not help , tell manager break would call room return . manager never call . even leave cell number not bother call either . , request late check - out Sunday attendant work Saturday tell could stay till 2:00 p.m. reconfirm late check - out attendant working Sunday , tell ' honor late check - out anyone . tell attendant speak Saturday tell could stay till 2:00 p.m. say , " well , guess ' tell ' stay till 2 someone else tell ok . " rudely dismiss next customer standing line . I wish lovely woman help Friday morning , work weekend , feel would not write negative review . choose Allerton Hotel great location , know , bother great location front desk attendant not pleasant . yes , room ' big , elevator tiny , hotel charge use internet room , could overlook . ' overlook bad manner . would recommend stay hotel question concern stay need speak attendant . P.S . – bell service fabulous . great group kind man help luggage , hail taxi cab we , one man even suggest great breakfast spot block hotel . front desk attendant learn something bell man – common courtesy ! 
 Oct 11 2009 	 top notch experience ; room atmosphere food event space . 	 hold annual user conference Allerton Hotel . staff attentive hotel seem low turnover see face year - to - year . food excellent room small well appoint . 
