great 	 Location -- wonderful walking , shopping , dining go outservice -- extremely warm , friendly & amp ; helpfulatmosphere -- historic , elegant , uniqueroom -- modern , comfortable , spotlessly clean 
 Nov 23 2009 	 fabulous hotel great location ! 	 hotel decorate beautifully Holiday season . arrive early checkin front desk staff friendly efficient . lucky get room early charge . room clean spacious parlour suite since 5 us party . hotel close nightlife 15 minute walk shop Michigan Avenue . lovely hotel would definitely stay ! 
 Nov 15 2009 	 WOW ! 	 book stay via & quot ; last Minute Travel & quot ; truly amazed beautiful historic property . staff friendly helpful , get past bellman . bellman / valet could work customer service little . room perfect . standard room comfortable King bed , bathroom spoiless nice amenity . carpet wear area , overall cleanliness room tip top ! location good part property , neighborhood quite , far want . true jem ! 
 Nov 10 2009 	 Great Location Rooms Dated Run . 	 hotel great location , nestle upscale Gold Coast neighborhood , close local restaurant , bar , walk Lincoln Park / Beach shopping Michigan Ave . love location expect old historic hotel perfect shape . however , must say even , sadly surprised rundown state room . stay parlor suite , space nice , furnishing dismal . couch rub thread bare several place . bathroom completely date chip paint tub . two tv 's ( one bedroom one living room ) 20 & quot ; poor reception . disappointing see grand historic hotel state disrepair . 
 Nov 6 2009 	 charming historical hotel - love doorman ! 	 husband stay hotel 3 night . expectation great price good ( Expedia ) willing take risk . room huge walk - in closet big enough store suitcase . view interesting- little slice lake , mostly back historic home interesting patio . kingsize bed comfortable bedding condition room good . 14th floor . staff wonderful Concierge , Barbara , helpful tear around try get much possible birthday trip . course Pumproom Lounge worth visit even drink - probably 200 pic moviestar 20 . Frank Sinatra sing famous bar / restaurant . never eat . Gold Coast neighborhood definitely worth walk around - architecture incredible . gym 24 hour office w / computer free printing . short walk Rush Street Original Pancake House breakfast Corner Bakery . three block subway downtown cab $ 10 . would go back heartbeat . , love doorman open door ! 
 Nov 5 2009 	 FOUND FAULT HOTEL REALLY ENJOYABLE stay ! 	 Pro 's : large room extremely comfy bed . quiet sleep well . clean Room bathroom funny odor . Maids wake barge . free plentiful toiletry coffee room Neighborhood wealthy , historic residential ...... hard rock cafe scene Walk Lake Michigan Avenue . 151 Bus take . cvs nearby . lovely common area lot fresh flower . free fast internet access . wait reasonable rate friendly staff concierge . con : none ! return . 
 Nov 5 2009 	 great Chicago Historic Hotel 	 stay many hotel Chicago year . always check rate Ambassador , book elsewhere . hotel around many year , well keep find well location . hotel sit near great bar restaurant , position nice area apartment old Chicago home . the room feel charming european hotel . 
 Nov 4 2009 	 will definitely stay next visit Chicago 	 staff member friendly helpful . the room large , quiet , comfortable plenty drawer closet space . the location great . lovely quiet area , plenty restaurant shop within easy walk distance . 10 minute walk Red Line subway stop . it be old , well maintain hotel . 
 Nov 3 2009 	 Great Location Stay 	 Location excellent want get away Michigan Ave . trap . neighborhood would love live young school work Chicago . yes , room need up - keep , able set side many positive . room really need upgrade tv 's . disappointing try watch game something . need get time , flat screen . , value pay , satisfied . 
 Nov 3 2009 	 nice hotel great location 	 nice location close shopping place eat also beautiful neighborhood . small hotel pleasant place sit lobby , Pump Room classic place drink . dinner comment enjoy people watch afternoon drink look window people neighborhood . short walk good shopping eat . 
 Oct 21 2009 	 probably find well room budget 	 hotel lack room maintenance . crack tub , door , sink . carpet stains hole . pay price history hotel , probably could get nice room budget even less . service fine nothing special . noisy morning , could hear guest hallway . be aware check - in , hold $ 150 extra top night stay fee credit card , clear website . 
 Oct 20 2009 	 Fabulous experience 	 every thing impeccable . friendly service staff . couple give we history Hotel Pump Room . top notch establishment . austentacious - simple yet elegant . 
 Oct 10 2009 	 Hangin ' Sinatra Pump Room Lounge 	 Ambassador East locate Gold Coast neighborhood Chicago . block train station , easy get anywhere town . hotel National Historic Landmark lobby elegant beautiful . love Pump Room bar ton B & amp ; W photo celebrity . service wonderful everyone friendly helpful . 
 oct 8 2009 	 full history - extremely clean attentive employee 	 Ambassador East Hottel locate heart Gold Coast Neighborhood sep Michigan Avenue great shopping . also locate near great dining facility many neat pub . the Ambassador Historic hotel need tender love care . old lady could use nip tuck . say clean hotel friendlin staff ever experience . stay everytime Chicago . great price value . the entertainment Pump Room food incredible . aroun great experience 
 Oct 7 2009 	 need extensive refurbishment . 	 disappoint loss previous prestige . could easily see loss old european type small hotel culture . many year ago guest hotel number weekend , take Pump Room dine visit out - of - town friend . matter fact , host post - nuptial dinner 40 year ago . would never consider .. refurbish hotel go beautiful marble floor intricate wall molding ? really sad see become old Ambassador East . 
 Oct 3 2009 	 Perfect perfectperfect ... 	 girlfriend return disappointed Ambassador . comfy beds location beautiful charming . train short walk well various restaurant nightlife . quiet evening staff could kind . Chris concierge especially helpful . plan return next May stay hotel . 
 Sep 23 2009 	 Nice Hotel ... need work 	 second time stay Ambassador East hotel travel Chicago business . location hotel bad , close enough walk everything quiet beautiful neighborhood . also plenty restaurant close walk irish pub type place . staff wonderful , bellstaff , front desk conceirge . hotel historic look beautiful walk . however , room really need serious updating . bed okay , comfortable enough couple day . bathroom terrible , feel like gas station bathroom . toilet old bathtub lot chip peel . also full length mirror room huge deal , not think ever one room . issue air conditioner , smell terrible loud night . think hotel much potential great location historic feeling . really need update room . 
 Sep 22 2009 	 charming boutique hotel great location 	 charming boutique hotel great location . hotel block Magnificent Mile Rush Street , within close walk distance lake , great restaurant , shopping , entertainment . be far enough away avoid noise restaurant bar , ideal business traveler need get sleep . bed pillow comfortable . room bathroom fixture little date , historic hotel not take away comfort coziness . room rate reasonable well deal consider best western cost $ 80 per night . definitely enjoy stay hotel likely stay next trip Chicago . 
 Sep 21 2009 	 Classy hotel fantastic location 	 visit Chicago wedding couple agree rate hotel , decision somewhat make we . say , fantastic time Chicago Ambassador East wonderful place explore city . ideal location - affluent neighbourhood locate 100 yard Lake , 2 block Lincoln Park ( free zoo - wonderful young kid especially school back ) 5 minute excellent restaurant Rush - Carmines excellent italian . Magnificent Mile ( great shop , Hancock Tower , Water Pump Station , Tourist Information ) 10 minute . play ground road great young kid . Clark / Division red line ( train ) station 2 block away , 10 minute Wrigley Field . hotel real old school charm . classy reception area , room comfortable opulent hugely modern . in - hotel restaurant Pump Room lot history entertain many dignitary star year ( evidence photo wall ) . food first class , whether breakfast ( take every day ) truly excellent evening meal ( live music ) . staff attentive , especially little one 20 month . room service menu limited service quick . staff receptive need , lend we microwave , refridgerator high chair stay baby ( well crib , course ) .On whole good experience one would thoroughly recommend . 
 Sep 18 2009 	 comfortable safe 5 min beach 	 bad experience elsewhere check hotel . staff helpful , happy polite . room little wear tear clean comfortable , hotel nice area feel safe 5 minute beautiful beach . plenty restaurant 5 min walk . internet access available would definatly stay . 
 Sep 16 2009 	 Fantastic Hotel 	 stay 3 night . book month advance get room $ 99 per night ( RO ) . staff fantastic . breakfast one morning Pump room lovely good value . get metro blue line OHare Jackson switch red line Clark & amp ; division . hotel 5 min walk stop . close lot supermarket restaurant 15 minute walk top Michigan Avenue . room lovely great view city 
 Sep 15 2009 	 quaint locationexcellent service 	 good location mag mile restaurant rush street , hotel need update service excellent 
 Sep 15 2009 	 Ambassador East good bone 	 Ambassador East Hotel great place stay wish get ant trail . location leafy , beautiful , Gold Coast area Chicago ideal . quiet residential , yet couple block Michigan Avenue Rush Street . many small bistro type restaurant area also . the hotel comfortable , clean staff helpful . hotel cozy , elegant , atmosphere not always get new sterile hotel . 
 Sep 15 2009 	 Classic hotel little date still grand . 	 Service would expect stately old hotel excellent reputation . walking feel like ' ve go back time . room large Chicago hotel , bathroom positively huge ! tv small old . carpet need replace , upholstery see well day . decor date , rather like . , be worth put old tv crack tile stay lovely historic hotel . would rather spend time legendary Pump Room watch tv anyway ! ice machine locate two floor . computer access free & quot ; business center & quot ; 3 computer . free printing make however . pool . 
 Sep 14 2009 	 Good Stay 	 stay historic hotel 8 - 11 sept . ( 3 night ) , book Expedia . 's locate Gold Coast district city little north Magnificent Mile . area quieter River North district Loop area , Old Money use ( fact still ) . hotel history attract vip 's celebrity use film location Hitchcock movie , North Northwest . 's heyday little ' m guess , still look luxurious , also look place yesteryear . the room get , kingsize Deluxe , little worn , price get not care . instance , not know use small lighting room see well television - service hotel - location . not spend much time room . plus cleanliness room . the service good , not get satisfying answer ask information city event location . overall , hotel good stay citytrip . 
 Sep 14 2009 	 great experience come time checkout . . . beware . 	 wife spend 3rd wedding anniversary Ambassador East . arrival check Friday go flawless . everyone helpful curteous . upgrade suite ( $ 69.00 / night ) suite & quot ; nice & quot ; -- ' ve stay nice . make reservation tell go anniversary arrive back suite afternoon abouting ( hotel locate block lake short walk Magnificent Mile ) find bottle champagne several chocolate cover strawberry wait we . Saturday night dinner Pump Room . although may long & quot ; jumpin ' Pump Room & quot ; day go atmosphere teriffic , food delicious , service impeccable , entertainment wonderful . unfortunately , check Sunday morning attempt charge we another day . argue Nicole Bill front desk several minute finally take extra charge . unfortunately , check bill closely get home notice , yes , take one day room rate bill take rate upgrade taxis ( 15.4 % ! ! ) would apply extra day . fight . 's great hotel make sure check bill ! ! 
 Sep 12 2009 	 really nice hotel 	 stay hotel 3 night Sept 8 , 9 10th . even come Chicago , correspondence e - mail concierge hotel head reservation . get hotel Priceline $ 70 / night , ask head reservation certain thing . ask room high floor , get room 15th floor . ask room little refrigerator , get room little refrigerator . ask extra pillow , get extra pillow . , accommodate . room quite big , compare hotel ' ve stay . room little worn . tear carpeting , break tile bathroom floor , toilet break inside . , room comfortable . bed huge comfortable . wish well view window , see building . only go Pump Room see look like look picture , never eat there . I would stay hotel . since usually use priceline get hotel , depend give we . 
 Sep 11 2009 	 old Grand Damme need update 	 great location . everyone exceedingly pleasant . room need update tv , new carpeting , drape bathroom tile . bed comfortable room quiet . likely would meet need . , hate see great old hotel show age . 
