oct 	 close uic campus 	 excellent accomidation . room luxerious felf pamper 
 Sep 21 2009 	 lady professional friendly 	 call 9 - 20 - 09 make reservation we Oct. 2009 mid afternoon , lady ( sorry not get name ) helpfull . try book flight SD & amp ; talk several different airline accomplish , ontop sick cold , frustrated treatment receive phone . call make resrevation lady answer phone , polite , friendly & amp ; helpful . could believe difference . make feel much well & amp ; put mind ease come father surgery . OUTSTANDING tell . people need like . look forward meeting person ' m Oct . 
 Jul 28 2009 	 Typical Marriott comfort - nothing spectacular nothing bad either ... 	 stay three night UIC rate ( $ 169 / night ) .The good : + comfortable , clean , spacious room+ conveniently locate UIC 5 minute Taylor street ( lot restaurant option ) + friendly staff+ reasonable fitness room - ~6 piece cardio equipment free weight one bench+ reasonably price restaurant good selection option ( hotel ) bad : + internet wireless free - Marriott need differentiate make free across brand . internet access long & quot ; novelty & quot ; two decade ago ! + ability turn heat - choice either Air Conditioning ( cold ) fan . go latter ... 
 Jul 9 2009 	 nice hotel centrally locate 	 wife travel Chicago long weekend . receive room priceline.com wonderful discount . hotal centrally locate everything desire . problem hotel clean nice Marriots visit . price slightly high , come stay Marriot . 
 Jun 9 2009 	 Good Hotel great location great value 	 stay hotel June 2009 Chicago attend sporting event Soldier Field . hotel locate outside loop south major highway . the hotel appear recently renovate . amenity modern new . bathroom rather large quite functional . hotel locate heart medical district , result many restaurant shop immediate area . close CTA station Polk station pink line , directly connect loop . hotel offer shuttle leave every half hour bring local restaurant well Racine stop blue line , bring O'Hare Airport . my complaint air conditioning not work properly end hotel , hotel maintenance slow fix numerous room complain . otherwise , hotel staff knowledgeable friendly , hotel excellent location . 
 Jun 4 2009 	 Excellent 	 hotel excellent . course say give book room priceline $ 60USD per night plus taxis . would pay $ 350usd advertised website time period . the actual hotel quite modern recently update . room clean , bed comfortable , actual size room quite small comparison hotel . be sleep hotel like 's really big deal . front desk staff extremely helpful . call ahead request thing king bed , late check , adjoining room reason request lose . none less front desk staff work quickly still provide we every request item include early check arrive 2 hour early expect . this hotel couple block polk subway station get downtown Taylor street easily grab something eat / drink . area around hotel clean safe well . complaint would ambulence siren go night . hear night sound sleeper not hear . really couple second go asleep . 
 Oct 22 2008 	 Price Right 	 decide take three child Chicago fall break . book Marriott Priceline $ 115 night . go city sightsee shop , be fine hotel not mind take public transportation city . easily take train bus Michigan Avenue 20 - 30 minute . not feel unsafe even come back hotel night . basically use place sleep go sightseeing shopping day . bus stop right front hotel free shuttle take nearby train stop . front desk staff excellent help we figure bus train need take get want go . lobby nicely decorate . room clean , worn . side chair room beat ' m really suprise not haul dumpster . bed comfy . suprisingly hear one siren middle night even though right across street hospital . park hospital parking lot b / c $ 13 night hotel park $ 28 . not privelege hospital garage , use bus / train get around . definitely 3.5 star like rate Priceline , happy money save stay feel staff great . 
 Oct 3 2008 	 Nice Typical Marriott 	 stay hotel business end September , October , 2008 . think room average compare typical Marriott . wallpaper start peel certain location , rug little worn , mattress really hard . also , ' m sure microscopic usual , seem find lot little hair , include bedspread , pillow , sheet . perhaps bad part experience noise . room face main road Rush University build new hospital across street hotel . first night , construction night tough time fall asleep . work night , get start pretty early morning . furthermore , lot hospital area ( be call Medical District good reason ! ) hear lot ambulance throughout night . course , travel another person office complain noise , room different side hotel could hear construction ambulance . this hotel positive , though . first foremost , although stay main Chicago downtown , city bus line right outside hotel take downtown less 15 minute two dollar way . also , easy walking distance ( 3 - 4 block ) little Italy plenty interesting local restaurant dine , also walk Jewel - Osco supermarket . hotel staff helpful , . worker front desk happily print airplane boarding pass ( free computer lobby - print boarding pass free internet surfing - work ) also reserve shuttle trip back O'Hare . if plan visit Chicago pure leisure , would not recommend hotel . would much well staying & quot ; Loop & quot ; ( main downtown area ) , business attend South Side , would check hotel . 
 Sep 1 2008 	 functional place stay Chicgo 	 spend 3 night son 's wedding , occupy 2 room family member friend also stay . $ 140 / night Chicago area , not bad value . hotel downtown , downtown easily accessible car ( recommend ) train . we find employee friendly , pleasant helpful . breakfast , pricey one would expect chain hotel major city , not exorbitant pleasant buffet . site parking expensive $ 28 / day , really much choice . 
 Aug 12 2008 	 Chicago baseball weekend 	 13 - year - old son stay baseball weekend . hotel conveniently locate Wrigley US Cellular . look reasonable safe place stay pleased . staff pleasant helpful . room clean comfortable . east / west north / southbound bus available right outside door . & quot ; L & quot ; friendly shuttle away . would recommend hotel anyone look simply lovely experience Chicago right outside hustle bustle city . 
 Aug 3 2008 	 Great restaurtant / bar / Breakfast - noisy room ! 	 breakfast excellent , menu lunch evening dinner delicious steak . friendly bar staff . use free shuttle servicve take back forwards UIC conmference - never run want often take taxi , & lt ; $ 10 go , hardly painful . drop train station take subway O'Hare airport - way - cost $ 2 direct go straight past teh traffic see sit stationary motorway beat $ 50 taxi fare take get hotel ( peak , arrive 23:00hrs ) .the room problematic - noisy . medical district , loud sierens air con unit make racket - even switch , whir away ' m glad take ear plug . the save grace staff bar / restaurant . not convenient go evening - although within walking distance Little Italy look ok , woulnd't want stray far main road area look little rough . 
