Middle 	 hotel , clean quiet , middle NOWHERE . Closest Walgreen 's mile half semi - dangerous walk away . hotel literally surround housing project almost taxi find . fair , bus pass , begin civilization 20 minute bus ride away , , 20 minute far . think company pay almost $ 200 per night know hotels middle action price . car not mind SOUTH SIDE Chicago , mean , stay . choice , will not . 
 Nov 21 2009 	 great hotel good staff ever 	 stay two night - wish long . staff beat - helpful , friendly , really care guest . own hotel , would steal , start Todd - great guy ! take bus downtown , easy - walk McCormick Plaza take 15 minute easy . walk Connie 's restaurant wonderful easy walk . ask Todd room view city light move we room 4th floor view remember forever . return Chicago stay again . only request would coffee pot room , least lobby . small cafe nice man , would nice able coffee easily . 
 Nov 18 2009 	 thank Steve Diane hotel stay fabulous . 	 large group stay Saturday , November 14th Steve Diane absolutely amazing helpful making stay easy comfortable possible . really appreciate kindness effort . thank ! 
 Nov 13 2009 	 Awesome Hotel service ! location quite dangerous alone 	 nice stay South Loop . hotel : room : clean , big , tv , desk , nice bathroom . perfectservice : personnel nice , help anything ! location : dangerous alone , not go . another friend take cab everynight . need walk go subway ( CERMAK / CHINATOWN ) morning visit chicago , come back advise stop previous station , take cab . cab everywhere Chicago . in General : awesome hotel , highly recommend . safe ! Chicago still dangerous city opinion . 
 Nov 3 2009 	 great hotel budget price 	 great hotel though 6 block outside south loop area 30 minute walk downtown area . £ 60 night excellent value - large clean well furnish room & amp ; friendly staff plus great little coffee shop lobby . 
 Nov 2 2009 	 Excellent Value 	 Nice - especially consider location price . stayerd three night please stay . $ 5.00 cab fare McCormick Center , short wait cab . Bus Fare downtown $ 1.00 bus stops corner . would prefer coffee maker room tell get . stay three night staff exceptional , would difficult try find area staff could improve . bar nice , could use snack option . coffee shop nice affordable ( Chicago ) . room huge . trash floor room check remote floor bed , overall good stay nice hotel 
 Oct 21 2009 	 Good hotel not want overpay downtown location 	 stay 3 night Chicago citytrip . nice clean hotel large room . perfect location not want pay two three time price hotel downtown . ( public ) bus stop front door 2,50 bring downtown 15 minute . free wireless internet ... ' big ' hotel downtown charge 25 dollar day internet access . 
 Oct 16 2009 	 great place price 	 find Hotels.com last minute Chicago Marathon . wife , son , want room sleep hotel exceed expectation far . price steal ( $ 100 / night ) , free parking , business center printer , wireless internet room , big bathroom . be look nightlife amenity place not , comfortable bed clean room can not beat . el across street 4th floor window disturbed wife , light sleeper . not bother , could hear . 
 Oct 10 2009 	 good hotel price 	 overnight stay . premium movie channel . breakfast good affordable - small sitting area . convenient convention center ( 1 mile away ) . overall , money , good hotel . 
 Oct 8 2009 	 Great Affordable Hotel City - accessible 	 stay wedding Southside hotel perfect location . kind appear nowhere walk Chinatown find first time . , bus stop right outside hotel straight State street Michigan Ave touristy stuff . bus run night plus , since line . concierge helpful , busy weekend service could slow time . complaint room except not come coffee pot . snack shop hotel excellent food though service slow . 's spa / salon , computer room , bar / restaurant , etc hotel . much view definitely great deal . 
 oct 8 2009 	 ENJOYABLE stay ! 	 great stay hotel . room good sized hotel seem clean . service good front desk . little worried location turn ok ... go Soldier Field . would stay . 
 oct 8 2009 	 great hotel - outside pricey district 	 ' ve stay several time , always satisfied decision . 's right bus line one get downtown area within 5 - 10 minute . old refurbish hotel . parking wonderful - free . 's downside , would lack food choice nearby . hotel up - and - come area , be really ready prime time .... walk may well bet . chinatown nearby Downtown , neither right there . the staff accommodate room large - quite large . nicely furnish comfy bed good bath / shower ( really matter ) . good hotel business stay . 
 Sep 28 2009 	 need bed 's bad 	 hmm . good stuff . clean . free parking well light , fence - in ( gate ) lot . cheap compare nice hotels downtown , mean one nice hotel . stay LaQuinta early week blow place away category . the night desk girl useless ask good blue bar good way get uptown driving . & quot ; take bus . & quot ; well , duh . try venture not exact change bus ( another detail desk clerk could mention ask ATM ; apparently common knowledge , not take public transit often ) . go hotel bar like sport bar . bartender pleasant plenty tv . elevator make scary sound year half old . room quite large actually , be whole lot . 2 picture wall exact picture . really care picture wall , give good idea attention detail hotel barebone nature room . room information hotel , room service , etc . restaurant menu restaurant premise folder printout cafe . printout wrinkle waterstaine , unprofessional good . cafe size room do cafeteria style seat room across hall . not try food wait minute not seem like anything go . order take , food come , acknowledgment we come door . line not budge . get couple water later ' m sure woman say anything legible we . little disappointing . seem little effort / investment could great hotel . miss lot detail . like title would recommend need place stay . next time want hang Chicago will not stay Chicago South Loop . will spend extra middle action . 
 Sep 24 2009 	 much expect 	 Southloop hotel pleasant surprise . clean , well run , professional . staff excellent especially desk clerk name Tommy Chen . room spacious large sitting area . hotel also easily access various route around Chicago . anything need hoyel staff eager please ; coffee taxi . hotel recently remodel pleasant . negative would cafe . staff friendly service super slow . otherwise , excellent hotel . 
 Sep 23 2009 	 Hidden Gem 	 real surprise . know someone familiar Chicago , may tell story Chicago South Loop Hotel , town need hotel , not overlook totally refurbish hotel reopen year half . nicely decorate large comfortable room free parking . book discount broker get real bargain . neighborhood undergo revitalization quite & quot ; walkable & quot ; yet , feel quite safe parking area hotel . spend three night rave service desk - especially Tommy work desk night . accommodate every request .. coffee shop , gift shop , fitness center bar plan restaurant . the hotel easy get short drive chinatown famous Connie 's Pizza . since parking free exit enter much like , easy take State Street downtown 
 Sep 21 2009 	 nice place 	 truly understand poor review place . 's Hyatt Westin , claim . think reviewer want high end hotel budget price . people go stay Hyatt Palmer House , pay four five time much would ' ve South Loop Hotel , quit whine . base review site , find South Loop much well expect . stay two night , share room two friend . room roomy , clean comfortable , nice big bathroom . front desk clerk bellman efficient , informative , helpful , kind , , humorous . much like always find rest great city be . I unafraid neighborhood , find run , undergo renaissance . expect continue improve . wish restaurant least coffee shop close hotel . biggie , though , breakfast serve somewhere near lobby - never opportunity try , sure smell wonderful ! proximity downtown , etc . , hotel corner 26th State . State Street bus run every minute , be downtown time . , take taxi $ 10 . train run close well . ( poster complain noise train , & quot ; el & quot ; , whatever be call . ' m light sleeper , not bother first hour . ) get fact be right downtown pay big buck stop complain . would recommend place anyone want nice , clean , friendly accommodation much money huge city . 
 Sep 17 2009 	 good last minute rate ... 	 pull Chicago around 1 am get nice room good rate ... take next morning cheap place mile night . rate half rack rate surround hotel . free parking ... 
 Sep 15 2009 	 good value unfortunately poor service noisy due night club dance hotel 	 unfortunately experience Chicago South Loop Hotel taint poor service experience loud night club music keep we late evening . staff check - in unpleasant , unaccomodating , almost knowledge area . inquire place eat - extremely limited unless travel north city - absolutely idea entirely unhelpful . first night stay loud night club dance go could hear way 4th floor room last hour night . want hotel , not hold loud night club dance disturb customer try sleep . bartender bar extremely bad mood , common theme help encounter , exception bell hop top game ask teach rest staff customer service skill . unfortunately never stay hotel due experience lack anything around hotel . 
 Sep 15 2009 	 Hotel name mislead . 	 book hotel Hotwire . look something near Loop . hotel least 2 mile south loop rundown part town . offer kind shuttle even though , one time , list courtesy shuttle van website . staff help whatsoever regard restaurant area , etc . fourth floor able hear music bar party room throughout night . 
 Sep 15 2009 	 Skip Awake Pearl 	 Hotwire totally mis - represent hotel . 2 1/2 star hotel , must live grand mansion . good thing say hotel affordable . close absolutely nothing run building project . get see & quot ; transaction & quot ; & quot ; guest & quot ; transvestite hooker upon arrival checking . pay hotel need place stay busy week - end would turn around leave place immediately . the room large , well appoint . air vent bathroom swarm small bug seem multiply corner bathroom ceiling . towel smell clean fresh wall look someone try clean quick swipe already dirty cloth . furnishing rather cheap look look date relatively new hotel . bad part trip visit & quot ; site coffee shop & quot ; , Awake Pearl . place joke funny joke . & quot ; Pearl & quot ; , ' m assume , since other around call , rude , condescend plain unpleasant . understand Ed Debevic 's charm allure treat poorly wait - staff , part ambiance Ed Debevic 's one enter place aware look forward barb snide comment server , 's part act . Pearl act . quite possibly rudest , unhappy person ' ve ever encounter . must hate living hate life people general . order biscuits gravy small menu ask home - make , Pearl inform home - make giving look speak volume . buscuit gravy home - make , inedible , awful overpriced , boot . never treat poorly place , especially person business & quot ; hospitality & quot ; . perhaps Pearl consider find another line work Chicago South Loop Hotel consider replace little room small continental breakfast area serve guest . extremely disappoint waste last vacation day place like assure everyone use Hotwire hotel future , sad daughter love travel Chicago time per year . 
 Sep 10 2009 	 new home away home Chicago ! 	 great place . staff great . room beautiful lobby . whatmy husband look _ five star hotel near relative south side . I feel safe , comfortable much home . never look anywhere else inChicago . Eureka _ find ! travel Chicago least year . , nothave search hotel . 
 Sep 4 2009 	 good Kept Secret Chicago ! ! ! ! 	 check - in check - out , wonderful ! front desk personnel busy however , feel abandon continually state would professional warm . opportunity meet Guest Service Manager , Mr. Todd Soliday excellent ! room spacious simply beautiful ! comfortable . could go stay assure disappoint stay South Loop Hotel . recommend facility friend family gather November . 
