good 	 great location , reasonable conference rate , small clean & amp ; tidy room , free wireless business hotel ! convenient Blue Line Jackson station 
 Nov 3 2009 	 Cool place visit 	 accompany brother 6 day annual american surgeon convention . stay Club quarter . got reasonable rate US $ 45 / night . visit Millennium park , Willis Tower Navy pier . freeze cold . loved atmosphere architecture . indeed enjoyable trip . hope back soon time spend . 
 Nov 1 2009 	 's little Things make good value 	 great value price . room somewhat small one might expect , 's little thing count - especially try save buck two economy . give location , room cheap find . room clean cozy comfortable . extra ... let us start unlimited free bottled water add free wi - fi service top . day , hotel charge $ 10 internet $ 5 bottle water . add . staff friendly helpful . several fast food sit restaurant nearby . hotel locate right Orange Brown line . , save money end . 
 Oct 29 2009 	 Excellent Value Weekends inside Loop 	 mostly self - service property small functional room create value keep cost . really enjoy morning breakfast , downstair lounge business center , filter water machine floor , WiFi Ethernet Free Internet . feature business - focus , room design . stay several sister property city ... always gem . clean , comfortable room . Front Desk friendly helpful , knowledge local area . colleague , first - timer CQ , really enjoy quickly realize brilliance business traveler . n.b . weekend tend pleasure traveler , common business - orient hotel . 
 Oct 23 2009 	 certainly would stay 	 spend week , find convenient location ( access bus train quite good ) , include walk distance several restaurant attraction , easy taxi ride other visit . front desk staff invariably courteous accommodate , reliable source recommendation dine ( include card sign concierge good discount , one case , two extra side dish ) , use public transport , sightseeing , etc . the room nothing special , view Post Office inspire , although clean well maintain , include fridge micro . the housekeeping staff seem unable equate two people room week need certain number towel washcloth , never quite get around provide one tea bag ( lot coffee ) day . nonetheless , small inconvenience quickly take care , one point front desk cheerfully give we large bag absolutely cram coffee , tea bag , creamer , etc . good , quite noisy restaurant bar lobby , excellent member - only club room downstair . check - in quite efficient . 
 oct 8 2009 	 Cozy room great location 	 Club Quarters great location couple block walk several train , Millenium Park , Sears Tower , art museum . room kind small , perfect two people . hotel clean offer bottled water free customer . 
 Oct 8 2009 	 great location great price 	 apprehensive stay hotel price inexpensive chicago , turn wonderful . free bottled water , wi - fi business center . restaurant connect hotel vast variety beer food great ! room small , update . 
 oct 4 2009 	 Shottie - Billing Practice ~ check Credit card statement 	 not really mind stay ; good location , decent price & amp ; room .... pre - paid package Expedia . Chicago awesome city ! say , upon departure sequencial Visa statement bill 2nd time stay ! ... make follow - up phone call get refund . very disappointed ... unsatisfactory customer service , lose faith hotel chain . 
 Sep 28 2009 	 great stay great price 	 family husband , 6 year old 3 child 18 , 18 , 19 , stay hotel weekend . great experience . bedroom small use , serve purpose we safe , clean comfortable place sleep . staff hotel kind . able stay downtown price pay absolutely great . I would recommend hotel ! ! ! ! 
 Sep 22 2009 	 good hotel - get pay 	 stay hotel week late August . first stay anticipate stay future . company corporate agreement Club Quarters not much choice stay Chicago business . & quot ; ding & quot ; really give place regard front desk bed / pillow . several occasion stay front desk staff interested discuss personal life help customer . expect standard issue hard bed be get . expect condition pillow . go lay , interior content pillow move either side head head literally lay bed . 's point even pillow ? pile top kind roll ball , finally able get marginally acceptable pillow . as other mention , hotel going put middle action downtown . not mind walk order get Michigan Avenue , Millennium Park , etc . will fine . 's business area town , bit deserted weekend 8 - 9pm weeknight . walk around numerous occasion time feel perfectly safe . as room size , room one queen bed . small US standard be downtown Chicago , not room sleep shower anyway ! hotel cater business traveler be look spacious and/or luxurious room look elsewhere . overall pleasant stay hotel price pay , beat downtown Chicago . 
 Sep 13 2009 	 Excellent hotel - revelation 	 use Club Quarters end May first leg Route 66 tour . thank hotel , trip get fly start . book CQ Hotwire . consider stay weekend , absolute snip . check - in facile , receptionist exceedingly helpful - huge boost give long flight uk.the room , contrast many report , superb , good size . classy touch free bottled water available hallway - much need long day sightseeing . although CQ bit hike Magnificent Mile Hancock , Chicago mesmeric city 's hardly chore . Valet service fast , efficient really good value . also decent boozer attach side hotel , smart contemporary . short , CQ revelation provide nice feel - good atmosphere four we head St Louis . CQ one good hotel stay Route 66 tour . PS : seek Lou Malnati 's Pizzeria block away tea . Breakfast absolutely spend Lou Mitchell 's , 10 minute away . 
 Sep 6 2009 	 would certainly stay - business travel . 	 handicap great stay . staff great , especially Joseph , attentive helpful . Minnesota always say Minnesota nice . well ............ Club Quarters , attach restaraunt Elephant Castle ( E & amp ; C ) , good customer service ever witness . staff E & amp ; c courteous go beyond . however , one name stand Matthew , go extra mile help need . bed pillow great . would love know brand . side loud bang every night . unsure come woke night partially deaf . would like thank staff Club Quarters & amp ; E & amp ; C ! ! ! ! ! ! ! ! ! ! ! ! 
 Sep 5 2009 	 GREAT PLACE 	 Rooms smail ; plan spend lot time room , not bother . clean , great location nicely decorate . pay less $ 100 per night - terrific price . short walk Union Station Grant Park subway line . back . 
 Aug 31 2009 	 ` ` central '' downtown business district ! 	 stay Thursday night , Saturday . staff friendly helpful . room small , accomodation clean comfortable ; besides , much time plan spend room anyway ? common area ( business lounge ) nice & amp ; spacious . english pub premise , Elephant & amp ; Castle , excellent selection beer . the hotel 3 block away Chicago Institute Arts & amp ; Sears Tower ; 5 block Buckingham Fountain . Blue & amp ; Red line couple block away . free wireless access , network kind spotty , sometimes difficult connect . overall , good value . 
 Aug 27 2009 	 pleasant stay 	 arrive hotel notice sign offer room upgrade $ 15 night . take advantage deal see room . low portion window frosted room exceptionally small . however nice size desk free internet access . later , occupy room bit ask could upgrade . desk clerk say yes book we room bed , couch , table , fridge , sink microwave . probably 3 time big first room . room clean well stock plate , flatware , iron ironing board . free filter water also plus . restaurant connect restaurant pleasant staff restaurant hotel wonderful . the hotel 5 block Union Station previous reviewer state , less 2 block & quot ; L & quot ; . Lake Michigan , Grant Park , Millennium Park attraction less mile away . would definitely stay . 
 Aug 27 2009 	 small modern . 	 stay hotel last trip Chicago . pick hotel one reasonable price ( hotel Chicago expensive ! ) . hotel modern look pretty new . room clean small . however , rarely room , not bother we . staff attentive helpful . also provide free bottled water unexpected welcome amenity . hotel also free wireless also print free ! location plus close almost every subway line . day , lot around area night 's kind dead keep mind . 
 Aug 17 2009 	 Unorganized Staff Resulted Security Door 	 late flight home , pay extended checkout , additional 3 hour $ 35 , however communicate cleaning staff come clean room around normal checkout time . explain pay extended checkout go back sleep . not know clean crew check front desk exactly happen , hour later security come room . charge extended checkout unclear could miscommunication , give interruption worth money . otherwise hotel fairly represent website room small . hotel also convenient do - it - yourself water bottle floor - much well pay $ 4.99 would charge typical water bottle hotel mini - bar . 
