surprising 	 traveler enjoy stay good hotel , first always check review people say location willing check . Chicago ( favorite city ) usually stay Palmer house ( Hilton ) , Hilton Garden inn , Conrad , Chicago Hilton Marriott Michigan Ave . destination always magnificent mile especially close Michigan Ave . far , find good hotel Chicago still conrad Rush street ( Grand Michigan ) . , time year thxgiving break spend Chigo every year , could not get rate want , except went BOOKING.COM find good deal stay Comfort suit 320 N. Michigan Ave . WOW , WOW , really surprised . small lobby , yes , room spacious , long wide , unbelievably clean , ( be also see review stay ) , good help , try hard accomodate customer , bad customer service , surprised room . big room actually must say suite , even washer dryer inside suite . great value , good hotel , clean , mostly suite view river Michigan Avenue . wife agree stay always . go back Christmas . love , advice go ahead make plan Chicago give business . honestly close everything , block Water Tower , close nort grant parking deck underground . 
 Nov 24 2009 	 great Views 	 huge room amazing view . Ask & quot ; 05 & quot ; room want see north side Michigan Avenue . 
 Nov 23 2009 	 Perfect Location Festival Lights 	 stay Comfort Suites Festival Lights Michigan Avenue . choose spot closeness event . suite , huge , patio amazing view ! allow we avoid fight crowd could watch parade comfort balcony . service friendly prompt , bed comfortable . overall , would highly recommend hotel . return . 
 Nov 18 2009 	 great hotel great location 	 room huge kitchen area . 1 evening would highly recommend hotel extenede stay . delighted continental breakfast , pleasant surprise . stay upper floor great view . staff friendly helpful . 
 Nov 16 2009 	 excellent spacious hotel great price 	 price pay suite ( $ 104.00 ... Manager 's Special ) absolutely thrilled hotel . two small child look reasonably price suite pleasantly surprised . great location , free breakfast , huge room , fully equip kitchen , extremely comfortable bed update feature . parking pricey park couple block away almost 1/2 price valet unload car around corner little tough can not unload Michigan Ave . computer connection little slow computer available use . get price like , would recommend Comfort Suites heartbeat . 
 Nov 15 2009 	 nice location good size room favorite hotel Michigan Ave . 	 location hotel good . short walk across river main shopping area . not able hear noise guest hotel , even though 13th floor , could hear lot noise car people street . room large , nice kitchen , lot closet , washer dryer . bathtub chip . would not let daughter take bath tub . one elevator stop work Sunday morning . walk stair several time try get stuff room check - out . major inconvience . 
 Nov 14 2009 	 great location fabulous room free breakfast - love stay ! 	 love hotel ! ! great able relax large lovely well decorate suite seperate living bedroom , good sized kitchen bathroom . must different sized room however , couple talk say small be . the washing machine dryer bedroom huge bonus . free breakfast , yes room kindof small ( around 6 table ) nothing stop people take breakfast lovely room . yes 2 elevator , not mind wait minute so.2 computer near lobby free internet , great . staff helpful , recommend Irish Pub dinner coupon free appetizer . fabulous location ! right near start magnificant mile , fantastic view river gorgeous architecture . would definately stay . thank Comfort Suites ! 
 Nov 10 2009 	 great location large room w/ kitchen low rate internet work 	 plusse : newly remodel hotel GREAT location 1 block south river . Perfect Architectural river cruise , Millenium Park , etc . full kitchen , nice bed , seperate living room bedroom . minus : , internet connection work although 2 computer printer downstairs could use check email get direction . elevator wait long . got great travelzoo rate . less $ 100 . , include breakfast , unheard part town . would highly recommend , not drive . parking 25 50 % room rate . 
 Nov 4 2009 	 experience good ....... 	 suite upper floor , everything work well location great ! hesitate review , lucke guess . advice would ask need ; i.e. , w / d etc . obviously different type room ..... 
 Oct 25 2009 	 incredible location amazing suite ! 	 slightly dubious hotel , not look great outside . however , absolutely amazed walk suite big . enormous living room , view direction Michigan Avenue , kitchen area , crockery , cutlery glass , cooker , microwave toaster . bed incredibly comfy , bathroom , rather small , absolutely fine . pay ( £ 85 per night ) think amazing deal , nice able cook rather try find somewhere eat ( bit challenge Chicago ' m vegetarian ) .A negative : be great 's pc , help get boarding pass sort . however , really wireless internet throughout hotel , rather lobby area breakfast room . reviewer right breakfast room ridiculously small . get want come back room - wireless internet mean waste time hang around downstairs rather eat breakfast working day . there two lift , slow . suite not washer dryer , would really handy . there be coffee tea provide , great , milk nasty non - dairy creamer . however , overall really good deal unbeatable location . will definitely stay ! 
 Oct 20 2009 	 great family business . 	 glow review , expectation high . , really great hotel perfect location . also , pricey hotel Michigan Ave ( still , $ 250 / night time ) . big window great view . huge room . full kitchen , even washer dryer . perfect family , accompany husband business trip . however , inconvenience . 1 ) internet mostly break . 2 ) key card need re - configure least -- sometimes twice -- day . 3 ) Toilet keep plug . 4 ) breakfast room quite small . couple time not anywhere sit juggle plate back room eat . CONCLUSION : Recommended family want stay downtown not mind inconvenience . recommend business person . actually end check two day early go somewhere else crucial husband internet business . 
 oct 9 2009 	 Bad Hotel w/ really bad attitude - not stay ! 	 often compel write review , want save traveler 's think hotel good deal , simply base location . travel often business decide try suite . think well deal find area . guess old , cramp room would not bad general overall attitude well . room not clean one day . could not shower one day water pressure drip . care ? NOPE ! think assume continue get business location . not fall ! 
 Oct 8 2009 	 Graet Location - Large Modern Suite 	 Great Location right Mich Ave . 1 block River Walk & amp ; 3 block Millennium Park , start magnificent mile . hotel small lobby . large room make . room good size suit full kitchen living room area modern office space free Wi - Fi . also wonderful city view high floor . 
 Oct 8 2009 	 huge room right middle ! 	 gorgeous suite right middle everything downtown Chicago offer - Magnificent Mile shopping , park ( walk Millennium Park ) , site see ( walk Sears / Willis Tower Navy Pier hotel ) , easy access train , right beautiful river , lot restaurant choice - location location LOCATION ! Chicago offer , not want spend much time hotel ... hard leave huge suite great view . internet wire , reliable ( free ) . usually travel pet ( rare occassion not ) unfortunately likely stay , pet - friendly hotel . , hotel perfect . 
 Sep 20 2009 	 Great Location Great Hotel 	 fact , write wife pack thing gaze window Michigan Avenue . view across bridge past Wrigley Building fabulous . the location can not beat - shop district walking distance , Art Museum Milleneum Park . . . give edge Water Tower Place area hotel . room suit queen pull - out full bed . floor plan super - spacious , enough room entertain family friend dinnertime . not always get pay . . . hotel get , little bit . 
