nowhere 	 Cleanliness , oh ! room spotless arrive everyday would return smell new linen sanitize bathroom . location perfect , near souvenir drink snack . Ambassador suite beautiful roomy , two balcony , two bathroom , wow ! service spectacular , deliver three layer red velvet cake we honeymoon . value .... comparison . book room Amtrak huge discount … cab 24 - 7 front door , late check , view die , bus route L one block greek food . Plaza great , one nice hotel cleanliness service ; ' ve ever stay . thank staff make honeymoon special . see soon , come back . 
 Nov 22 2009 	 be work make thing well 	 stay 2 night business . would read comment tripadvisor outside noise not adequately drown light room insufficient . see sleep package include ear plug , laugh . note say work towards add light room . least listen customer 's complaint , read response something . personally not need ear plug ok lighting since not need read anything . what like fact quiet zone - floor limit kid , housekeeping start bit later , etc . wish hotel floor like ' ve bother kid run hallway late night . what not like fact elevator 's card reader not work time . initiallly , think card problem turn reader elevator car old maybe dirty slide card real fast reader . ( work we get tired go front desk check card . ) even security personnel escort we one time say even master key sometimes not work reader . 
 Nov 21 2009 	 Nice hotel far Michigan Ave . 	 recently stay two night Crowne Plaza . typical business hotel . executive suite nice adequate lighting room little note explanation process instal lighting room . fair amount noise freeway hotel sit right next . guess 's earplug room . hotel dining room okay breakfast . several good greek restaurant close grocery store across street . far downtown area like Michigan Avenue , good 20 minute walk . not really mind except start rain . prepare take taxi go anywhere hotel . say front desk staff nice helpful ask direction , etc . bell staff good store luggage arrange town car back airport price regular taxi . light problem room comfortable except little freeway noise . 
 Oct 23 2009 	 nice property 	 last weekend husband 2 adult son adjoining room 11th floor across elevator . quiet , clean , comfortable bed . puzzled find ear plugs eye mask bed . find - sleep package . okthe noise come doorwall seal . nice balcony . niece wedding . 
 Oct 23 2009 	 Satisfactory hotel near Amtrak 	 stay hotel two night board train home . adequate . trouble shower . fix , much bad . credit we one night stay complain . little town think . direct busline right town . easy . husband disabled could drive scooter rent right onto bus easily . 
 Oct 17 2009 	 Great Hotel except Lack Customer Service 	 Amtrak train delay due flooding give room . hotel great . clean room flat screen tv 's . problem check . Amtrak pay room guest . hotel tell Amtrak passenger would post deposit 50 dollar . Amtrak allow hotel collect deposit distress passenger . problem passenger 50 dollar . front desk staff friendly check . Priority Club Gold member tell Platinum member get breakfast coupon . friendly . 
 Oct 17 2009 	 small bed 	 bed small two people . hotel room clean nice . 
 Oct 12 2009 	 fantastic stylish hotel great location - highly recommend 	 hotel really great overall - pleasantly surprised . staff extremely helpful friendly . hotel location great - 2 block outside Loop , still centrally locate walk . be two block Greektown , one block Walgreen 's one block Dominick 's ( full grocery ) - could not convenient realize ' ve forget pack certain item ! ( want bottle wine room ! ) lot great restaurant mere three block away Randolph St . room stylish , sizeable bed killer - extremely comfortable . room even flat - screen tv ! hotel even BALCONIES - rarity day age hotel window not even open due liability issue ! strange thing bathroom - odd . sink / counter situated corner , mirror split leave right - little counter space work faucet offset leave sink instead center . Kinda seem like mad Hatter design whole thing , could work around get use . Shower arm also bizarrely set , , huge big deal . consider get fantastic last - minute rate internet ( right marathon less ! ) , really get money 's worth . highly recommend . 
 Sep 22 2009 	 great hotel friendly staff great bed shower ! 	 hotel nice . room clean . bed pillow comfortable . shower awesome ! would definitely stay ! 
 Sep 16 2009 	 Uncomfortable Noisy Awful -- stay away ! 	 bad chain hotel experience ever . rock hard bed bad . arm fall asleep . lot noise adjacent freeway room next door . airconditioner old loud . small poorly light room make bad inoperative light . tell low - income housing slap coat paint carpet . 's expensive boot ! bad choice . many good hotel option nearby -- choose . 
 Aug 25 2009 	 Loved Hotel 	 stay one night love room . king room bed comfortable . room update modern . everything seem really clean room . charge local call think ridiculous buffett breakfast rip , go somewhere else breakfast save $ 15.95 person . like able use balcony . would stay . 
 Jul 31 2009 	 awful awful awful 	 sister , husband July weekend service disaster . review place often feel compel share experience ..... save money . 1 . woman desk clearly high something , long line form , guest angry , accidentally give sister 's credit card ID stranger , later find & quot ; take care & quot ; file complaint . 2 . valet nearly lose sister 's key not seem worried . 3 . store luggage back room check . get back check - in , luggage guy could not match number luggage ticket number tie around luggage . hard job ? everyone wait luggage go back room get even though pay job 4 . could hear guest vent bathroom . 5 . request non - smoking room entire hallway wreak smoke . 6 . understaffed . 7 . business center wait line front let - card grant access 8 . manager - type person not seem apologetic wished press discount . 9 . absolutely stay place . way over - price crappy service . 
 Jul 24 2009 	 horrible experience 	 make reservation 1 month advance 1 room king bed smoke . get hotel tell room like available we would take non smoking room 1 king bed smoking room 2 separate bed put together . manager nothing customer relation phone . drive 5 hour Ontario Chicago deal ... girlfriend parent get 3 hour we get fed story . 1 hour complaining get room . tired not time since come family reunion . bad experience . would recommend anyone . room small , bathroom small compare hotel ' ve stay . 
 Jul 23 2009 	 Fun weekend 	 spouse Chicago weeke fun . viste good friend live Chicago Area . hotel great location right freeway , easy find . offer valley parking , small fee course , need hunt parking spot Chicago . location self beautiful time walk front lobby . staff helpful friendly , good service hotel . would recommend property anyone stay Chicago area . also lot great view awesome balcony ! come check location ! 
 Jul 20 2009 	 enjoyable stay 	 staff come Chicago stay Crowne 2 3 time month . friendly professional staff . hotel clean locate near expressway ; make easy access airport . would also recommend leisure stay . 
 Jul 18 2009 	 enjoyable comfortable stay nothing spectacular either . 	 Positives• Blocks Willis Tower ( formerly Sears Tower ) Greek District• Excellent Greek restaurant & amp ; shop nearby within block 2• Nice room , slide expose pocket door bathroom take bet use to.• Awesome reading light executive rooms• 2 drug / grocery either side hotel• 3 Starbucks nearby – like within block direction ( 1 inside drugstore / grocery ) .• conference room etc excellent• Catered breakfast lunch excellent . neutral • 24 hour news sport channel nothing interesting Weather Channel HBO , kind luck tv . PPV movie ' . • 15 minute walk blue line near IHC & amp ; Halstead 15 minute walk pink line Lake State . much issue unless lot bag , inclement weather , etc . ( strangely enough , shuttle service whatsoever – airport , CTA , nothing . ' stay many time low quality level hotel Midway ( HIExpress , Courtyard Marriott , etc ) shuttle service Midway obviously fly , take bus catch subway . odd much high end part HI chain ' offer something hotel ) .negative • elevator smell like cigarette smoke• wireless internet room slooooooww & amp ; often time page boot . ethernet room ' help much hotel website firewall incompatible . internet even business center painfully slow also.• Desk clerk check - in advise book stay thru Orbitz ' count stay towards Priority Club point . ( Boo ! ) • Desk clerk make dramatic statement wireless internet room complimentary . good thing ' charge – dog slow wireless internet . internet connection hotel business center ' well . we 6th floor still hear plenty street noise . suggest high floor available . 
 Jul 18 2009 	 Location location location ! 	 Crowne Plaza Chicago Metro perfectly place downtown Chicago , 10 - 15 minute walk Sears Tower . ( not care change name Willis Tower , call ) . top phenomenal location , staff extremely courteous accommodating . also nice Fitness Center pool , hot tub , sauna , steam room . entire experience outstanding . would definitely stay . 
 Jul 15 2009 	 Outstanding Sevice 	 stay many hotel Chicago year experience & quot ; Crowne Plaza & quot ; good ' ve ever . staff always remember name , impessive . manager reception always friendly enviroment make people feel welcome . use conference room facility sevice facility equally outstanding . ever Chicago area make & quot ; Crowne Plaza & quot ; hotel choice . 
 Jul 15 2009 	 Location outstanding know City Chicago 	 hotel great experience park car time check . hotel locate right middle Greektown easy axcess expressway good part almost equal distance many venue city ( Wrigley Field , Lincoln Park Zoo , U.S. Celluar Field , United Center , Solider Field , among many other ) . 
 Jul 14 2009 	 great access West Loop 	 stay hotel frequently business trip Chicago . find service prompt , attentive accommodating . room clean modern flat screen tv . excellent restaurant hotel ( little pricey day ) . great access Greektown Chicago 's west business loop short walk across Kennedy expressway . 
 Jul 14 2009 	 Fabulous Accomodations 	 room nice spacious . front desk staff individual travel personnel wonderful polite . would definitely stay often , visit Chicago frequently . travel regularly business , domestically internationally , would personally stay and/or recommend hotel peer . thank ! 
 Jul 14 2009 	 great value location service ! 	 stay week love . nicely appoint room great skyline view . 
 Jul 14 2009 	 Quality Service w/ much little want ... 	 ' ve stay hotel 3 4 time past year . experience interesting stuff restaurant , recent stay impeccable . staff pleasant , although busy , remain attentive need throughout entire stay . room service pleasant accommodate different schedule stay room late venture city . find another hotel Chicago close everything interested seeing . shopping museum close downtown business district right . hear restaurant new management , opt give try . pleasantly surprised service high quality , food good , staff make sure everything correct . order breakfast 30 minute post end time , produce food , without mention time . overall , quality value , find Crowne Plaza hotel enjoy stay . be close enough everything want , far enough away hustle not struggle feel relaxed ' m . definitely stay would absolutely encourage anyone ! 
