great 	 wife stay honeymoon . want comfortable luxury hotel close Mag . Mile . able get Corner King 21st floor . great view . plus - amazing bed - the shower lavish - hotel staff helpful - Breakfast ( free make reservation online ) delicious filling - Location ( near Mag Mile Whole Foods around corner easy snack ) -mp3 docking station nice add on - the gym sufficient quick workout - the Spa helpful massage feel wonderful alot walk around Chicago wife enjoy manicure facial . minus -The second floor entrance slight problem nothing can not handle - the ceiling much look at - the spa price higher use seem inline downtown Chicago . see not alot negative thing say Dana . service great , view wonderful amenity lavish . would recommend hotel young couple hip famile visit Chicago leisure 
 Nice 	 Dana excellent hotel heart downtown Chicago . ultra modern styling personalize friendly staff . 
 Nov 22 2009 	 great deal 	 book travelocity pay $ 130 night include breakfast . room small modern . bed comfortable . close everything . bar top floor , restaurant lobby , good . staff friendly . 
 Oct 20 2009 	 Perfect place relax middle city ! 	 Chicago marathon want hotel could comfortable sleep night race , nice central place enjoy marathon day sightsee wonderful city Chicago ... Dana fit bill . service outstanding moment arrive .. front desk staff incredibly friendly helpful . room ( cozy king ) TINY- ... expect rate pay . everything need . worry tub soak weary muscle run- water pressure shower amazing ! really decent price minibar .... never make sense hotel quadruple regular price bottle water beer . will get elsewhere ! breakfast excellent . busy Monday morning Columbus Day ... fine . downside room could well soundproofing- matter . sleep anything problem- husband half one night due party next door . security come up- start . Overall- highly recommend Dana . location amazing- bar / food around you- whole food / Trader Joe be within block ( treat us- TJ 's Canada ) snack / liquor , right 2 subway stop red line- walking ( hobble run marathon ) distance sight .... great stay - thank Dana ! 
 Oct 20 2009 	 Fantastic Experience First Class Staff 	 check Trip Advisor see picture Dana Hotel , book room know would close Magnificent Mile friend also viste Chicago . could ask well experience ! rate great include wonderful breakfast . location ideal everything want . spacious hip room 18th floor terrific view . see - through shower bedroom world see cool addition good talker friend visit we . ( amde sure take picture can not post . ) bed plllow extremely comfortable simply good ' ve ever hotel . room also quiet provide great night 's sleep . we go Vertigo Bar Club top floor fun . be one hot night spot town . entire hotel contemporary pleasing eye . well design add whole experience Chicago . bring we staff . could not helpful . Jeff , Romeo Lindsey offer we good suggestion place eat visit . first night , want romance Jeff make reservation we nearby & quot ; Devon . & quot ; arrive posh restaurant give private room overlook rest restaurant table . food service incredible not take huge chuck wallet . helpful suggestion Dana staff right . last night want hear jazz .. Jeff recommend Green Mill , old nightclub Al Capone use frequent . surprise , one favorite jazz artist perform night . go see Patricia Barber table right front piano . talk incredible last night Chicago . many hotel Chicago choose experience . time Dana much fun , go back Chicago , be stay . highly recommend . 
 Oct 16 2009 	 great hotel Excellent location 	 stay Dana Sept , way home NZ 5 week travel around Canada . perfect place unwind 3 day . helpful staff , lot good restaurant nearby within walk distance magnificent mile . we 19th floor balcony great view city . room good size fantastic shower , clean . even ongoing noise police , fire engine ambulance drift street was'nt bad . also impressed Quartino , italian restaurant , one block away , recommend concierge . also give we discount coupon use . good food . the breakfast downstain also good . 
 Oct 15 2009 	 Nice room Great view ... Good Food - come slowley 	 hotel centrally locate . 's say . yes , street noise , although not get much hallway noise . not hotel yet , big city , not noise . say ; check - in efficient easy . bag take room go bar pay overprice drink . mean , order irish coffee get charge $ 5.00 cup coffee $ 6.00 shot ... anyway ... hotel bar . room , nicely appoint . bathroom large beautiful shower ( double queen room - shower one head , friend Comfort King room - like water come every direction ) - nice comfy robe wear . hair - dryer feeble ... eventually job . big problem hotel inconsistency . first night maid turn bed pull shade , neglect pull blackout shade ; important feature east facing room ... not know . second night , pull , maid throw pillow chair next nice crack sun peek , right friend eye . nice touch give coupon make order breakfast downstair restaurant - value $ 15.00 . morning go downstairs breakfast ... busy ... wait ... sit ... wait ... wait ... someone please bring we coffee ? ? ? ? oh , sure ... wait ... wait ... say , service slow ? yes , yes . food mostly good ; couple misstep inconstancy ; assume kitchen make poached egg advance , use method put egg ice bath hold service put hot water warm finish cooking ; be important step , put back hot water ; be do , egg cold ice . egg friend 's Eggs Benedict . however , poach egg friend plate hot . second morning well first service ... slow , bad , be like ignore . not even make eye contact . morning order Biscuits Gravy ... let say ... clearly ... not ... 's Biscuits Gravy , be biscuit white stuff slice sausage mushroom ... be right . want give shout tj guy tat , ( sorry can not remember name ) guy great ! lindysez : be nice place stay , central many site , comfortable , food good ... not expect time soon . 
 Oct 15 2009 	 home away home - fantastic ! 	 Chicago run marathon need place offer peaceful , relax room help calm marathon nerve Dana perfect . corner room two wall floor ceiling window often time would get lose look city . time , melt oh - so - comfy bed let stress flow away . modern , urban decor hotel actally allow forget hotel like home away home . ' m great writer postiive thing reviewer say .... will ditto comment . staff great . check - in take 90 second . check - out less . concierge quick restaurant suggestion perfect . hotel even kind enough coffee , bottled water , banana , bagel , etc . guest marathoners race morning . nice , unexpected , thoughtful treat . Suffice say , will back Dana anytime return Chicago - be often . great city . fantastic hotel . could not ask well . 
 Oct 12 2009 	 Dana experience worth ! ! 	 wife come Chicago late Thursday evening Chicago marathon . staff friendly helpful get we settle . location hotel Chicago leave we several block Michigan Ave . shopping district truly enjoy . front desk staff . waiter , doormen cordial helpful question . room clean , comfortable . nice come day Chicago turn bed quiet room . hotel location Navy Pier , lake shore park , numerous restaurant , shopping make visit great one . 
 Oct 12 2009 	 Perfect -- everything right 	 attend small conference hotel stay three night ( extend long weekend sightseeing conference ) . colleague total agreement stellar hotel experience -- flight home try hard could find something criticize could not come single thing ! modern design building wonderful ( new construction ) interior design contemporary classy -- style like . room huge suite great decor , huge bathroom gigantic walk - in double shower two balcony . make break hotel room really bed one fantastically comfortable beautiful fine linen . know , many hotel trendy design aesthetic decent bed , really make experience supreme staff -- young game . everyone clerk check - in room service attendee , waiter restaurant , concierge , doorman , manicurist , special something : friendly quiet confidence manner make feel comfortable take care . Bravo manager know hire keeper . bravo ! would stay without moment hesitation . 
 Oct 11 2009 	 Argh elevator doom ! 	 pro : great location - central . our corner room 2 wall floor ceiling window unpainted concrete ceiling . really love modern decor feel spacious , maybe corner location . we happy amenity room - fantastically comfortable bed , wonderful ( huge ) shower , coffee maker , safe . the inclusion Zeppelin mp3 player impressive , even not use . deal include $ 15 breakfast voucher . enjoy breakfast , without voucher , probably would taken breakfast elsewhere , be bit pricey . the check - in machine locate lobby enable we print boarding pass flight home . awesome . impressed ! con : elevator . know sound ridiculous , single bad thing hotel . elevator shoot past floor regular basis , not fast enough trigger key card . 's point every guest insert card select floor , really intent cause mayhem floor not belong , could walk stair shaft another floor anyway ? ! hotel management seriously need ditch card system - 's infuriating . meet disabled guest walk aid , ride elevator age , try vain reach floor . find way enter rooftop bar rather qu , go directly guest elevator . go via security , even allow special elevator bar . hotel rooftop bar , would several time , maybe even daytime , check view . chance one . finally make , area near windows section private party anyway . feel like be actively try discourage guest drink rooftop bar . there information room . location spa . create general feeling & quot ; be cool tell anything & quot ; , bit tiresome . 
 Oct 11 2009 	 well Dana Hotel 	 partner pleasure stay Dana Hotel Spa five night October 1st October 6th . quite possibly good hotel stay ever entire world ( travel extensively ) . check could go easy . even allow check bit early ... no - no many hotel . room absolutey gorgeous . stay king room . room face State Street except one balcony . room absolutely gorgeous ! floor beautiful . bed extremely comfortable . absolutely love decor . actually liked expose unfinished concrete ceiling . bathroom work art . mirror 's border light inside . shower 's glass wall face room ( course curtain ) . rain showerhead bathroom beautiful touch . mini - bar 's price reasonable . absolutely love iPod docking station free WI - FI ethernet connection room . like extra touch turn service evening . overall , Dana hotel look forward visit return Chicago . would also like send special & quot ; thank & quot ; Tim Anderson , concierge manager deliver bottle champagne room know celebrate 40th birthday . 
 oct 9 2009 	 Great Hotel 	 husband travel Chicago first time . many hotel choose , do not know begin . look W Hotel , rate high . see Dana Hotel decide give try . please hotel . trendy modern . location good -- short walking distance Michigan Avenue . staff friendly helpful . think great hotel . rate seem reasonable hotel Chicago great location . definitely stay . 
 oct 8 2009 	 great weekend sister ! 	 LOVE setup room . shower pretty cool well . ipod doc speaker AMAZING ! tv , bed FABULOUS ! crappy thing not pool/ hot tub club upstairs play Alternative music- pop hip - hop r & amp ; B- really suck : ( anywho , fun labor day weekend sister : ) hotel staff really nice ! parking expensive- lot across street cheap still expensive 29.00 per night . 
 Oct 8 2009 	 trendy comfortable hotel good food rooftop bar . 	 stay brother 's wedding weekend August please accomodation . price great Loop room really nice - comfortable bed great shower . note : shower visible bedroom , though curtain block view . kind weird . restaurant good food , though service really slow . rooftop bar friendly staff great band . would definitely stay ! 
 Oct 4 2009 	 new favorite hotel Chicago 	 boyfriend stay Dana 3 night late September . moment get , service fantastic . Doormen welcome friendly , Tim concierge manager amazing . Corner King room even though not huge , extremely comfortable stylish . breakfast include room rate instead usual , lame continental breakfast , $ 15pp credit restaurant . needless say , day start fantastic breakfast . rooftop lounge pretty cool , busy ideal late afternoon drink . love hotel location , service everything else . fourth time Chicago , time different hotel , definitely favorite . stay . 
 oct 1 2009 	 Loved Dana ! 	 stay 3 night Dana friend absolutely love it . location - Close subway / transit easy enough walk pretty much anywhere time energy . purchase 72 hour transit pass $ 14 well worth it . room - Comfy King , bit small , way negatively impact stay . small balcony overlook State Street , great entire balcony consist huge window . decor ultra - modern , much style . not like modern will not like room . room large flat screen tv , great sound system single serve coffee maker make great coffee . well stock honour bar think quite reasonably price . bedding linen top - notch . glass wall shower ( visible sleeping area want - always curtain draw ) vanity area beautiful . turn service provide 2 three night , chocolate cover fortune cookie leave bed . thick robe slipper provide use . Staff - Staff wonderful - particularly doorman always ready help . check luggage take deliver room actual check desk second floor . bellman offer great tip Chicago . staff extremely helpful courteous . dining - eat breakfast hotel . $ 15 voucher provide morning stay , person . find price reasonable 2 we , never exceed $ 30 . free coffee available lobby bar help lessen breakfast bill . usually coffee ( 2 ) room soon wake . one poster mention , pancake large , make great picture . grill PB & amp ; J , nice , fresh fruit smoothie toast . always find enough food . friend usually type egg dish always happy meal . facility - not use spa , check gym . small side , several cardio machine free weight . I would definitely stay . also notice several young family stay hotel . also would not hesitate bring rest family . find good price booking directly hotel . 
