solid 	 hotel conveniently locate Magnificent Mile excellent shopping , walk distance many attraction ( though particularly close subway ) . hotel nice room well decorate ( though LCD tvs ) , arrive , shampoo room , wash cloth ( call front desk shampoo bring ) , bad , toilet seat dirty use wash cloth previous guest drappe shower curtain . wife would probably choose stay somewhere else next time . 
 Nov 24 2009 	 Average Hotel Good Location 	 stay past weekend friend go event city . satisfied , hotel thing work sure ... read : -I use Hilton 's & quot ; request upon Arrival & quot ; system online order thing like extra towel , pillow beverage deliver room even check . know go 4 guy 1 hotel room , extra towel pillow would great . item room , even though specifically request month prior make reservation . give ? -3 bath towel room mean hold 4 guest . 's hotel cheap right , clearly . -We find hotel indoor pool available guest check bring swim suit . information website ? -housekeeper try enter room Sunday morning without announce Disturb sign . thankfully room lock , still ... come . -After return late bar one night , get elevator security guard come we . say word we , follow we room leave . CREEPY . really okay ... make feel like criminal something.-location good ... maybe 2 block Mag Mile good area like State Street Red Line CTA . could also walk Vision / Excalibur event . -The hotel renovate bring date contemporary furniture , still tell Holiday Inn back 80 architecture layout . remodel really good job though 's par Doubletree hotel , although replace tv . room really could benefit flat - panel tv . really like window - seat room , great store luggage extra clothes.-friendly bellman , always say hello seeing need cab.-Easy access 7/11 , McDonalds , bagel shop Dunkin donut quick bite . -free WiFi lobbySO , , would stay get really good rate ; however , think well hotel city personal service well attention detail ... two thing important guest . I would welcome management response comment . 
 Nov 1 2009 	 nice room good location 	 hotel close magnificent mile . check swift . room spacious , especially city hotelroom . nice view . comfortable bed . 's nice breakfast restaurant across street ( Egg Cafe ) . 
 Oct 31 2009 	 good stay 	 travel across USA tour organise Great Rail Journeys York 7th 27th October 2009 . stay Doubletree Hotel Chicago Magnificent Mile Magnificent Mile Navy Pier one night . impressed room prepare occupation 1145 arrival present cookie arrival 20th Floor room magnificent view although could hear traffic noise . room large comfortable sleep well . hospitality tray limit . hotel clean modern decor large busy foyer area . staff gift shop friendly helpful . 
 Oct 29 2009 	 nice room miss luxury 	 hotel nice clean room newly update . block mag mile . service good . workout room pool . also hotel class complimetary breakfast . 
 Oct 26 2009 	 work great ! 	 land hotel via Hotwire ( $ 69 ) , good idea Hotwire would place Streeterville would quite possibly . totally suited purpose comfort area day friend 's wedding area . lovely able walk various location ( Ivy Room , Conrad Hillton , etc ) - pay rate able secure quality accommodation . bellman greet door duty several time 3 days/2 night cheery helpful . Loved Einstein 's Bagels ground floor area go lunch breakfast option . totally please 2 double bed room . would stay . 
 Oct 24 2009 	 Good Choice 	 two room suite usual Doubletree cleanliness . hotel short walk MM shopping . pool , locate near top hotel change ground floor experience . know suppose look other home , could help see home building one window . room quiet . would recommend hotel , especially need save money shopping ! 
 Oct 20 2009 	 solid choice 	 welcoming reception area good staff ground floor bar . , short distance MM . good size well appoint room . eat restaurant many option nearby . 
 Oct 20 2009 	 Great Location 	 Stayed weekend August . get good deal travelzoo.com . check - in pretty quick Friday ( wait 10 mintue ) give complimentray warm choholate chip cookie upon check - in . room bathroom clean . staff encounter friendly . park around $ 40 per day sound like lot , not bad downtown Chicago . location can not beat . hotel block Michigan Ave one direction Lake Michigan / Navy Pier . would recommend look nice hotel great location Chicago . 
 Oct 13 2009 	 good hotel would stay . 	 wife select hotel due relative proximity start line marathon run . quick cab ride Union Station bring we front door hotel , greet immediately Vlad take bag . Steve grab cart we bring room we check . lobby nicely decorate area , round edge everywhere ( someone else point -- neat see ) . lobby farily spacious , although give busy weekend , sometimes tough tell . not take advantage , free WiFi available lobby . we get floor , , nicely appoint , couch waiting . room King lakeview . room , include bathoom nice size , clean . bed comfortable . location terrific well , block Michigan Ave entail . note lakeview bit misnomer . not lie face lake , issue pretty tall building location lake , view lake consist side building . big deal we , be type want see every sailboat swimmer , may disappoint . service good . excellent , even . one front desk agent little abrupt inform we gift shop close check early , otherwise staff excellent . Ben front cab within second , concierge ( want say Dan , can not remember exactly ) able arrange large group ( stay hotel ) table busy restaurant . call sugar coffee , within 4 minute someone sugar , 20 minute later phone call making sure get sugar . towel little inconsistent , bring right away ask . excellent service . the one big negative tv . much not flat screen , although might expect hotel recently renovate , volume hotel channel first turn . not seem matter level last turn , volume army barrack would awaken instant . control volume turn . 's race get ot manageable level . the thing ther information booklet , laminate card fold 3 - 4 way . minor , question , difficult figure get info . keep mean check , never get chance , apparently hotel guest access Lakeshore athletic club next door . would definitely big plus still case . a good hotel though . would problem recommend anyone . 
 Oct 11 2009 	 need lunch 's warm cookie call name ... 	 first trip Chicago first stay Doubletree hotel . pleased course city also hotel . people desk helpfull judge ask delicious fresh baked cookie everyday , sometimes even breakfast ! room good size hotel close shopping restaurant . great time ! 
 Oct 8 2009 	 terrific Stay Chi - Town 	 Doubletree Magnificient Mile Hotel stay 5 day 4 Night stay Chicago . find hotel quite convenient thing need want . room really nice , book double queen room Lake View . bed really soft comfortable , air conditioning terrific . bathroom clean , housekeeping gladly give we extra towel travel two child . complaint room lack fridge . minor compiaint , want mention . would think cost staying fridge would include . mini - bar fridge room , however full mini bar .... room item . keep mind travel child table top mini - bar sensor item move charge . i.e . jar peanut , etc . issue we kid stay away , want leave advice anyone else . hotel ammenitie include rooftop pool ( obviusly closed October , ) , free Wolfgang Puck Coffee Teas room nice . well Neutrogena shower product . attraction : hotel within walk distance Navy Pier , Hancock Building ( matter fact , room view Hancock Building night spectacular ! ) course ' mile . restaraunt : hotel restaraunt , Marketplace , along Einsteins Bagle shop , however dine either place , instead dine away hotel easy walk location like West Egg breakfast ... across street ... ( Awesome ! ) , Gino 's East Pizza ( two short block away ) , Corner Bakery ( locate also real close hotel Northwest Medical building . ) convenience item : dominick store across street hotel everything may need stay . hotel across street Northwest Medical , may hear ambulance come go night , hey , Chicago , want deep silence would not booking trip city . Taxis also linger around front entrance hotel , always convenient transportation . concierge also wonderful , always good advice local shop , restaraunt , etc . also able get we transport Ohare morning leave , nice SUV ( Infiniti ) cost we regular city taxi Airport would cost , terrific . , would definately stay , well run hotel , convenient everything worth see , family friendly .... oh yeah , free warm chocolate chip cookie check ... imagine big hit kid ! 
 Oct 8 2009 	 good location busy place 	 doubletree good location , walk distance many shop sight . lobby always busy . ton town football fan weekend ..... 3 busload full crazy Steelers fan ! room nice sized bed comfortable . room stay also nice window seat great view . 
 oct 8 2009 	 great location nice clean hotel . 	 staff friendly helpful really enjoy decorum room . staff informative transportation , local attraction , restaurant . 
 Oct 8 2009 	 would stay 	 Liked location - call Doubletree Magnificent Mile , be actually couple block Mag Mile . Felt safe area . recommend West Egg breakfast indian Garden dinner ; within block . dinner hotel restaurant - good food great service . 's Einstein Bros. Bagels hotel , long line morning ! hotel clean , bed comfy service good , especially front desk bar . rooftop pool area adequate , sort & quot ; cold & quot ; feel - not fun , pool atmosphere make want hang day . our complaint 's free wifi room , lobby area , therefore lobby area often full people laptop ! find , however , could sign wifi lobby , take elevator room ( 3rd floor ) hold laptop slightly open not go sleep , able maintain free connection room ! : ) book room $ 100 / not . , Chicago summer , good price good room . 
 Oct 5 2009 	 good location need attention 	 stay Doubletree Magnificent Mile October 1 & amp ; 2 , 2009 , $ 100 / night include fee / taxis ; good location walk shop & amp ; great food ; rain not get much anticipate . hotel require mgnt . listen & amp ; respond housekeeping repair need -- stopper sink room 1704 , stopper tub not work tub fill water . not care stand water showering . room 1704 right outside elevator -- not think ask ; not peak season assume well room would provide . overall good 2 night stay . 
 Sep 27 2009 	 Good downtown hotel . 	 book hoel Priceline.com ; get great rate . excellent downtown hotel rooftop pool . located north downtown Magnificant Mile . nice area ; feel totally safe walk alone area late night . close Michigan Ave . professional staff , clean well appoint room , enjoyable stay , especially price . bus stop front hotel ; subway 10 minute walk . plenty good restaurant 5 10 minute walk west hotel . 
 Sep 25 2009 	 Awesome ! love . 	 hotel fabulous . can not say enough . obviously location perfect . hotel clean , room spacious clean . book online , ask lake view room . partial view , high still nice ! perfect husband 1 yr old . room 2 bed crib still plenty space ! ! bathroom super nice big , perfect family 3 wander time . the bed super comfy , however pillow could use upgrading . bring pillow ! staff friendly helpful . Loved ' doorman ' super sweet caring always try make daughter laugh . I wish internet free hotel room ( pay wireless ) parking not expensive ! issue noise other note . occassionally hear door slam . oh , ice machine floor work ... go another floor collect ice . big deal . totally recommend hotel . walk everywhere . look quick breakfast , hit Dunkin ' donut around corner . 
