love 	 Loved ! one favorite hotel 's stay Chicago . great room , great breakfast , great location . everyone come contact pleasant . lobby beautiful . room nicely update - breakfast delicious . hopefully get chance stay future defiantly recommend friend . 
 Nov 1 2009 	 everything would expect dissapointment 	 hotel live bill . friendly staff , clean room , good complimentary breakfast , handy manager 's reception nightly . facility well maintain , well appoint almost feel like luxury hotel . & quot ; suite & quot ; layout ideal family vacation , especially child still need nap go sleep night early , bedroom living room separate . location fair , depend itinerary . yes , Navy Pier three block away Magnificent Mile two block away ; however , red line l - train 5 block away ( close station ) . free trolley run Illinois St Grand Ave . least weekend Navy Pier Grand / state station ; Embassy Suites directly . cost fair , well . would nicer hotel guest pay less parking , ' m sure charge market bear . actual room rate competitive , slightly superior hotel area . Dominick 's supermarket directly across Columbus Ave need supply , also consider Fox & amp ; Obel ( one block toward Navy Pier Illinois St ) like up - market selection . also reasonably price brown box meal go , nice contrast typical deep dish deep fried vacation food . 
 Oct 27 2009 	 great location weekend trip . nice large room . 	 wife stay Embassy Suites one night attend reunion Chicago . arrive half hour check - in get room 45 minute check - in time . give we nice room top floor guess can not complain . complimentary happy hour busy , bar tender keep pretty well . room nice nice view . complimentary breakfast pretty nice , pretty busy . breakfast nice small Embassy Suites stay , still pretty good . we park nearby parking garage $ 31 . valet park hotel $ 39 . drive around bit could not find anything less $ 31 night . I would definitely stay hotel need stay downtown Chicago . 
 Oct 26 2009 	 among bad Hotel Experiences 	 stay hotel conference late Oct 2009 . experience share : 1 . hotel extremely bad cell reception throughout . colleague can not hear call '' room , call lobby room . nicely point problem front desk supervisor ( manager duty 8 am morning ) , say & quot ; sorry & quot ; without ever acknowledge problem . 2 . spoke front desk twice try get help restaurant information reservation . first night call , ask help make reservation Webber 's restaurant . told & quot ; We d night , not need reservation party three - walk - in get table & quot ; . colleague & quot ; walk - & quot ; , 45 min wait . apparently , nearly every night like . second day , try get information good restaurant take client . , not know anything , take long time find phone number restaurant 's ( Shuler Steakhouse ) across street . 3 . first day , try call front desk dialing & quot ; 0 & quot ; . first try , maybe 15 ring , one answer . second try , 10 ring , someone answer . politely ask girl call different extension reach front desk directly try . girl rudely say & quot ; answered & quot ; without even apologize . 4 . although room pretty nice , hall way lead room smell bad . 5 . plus side , free breakfast morning , free happy hour drink evening . stay many hotel . hotel good & quot ; hardware & quot ; - room , lobby , etc . absolutely lack management , employee training . way , rate cheap , comparable Marriott .3 mile away , beat service quality 200 % . stay Embassy hotel help . 
 Oct 25 2009 	 great location hotel 	 stay night family trip Chicago . hotel great location - block Navy Pier Michigan Avenue . room nice clean - nothing special . wait food cocktail reception could really long people grab table quick possible . however , free buffet - not really complain ! : ) average & quot ; stuff & quot ; Chicago - Navy Pier , Michigan Avenue , american Girl store , Lego store , Sears Tower John Hancock Building . take water taxi Navy Pier Sears ( Willis ) Tower , fun son enjoyable taxi . realize come back take water taxi Michigan Avenue - two block walk hotel . 
 Oct 24 2009 	 bad experience ever - will not stay ! 	 travel business meeting planner , upon check , extremely rude front desk say pre - pay reservation 4 night cancel Orbitz .. hour negotiation , prove true give smoking room say be ( tell we hotel sell ! ) . morning 4th day , find check notice door , another 30 minute negotiation , allow we stay 4th night . plan bring group Chicago 2011 convention , however , experience , would not even consider ! hotel lovely , staff come par ! 
 Oct 19 2009 	 bag ` ` disappear '' lock Bellman 's closet hotel unhelpful 	 probably bad hotel experience ever . even check , carryon bag everything need steal bell closet one really seem take seriously . early move thing bag accompany bellman , everything seem fine came back retreive bag important one laptop , camera , jewelry , car key , medicine , etc remove middle pile three bag ... suspicious . add insult , hotel insurance say responsible abover $ 250 ... CAREFUL , seem care guest safety belonging . arrive Sunday leave Tuesday evening security officer hand card get cab airport . 
 Oct 16 2009 	 clean update hotel great location 	 cousin stay 2 night great experience . really nice property fab location - Navy Pier Magnificent Mile within walking distance . hotel atrium - style glass ceiling , feel really open airy , like . room really clean seem recently update . towel thick plush , breakfast offer lot option good quality . like reviewer mention , lot family kid staying not bother we . thing not like place get coffee onsite . arrive early check wait cousin arrive ask could get coffee . front desk person say not place hotel get one would wait bar open . can not remember last time stay big chain hotel not coffee kiosk Starbucks outlet lobby . Kinda weird . 's ( admittedly minor ) gripe . overall experience good . 
 oct 9 2009 	 Outstanding Value 	 Outstanding hotel - recently remodel , friendly staff , delicious breakfast , great location ( many room view Lake Michigan ) . front desk staff helpful extend reservation additional night . breakfast staff & amp ; mini mart staff helpful friendly . conveniently locate within short walk Magnificent Mile & amp ; Navy Pier . Chicago trolley stop next hotel . 
 oct 8 2009 	 much improve 	 stayed Embassy Suites August 2009 . TERRIBLE ! could go wrong . checkout compensate , assure next visit Sept would well . decide give one try , WONDERFUL . tell handful employee dedicate make turn around . everything go , make order breakfast , evening reception location . 
 oct 8 2009 	 great family hotel 	 Embassy Suites definitely ideal family small child . location hotel Magnificent Mile Navy Pier could not well . know kid , age 3 5 , would not walk much hotel choose . complimentary make - to - order breakfast great . save much money alone make hotel choice worthwhile . overall , satisfied Embassy Suites would definitely choose . 
 oct 8 2009 	 Convenient Children 	 overall good experience , go 2 kid age 5 3 , suite definitely convenient family , clean , real surprise like embassy suiteon downside , mention crowdy breakfast ( mention 20mins waiting line get freshly cook omelette ) , bagel though bad all . also , charge $ 15 24hr internet connection find bit steep .. upside , indoor pool seem nice time , , , 
 oct 8 2009 	 Valet damage car ! hotel mgmt not care ! 	 hotel fine , except noise factor . could figure noise come , immediate neighbor . turn hear someone entirely different floor vent ! two room 13th floor . one face lake face river . all , decent value ( $ 250 / night stay ) good location . the main reason ' m write review would like caution use valet hotel . operate company name Impark . use valet car . upon get car back , obvious damage new vehicle 's driver side door . take we wait almost three hour Chicago police come take report feel comfortable leaving . refuse provide insurance information . Chicago police ask business license refuse provide - even police . say not location ( illegal business license display , way ) . be still wait reimbursement car 's damage . top , still charge we $ 48 parking fee even though car damage . additionally , hotel 's bellman ram bell cart vehicle park Valet . familoy could not afford keep wait , ignore small ding leave vehicle . the main problem , nearly- $ 500 damage vehicle sustain , hotel manager unavailable . finally get ahold , entirely unconcerned vehicle damage ! even get apology . tell we contract valet hotel 's problem . sure , ... pay guest use valet , hotel bill . not care operate . poor customer service ! never stay hotel . also never valet Chicago ... second time brand new vehicle damage valet ! 
 Oct 7 2009 	 Friendly Staff / Great Location / Excellent Service 	 spend 4 night Embassy Suites Chicago Downtown Lakefront everything terrific . staff check - in , bell hop , valet bartender friendly readily available . breakfast buffet good crowd go early . manager 's reception evening great bartender terrific . checkout bell hop offer get us cab airport $ 45 ( be go rate ) cab late offerre we full - stretch limo instead price ! kid really enjoy . would recommend hotel family business traveler . 
