Nov 	 love 	 love ! great ! @ room large ball ! 
 Nov 13 2009 	 Awesome view location 	 Moms Daughters weekend ... city view great ! 4 6 we never Chicago love view . block Magnificent Mile great restaurant around . able leave car garage 3 pm day check great help repark pay daily parking rate . can not beat breakfast ! 
 Nov 11 2009 	 Good Downtown Location / Friendly Staff 	 great hotel go downtown area not mind walk bit . always take cab , Chicago great walk city able . hotel also walk distance Michigan Ave . shopping restaurant . red Line couple block away make ideal ride train Lincoln Park Wrigleyville . room quite nice spacious . upon move Chicago Texas , stay particular hotel week move apartment . hotel staff helpful give direction suggestion . would definitely recommend hotel anyone visit Chicago . room much big hotel area , price pretty reasonable . , free breakfast happy hour great bonus . 
 Nov 3 2009 	 nice hotel fantastic free breakfast buffet . 	 nice hotel . separate bedroom area microwave coffee maker . free drink snack evening fantastic breakfast buffet morning . hotel well situate attraction city . happy stay . 
 Oct 26 2009 	 let ! 	 family stay Embassy Suites long weekend . locate within mile michigan ave . great shopping would definately look stay somewhere else next time go Chicago . the manager reception really disappointing . spinach dip stale pita bread . the breakfast morning real bummer well . egg cold french toast soggy . pull bed break . call front desk 2 different time , half hour wait finally get fed go front desk . give we different room . nothing like move stuff 11:00 night . pull bed new room work could feel spring mattress . daughter wake sore back next morning . overall , disappointing stay . definately look stay somewhere else next time visit windy city ! ! 
 Oct 24 2009 	 clean comfortable easy access place . 	 love suite get additional room . tv living room bedroom , use much , nice . complimentary buffet make morning easy . food good good variety . doorman concierge great help ! 
 Oct 14 2009 	 Great Friendly Hotel 	 arrive Embassy Suites time 4th July festivity . daughter ( spoil due excess hotel stay ) actually impress layout cleanliness hotel . invite Manager 's reception evening free cocktail snack . nice touch ! ! concierge also exceptional . constantly ask question always friendly helpful . check stay Hyatt Regency last two day trip . daughter say , although luxurious , super busy impersonal . next time stay Chicago , ' m stay Embassy Suites . 
 Oct 8 2009 	 greatlocation convenient amenity 	 Wve ' ve stay several time value , convenience , wonderful breakfast . walk everywhere . great restaurant right around corner . room bit date , extra space spread appreciate long day . manager cocktail reception evening also add bonus . 's say enough ... 
 Oct 6 2009 	 Great Hotel go back ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 hubby stay hotel we d 9/30 - 10/4/9 . absolutely enjoy a = our stay . hubby business meeting , go shop sight see . not know start . room great complaint great comfy bed ( hotel ) . Granite countertop bathroom try make feel like home guess could say . Hubby say meet room adaquate . business center great especially buy internet room ( 9.95 plus tax ) front desk staff nice smile face everytime go always willing help . the conciege , Phillip well . tell everything want know . go Chicago Trolley tour one day three . go three . awsome . hop wish . get back 5 pm take taxi get really expensive . take el train bus . pay taxi could get . hold taxi people drive fast . also hear lot horn blowing . meet Richard , he s be nice . Navy pier fre trolley pier Fri , sit , sun . not really drink free drink 530 - 730pm . make sex beach taste like koolaid . also give snack like pretzal , spinach dip cracker , cheese . not look get full 's nice evening snack . read previous review think people try get full ' . great hotdog place call Portillos one block . MUST . rain forest cafe , hard rock cafe , Mcdonalds , ESPN , one block . overall hotel great . next time go Chicago differnlt stay . Mag mile call ( magnifient mile ) 3 block . walk , plenty money shop . complaint . 
 Oct 5 2009 	 Good Hotel Value ? ? parking ? ? 	 usually stay Hilton Grant Park . hotel expensive , north river , block Michigan Avenue . plenty eat option area . usually pay $ 40 less stay Hilton , park $ 40 either place . room clean quiet . free breakfeast plus . 
 oct 1 2009 	 enjoyable stay 	 stay Embassy Suites 3 night find Hotel excellent . room Suites clean good size . bathroom average size not extractor fan , need . the service friendly concierge first class . an ideal location view explore Chicago . include stay fine breakfast , omelette freshly make food available . evening 5:30- 7 pm free bar hope one day return Chicago would happy stay . 
 Sep 26 2009 	 great choice central place stay 	 spend week hotel sightseeing trip Chicago west coast . perfect spot . staff helpful beginning . Richard , concierge , give we tip thing see direction get around . help we get ticket House Blues Sunday brunch- super experience ! three senior citizen travel together frequently could not please stay . thank Embassy Suites . Barb Seattle 
 Sep 24 2009 	 Decent - WOWSA ! 	 stay early week business . get great group rate - otherwise would pay close $ 300 hotel per night . be I . all telephone conversation hotel FANTASTIC . call couple day prior make special request , include early check . get front desk - early - indicate room reserve yet available , find one offer special request ( extra pillow ) bring room . not room 5 minute arrive . FANTASTIC.I leave shortly therafter , stop concierge ask go aquarium . yeah , little busy deal give advice say take bus . opt cab - cabbie REALLY not want deal traffic football game - tell would probably take 45 mintue get aquarium day . would nice concierge fill tidbit . take $ 6 cab ride Navy Pier ( could gotten shuttle free - block away hotel ) .When get back hotel , walk around couple block . single woman Sunday late afternoon , feel safe . hotel right thick thing , plenty catch attention . eat dinner head back hotel , exhausted fly time difference . I grab glass wine reception . ' m huge drinker , deal breaker . other say , be nice , nibble ptretzel maybe honeydew melon ? gone get ( 6:30 p.m. ) . back room nice clean . couch sitting room not great , opted watch tv bed . 's flat screen would nicer bedroom ( LR ) . remote wear , button could not see . could never get sleep timer work , , deal breaker . never call front desk ask switch tell . fall asleep early ! alarm wake next morning , relieve work . go downstairs HEAVENLY breakfast . spinach , bacon cheese omlette toast bagel . ' m bacon snob , ' ve diet ( decide blow trip ) bacon strip . oh , good . truly could eaten pound , think one look ! complaint woudl like big glass soft drink . yeah , drink diet drink morning , coffee . off meeting . come back talk new concierge get shuttle airport . gentleman Monday MUCH nicer one Sunday . not overly effusive , manage get job do correctly ! shuttle arrive 6:30 A.M. next morning , dinner friend walk around . at 6:25 a.m. , hotel personnel see housekeeper sweeping front . friendly , would nice see bellman , front desk person . shuttle arrive , 6:40 a.m. , off . a whirlwind visit , hotel would stay , $ 300 night . like group rate , thank much ! 
 Sep 21 2009 	 Good could well 	 stay hotel 5 day 7 Sept . thing love room - spacious separate bedroom , clean bed comfortable . thing love hotel facility - free breakfast lot variety , pool jacuzzi , manager 's reception evening . thing could well - friendliness front house staff , availability concierge pool quite green not appear clean regularly . even though be great idea manager 's reception great free drink nibble expect well quality nibble ( guess may much ask since free ? ? ) . overall excellent value rate pay location great . 
 Sep 14 2009 	 hotel awesome .... stay ! 	 moment walk door .... , moment approach parking entrance pass employee stop offer instruction parking good wish stay , service hotel first rate . I admit .... ' m bit hotel pig . hotel leave wanting . fabulous free breakfast feature omelet maker need get duplicate valet ticket lose mine , every member staff go way make feel welcome helpful . purpose trip daughter 's Sweet 16 birthday . take 3 friend shopping weekend absolutely love it . I tip well generally think 's right thing , not mind telling bring extra cash will tip usual ! service , location hotel great walk Water Tower Place / Hancock center , really like walk , Navy Pier . cab ride 15 block run around $ 10 plus tip , bad . would hesitate stay hotel . oh , one thing . stay free use HHonors reward point , & quot ; MATTER .... service . 
 Aug 19 2009 	 nice location really worth money ? ? ? 	 be load look spend cash hotel , would place go . not get wrong , hotel beautiful locate State Street downtown Chicago , honestly , $ 300 night bit much . parking within hotel additional $ 44 per day . lobby atrium gorgeous , expect area room , well guess 's location , location , location . around corner Hard Rock Cafe , Rainforest Cafe , Red Head Piano bar various attraction . embassy offer full breakfast honestly not good ' ve ever . room , living room flat screen tv work table , mini fridge microwave , decent sized bathroom , make - up mirror sink - separate bathroom , king size bed . a / c not seem work well , toilet act close overflowing , outside window open inch opening block heavy curtain . alarm clock room option plug ipod / mp3 player volume not seem work either . non - smoking hotel go front order . restaurant / bar locate inside Embassy also . 
 Aug 4 2009 	 outstanding location service facility ... 	 hotel one well oil machine . , place seem 100 % occupancy . large family reunion , large wedding ballroom party afterwards atrium . , another area , crank cocktail effortlessly usual manager 's reception . staff courteous yet unobtrusive quick respond need . rollway pop rivet cause close . problem . phone call maintenance five minute . room keep tip top shape . excellent concierge service . the location can not beat . one block Red Line CTA . three block Michigan Avenue bus line . surround good restaurant , chain indigenous one alike . breakfast buffet ice cake , especially family . excellent omelet lot item choose from . I usually pretty harsh judge , can not think suitable hotel Chicago family vacation . 
 Aug 2 2009 	 good good experience 	 kid stay weekend getaway . call day arrive , request early check possible . tell room ready us 11 am noon . arrive 12:15pm Friday , wait 10 minute front desk person available help , tell , & quot ; unfortunately , room will not available 3 pm . & quot ; okay ... know eary check not guarantee , disappointing . leave luggage bellman 's closet , go get lunch window shopping . get back hotel 3:10pm find longggggg line guest wait check . get line , finally turn 4:15pm . great way start weekend , say least . nellie front desk need learn put smile face speak hotel 's customer . utterly silent look reservation , generate key , etc . by comparison , Hector bellman fabulous ! wonderful attitude , helpful wonderful ambassador hotel . Richard , one concierge , great help obtain advance ticket Shedd Aquarium , able walk right instead wait , long line . the floorplan room great family . bathroom , however , issue . hair ... dark hair ( be light haired ) bathroom floor bathtub .... YUCK ! ! turn shower massager band get different flow spout , band come hand . request maintenance person come address shower , one ever come . yes , busy weekend hotel , disappoint well . we come Chicago twice year ; usually stay burb hotels fraction cost hotel downtown Chicago . decide stay downtown time see high cost make experience well we . sadly , not ; back burb we . 
 Jul 16 2009 	 Great Chicago stay 	 Embassy Suites appear well Embassy Suites hotel stay . upon arrival 10:30 , room ready . front desk staff helpful . room spacious , sink bedroom convenient 4 people . pool great plus large city . great refresher . fitness center much large well Embassy Suites hotel stay . concierge ( Phillip ) helpful need . the downside hotel GIGANTIC breakfast line . Embassy Suites hotel , line much short . overall , hotel great room , great location , great amenity . 
 Jul 8 2009 	 great hotel staff service location 	 ' ve stay Embassy never bad experience . staff always friendly helpful . problem accomodation room surprisingly quiet State St. side , consider volume traffic . hotel close everything downtown include great restaurant , entertainment , museum , night club etc . oh , 3 block Michigan Ave . concierge 's quite knowledgeable anxious help . sure make use help trip take advantage free breakfast manager happy hour . 
 Jul 6 2009 	 Perfect Location Tourists know extra Charges 	 husband stay 8 night trade show . hotel meet expectation -- location great ; everything clean ; breakfast typical Embassy buffet ; nightly manager 's reception well . hotel generally crowd lot family excessively . wedding reception noisy ask room upper floor . pool small , not concern . would definitely stay . would suggest review list charge decide stay . parking expensive $ 44 per night , be true Chicago hotel ( see ) . surprising extra charge $ 9.95 internet charge per day -- per computer , add week 2 computer business . husband need work computer take laptop . go computer day business , pay connect laptop . system recognize different computer charge . many chain provide free wi - fi not charge multiple computer surprised . however , probably concern small fraction people . use computer business center free ( include printing ) can not work day , obviously . the italian restaurant hotel ( Osteria State ) excellent . late night pizza twice fix price multi - course dinner another night . dinner begin small plate , salad , pasta , meat potato . also walk distance Chicago Chop House , Rainforest Cafe , famous McDonalds , Volare 's , Weber 's many more . you walk desire shop ( Magnificent Mile State Street ) area . neighborhood seem safe active . parking discount , use one public lot within two block . I get much well rate use gtahotels.com ( , not work for / with ) could get hotel Hilton Honors . ES would not match rate even though ask . 
 Jul 5 2009 	 good location family trip 	 property good choice travel child . able walk subway , bus , shopping , dining , sightseeing . staff helpful ( especially Roberto help we luggage ) suite well appoint , plenty room privacy parent kid . bathroom bite narrow , often case Embassy Suites , extra sink bedroom help traffic flow whole family trying get ready time ! view speak , sometimes get bit noisy , overall bother . one surprise complementary manager 's reception serve full bar , beer wine . breakfast get ridiculously crowd , though , location breakfast buffet relation elevator make bad . another complaint parking expensive , sure competitive property area . overall , perfect , good deal . 
 Jul 4 2009 	 Awesome ! 	 fantastic place stay ! helpful breakfast awesome ! concierge helpful . would highly recommend stay ! 
 Jun 30 2009 	 great hotel great location ! 	 family 5 return short vacation ( 2 day ) Windy City . stay couple downtown Chicago hotel , hotel far good staff service . parking attendant bellhop , front desk clerk concierge ... everyone wonderful . location close Michigan Avenue well Navy Pier trolley . hotel also close ESPN Zone , Rainforest Cafe , Rock N Roll McDonalds , Portillos many great place eat . taxi ride Shedd $ 11 . think complimentary breakfast fantastic ! yes - it little busy ... line move fast luckily , 3 little one wait patiently ! pool busy little crowded kid not seem mind . not feel hotel noisy . 9th floor may help . ( also come prepared noisemaker help drown noise ) view parking garage ok ... not room much . fence stay , jump hotel . will not regret . 
