hotel 	 look forward stay wedding late September , surprised sign hard time subtle , affected husband . example , get locked room 2 time , wait 15 minute hallway go spa . time get ready wedding ceremony , stressful lost time . keycard would stop work . fuse blew , power trying get ready . happen also , come back spa , call hallway phone get help . luckily , right , employee randomly walking ask wait long -- know problem . say , call check . apparently , one even call Security get back room ! set key let , thank god . , wedding night , husband want order room service . little 10:30pm . tell room service closed night -- even though literature room brag & quot ; 24 hour dining . & quot ; fact never communicate we check in . I feel like quality service amenity slip . later hear something lot employee getting lay , maybe be people not interste provide good service . not think would recommend anyone stay Fairmont ever . btw , spa great hang , even be massage . 
 Great Hotel ! 	 really enjoy stay hotel- great location near Millennium Park . walk distance several wonderful restaurant , Navy Pier , museum , several site ! hotel nice roomy wonderful amenity . also , concierge extremely helpful provided we wonderful direction suggestion restaurant . look forward come back hotel someday ! 
 Nov 12 2009 	 wonderful stay ! 	 stay 3 night early November girlfriend trip ! booked suite incredible view . not think bed comfortable Westins .. etc . check fast easy . find staff super friendly ! 21st floor ... two bed suite nice bathroom . room quiet . use Fairmont Fit program enjoy . would not recommend Aveda kit .... worth $ 10 charge . DIning . dine outside hotel . luve Chicago Chop House . huge portion bring wine California ... $ 20 corkage fee . Mike Ditka 's great fall menu ... busy restaurant . will not go back restaurant 95th Sears Tower .... great food . LOVED brunch David Burke 's . $ 35 2 1/2 hour meal ! amazing fun ! tour meat locker interesting . go redhead piano bar . go early sit piano . busy 8:30 pm . saw play theater district . drink Hard Rock Hotel .... cucumber vodka drink .... yummy ! take Wendella river lake cruise .... $ 23 . interesting glad . next time hit Marshall Fields museum . shop huge ! biggest hit Bloomies Marshalls . 
 Nov 9 2009 	 Fairmont convenient location nicklel - dime 	 unrealistic day age pay $ 14.95 day internet service room . ( also pay $ 10 day use gym . ) restaurant hotel really overprice . room nice location convenient , price , not stingy ! 
 Nov 4 2009 	 exceed expectation ! ! ! 	 recently stay Fairmont Chicago . get great deal Priceline little worried room would like . beautiful big . hotel appear recently renovate . love shower one big rainfall shower head . neighborhood also nice near Marshall Fields ( Macys ? ) shopping area . room amazing view too . I would definitely go back . 
 Nov 3 2009 	 Beautiful Hotel 	 great location , beautiful hotel , although desk staff exactly friendliest initially . 
 Nov 1 2009 	 quite expect Fairmont 	 finish 3 - nighter Chicago Fairmont week ago . overall , experience okay . unless need stay credit , not think will stay hotel next time go Chicago . drive - up : Taxi pull hotel . doorman sight . 3 pm . perhaps occupy guest . not know . good thing one carry - on . check - in : line - up long , take . check - in packet prepare ahead time info , etc . . first time experience Fairmont . Person pleasant enough , though . room : use upgrade coupon suppose get upgrade view room . well , view still primarily build next door , though catch glimpse park . furnish look fresh new . maybe bit & quot ; new , & quot ; sense not typical Fairmont flaire , feel like normal upscale business hotel . like perhaps nice version Westin . pretty small room , though . check floor map thing door , seem FPC Plt one small room floor . well , alone , be big deal . certainly upgrade cert waste . never offer upgrade ( even money ) , electronic otherwise . bathroom good - sized . surprisingly , even mouthwash room . be first too . housekeeper friendly nice . coffeemaker Nespresso thing . pretty cool . large flat screen tv , probably large , consider small room be . Closet absolutely tiny.the Lobby Bar : indifferent service . indifferent service . Breakfast Aria 's : greet great apathy . waiter fine . food okay . great , 's pancake stuff . never mind . think would rather go Hyatt next door pig price . overall , bad experience . really , reason switch lot business class hotel chain Fairmont . Chicago Fairmont would justify switch mind . 's expectation , suppose . property like San Francisco , Washington , heck , even old Frontenacs Chateau Lauriers , certain character . greatly lack Chicago . 
 Oct 28 2009 	 Rice Paper Thin Walls - May last time Fairmont 	 tradition visit american city every year not . last year , Washington D.C. , AMAZING . year , pick Chicago , bit letdown . little stay Fairmont . inner voice say four season Ritz Carlton , little heart say give Fairmont another try since great loyalty program . exterior hotel impressive , be tall building amazing view lake city . location little inconvenient , end take lot taxi , especially dinner . 15 minute walk Michigan Ave , shopping truly die . Navy Pier 10 minute walk . check - in brusque , bit sterile . however , ' m glad say give high floor room ( two floor top ) picturesque view elusive King bed . Toiletries Fairmont standard Miller Harris stuff , shampoo , conditioner , soap lotion . bathroom huge , marble , walk shower separate tub . comfortable bed linen , overall clean . call ask dvd player room , charge $ 150 4 day ? not sound right . Breakfast Aria fantastic , not order buffet order menu selection great , price cheap ' ve experience . waitress breakfast sure one sweetest people ' ve meet travel , name Loli something like . really brighten day . go quite famous place dinner , impressed & quot ; Foodie 's City . & quot ; Quite dislike Moto , drop $ 600 find food different , even innovative quality , presentation , taste even downright hideous dish , chef must heavy - handed salt particular evening , anyway not live hype . ironic Aria , restaurant hotel , even well dinner . service good , food excellent ! would recommend one dinner early stay case repeat lack well choice . one favorite thing stay Fairmont President 's Member , free way , complimentary use gym . Gyms Fairmont typically huge , connected spa . mean access steam room , sauna , shower great amenity . spend get ready time workout . gym little small side , aerobics / yoga room . approximately 3 treadmill , 3 Precor machine , 4 bike , weight lifting machine row dumbbell . worry , never 2 - 3 people use time throughout day . big complaint place room wall . may well . someone shuffle , hear . toilet flush room nearby , hear . ice machine hall , like way hall , hear . earplug must stay . however , coveted earplug would work last night Old Dame . 1 , 2 , three wedding one night . besides obvious , heck ? would think would put aside 1 ... maybe 2 floor non - wedding guest . know , get good night 's rest . regardless everything , would never come back hotel ever return Chicago lifetime . 
 Oct 17 2009 	 could hear noise hallway 	 hotel absolutely gorgeous . room beautiful - large & amp ; modern fabulous bathroom . however , night get wake early riser hallway . also , expect little friendliness staff - check - in seem terse . otherwise , location great ; although wish close restaurant side river . ' m recommend hotel big city Chicago must better 4 star hotel . 
 Oct 12 2009 	 Fantastic 	 Great Hotel , good location . check smooth , hotel lobby right level ambience . room large Chicago , nice flat screen LG tv , shower Bath . great view Lake . 
 Oct 10 2009 	 Disappointing 	 disappointed hotel . staff seem hurried unhelpful . room make 5 pm despite several request . blower hallway blow freeze air , staff tell we nothing could do . lobby invite comfortable sit . room bed comfortable , cream modern art work style . room lack many amenity hotel price range offer . certainly worth rate compare hotel stay Chicago . 
 Oct 8 2009 	 Great Location 	 great location - near Michigan right Wacker . concierge AWESOME ! helpful . 
