remarkable 	 drive chicago , want park use metro . choose hotel free parking claim close public transportation . well , let tell claim true ! ! . easy walk blue line train stop direct line loop downtown . walk probably less 1500 foot get train , clearly see hotel stand platform wait train . however , secret place view . request room upper floor face east surprised gorgeous view downtown Chicago skyline . able sit bed coffee look sun bounce Sears tower every morning . amazing . surprised do not adverise view room , , upper level room east side would view . even without view , however , place great return . photo view post soon . 
 Oct 25 2009 	 Bad Hotel Near Airport 	 clean , quiet ( quiet airport ) roomy comfy bed . I pay $ 70 one night mid Oct. 09 . breakfast include pricewa great . free shuttle pick airport arrive drop departed . think left airport every hour hour half hour . 
 Oct 12 2009 	 pleasant surprise ! 	 stay fiancé another couple begin September 2009 . Chicago tradeshow McCormick , hotels city overprice ( $ 2 - 300 night ) . get amazing offer hotel booking site ( 2 hotel room car 3 nights/4 day $ 400 ) .The hotel 5 minute airport , not hear plane room . hotel also right highway get city area great Chicago , convenient . city 20 - 30 minute drive , depend traffic . the hotel nice Holiday Inns ' ve - 's proper foyer people reception desk , well bar / restaurant downstairs . room clean spacious , bathroom clean well . please everything overall . microwave room friend fridge ( neither room - strange ) . be safe . parking free ample parking front back building . area seem safe . oh , free internet ! 
 oct 4 2009 	 Great Attitude 	 fellow colleague bar ( Red Eye Lounge ) Brett bartenda real earth kinda person . thank bend ear ..... 
 Sep 27 2009 	 Good 	 Hotel pretty good location & amp ; amenity easy get near . service excellent . 
 Sep 22 2009 	 great location friendly . 	 give we free upgrade newly restore room reason not know could not shut bathroom door . location great , problem staff . downside free breakfast include outdoor pool . 
 Sep 4 2009 	 Perfect ... back 	 place want , nice place , able park car head downtown public transit . , go Cubs game , downtown next day ... pool , use . bed , mention , comfortable . hotel show age , stain hallway loor , room spotless . we back 
 Jul 28 2009 	 winner comfortable hotel bed 	 hotel outstanding condition . extremely clean room immaculate condition . bed comfortable ever sleep hotel matter store rating price . room also contain wifi , fridge , coffee maker , microwave . short walk train station , take around hour get Chicago 's sight . wife enjoy part morning . enjoy see lot Chicago 's different neighborhood train . night , make exciting trip , may want grab paper way back night . service hotel good overall . check breeze . store luggage check plane leave . airport shuttle convenient . one even drop we train station pour rain . fault service frequent would like . suppose run every half hour , seem take long time . wait quite bit airport upon arrival return well . overall , room well stock , ask staff extra coffee every morning . supply enough one cup per guest morning . like two . overall , good value money . fault see regard value price breakfast meal general . breakfast hotel around $ 15 per person . good , overpriced . please keep mind travel family . ate buy food elsewhere use fridge microwave . wold definitely stay property though . can not beat cleanliness friendliness staff . 
 Jul 21 2009 	 nice like Holiday Inn use kid 	 quite nice staff lovely . block half BlueLine & quot ; El & quot ; train station easy walk distance public transport . bed comfortable , shower great , outdoor pool heat , parking garage . reasonably price . room small fridge microwave nice surprise . 
 Jul 19 2009 	 good value chicagoland 	 stay hotel 3 different time , time good total value hotel stay chicago . conveniently locate near Ohare airport ... within walk distance EL train downtown ... free parking ... room free wifi ... super value . think pay around $ 80/ night time feature high quality mattress high threadcount sheet ... large room desk sit chair one stay . seem recently refurbish maybe well maintain . checkin always easy friendly service . highly recommend great price value room Chicagoland 
 Jul 18 2009 	 Good Park Fly rate 	 stay overnight prior flight . go Park Fly website , get great rate . call Holiday Inn reservation number match price . close O'Hare shuttle service . room nice , nothing luxurious clean . able park free 2 week real plus . return , bit mix shuttle pick we 3 phone call , able hook shuttle . sure go low level pick . first person call hotel tell we go upper level take depart flight go . would stay . 
 Jun 24 2009 	 Fantastic Value Fantastic Room 	 whilst Orlando holiday upgrade Chicago Holiday Inn room internet . stay 1 night transit return UK . upgrade allergy free room extra towel , pillow drink room ( soft drink ) .We open door room ' wow ' fantastic . thoroughly recommend newly refurbish room comfort luxury . room service excellent service too . great value money totally recommend . 
 Jun 17 2009 	 still problem area hotel 	 Holiday Inn 's internet computer lobby formerly charge . charge 49 cent per minute ! seem rip - off customer . even Kinko 's charge 25 cent minute . the property still upgrade air conditioning . room air conditioner barely adequate , lobby area warm . the room window look clean year . the property much well maintain Clarion , three concern bring rating Holiday Inn 
 Jun 12 2009 	 take care United failed 	 strand Chicago lay - over United . Holiday Inn nice . nice restaurant eat dinner breakfast provide shuttle airport . teenage girl travel alone , kind uncomfortable , hotel definitely ease fear . room receive huge -- big far dorm room college ! distress traveler price . think king bed , sit area , large tv , nice bathroom . Holiday Inn definitely make experience lot well could . 
 May 31 2009 	 Great Park Stay 	 hotel choose fly Ohare need park stay . hotel clean inviting . nicely decorate . room clean nice well . bed easy sleep . lounge nice well . bartender make good key lime martini ever . shuttle service prompt way airport return . even take we right vehicle return . would definately reccomend hotel park stay anyone want stay chicago . 
 may 18 2009 	 great place stay stay 	 great place stay park car be fly O'hare . stay night trip 5:40 flight live Milwaukee . 8th floor room comfortable king size bed . amentitie may need , right room . wireless simple connect , special password necessary . get free drink free breakfast card stay ( even thought leave early breakfast ) . ' let outdated look outside fool , nice place spend night . park upstairs ramp . least 10 camera keep eye car , feel safe leaving , plus free 12 day ! shuttle right time 3:30 11:00 pm get late Sunday night . 
 may 18 2009 	 luxurious Rooms Money 	 strand O'Hare overnight due miss connection cause weather . not want spend fortune unexpected hotel stay . Friday night rate , inclusive taxis , $ 109.75 , Chicago , real deal . linen King - sized bed luxurious . room large many amenity - work clock radio , fridge , microwave , coffee maker fixin . bathroom large vanity area - black granite - like counter Garden Botanika soap , lotion , cleanser shampoo . tub curve shower rod make show spacious - also oversized adjustable shower head . another commentor mention room - darken drape . perhaps room not , mine separate set darken drape pull sheer drape . stress traveler arrive end long day , room godsend . lobby gorgeous - lot dark wood polish black white & quot ; marble & quot ; floor - look like english manor house . three ( four , can not quite remember ) elevator good shape wood , brass mirror . hallway bit dingy . shuttle driver friendly amazing job remembering bag - make thing efficient upon arrival airport morning . shuttle leave hotel hour half - hour , 24 - hour day . right time . pick shuttle airport kind frustrating . pick front Hilton 's entrance - shuttle center - zoo . several Holiday Inn shuttle need careful wait one say Cumberland Ave . Cumberland shuttle seem take forever arrive - whereas numerous Holiday Inn shuttle came go . prepare wait half hour . say , shuttle comfortable , driver friendly trip hotel uneventful . hotel advertise 2 mi 5 minute airport . may 2 mi crow fly , trip take least 10 minute - may take long individually depend terminal use . allow least 15 minute ( traffic problem ) . female travel alone , also happy see hotel 's clientele senior , family , business traveler even flight crew . feel safe comfortable . could please experience - especially stressful situation strand . 
 May 8 2009 	 Great Service ! 	 go rate place 3 star surely deserve extra star service . room date area need repair enough bother . overall , room clean amenetie ( fridge , microwave , iron board n hair dryer ) . since locate near airport , constantly hear airplane sure bring ear plug . hotel get extra star rating pillow selection offer . firm , soft , u - shape pillow . technical service team provide excellent service could log internet 
