Great 	 take girlfriend Chicago surprise anniversary present weekend Thanksgiving . unfamiliar Chicago , know want stay near museum Millenium Park . value travel website , find rate Hotel Blake less half advertised rate sell . review say 3 - 4 star , really not sure expect . when show , pleasantly surprised . 's good neighborhood , minute walk Michigan avenue . check late , desk staff courteous helpful , though unpack carry bag . Valet - parking available hotel , half price parking available literally street hotel . make room 9th floor , amazed room . large room , magnificent bed , good decoration , huge bathroom . train traffic noise 9th story , get excellent sleep comfortable mattress . free wifi , excellent soap , shampoo , body wash , etc ... even sew kit . room definitely deserve four star , minor quibble little mold shower stall otherwise impeccable bathroom . never really try tv , room clock connect ipod , think neat . the free breakfast great unexpected , recommend get early ran donut danish well post closing time . service uniformly cordial helpful , recommend good restaurant nearby attraction . ( awesome , get early ) . picture Chicago post Hotel Blake website representative actual view hotel , google map let know expect vicinity . overall , heartily recommend Hotel Blake probably stay get rate . 
 Nov 23 2009 	 hotel hide gem . 	 hotel book somewhat skeptical price seem indicate sub standard hotel thought would fine one night . boy surprised ; charming hotel big room , nicely design well appoint . room spa like shower , good desk space work free internet service . staff friendly , knowledgeable helpful . next door great restaurant Custom House would recommend even stay hotel , fact right next door real bonus . hotel top Chicago list place stay . 
 Nov 20 2009 	 great escape 	 book Hotel Blake recent visit Chicago conference / vacation . hotel convenient location conference super dining option ( especially tamarind ) . hotel superbly style ... fun contemporary , room comfortable . breakfast simple wonderful start day . staff pleasant helpful . normally , not travel Chicago much stay Hotel Blake may make impromtu trip Chicago know will comfortable , fun place stay . 
 Nov 19 2009 	 never disappoint 	 stay Hotel Blake regularly business , never disappoint . clean , stylish , large room , nice bar , attentive staff . complaint inconvenient ice machine location . 
 Nov 14 2009 	 absolutly Beautifull 	 need Hotel 11/9/09 close buisness location , Hotel Blake fit bill perfectly . could please . entire staff courtious , helpfull pleasant . the price stay surprisingly reasonable , include parking . enjoy cocktails Custom House Resturant enjoy Chicago nightlife , follow complimentry continental breakfast follow morning . Thankyou ! erickson 
 Nov 13 2009 	 lot bathroom space girl weekend 	 take annual trip meet group girlfriend Chicago happy stay Hotel Blake . 's easy get taxi , train , walk around loop . room modern furnishing , two comfortable queen bed , large bathroom two sink enough counter - space toiletry . shower big walk - in shower rain shower head . stay pleasant . complimentary breakfast sufficient free breakfast downtown , one morning get end session everything already clean go . internet free code . small drawback room minifridge refreshment , walk stair get room , one morning not enough towel . call front desk inform housekeeping not yet towel . 
 Nov 11 2009 	 pleased location service cleanliness overall value money . 	 moment step beautiful historical hotel greet doorman helpful assist we . want stay historial hotel history , surprise exceptionally clean modern hotel facility . room spacious beautiful comfortable bedding . we assign room look street city request upon book . overall , pleased close proximity hotel locate financial district , museum shopping area . doubt return hotel . 
 Nov 4 2009 	 Affordable friendly 	 wife stay Hotel Blake , never see list internet . unsure cost less hotel , want show dissapointe . . greet friendly staff make we feel right home . room spacious clean . especially like oversize shower head beautiful marble shower ! complimentary breakfast good , feel could use additional item . good stay . 
 Oct 31 2009 	 great place stay see sight 	 Hotel Blake perfect trip Chicago see museum enjoy food . would not mind house look like room - really enjoy stay place not generic hotel look . location walk distance lot attraction close subway / El bus stop everything else . Custom House downstair fabulous dinner . wireless include . however , continental breakfast basic ( muffin , bagel , coffee , tea ) - go Bongo Room Roosevelt Wabash . room view warehouse next door top building , early morning late night - mostly enjoy Chicago . 
 Oct 27 2009 	 wonderful hotel great downtown location ! 	 boyfriend stay 2 night Hotel Blake October 2009 . want something clean , up - to - date , great location downtown Chicago . Hotel Blake perfect need . staff friendly accommodating . room good size , nice flat - screen tv , wonderful bathroom one wide shower head awesome . bed comfortable decor up - to - date . continental breakfast one morning ( include nice ) great coffee bagel ( food offering 's ) . hotel easily accessible Blue Line , take straight O'Hare Airport . 45 minute train airport train stop block hotel . be debate cab O'Hare hotel ( sure distant Midway ) , definitely skip -- train something like $ 2.50 per person one way 45 min train whereas cab 30 min $ 45 . not get try Custom House , restaurant hotel , everywhere go people ask we stay , everyone would say & quot ; oh restaurant great ! & quot ; walk downtown Navy Pier -- probably mile -- be Chicago see city , be definitely worth walk see everything . be lazy side , may want take cab , be really cheap . there free wireless hotel , not bring computer , also free access computer printer first floor . staff front desk helpful recommend local restaurant bar , give direction . stay Hotel Blake -- great deal hide gem ! 
 oct 22 2009 	 Nice downtown Chicago hotel 	 stay two night - got & quot ; Autumn Discount & quot ; web site rate quite reasonable area & amp ; quality . staff friendly , room nice . enjoyed stay small hotel historic building . easy walk Field Museum / Art Institute . 
 Oct 20 2009 	 good hotel great 	 pro ... bedding pillow absolutely amazing . comfortable . evening doorman personable . within walking distance many low - midpriced restaurant . short cab ride elsewhere south east loop area . con ... mold shower . air conditioning / heating vent abnormally loud . ( sound like regular bathroom exhaust fan , actually not one hotel room 's bathroom ) room come back alley view garbage truck noisy start 5 am . room could use lighting closet drawer space . overall , nice look comfortable hotel , maybe worth $ 280 + per night rate . would recommend pay close $ 150 p / n . 
 Oct 16 2009 	 good find downtown . 	 feel Blake excelent hotel base price location . hotel quite affordable base hotel area . modern decor lobby room pleasant . convenently locate near heart downtown . , staff wonderful ! 
 oct 9 2009 	 Best Place ever stay Chicago 	 speak rep.and get good price incl.auto ......... pleasantly surprise friendliness cleanliness hotel . Rec have 2 free drink staff exceptional front desk , maids doorman waitstaff . stay heartbeat .......... 
