overall 	 usually stay Monaco street , could not get room Saturday night . , book great deal Burnham . room cute , although really small ( NYC apartment , be say something ) . fine night , although would not suited we dog one day . , everything fine . service good , helpful accomodating . 
 Burnham kind hotel ; Chicago kind town . 	 delight stay Hotel Burnham . stay perfect check departure . Tracy Sara front desk , reggie door , Christine restaurant , go beyond make stay warm pleasant . dog Jack treat like royal pup , every effort make staff make stay good could . sleep like baby comfortable bed . room hotel spotlessly clean . restaurant food delicous not forget WINE TIME every evening lobby . perfect . can not wait get back new furniture place room . 
 Excellent stay historic landmark ! 	 stay Burnham 3 night September 2009 . hotel Priceline lucky Burnham . hotel great : incredible staff , central location , amazing building . Kimpton Group obviously great job restore historic landmark ! room small average , nicely decorate add boutique atmosphere . room top floor , overlook Chicago Theater , quite view . we dinner Atwood Café , lovely . Chicago 's major attraction within walking distance ( El , Chicago River , magnificent mile , ... ) . attraction , public transport even block away ( red blue line , course , El ) . blue line direct line O'Hare , order cab get airport . this hotel great experience . would love stay . 
 Nov 18 2009 	 Worst Business Travel Expierence possibly ever '' 	 book hotel company 's travel website . rate $ 225 night . get front desk tell room double bed leave . say would prefer room wiht one king size least queen size bed . say totaly book night . tell say ? rescession hotel fully book night . they even r0om key . check 6:30 pm . then get room bed literally 5 1/2 foot long . six foot tall . call front desk ask could please see anoter room available . & quot ; sir sorry sleep foot hang bed . & quot ; tell . REALLY ? addition , order late night room service 10:30 pm . limit menu - grill cheese sandwich menu . however , not even one 3 item list . choice cold soggy tuna sandwhich clearly day old . eat anyway immiediatley begin get sick end . my room drafty noise easily waft glass . the hotel gym size broom closet . the owner 's really close hotel interested run properly . ashamed rat hole ! 
 Nov 18 2009 	 Luxury attention detail scrumptious food allure scent magical staff ! 	 greet classy friendly doorman also attend dog bowl front , pet welcome though unseen . every portion stay carefully plan pamper ... reggie 's informative guidance room , coffee tea service warm cozy lobby . room decor create feel royalty view beautiful scene Chicago street buzz building perfect . wish could eaten every meal incredible restaurant . flavor delight behold staff follow attentive care way stay . true delight sight , sound smells nurture soul . 
 Nov 17 2009 	 perfectly small big City 	 large city choice abound , sometimes well small boutique hotel combine city history accomodation enjoy much large upscale hotel . Hotel Burnham beautifully . never think would want stay 24 hour office - even though hotel retain historical office feel unique look - hotel clean , comfortable , spacious inviting . room ample , bath spacious . housekeep top notch . staff excellent , hotel sweat detail coffee morning service lobby ( even put spread donut , croissant , muffin juices restaurant ( popular ) close breakfast due holiday . location excellent several El line within block , shopping , Millenium Park , theatre district , numerous restaurant pizza choice Sugar Bliss cupcake ! ! ! yea ! excellent value - interior architecture design feel like live mad Men . beautiful ! 
 Nov 15 2009 	 love hotel . 	 perfect need - service unparalleled . location perfect theater weekend plan . room lovely , small , comfortable bed view Macy 's light Christmas window . desk personnel , housekeeper , bellman attentive - well server Atwood Cafe lobby . walk Art Institute , Macy 's , Millenium Park , two theater , Pizano 's without difficulty . el block away . would love stay someday . 
 Nov 8 2009 	 Perfect location great trip 	 visit Chicago last weekend October . yes , Halloween weekend . affect review all . the hotel right heart Chicago . perfect location . 's corner State Street Washington . couple block one way Millennium Park . couple block way Chicago River . short walk away Art Institute . couple block away Metro bus stop . make entire city easily accessible . the hotel room great . ask room face State Street check construction across Washington . get end room 12th floor . great view Washington toward Millennium Park also State Street toward Chicago River , view Chicago Theater . the room modest size . bathroom nice . one thing find amusing shower head 6 - 7 inch head , ' m 6 ' 3 & quot ; . hardly ever happen . the fitness room small . much . two treadmill , one elliptical , one bike , set free weight . mean get workout do . water towel provide . the hotel restaurant one well review restaurant city . thing not expect . recommend eat Atwood Cafe upon look , discover hotel . food good . reservation recommend . make easily opentable.com . overall , great trip Chicago . feel due large part hotel experience . would definitely stay hotel . can not beat location service . keep eye open deal , stay great price . 
 Oct 30 2009 	 Unique Inviting 	 Hotel Burnham bring life historic building . room unique keep clean . common area invite . food downstair restaurant ( Atwood Cafe ) excellent , close New Year 's Day find another place eat . , hotel stay excellent location super convenient seeing sight Chicago . would definitely return hotel would certainly stay another Kimpton hotel . 
 Oct 15 2009 	 Perfect hotel Chicago Marathon weekend 	 get back long weekend stay Hotel Burnham . particpant Chicago Marathon . got great rate hotel Priceline ( due weekend book 8 month advance ) . staff wonderful family entire weekend include provide son free drink family stand front hotel watch marathon ( course go right past mile 1.5 ) . hotel also provide runner free breakfast morning race staff come congratulate upon return hotel . room wonderful view north see Chicago Theatre right street Chicago skyline great . buidle beatiful note previous post hotel great job keeping buidle update also appear close original condition provide history one Chicago 's landmark building . 
 Oct 12 2009 	 great place stay loop 	 first trip Chicago wife take Amtrak Portland , . adventure self . lot research line stay decide Burnham various recommendation previous traveler source . wife MS walk long distance ( block poope ) want place close attraction want see . hotel location perfect . hotel get we wheelchair , cost we , go loop area . use restaurant ( breakfast ) many place eat around corner hotel . 
 Oct 12 2009 	 great location good staff 	 hotel locate centrally easy get client . staff generally knowledgeable area give good restaurant recommendation . 
 Oct 10 2009 	 Perfect 	 check early little expectation greate huge smile accommodate immeditaley . staff door desk could nicer . room although small perfect give historic building -understood . Loved Atwood cafe - wish hotel cool place like eat- definatley go . 
 oct 9 2009 	 Perfect Place stay Chicago 	 hotel real discovery ! like stay much may reason go back Chicago . man meet elevator agree ; stay Hotel Burnham past 12 year ! every time come Chicago . hotel beautiful comfortable . everything personable helpful staff complementary morning coffee wine reception make stay delight . room awesome ... complete animal print terry cloth robe yoga dvd . restaurant downstairs excellent breakfast , lunch , dinner late night snack ( enjoy ) . corner room lovely sit area view Macy 's opposite corner , park lake several block away . seem almost everything within walking distance . 
 Oct 8 2009 	 good post - vacation vacation ! 	 Kimpton offer great deal Kimpton Intouch member , could not resist offer stay historic Burnham Reliance building El section Chicago . location prime . walk distance Art Institute , two block away Millennium Park , one block away Cultural Center . shopping , watch ! be right around corner Nordstrom Rack , kitty corner Macy 's ( Marshall Field ) , across Old Navy . window , could see Chicago Theater sign . roam around Eastern Europe three week , want keep trip low - key slow - pace . location , rush around able couple thing day leisurely pace still make wine reception 5 p.m . bed comfortable everything spic span . staff kind helpful , lobby feel like living room couple day . 
 oct 8 2009 	 lot character great value ! 	 Hotel Burnham much expect . hotel wonderful character great staff . room comfortable richly decorate . bed die ! two plush robe provide well nice toiletry . look forward stay Hotel Burnham ! 
 Oct 1 2009 	 Hotel Burnham special place 	 month mark 4th stay Hotel Burnham give ample opportunity make fair assessment . unpretentious staff consistently courteous , eager please , seem genuinely want guest feel welcome . hotel centrally locate Loop Millennium Park Art Institute short walk away . the physicality hotel stand : stunningly gorgeous meticulous renovation ( historical site formerly know Reliance Building ) shine . elegant , expose wrought iron stair , marble wainscotting , period light fixture add understated elegance . standard electronic room key replace key brass ring . room attractive spotless ( many chaise lounge bay window ) , cozy cramp , equipped stereo , , request , goldfish lonely traveler . curtain elegant , sport excerpt Mozart score . newspaper appear door , gratis , free morning coffee available lobby , daily complimentary wine hour feature quality wine . wake - up call perform staff rather electronic way , add human touch . staff also print boarding pass ! hotel quiet one ( sensitive noise ) , would recommend request room high floor ( 7 ) face Washington Street since State Street often street perform drummer . while tend dine outside hotel , find Atwood Cafe lobby excellent creative menu . my four stay Hotel Burnham consistently outstanding . 
 Oct 1 2009 	 Chicago BEST 	 heart town chicago ! shopping , park , public transit great restaurant ( Atwood cafe superb ) door steep say hotel door step . staff excellent super clean hotel . matter I m Chicago visit business defiantly come back hotel Burnham . 
 Sep 22 2009 	 gem ! ! Absolute Fantastic hotel ! 	 stay one night ( last one Chicago ) get room hotel 129dollars ( include cont . breakfast ) . choose hotel base review site fact situate historic landmark Chicago . I not dissapointe ! hotel special . great , helpfull friendly staff big surprise room . expect normal room bed bathroom get suite . situaed corner second floor . room spacious indeed ; need 2 tv 's . big comfy bed , de ceilingheight thse kind old building alwaus higher normal gigantic ! gives even feel space get room . the free taste wine lobby ( 5 6 pm ) nice , since check time come Toronto . friend mine chicago come visit room later blow away room ( even get rate ! ) bathroom good space clean . bath / shower combo not problem I . situate near almost every subwayline wish chicago location excellent . even shopper since Macy across street ! lobby , elevatorsarea staircase give also extra touch hotel . the free continental breakfast downstairs good enough ( breakfast guy matter ) would understand somebody would find bit little ( although get extra stuff offcourse extra dollar ) since plane leave day evening problem leave luggage safe hotel checking could go around city last time go back home ! 
 Sep 6 2009 	 bright jewel heart Chicago 	 hotel style quicky 1920 touch art deco furniture , blue velvet music theme curtain / bedspread . bed comfy , overtake & quot ; single & quot ; king room . bathroom room small side - not expect much large stay downtown city . hotel renovate bank building - elevator bite tiny slow , complaint . I love Kimpton touch : & quot ; happy hour & quot ; free wine sangria Nintendo Wii small lobby , hot coffee tea morning & quot ; go & quot ; cup / top , free wifi . location great - short walk Millenium Park , Chicago Museum Art , subway theater . staff welcome helpful direction , map suggestion . love stay - would definitely recommend ! ( look special Kimpton travel site ... get room $ 99 - can not beat ! ) 
 Aug 27 2009 	 might find good boutique hotel city . 	 staff genuine friendly . 's wonderful feeling member greet name everytime walk lobby . accommodate dog treat really enjoy . also , concierge agent helpful everything recommend good jazz club get baseball ticket help we find late night Chicago eat . speak late night ask pillow library ! Burnham be prime location close mode transportation , build beautiful . be fan Eric Larson 's Devil White City architecture buff would really appreciate interior design iron work building . hotel 's restaurant , Atwood Cafe , good comfort food will find . 
