would 	 stay past weekend 11/26 - 11/28 celebrate one year anniversary . book stay directly hotel , book large king room . $ 215.00 quote rate . request high floor room east view since main picture Hotel Felix Chicago website lovely picture Chicago skyline include beautiful view John Hancock tower . tell everything would taken care going receive large king room lovely view . arrive early Friday tell housekeeping finish get room ready we . give free drink coupon drink front lobby small bar / lounge tell bag would brought room wait lounge . 1/2 hour later , go room 9th floor ( hotel consist 12 floor ) . king room , look window view - face South , east view pay parking lot Copperfield 's ( liquor store ) .The next morning , speak guest service question room . tell receive room & quot ; celebrity & quot ; receive stay . gentleman , remain nameless not want give name , say upgrade room 906 room 904 , large king room . still question not receive East view promise , tell could East view room , would downgrade Queen size much small room . , choose stay room . follow complete laundry list review hotel : problem find hotel:1 . ) give multiple excuse lack service / continuity . information receive ask not receive room promise , feel inadequate unprofessional . breakfast next morning restaurant , & quot ; Elate & quot ; ask spoon coffee . server state get ready lunch set - up 's not give spoon . also tell server restaurant hotel way connect ask trading breakfast voucher pay get well breakfast pay difference cost . tell we take hotel restaurant hotel connect way . female check we hotel Friday afternoon hostessing restaurant Saturday morning . , seem connected . addition , restaurant provide room service hotel give option bill room dine restaurant . , seem connected.2 . ) state provide & quot ; whisper quiet room & quot ; . inaccurate description . hear t.v . , conversation , etc ... adjacent room hallway . would honestly compare sound level stay cheap hotel . 's want top - star hotel certainly would classify good want romantic weekend . would certainly never bring three - year old son fear may hear come another guest 's room.3 . ) storage clothing suitcase insufficient . suitcase fold - out provide tiny closet poorly design . tiny build closet space hang bar also act curtain rod close hide belonging , choose put shelf middle safe . also face - out bar shelf , item put drag floor use top curtain rod hang , item jammed safe shelf can not close curtain . walk room iron board lean wall even stored.4 . ) bathroom decent size , small sink lack mirror two people , adjustable shower head set low height . raise shower head normal height , 1/2 length shower curtain cause tiny flood bathroom not extend full length bathtub / shower.5 . ) state luxury comfort bathrobe provide room book 2 adult , one bathrobe room . ask another never receive 2 day stay . perhaps shortage robes.6 . ) pillow - offer one size pillow bed quite full uncomfortable sleep . like full pillow , could use pillow . fiancee sleep pillow - less try well stay edge pillow . next day speak housekeeping directly ( avoid guest service ) provide we seem ( 2 ) throw pillow put pillowcase we could sleep . appreciate effort make we comfortable.7 . ) feel food restaurant & quot ; Elate & quot ; consistent . would recommend coffee Felix burger . ( side note : not put cheddar cheese request . request replace & quot ; creamed leeks & quot ; cheddar cheese possible come nothing ) . seasoned fry come burger good . french style omelet house potato good well , granola , quiche , 2 egg want french toast enjoyable . train chef dissatisfied quality food overall . when check , receipt give checkout match Hotel Felix charge Mastercard . charge upgrade room rate not request . hotel also charge we bottled water drink room . call guest service return home discover online checking , tell credit make expect within 2 - 3 business day . would sure obtain receipt checkout make sure charge correctly . overcharge we $ 645.00 waiting credit Mastercard . good thing find hotel:1 . ) great location - promise & quot ; whisper quiet & quot ; fulfil . also disregard photo view website hotel . west side construction large building approximately 20 foot window completely obstructed.2 . ) nice H20 spa product bathroom ( soap , shampoo , conditioner ) 3 . ) Free wi - fiI would stay hotel would recommend . feel though tried put many room hotel revamp building , not allow soundproof . also feel like give far many excuse lack service . 
 Nov 24 2009 	 Hip boutique hotel attitude match 	 last month , stay Hotel Felix parent young daughter . newly renovate hotel boast cool , modern minimalist decor floor ceiling window lobby witness young hip swing way rotate door . room beautifully simple , bed dreamy ( though sleep giant pillow ) . front desk staff friendly , knowledgable , accommodate ( suggest local restaurant , early check - in ) . unfortunately , young , spacey bartender within hotel preoccupy entertain ' cool ' personal friend brush numerous attempt parent order drink . lose business .... adjoin restaurant great ambiance similar hotel . evening waitstaff friendly ( although slight bit ' green ' , not know much beer premise restaurant ) , food delicious ( burger cream leeks applewood smoke bacon one good ' ve ever taste ) , drink well mix strong . the morning waiter one work busy breakfast crowd . able handle well great job . downfall snotty ' don't - you - know - we be starbuck ? ' reply friend receive upon ask vanilla latte . soon follow high - and - mighty tone ' local ' ' organic ' product serve restaurant . witness night , , sit bar alongside owner , conversation , think ' local ' ' sustainable ' make exclusive important . we frequent restaurant great food unpretentious service , would think hard would patronage place snotty attitude . 
 Nov 24 2009 	 good value want location 	 find hotel via hotwire - aka take gamble - great . room small ( tiny ) , clean nice . nothing fancy feel comfortable . great need 3 night stay location . locate pretty close Mile want . would pay normal price online would much , find cheap deal go . 
 Nov 22 2009 	 fantastic lot bang buck 	 great rate hotel Travelzoo $ 99 per night include breakfast 2 free parking Hybrid vehicle . parking normally $ 42 night breakfast 2 would $ 22 base menu price . math . hotel modern fantastic . great location , clean , great service , great restaurant . concern many seem size room . yes , small , concern not bad people make . sleep well clean comfortable bed . not intend hotel party . price pay , can not beat . 
 Nov 20 2009 	 Cool Modern Hotel 	 Great Hotel Heart River North Area . room small , hotel worth get past room size . 's Chicago , hang room anyway ? Great Location within walk distance almost Major Chicago Sights . Plenty Restaurants Bars close . try Clark St Ale House Angels king great nightlife , literally 1/2 block away hotel . the Front Desk people extremely nice accommodate request . GF visit SPA similarly excellent experience . we amaze Long Weekend Hotel & quot ; EL & quot ; station short walk away , Chicagoland Doorstep . 
 Nov 16 2009 	 small adequate 	 ' ve stay small place room really feel cramp one person . think cruise ship cabin , small cruise ship cabin . bed comfortable sheet thin cheap . real disappointment . would recommend replace sheet soon possible . bathroom small well solo traveler adequate . could never imagine staying room another person . someone will not come alive . minimal storage , solo traveler adequate . neighborhood & quot ; busy & quot ; weekend night lot scream noise come street . 10 audible 3 a.m. Saturday . restaurant average food poor service . waiter take order never return . leave 5 dollar tip regret . really not deserve . big complaint would crowd place draw . think Paris Hilton annoy Paris Hilton . 's Paris large midwestern girl . overall decent place stay decent rate . go spend lot time room , stay elsewhere . will go stir crazy tiny room . 
 Nov 12 2009 	 place cool ! 	 travel downtown Chicago business . want something different great location . Hotel Felix perfect . be get contemporary & quot ; hip & quot ; feel . bed one comfortable ' ve sleep . bathroom large shower true walk shower one large & quot ; rain shower & quot ; head . boutique hotel despite other say , room tiny small . room 10th floor king bed perfect . staff attentive extremely helpful . definitely new & quot ; go & quot ; hotel downtown Chicago . Loved ! 
 Nov 12 2009 	 great view Stunning City 	 recently stay Hotel Felix Chicago quick layover way new York . never hear hotel take chance not disappointed . near Chicago 's magnificent mile , place great view . room spacious - keep forget big american hotel room ! staff courteous throughout . not chance eat unfortunately . spend bit normally would , definitely worth treat . 
 Nov 10 2009 	 Great Location / Good Experience 	 stay Hotel Felix October - visit daughter Parents Weekend DePaul . hotel staff friendly - room small , clean bath product bathroom facility nice - love H2O product ! block EL stop downtown location . try restaurant yolk breakfast / brunch - block away , fantastic ! . great discount code DePaul website , bargain two night stay . 
 Nov 10 2009 	 good thing come small package 	 great little hotel close everything ! know ahead time room small , room exception . bed oh comfortable , room temperature perfect , decor nice . bit take aback & quot ; closet & quot ; lack luggage rack ( make iron board ) . h2o product bathroom great . find deal Chicago tourism site $ 99 include breakfast- tax $ 115 . breakfast restaurant & quot ; Elate & quot ; wonderful . service top notch ! 
 Nov 9 2009 	 totally fabulous experience hotel ! 	 much fun sleek , elegant modern hotel . staff friendly prompt request . room comfortable . 4 woman 3 room -- great ! love location , walk distance many wonderful attraction . we stay one night feel like getaway upscale hotel . also , room quiet whole hotel smell really good ( sensitive nose ) . 
