beautiful 	 Hyatt amazing unobstructed view river 's beautiful night . location superb , situate two minute start Magnificent Mile shopping endure . however , be pretty much end . room average , poorly decorate , 4 - star quality . iPod functionality clock break , pen provide in - room , colleague stay floor constantly complain noise distraction prevent get good night 's rest . source noise include : - elevator door open / closing- Elevator gears- Street noise- water run pipesunfortunately , noise momentary persist entire night due placement room throughout week stay Hyatt . be almost like build design consideration sound - proofing ! also internet include price pay almost highway robbery ... not archaic still charge in - room internet nowadays ? say , hotel still decent stay . service acceptable friendly . location convenient , view amazing . would still recommend friend . find good deal place 's worth ; otherwise , would suggest look hotel area around Michigan Avenue . 
 nice business hotel well locate . 	 good positive surprise . hotel maybe 2 drawback : 1 - bad isolation hall , like every hotel USA , 2 - it might get crowded conference time , baby BIG ... otherwise amenity good , nice gym spa , shop basement staff impeccable usual Hyatt . good experience . 
 expect MUCH Hyatt 	 get room great rate , still expect standard four - to - five star Hyatt experience . yes , enjoy great location , facility twenty - five year old , facelift give , be still pretty shabby . here lowlight : Got room notice black stuff caulk around tub . ( see photo ) . mention front desk staffer , apologize profusely . say housekeeping manager would get right dinner . we get back dinner ... still black stuff tub . , next morning , bring attention new front desk staffer duty , , , apologize profusely . ( use almost identical wording first woman . script follow ... ) ask housekeeping team address breakfast , could clean tub rest stay . shockingly , change tub breakfast . go back counter , speak staffer early morning . ask would like move new room , , inconvenient , sound like good idea . credit , offer give we sort freebie trouble . since not need free internet food voucher , apparently nothing else could offer . ask could comp $ 48 parking bill ( yes , 's daily rate ! ) sorry , dice . , go look new room . unfortunately gunk tub ! ( see photo . ) 's foolishness ? make matter worse , return breakfast , find sheet actually multiple rip tear ! impossible miss , tell housekeeping staff either not care not give guidance , know , rip sheet not really enhance Hyatt brand . so , pull rip sheet bed go back front desk . tell desk agent would stay original room since new one not much well . ( think sarcasm lose . ) , profuse apology , housekeeping manager call , put good people , yadda yadda . we two night . interesting see play .... 
 Nov 24 2009 	 nice hotel kind busy . 	 impressed hotel . like mini - mall . parking nearby ( hotel parking ripoff though , charge $ 50 per night park ) . good value ( name price Priceline ) , get hotel like $ 60 US . room nice , staff friendly . lot people though around main foyer . kind far popular Chicago attraction . 
 Nov 20 2009 	 Hyatt class 	 Staff service excellent direction room service . ultra clean room , food wonderful . perfect walk distince Mile shopping sight . love everything hotel . want class stay Hyatt Regency 
 Nov 19 2009 	 Great Updated Room Great View 	 check fast professional . assign corner room great view river downtown landmark . room spotless totally update although small side . carpet new , bed comfortable high definition flat screen top notch well . marble shower vanity quite nice . water pressure good hot water plentiful . consider size room bathroom quite large . Hyatt huge property get right room service . 
 Nov 19 2009 	 Excellent location - good hotel 	 Hyatt Regency huge hotel - layout confuse first two tower go back forth . location excellent - next Chicago River , close Lake Michigan right Michigan Avenue shopping dining . staff hotel uniformly polite , friendly helpful . small room , though overlook river view great . item make give hotel 4 rating instead 5 follow : relatively limited room service menu - almost vegetarian item ; poor lighting room ( energy efficient fluorescent bulbs 3 tiny lamp - dark could see open combination luggage lock ) ; pretty limited television channel lineup in - room tv . nice little coffee food stand downstairs atrium area sell pastry breakfast ( fruit , cereal , snack , even ice cream ) 's easy get food avoid restaurant . overall nice hotel . 
 Nov 16 2009 	 great View - Great Time 	 book hotel Priceline $ 59 night would find good value twice location amenity consider . infrequently give inferior room book Priceline . ( price 1/3 go internet rate . ) check often state , realize probably much priceline room . desk person 's reply comment & quot ; say ? & quot ; give we nice room great view 31st floor look Chicago river lake Michigan . tip $ 10 appreciative ! would absolutely stay $ 48 valet parking fee good parking option nearby would explore . ( tell Hyatt allocate money property room renovation work underway . room not newly remodel certainly nice room large Plasma tv . ) 
 Nov 14 2009 	 Great Location - Good Hotel 	 wife book one - night stay hotel via Priceline . get room $ 60 dollar would hard complain price . hotel enormous attach convention center . check - in quick efficient . lobby nice although definitely feel airport terminal . something like 2000 room hotel lobby reflect type activity . room actually nice feel exceptionally clean well appoint . bathroom slightly date , overall satisified room . location hotel perfect anyone visit Chicago . hotel block away Michigan avenue close many shop restraunt . hotel bar nice . find food breakfast buffet good , quite worth $ 22.00 fee buffet . skip buffet walk around corner local resterant . would definitely consider stay assume get discount rate priceline . would never consider stay hotel go pay full rate much nice hotel area price area . 
 Nov 14 2009 	 Hub downtown down - side 	 enjoy stay Hyatt Hotels usually . husband conference week , solo tourist , diner , & amp ; guest part . Hyatt large , & amp ; room typical Hyatt design / spaciousness . much room store clothing , though ; 4 clothe hanger closet - bring . counter space bathroom either . air unit break , temp really hot upon arrival , housekeep prompt fix . door key disengage twice also promptly fix show I.D.s guest service . trouble , give we fruit bowl . fitness center small , equipment new / clean . spa staff pushy w/ service . want haircut , facial lady literally book facial w/o request insist would well facial ever . end walk . ( even follow hall , still try make & quot ; sell . & quot ; ) food Bistro comparable price - dinner breakfast . would well find someplace street . every time eat , waiter would bring check immediately take order , think rude . take away food be finish - lot language barrier wait staff . & quot ; Big Bar & quot ; nice be happy hour scene . good conference center business . would say 're conference enjoy hub downtown , work . $ 13 / day internet surprising semi - luxury hotel , though . even Motel 6 free wi - fii ! 
 Nov 10 2009 	 bad 	 book reservation online get pretty good deal , less $ 100 per night , pay original room fee would ' ve definitely huge disappointment . location amazing ... be right Sears Tower State Street Michigan Avenue . 's nice hotel be go spend much time room , , be great . weight system mini bar , move anything bar , will charge whatever move . BUMP anything move , will charge ! ! ! be travel child , make sure not come near mini bar ! ! ! not try restaurant hotel , sure never try restaurant next door Hyatt , Houlihan 's ... 's bad ! overall not bad stay not expect Hyatt . 
 Nov 9 2009 	 Good Business Hotel need update 	 attend conference hotel recently stay 5 day . be ok , show little wear . concierge floor nice staff great . 
 Nov 8 2009 	 Love hotel 	 call crazy love hotel . ' ve Chicago least twice year last 10 12 year Hyatt capture big - city vibe unique way . lobby East tower warm welcoming arrive back hotel yet engulf sheer number guest mill around , facility , view ... room always comfortable would agree reviewer mention put roll tower door space muffle hallway noise . staff excellent , dining option good , location outstanding . love place ! 
 Nov 5 2009 	 Absolute nightmare - overbooke displace charge room not even stay . 	 stay conference reservation one room . hotel overbooke force stay one night different hotel . process check back Hyatt rest night , somehow two room create name . receive key one room , check , inform one room . bill split roommate . upon check card , find charge half one room , full bill room never stay . dispute claim , inform extra charge could remove someone stay room . hotel check give key anyone , anyone actually check use room , inform someone check room list name ? 
 Nov 5 2009 	 well locate huge conference style hotel 	 spacious room friendly service depsite monster hotel . clean functionable good location 
 Nov 3 2009 	 LOUD 	 restaraunt gym nice room loud , could hear everything adjacent room housekeeping staff extremely loud morning hallway , also bathroom clean ... floor sticky counter top stain 
 Nov 1 2009 	 Great Location 	 live burb want nice getaway weekend dinner theater plan weekend . end Hyatt Regency via Hotwire . get rate 50 % rack rate Hyatt website . talk people seem hotel come discount hotel site ( hotwire , priceline ) often huge . happy end . convenient everything . park Millenium Park garage $ 24 24 hour . not privilege like valet parking hotel $ 50 , since everything close not need . walk Michigan Ave consider go Navy Pier darn cold . room nice bed great . end hallway west building noise factor minimal . drink Big Bar daddyo . typical hotel bar , nice atmosphere bite pricey . staff friendly attentive . not think would pay rack price hotel , have willing gamble discount site get something like . 
 Nov 1 2009 	 good value huge good many occasion 	 stay hotel Chicago Marathon . busy first feel like arrive airport instead lobby . hotel could use major update keep new , stylish hotel city . room ( west tower ) spacious , comfortable , bit dark . did'nt experience problem noise hallway room . location great . right magnificent mile milenium park . 
 Oct 28 2009 	 old hotel Chicago 's large good location downtown 	 issue hotel old . wall paper thin , bathroom layout kind old fashioned , etc location 's excellent . I see people complain noise . one thing notice 1 & quot ; gap airspace bottom door floor . major cause noise ! place one bathroom towel across gap night will find quite bit quiet ... least noise hallway . the tip arrive Chicago mean car . $ 40 night parking rough ! ! ! 
 Oct 26 2009 	 horrible bloody expensive 	 stay tradeshow . Hotel Lobby look like airport factory . not know room terrible East tower , ask 3 time another room 3 time get poor quality : room old ( old carpet , yellow curtain , dirty window ) bathroom not upgrade since long time . although view ( lake ) great , rest horrible : door open around 5 cm 's door carpet ( need say impression sleep corridor ) old airco system turn noice . breakfast room ( hall ) cozy , bar nice expensive . will never go back ! ! ! ! ! 
 Oct 23 2009 	 excellent deal 	 stay Hyatt Regency Hyatt Regency McCormick Place last week business trip . stay Hyatt purchase priceline considerably less post rate , say fabulous deal . do priceline thing 4 - star hotel many time several city , probably nice hotel get priceline yet . important thing regard hotel clean comfortable room , good service , not disappoint mark . room clean ( meticulously check room soon enter , satisfied ) . staff extremely accommodate friendly check - in , check - out , stay . able check around 10 Thursday despite one conference leave Chicago one come . exterior hotel wow factor particularly impressive , lobby spacious probably last renovate mid-90s - mean modern , still nice enough . room seem modern , important . comfortable bed . get around walk , taxi , conference shuttle , find convenient , someone want drive might consider different location . grocery store nearby Stetson Ave want purchase snack . would happily stay next trip Chicago . 
 oct 22 2009 	 perfect location 	 stay marathon weekend . location perfect ; right Michigan avenue Millenium park . issue noise review state , . room basic hotel room . bed comfortable . disadvantage fee internet service refrigerator . otherwise , need . 
 Oct 20 2009 	 pretty good get room view . 	 hotel amazing location . exterior hotel pretty date lobby early 90 's cheesy feel .... hotel pretty good service , be lucky , fantastic view . office portion room ( 3365 ) overlook millenium park . unfortunately not get much work do -- absolutely beautiful view ! room nice rather modern , although look bit worn . bad size . perplexed ( dusty ) mini bar / tv stand , yet room dresser . stay 4 day , would nice unpack ! gym decent size great cardio integrate tv 's . nice touch . lot hotel part town . good place stay , Hyatt Regency not great other ' ve stay . 
 Oct 20 2009 	 alright experience be start renovate 	 hotel compose East Tower West Tower . check East Tower upon enter fairly impressed first floor lobby . 2 am check bar second floor hopping . check late , expect check - in process go quickly , clerk quite slow . we give room west tower stay 16th floor . standard king room large desk , armchair ottoman , flat screen television . wallpaper peel place light bathroom terrible . water pressure shower not great , either . location - wise , hotel central area - one block Michigan Avenue . speak maintenance man last night explain start next month , would renovate entire hotel make complete update - bathroom lighting , shower , central air heat , etc . think renovation exactly hotel need . experience bad speak , ' ve stay well place less money . the high speed internet $ 13 day slow be worth it . parking hotel garage $ 40 + per day . be another garage couple block away $ 27 per day . 
 Oct 20 2009 	 great location nice room accommodate staff ! 	 every part stay go smoothly . one party check early call ask able check room name . rest party arrive , upgrade room wonderful view could close 1st room . quick girl weekend . spend lot time Big Bar , miss tout piano bar scheduling conflict . drink expensive , location could not beat . location hotel wonderful , easy walk distance Navy Pier , BillyGoat Tavern ( SNL Cheezborger - Cheezborger shrine ) , shop many attraction . every staff member speak go way accommodate . back ! 
 Oct 19 2009 	 modern nice 	 staff accommodate arrival . room spacious modern large flat screen tv swivel . bed nice quality bed comfortable . like decor , modern touch quality . hotel suitable large conference , take walking find way around . 
 Oct 17 2009 	 great location price one block Magnificent Mile 	 everyone encounter helpful . room clean update . hotel could not well location . one block Magnificent Mile 2 block Navy Pier . perfect location everything . thing confuse hotel check , east west tower . bit confusing still worth . 
 Oct 15 2009 	 Bugs food bug bed 	 poor experience expense . attend conference husband accompany stay 4 night . room regular nothing fancy hotel room . husband find bug salad Bistro 51 hotel last morning , find another bug bed . light poor . bathroom small . sound travel . location good bottom floor entrance shop open lunch breakfast , prevent go outside bad weather . 
 Oct 15 2009 	 Chicago Marathon 	 son run marathon , want close action . Hyatt fit billl . great location . downtown close attraction . walk eveywhere . complain location . Hyatt live expectation . long line check . check disappointed . housekeeping bad . room smell bad dusty . burn hole carpet non smokng room , wallpaper peeling , etc .. claim smoking try charge we $ 250.00 . Guest service great fix everything would think twice stay . 
 Oct 14 2009 	 good business hotel well value 	 ' ve stay Hyatt almost 30 year see many renovation change . 's good downtown hotel convention catering facility , busy lobby area still find people trade show town . pay internet . convenient Michigan Avenue ; nice view high floor . expensive compare service provide . recent visit go three room ( first one odor , second occupy someone else , third finally okay ) ; never problem . be town meeting , fine facility . be stay town , may well deal . 
 Oct 13 2009 	 lovely hotel would stay ... 	 stay Hyatt Chicago Marathon weekend . hotel extremely huge busy Marathon . book Priceline get phenomenal rate . check 7:00 Friday busy wait line around 15 minute . check go fast reach counter , ask two room grant additional cost . 12th floor overlook River . room clean , nice size amenity one would need travel . comfortable bed , nice flat screen tv , data port , iron , blow dryer . bathroom fairly large inviting . shower head pretty amazing , especially long race . like hotel , staff , location bed . Michigan Ave hop , skip jump away . plethora Starbucks , corner bakery restaurant area . complaint wait 15 minute elevator , $ 48 charge parking wait 20 minute valet come assist parking car . would definitely stay suck $ 48 parking charge . 
 Oct 13 2009 	 cool lobby good location room service could well 	 conference two night , location great , think 's big hotel really outstanding . first , room need well lighting . even lamp ( be overhead lighting ) feel really dark drab . also , room supposedly non - smoking one , still smell smoke . bathroom not terrible , grout tub tile kind gross need clean redone . also irk specifically notify want fresh towel every day . ' ve stay place & quot ; towel floor replace , towel hang will not & quot ; set , be fine , make call ridiculous . clothe launder return also leave another guest 's shirt ( take front desk ) . colleague unknowingly ( must click first option present make reservation ) sign & quot ; business plan & quot ; room reservation , include breakfast , free wifi thing , check not tell give voucher breakfast . not tell would not ever know ( charge wifi take bill mention ) . not terrible , lot well option , especially price . 
